# {"t_start": 1580305579.6824937, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,6.787962
-50.0,50,9.671111
-50.0,50,12.334124
-50.0,50,14.921877
-50.0,50,17.586344
-50.0,50,20.160948
-50.0,50,22.808897
-50.0,50,25.370582
-50.0,50,28.002419
-50.0,50,30.738157
-50.0,50,33.522651
-50.0,50,36.19272
-50.0,50,39.186658
-50.0,50,42.172338
-50.0,50,44.936909
-50.0,50,47.517593
-50.0,50,50.095556
-50.0,50,52.625649
-50.0,50,55.315919
-50.0,50,57.842777
-50.0,50,60.435199
-50.0,50,62.984686
-50.0,50,65.591003
-50.0,50,68.135689
-50.0,50,70.689628
-50.0,50,73.279706
-50.0,50,75.853852
-50.0,50,78.424051
-50.0,50,80.966627
-50.0,50,83.502507
-50.0,50,86.130115
-50.0,50,88.705227
-50.0,50,91.241616
-50.0,50,93.802623
-50.0,50,96.355874
-50.0,50,98.948502
0.0,50,101.482011
-50.0,50,104.013587
-50.0,50,106.672825
-50.0,50,109.2157
-50.0,50,111.779608
-50.0,50,114.333448
-50.0,50,116.938381
-50.0,50,119.504654
-50.0,50,122.071471
-50.0,50,124.59075
-50.0,50,127.158022
-50.0,50,129.77023
-50.0,50,132.31702
-50.0,50,134.875009
-50.0,50,137.457954
-50.0,50,137.875784
-50.0,50,138.278293
-50.0,50,138.657851
-50.0,50,139.042603
-50.0,50,139.428959
-50.0,50,139.844187
-50.0,50,140.240164
-50.0,50,140.620361
-50.0,50,141.033623
-50.0,50,141.653776
-50.0,50,144.202225
-50.0,50,146.763798
-50.0,50,149.315269
-50.0,50,151.876738
-50.0,50,154.401581
-50.0,50,156.979789
-50.0,50,159.574648
-50.0,50,162.141879
-50.0,50,164.709224
-50.0,50,167.24705
-50.0,50,169.837198
0.0,50,172.387046
-50.0,50,174.936653
0.0,50,177.496782
-50.0,50,180.065692
-50.0,50,182.640236
-50.0,50,185.18276
-50.0,50,187.753331
-50.0,50,190.323415
-50.0,50,192.890714
-50.0,50,195.464216
-50.0,50,198.028955
-50.0,50,200.566329
-50.0,50,203.156896
-50.0,50,205.684204
-50.0,50,208.287096
-50.0,50,210.832645
-50.0,50,213.433912
-50.0,50,216.030628
-50.0,50,218.572228
-50.0,50,221.131142
-50.0,50,223.724268
-50.0,50,226.247698
-50.0,50,228.801237
-50.0,50,231.372211
-50.0,50,233.947361
-50.0,50,236.489011
-50.0,50,239.007069
-50.0,50,241.594942
-50.0,50,244.164461
-50.0,50,246.688284
-50.0,50,249.272028
-50.0,50,251.900112
-50.0,50,254.424345
-50.0,50,256.976694
