# {"env_id": "FetchPickAndPlace-v1", "t_start": 1580305579.9893503} 
r,l,t
-50.0,50,6.477456
-50.0,50,9.345784
-50.0,50,12.006124
-50.0,50,14.623676
-50.0,50,17.271987
-50.0,50,19.8823
-50.0,50,22.475942
-50.0,50,25.053006
-50.0,50,27.725628
-50.0,50,30.449231
-50.0,50,33.237885
-50.0,50,35.893678
-50.0,50,38.870941
-50.0,50,41.857635
-50.0,50,44.636606
-50.0,50,47.218332
-50.0,50,49.79562
-50.0,50,52.33379
-50.0,50,54.992738
-50.0,50,57.553405
-50.0,50,60.138586
-50.0,50,62.71491
-50.0,50,65.275394
-50.0,50,67.794467
-50.0,50,70.424538
0.0,50,72.958528
-50.0,50,75.564371
0.0,50,78.104072
-50.0,50,80.667328
-50.0,50,83.246198
-50.0,50,85.804993
-50.0,50,88.402625
-50.0,50,90.933738
-50.0,50,93.48455
-50.0,50,96.04437
-50.0,50,98.633709
-50.0,50,101.195838
-50.0,50,103.727782
-50.0,50,106.3439
-50.0,50,108.915063
-50.0,50,111.46392
-50.0,50,114.03794
-50.0,50,116.606109
-50.0,50,119.200513
-50.0,50,121.752188
-50.0,50,124.296883
-50.0,50,126.853503
-50.0,50,129.474442
-50.0,50,132.037549
-50.0,50,134.574691
-50.0,50,137.121648
-50.0,50,137.557922
0.0,50,137.989228
-50.0,50,138.389765
-50.0,50,138.792637
0.0,50,139.199614
-50.0,50,139.595241
-50.0,50,140.019328
-50.0,50,140.415014
-50.0,50,140.831398
-50.0,50,141.322725
-50.0,50,143.894311
-50.0,50,146.427799
-50.0,50,149.032489
-50.0,50,151.557074
-50.0,50,154.101987
-50.0,50,156.644931
-50.0,50,159.235679
-50.0,50,161.7965
-50.0,50,164.375413
-50.0,50,166.961495
-50.0,50,169.501341
-50.0,50,172.063084
-50.0,50,174.638831
-50.0,50,177.16263
0.0,50,179.773917
-50.0,50,182.30968
-50.0,50,184.888662
-50.0,50,187.455302
-50.0,50,189.999789
-50.0,50,192.612957
-50.0,50,195.158425
-50.0,50,197.69699
-50.0,50,200.26493
-50.0,50,202.831975
-50.0,50,205.404002
-50.0,50,207.97493
-50.0,50,210.546393
-50.0,50,213.13674
-50.0,50,215.675782
-50.0,50,218.248712
-50.0,50,220.836198
-50.0,50,223.404381
-50.0,50,225.948
-50.0,50,228.516762
-50.0,50,231.077806
-50.0,50,233.646846
-50.0,50,236.177282
-50.0,50,238.740009
-50.0,50,241.26372
-50.0,50,243.809744
-50.0,50,246.410012
-50.0,50,248.952097
-50.0,50,251.548039
-50.0,50,254.112133
-50.0,50,256.689956
-50.0,50,259.203637
-50.0,50,261.81118
-50.0,50,264.344088
-50.0,50,266.918413
-50.0,50,269.477013
-50.0,50,269.8867
-50.0,50,270.298203
-50.0,50,270.694131
-19.0,50,271.153401
-50.0,50,271.551979
-50.0,50,271.982128
-50.0,50,272.404209
-50.0,50,272.815623
-50.0,50,273.196151
-50.0,50,273.718688
-50.0,50,276.250805
-50.0,50,278.793779
-50.0,50,281.393517
-50.0,50,283.985139
-50.0,50,286.536656
-50.0,50,289.100912
-50.0,50,291.653799
-50.0,50,294.214493
-50.0,50,296.748512
-50.0,50,299.326581
-50.0,50,301.861946
-50.0,50,304.419718
-50.0,50,307.002785
0.0,50,309.560134
-26.0,50,312.113357
-50.0,50,314.649866
-50.0,50,317.222648
-50.0,50,319.783807
-50.0,50,322.368496
-50.0,50,324.893327
-50.0,50,327.482191
-50.0,50,330.018762
-50.0,50,332.570508
0.0,50,335.155421
-50.0,50,337.688007
-50.0,50,340.322031
-50.0,50,342.871771
-50.0,50,345.471624
-50.0,50,348.055145
-50.0,50,350.650883
-50.0,50,353.263369
-50.0,50,355.843261
-50.0,50,358.42677
-50.0,50,361.010829
-50.0,50,363.582775
-50.0,50,366.144593
-50.0,50,368.720927
-50.0,50,371.321967
-50.0,50,373.895443
-50.0,50,376.43032
-50.0,50,379.069908
-50.0,50,381.619641
-50.0,50,384.162057
-50.0,50,386.736697
-50.0,50,389.317962
-50.0,50,391.902414
-50.0,50,394.440844
-50.0,50,397.010031
-50.0,50,399.591293
-50.0,50,402.130928
-50.0,50,402.536339
-50.0,50,402.931243
0.0,50,403.352527
-50.0,50,403.766584
-50.0,50,404.21767
-50.0,50,404.641722
-50.0,50,405.05361
0.0,50,405.446781
-50.0,50,405.843686
-50.0,50,406.331015
-50.0,50,408.864365
-50.0,50,411.464204
-50.0,50,414.009285
-50.0,50,416.556165
-50.0,50,419.103878
-50.0,50,421.657437
-50.0,50,424.253262
-50.0,50,426.773621
-46.0,50,429.395837
-50.0,50,431.934077
-50.0,50,434.503074
-50.0,50,437.104994
-50.0,50,439.662644
