# {"t_start": 1582283641.642496, "env_id": "FetchPickAndPlaceAir-v1"} 
r,l,t
-50.0,50,8.468564
-50.0,50,11.329834
-50.0,50,13.965355
-50.0,50,16.620674
-50.0,50,19.223749
-50.0,50,21.883681
-50.0,50,24.503755
-50.0,50,27.161537
-50.0,50,29.802818
-50.0,50,32.409314
-50.0,50,34.986013
-50.0,50,37.603386
-50.0,50,40.233302
-50.0,50,42.870689
-50.0,50,45.516953
-50.0,50,48.136765
-50.0,50,50.79194
-50.0,50,53.408448
-50.0,50,56.032522
-50.0,50,58.66494
-50.0,50,61.259241
-50.0,50,63.866678
-50.0,50,66.482944
-50.0,50,69.194717
-50.0,50,71.819311
-50.0,50,74.406625
-50.0,50,77.054075
-50.0,50,79.6898
-50.0,50,82.311294
-50.0,50,84.908269
-50.0,50,87.490007
-50.0,50,90.112864
-50.0,50,92.75664
-50.0,50,95.370405
-50.0,50,97.986388
-50.0,50,100.630556
-50.0,50,103.289102
-50.0,50,105.859527
-50.0,50,108.471645
-50.0,50,111.130925
-50.0,50,113.732649
-50.0,50,116.340898
-50.0,50,118.965092
-50.0,50,121.596854
-50.0,50,124.174758
-50.0,50,126.852061
-50.0,50,129.478363
-50.0,50,132.111805
-50.0,50,134.714967
-50.0,50,137.365271
-50.0,50,140.009409
-50.0,50,140.415509
-50.0,50,140.839266
-50.0,50,141.272377
-50.0,50,141.732972
-50.0,50,142.135137
-50.0,50,142.543363
-50.0,50,142.973064
-50.0,50,143.41276
-50.0,50,143.813007
-50.0,50,144.341819
-50.0,50,147.020208
-50.0,50,149.658641
-50.0,50,152.291907
-50.0,50,154.902243
-50.0,50,157.544196
-50.0,50,160.156084
-50.0,50,162.783777
-50.0,50,165.37013
-50.0,50,168.012084
-50.0,50,170.625956
-50.0,50,173.272772
-50.0,50,175.933167
-50.0,50,178.532839
-50.0,50,181.18633
-50.0,50,183.786851
-50.0,50,186.48118
-50.0,50,189.115833
-50.0,50,191.741312
-50.0,50,194.358763
-50.0,50,196.937748
-50.0,50,199.575556
-50.0,50,202.20367
-50.0,50,204.828066
-50.0,50,207.461578
-50.0,50,210.083577
-50.0,50,212.701428
-50.0,50,215.316844
-50.0,50,217.871578
-50.0,50,220.511666
-50.0,50,223.133318
-50.0,50,225.762585
-50.0,50,228.408106
-50.0,50,231.004045
-50.0,50,233.650887
-50.0,50,236.261915
-50.0,50,238.863085
-50.0,50,241.526034
-50.0,50,244.120192
-50.0,50,246.757812
-50.0,50,249.377654
-50.0,50,251.998546
-50.0,50,254.682204
-50.0,50,257.274815
-50.0,50,259.93733
-50.0,50,262.521291
-50.0,50,265.165977
-50.0,50,267.7819
-50.0,50,270.435083
-50.0,50,273.048076
-50.0,50,275.643095
-50.0,50,276.05176
-50.0,50,276.463114
-50.0,50,276.871161
-50.0,50,277.28586
-50.0,50,277.725525
-50.0,50,278.142432
-50.0,50,278.543506
-50.0,50,278.948227
-50.0,50,279.362648
-50.0,50,279.898017
-50.0,50,282.554563
-50.0,50,285.214644
-50.0,50,287.816971
-50.0,50,290.464982
-50.0,50,293.072661
-50.0,50,295.689775
-50.0,50,298.343247
-50.0,50,300.950411
-50.0,50,303.593824
-50.0,50,306.223223
-50.0,50,308.864517
-50.0,50,311.512308
-50.0,50,314.102763
-50.0,50,316.776854
-50.0,50,319.407331
-50.0,50,322.016332
-50.0,50,324.666127
-50.0,50,327.265218
-50.0,50,329.939286
-50.0,50,332.561408
-50.0,50,335.184869
-50.0,50,337.782393
-50.0,50,340.426533
-50.0,50,343.05929
-50.0,50,345.651392
-50.0,50,348.290524
-50.0,50,350.939921
-50.0,50,353.550534
-50.0,50,356.194934
-50.0,50,358.809181
-50.0,50,361.463531
-50.0,50,364.017408
-50.0,50,366.62887
-50.0,50,369.230388
-50.0,50,371.860265
-50.0,50,374.51502
-50.0,50,377.124586
-50.0,50,379.709489
-50.0,50,382.472344
-50.0,50,385.290294
-50.0,50,388.052997
-50.0,50,390.733411
-50.0,50,393.636595
-50.0,50,396.448126
-50.0,50,399.122775
