# {"env_id": "FetchPickAndPlaceAir-v1", "t_start": 1582283644.7636633} 
r,l,t
-50.0,50,5.36754
-50.0,50,8.191763
-50.0,50,10.844154
-50.0,50,13.534483
-50.0,50,16.125989
-50.0,50,18.74676
-50.0,50,21.363909
-50.0,50,24.001083
-50.0,50,26.650054
-50.0,50,29.275713
-50.0,50,31.857771
-50.0,50,34.504567
-50.0,50,37.134644
-50.0,50,39.753821
-50.0,50,42.397181
-50.0,50,45.043021
-50.0,50,47.651711
-50.0,50,50.323376
-50.0,50,52.922057
-50.0,50,55.540075
-50.0,50,58.151779
-50.0,50,60.768949
-50.0,50,63.377048
-50.0,50,66.03533
-50.0,50,68.676719
-50.0,50,71.264841
-50.0,50,73.927102
-50.0,50,76.552291
-50.0,50,79.182552
-50.0,50,81.790107
-50.0,50,84.375928
-50.0,50,86.997837
-50.0,50,89.630931
-50.0,50,92.236166
-50.0,50,94.852969
-50.0,50,97.515649
-50.0,50,100.132876
-50.0,50,102.743735
-50.0,50,105.355445
-50.0,50,107.984309
-50.0,50,110.618495
-50.0,50,113.248954
-50.0,50,115.823403
-50.0,50,118.477041
-50.0,50,121.064265
-50.0,50,123.734469
-50.0,50,126.391878
-50.0,50,128.984346
-50.0,50,131.602175
-50.0,50,134.230148
-50.0,50,136.926995
-50.0,50,137.351861
-50.0,50,137.763036
-50.0,50,138.170031
-50.0,50,138.577425
-50.0,50,138.967348
-50.0,50,139.383174
-50.0,50,139.787559
-50.0,50,140.195503
-50.0,50,140.624772
-50.0,50,141.281551
-50.0,50,143.877162
-50.0,50,146.510179
-50.0,50,149.167127
-50.0,50,151.756872
-50.0,50,154.417396
-50.0,50,157.03893
-50.0,50,159.637249
-50.0,50,162.270089
-50.0,50,164.866311
-50.0,50,167.497576
-50.0,50,170.178752
-50.0,50,172.816379
-50.0,50,175.439869
-50.0,50,178.057632
-50.0,50,180.698883
-50.0,50,183.346169
-50.0,50,185.99685
-50.0,50,188.610049
-50.0,50,191.232927
-50.0,50,193.798796
-50.0,50,196.4797
-50.0,50,199.112491
-50.0,50,201.682367
-50.0,50,204.323813
-50.0,50,206.973879
-50.0,50,209.595439
-50.0,50,212.196928
-50.0,50,214.822183
-50.0,50,217.40529
-50.0,50,220.011715
-50.0,50,222.6572
-50.0,50,225.274843
-50.0,50,227.888389
-50.0,50,230.520757
-50.0,50,233.145626
-50.0,50,235.784734
-50.0,50,238.374617
-50.0,50,240.989497
-50.0,50,243.645487
-50.0,50,246.284496
-50.0,50,248.900635
-50.0,50,251.537415
-50.0,50,254.179013
-50.0,50,256.814942
-50.0,50,259.425099
-50.0,50,262.048659
-50.0,50,264.674806
-50.0,50,267.274539
-50.0,50,269.927435
-50.0,50,272.519933
-50.0,50,272.948816
-50.0,50,273.378909
-50.0,50,273.798296
-50.0,50,274.213607
-50.0,50,274.626449
-50.0,50,275.031257
-50.0,50,275.425705
-50.0,50,275.838977
-50.0,50,276.245161
-50.0,50,276.804343
-50.0,50,279.456792
-50.0,50,282.101699
-50.0,50,284.7093
-50.0,50,287.326661
-50.0,50,289.937353
-50.0,50,292.607825
-50.0,50,295.216027
-50.0,50,297.83253
-50.0,50,300.461351
-50.0,50,303.085379
-50.0,50,305.744792
-50.0,50,308.355553
-50.0,50,310.983902
-50.0,50,313.659935
-50.0,50,316.25504
-50.0,50,318.935398
-50.0,50,321.535614
-50.0,50,324.187088
-50.0,50,326.830338
-50.0,50,329.403238
-50.0,50,332.036752
-50.0,50,334.671976
-50.0,50,337.290844
-50.0,50,339.960212
-50.0,50,342.559231
-50.0,50,345.208945
-50.0,50,347.830208
-50.0,50,350.426226
-50.0,50,353.071457
-50.0,50,355.683609
-50.0,50,358.317702
-50.0,50,360.941377
-50.0,50,363.512575
-50.0,50,366.118661
-50.0,50,368.788605
-50.0,50,371.406422
-50.0,50,374.004161
-50.0,50,376.561675
-50.0,50,379.37445
-50.0,50,382.133456
-50.0,50,384.905806
-50.0,50,387.628522
-50.0,50,390.456005
-50.0,50,393.319227
-50.0,50,396.042773
-50.0,50,398.733291
-50.0,50,401.461437
-50.0,50,404.098371
-50.0,50,406.729352
-50.0,50,409.404676
-50.0,50,409.82706
-50.0,50,410.228607
-50.0,50,410.674894
-50.0,50,411.092934
-50.0,50,411.514968
-50.0,50,411.896871
-50.0,50,412.326332
-50.0,50,412.754939
-50.0,50,413.166883
-50.0,50,413.665785
-50.0,50,416.343018
-50.0,50,418.94507
-50.0,50,421.562962
-50.0,50,424.183373
-50.0,50,426.794376
-50.0,50,429.437194
-50.0,50,432.037071
-50.0,50,434.651865
-50.0,50,437.242544
-50.0,50,439.835247
-50.0,50,442.450235
-50.0,50,445.054558
-50.0,50,447.712197
-50.0,50,450.303218
-50.0,50,452.927421
-50.0,50,455.534899
-50.0,50,458.122703
-50.0,50,460.755807
-50.0,50,463.384544
-50.0,50,465.975861
-50.0,50,468.608289
-50.0,50,471.222097
-50.0,50,473.83841
-50.0,50,476.428163
-50.0,50,479.047156
-50.0,50,481.715468
-50.0,50,484.899892
-50.0,50,488.599528
-50.0,50,491.801693
-50.0,50,494.539075
-50.0,50,497.295563
-50.0,50,500.049774
-50.0,50,502.725981
-50.0,50,505.429857
-50.0,50,508.095328
-50.0,50,510.754819
-50.0,50,513.503257
-50.0,50,516.219143
-50.0,50,519.083972
-50.0,50,521.729812
-50.0,50,524.536974
-50.0,50,527.196902
-50.0,50,529.847182
-50.0,50,532.50562
-50.0,50,535.263473
-50.0,50,537.909161
-50.0,50,540.559374
-50.0,50,543.203317
-50.0,50,545.876083
-50.0,50,548.586365
-50.0,50,549.025457
-50.0,50,549.467436
-50.0,50,549.980776
-50.0,50,550.42885
-50.0,50,550.842956
-50.0,50,551.269702
-50.0,50,551.678884
-50.0,50,552.116826
-50.0,50,552.530662
-50.0,50,553.196968
-50.0,50,555.799231
-50.0,50,558.487983
-50.0,50,561.094089
-50.0,50,563.669134
-50.0,50,566.323197
-50.0,50,569.017157
-50.0,50,571.61811
-50.0,50,574.282364
-50.0,50,576.904176
-50.0,50,579.511223
-50.0,50,582.139329
-50.0,50,584.762148
-50.0,50,587.380806
-50.0,50,590.011274
-50.0,50,592.609004
-50.0,50,595.268039
-50.0,50,597.870588
-50.0,50,600.493265
-50.0,50,603.117042
-50.0,50,605.729905
-50.0,50,608.354201
-50.0,50,610.96526
-50.0,50,613.601158
-50.0,50,616.231295
-50.0,50,618.872926
-50.0,50,621.468378
-50.0,50,624.074419
-50.0,50,626.721072
-50.0,50,629.337193
-50.0,50,631.938059
-50.0,50,634.583032
-50.0,50,637.25075
-50.0,50,639.857309
-50.0,50,642.506382
-50.0,50,645.106591
-50.0,50,647.804901
-50.0,50,650.417967
-50.0,50,653.022736
-50.0,50,655.628596
-50.0,50,658.269293
-50.0,50,660.872988
-50.0,50,663.476315
-50.0,50,666.131576
-50.0,50,668.75489
-50.0,50,671.3451
-50.0,50,674.005931
-50.0,50,676.679504
-50.0,50,679.253935
-50.0,50,681.889297
-50.0,50,684.477184
-50.0,50,684.890528
-50.0,50,685.302078
-50.0,50,685.690169
-50.0,50,686.076666
-50.0,50,686.493145
-50.0,50,686.873336
-50.0,50,687.308873
-50.0,50,687.726122
-50.0,50,688.140644
-50.0,50,688.769913
-50.0,50,691.403928
-50.0,50,694.032516
-50.0,50,696.637963
-50.0,50,699.268197
-50.0,50,701.863153
-50.0,50,704.462843
-50.0,50,707.112341
-50.0,50,709.768691
-50.0,50,712.379688
-50.0,50,714.965524
-50.0,50,717.62371
-50.0,50,720.276855
-50.0,50,722.934166
-50.0,50,725.54375
-50.0,50,728.164309
-50.0,50,730.780022
-50.0,50,733.405497
-50.0,50,736.085242
-50.0,50,738.677238
-50.0,50,741.333613
-50.0,50,743.94516
-50.0,50,746.599571
-50.0,50,749.200837
-50.0,50,751.848562
-50.0,50,754.460017
-50.0,50,757.119365
-50.0,50,759.739915
-50.0,50,762.314086
-50.0,50,764.951924
-50.0,50,767.603805
-50.0,50,770.252775
-50.0,50,772.910094
-50.0,50,775.542662
-50.0,50,778.167512
-50.0,50,780.804604
-50.0,50,783.461521
-50.0,50,786.111161
-50.0,50,788.788446
-50.0,50,791.434484
-50.0,50,794.060111
-50.0,50,796.661339
-50.0,50,799.288914
-50.0,50,801.924309
-50.0,50,804.575094
-50.0,50,807.231127
-50.0,50,809.845794
-50.0,50,812.474535
-50.0,50,815.117718
-50.0,50,817.76247
-50.0,50,820.393451
-50.0,50,820.789764
-50.0,50,821.215875
-50.0,50,821.607969
-50.0,50,822.043562
-50.0,50,822.442235
-50.0,50,822.866478
-50.0,50,823.288325
-50.0,50,823.712258
-50.0,50,824.157515
-50.0,50,824.643865
-50.0,50,827.278448
-50.0,50,829.923918
-50.0,50,832.58124
-50.0,50,835.206328
-50.0,50,837.849694
-50.0,50,840.589558
-50.0,50,843.248933
-50.0,50,845.907845
-50.0,50,848.639338
-50.0,50,851.298169
-50.0,50,853.984003
-50.0,50,856.744391
-50.0,50,859.385775
-50.0,50,862.127095
-50.0,50,864.843623
-50.0,50,867.514626
-50.0,50,870.275005
-50.0,50,872.993961
-50.0,50,875.672013
-50.0,50,878.354912
-50.0,50,880.999223
-50.0,50,883.654868
-50.0,50,886.318999
-50.0,50,888.943821
-50.0,50,891.600468
-50.0,50,894.239741
-50.0,50,896.851897
-50.0,50,899.51615
-50.0,50,902.148058
-50.0,50,904.904479
-50.0,50,907.631602
-50.0,50,910.284124
-50.0,50,912.930213
-50.0,50,915.610715
-50.0,50,918.212949
-50.0,50,920.909907
-50.0,50,923.498122
-50.0,50,926.162378
-50.0,50,928.851666
-50.0,50,931.498422
-50.0,50,934.158171
-50.0,50,936.774827
-50.0,50,939.36542
-50.0,50,942.023376
-50.0,50,944.666
-50.0,50,947.303366
-50.0,50,949.976278
-50.0,50,952.596981
-50.0,50,955.245099
-50.0,50,957.891098
-50.0,50,958.288783
-50.0,50,958.705948
-50.0,50,959.132042
-50.0,50,959.563918
-50.0,50,959.977962
-50.0,50,960.380832
-50.0,50,960.771634
-50.0,50,961.206758
-50.0,50,961.624583
-50.0,50,962.172712
-50.0,50,964.832293
-50.0,50,967.45417
-50.0,50,970.112662
-50.0,50,972.803828
-50.0,50,975.400149
-50.0,50,978.023394
-50.0,50,980.719498
-50.0,50,983.329641
-50.0,50,985.977859
-50.0,50,988.614529
-50.0,50,991.249249
-50.0,50,993.886518
-50.0,50,996.562378
-50.0,50,999.208005
-50.0,50,1001.855964
-50.0,50,1004.498651
-50.0,50,1007.153357
-50.0,50,1009.855777
-50.0,50,1012.519599
-50.0,50,1015.177677
-50.0,50,1017.801116
-50.0,50,1020.447534
-50.0,50,1023.093185
-50.0,50,1025.752536
-50.0,50,1028.400741
-50.0,50,1031.060927
-50.0,50,1033.715325
-50.0,50,1036.524599
-50.0,50,1039.231879
-50.0,50,1041.996484
-50.0,50,1044.74335
-50.0,50,1047.427531
-50.0,50,1050.257147
-50.0,50,1053.01234
-50.0,50,1056.661715
-50.0,50,1059.996766
-50.0,50,1063.443854
-50.0,50,1067.095089
-50.0,50,1070.186582
-50.0,50,1073.248156
-50.0,50,1076.497808
-50.0,50,1079.490049
-50.0,50,1082.709518
-50.0,50,1086.293487
-50.0,50,1090.074051
-50.0,50,1093.499502
