epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.86183643,0.11179843,0.20507929,0.04746063,20.0,-3.1258347,0.0,100.0,0.0
1,0.86047775,0.111441694,0.20443428,0.046589397,40.0,-5.303426,0.0,200.0,0.0
2,0.86027515,0.11121211,0.2041932,0.04632202,60.0,-7.3356614,0.0,300.0,0.0
3,0.8598959,0.11150304,0.20405552,0.04701343,80.0,-9.283644,0.0,400.0,0.0
4,0.86007375,0.11167637,0.20408475,0.046776988,100.0,-11.248447,0.0,500.0,0.0
5,0.86026746,0.11156011,0.2041758,0.04651915,120.0,-13.136429,0.0,600.0,0.0
6,0.86042994,0.11153565,0.20418951,0.046271443,140.0,-14.825769,0.0,700.0,0.0
7,0.8602189,0.11141141,0.20412043,0.046209127,160.0,-16.501795,0.0,800.0,0.0
8,0.8599966,0.11143422,0.20404017,0.04628231,180.0,-18.112637,0.0,900.0,0.0
9,0.85988444,0.11142448,0.20399204,0.046330508,200.0,-19.676815,0.0,1000.0,0.0
10,0.8598849,0.11146227,0.20400736,0.046232644,220.0,-21.138723,0.0,1100.0,0.0
11,0.8599299,0.11159776,0.20399876,0.046230134,240.0,-22.541613,0.0,1200.0,0.0
12,0.859862,0.11171315,0.20398012,0.046548672,260.0,-23.808765,0.0,1300.0,0.0
13,0.8597514,0.11175829,0.20395061,0.046797056,280.0,-25.123615,0.0,1400.0,0.0
14,0.85979116,0.11182841,0.2039555,0.047032565,300.0,-26.297512,0.0,1500.0,0.0
15,0.85984534,0.111935005,0.20397937,0.04719098,320.0,-27.364634,0.0,1600.0,0.0
16,0.85981864,0.11198596,0.203958,0.04721408,340.0,-28.497437,0.0,1700.0,0.0
17,0.85973245,0.11204579,0.2039421,0.04750291,360.0,-29.42893,0.0,1800.0,0.0
18,0.8597495,0.112075865,0.20395489,0.047608458,380.0,-30.419956,0.0,1900.0,0.0
19,0.85982543,0.1121243,0.2039744,0.047933713,400.0,-31.32576,0.0,2000.0,0.0
20,0.8597765,0.11217358,0.20395283,0.047994036,420.0,-32.202614,0.0,2100.0,0.0
21,0.8597391,0.11216767,0.20394869,0.04805631,440.0,-33.08622,0.0,2200.0,0.0
22,0.85977334,0.11219672,0.20394449,0.04825514,460.0,-33.965263,0.0,2300.0,0.0
23,0.85980684,0.112169765,0.20395759,0.048213493,480.0,-34.665367,0.0,2400.0,0.0
24,0.8597665,0.11215687,0.20393789,0.048239425,500.0,-35.354507,0.0,2500.0,0.0
25,0.8597186,0.112160765,0.20391396,0.04839485,520.0,-36.123478,0.0,2600.0,0.0
26,0.8597191,0.11214344,0.2039073,0.04825344,540.0,-36.63125,0.0,2700.0,0.0
27,0.8597414,0.11215391,0.2039158,0.048299953,560.0,-37.413445,0.0,2800.0,0.0
28,0.85980576,0.11212444,0.20393391,0.048263475,580.0,-37.94861,0.0,2900.0,0.0
29,0.8598323,0.112128675,0.20394471,0.048260257,600.0,-38.60177,0.0,3000.0,0.0
