# {"t_start": 1580822450.9015536, "env_id": "FetchPickAndPlaceball-v1"} 
r,l,t
-50.0,50,6.177305
0.0,50,9.00749
-50.0,50,11.504284
-50.0,50,14.043796
-50.0,50,16.55718
-50.0,50,19.051184
-50.0,50,21.581635
-50.0,50,24.064352
-50.0,50,26.622507
-50.0,50,29.155533
-50.0,50,31.663455
-50.0,50,34.182816
-50.0,50,36.722929
-50.0,50,39.282394
-50.0,50,41.766636
-50.0,50,44.306839
-50.0,50,46.796767
-50.0,50,49.38926
-50.0,50,51.906465
-50.0,50,54.486556
-50.0,50,57.052084
-50.0,50,59.606555
-50.0,50,62.124311
-50.0,50,64.67122
-50.0,50,67.171603
-50.0,50,69.735184
-50.0,50,72.239501
0.0,50,74.763095
-50.0,50,77.306248
-50.0,50,79.842017
-50.0,50,82.367452
-50.0,50,84.881043
-50.0,50,87.421607
-50.0,50,89.955912
-50.0,50,92.480251
-50.0,50,94.992192
0.0,50,97.514592
0.0,50,100.029104
-50.0,50,102.6054
-50.0,50,105.130153
-50.0,50,107.698968
-50.0,50,110.243464
-50.0,50,112.825291
-50.0,50,115.360518
-50.0,50,117.883506
-50.0,50,120.382843
-50.0,50,122.914144
-50.0,50,125.429496
-50.0,50,127.984033
-50.0,50,130.540877
-50.0,50,133.057386
0.0,50,133.442154
-50.0,50,133.831585
-50.0,50,134.228854
-50.0,50,134.631111
-50.0,50,135.007971
-50.0,50,135.395006
-50.0,50,135.778366
-50.0,50,136.151898
-50.0,50,136.513015
-50.0,50,137.076681
-50.0,50,139.622078
-50.0,50,142.129136
-50.0,50,144.69967
-50.0,50,147.22929
-50.0,50,149.721073
-50.0,50,152.288838
-50.0,50,154.809099
-50.0,50,157.350991
-50.0,50,159.916418
-50.0,50,162.477089
-50.0,50,165.022099
0.0,50,167.555083
-50.0,50,170.084273
-50.0,50,172.600873
-50.0,50,175.175225
-50.0,50,177.734815
-50.0,50,180.251106
-50.0,50,182.815849
-50.0,50,185.340735
-50.0,50,187.930917
-50.0,50,190.474572
-50.0,50,193.018546
-50.0,50,195.563295
-50.0,50,198.065057
-50.0,50,200.667239
-50.0,50,203.15918
-50.0,50,205.689931
-50.0,50,208.251451
-50.0,50,210.805379
-50.0,50,213.323335
-50.0,50,215.890997
-50.0,50,218.438137
-50.0,50,220.986657
-50.0,50,223.509542
-50.0,50,226.052865
-50.0,50,228.594316
-50.0,50,231.164109
-50.0,50,233.666245
-50.0,50,236.234661
-50.0,50,238.767592
-50.0,50,241.295978
-50.0,50,243.850363
-50.0,50,246.375741
-50.0,50,248.9696
-50.0,50,251.504373
-50.0,50,254.083658
-50.0,50,256.585544
-50.0,50,259.143259
-50.0,50,261.658283
-50.0,50,264.223435
0.0,50,264.604071
-50.0,50,264.976286
-50.0,50,265.361009
-50.0,50,265.729645
-50.0,50,266.110801
-50.0,50,266.528723
-50.0,50,266.915569
-50.0,50,267.299811
-50.0,50,267.656022
-50.0,50,268.266978
-50.0,50,270.82125
-50.0,50,273.370538
-50.0,50,275.940014
-50.0,50,278.466797
-50.0,50,281.029103
-50.0,50,283.56109
-50.0,50,286.089361
-50.0,50,288.641522
-50.0,50,291.206866
-50.0,50,293.753683
-50.0,50,296.281651
-50.0,50,298.861455
-50.0,50,301.423414
-50.0,50,303.97216
-50.0,50,306.492564
-50.0,50,309.040438
-50.0,50,311.584903
-50.0,50,314.120186
-50.0,50,316.697365
-50.0,50,319.2396
-50.0,50,321.747338
-50.0,50,324.302239
-50.0,50,326.855248
-50.0,50,329.367147
-50.0,50,331.934529
-50.0,50,334.466036
-50.0,50,337.027109
-50.0,50,339.593541
-50.0,50,342.120027
0.0,50,344.687275
-50.0,50,347.263412
-50.0,50,349.783396
-50.0,50,352.359035
0.0,50,354.893579
-50.0,50,357.483161
-50.0,50,359.999655
-50.0,50,362.53756
-50.0,50,365.148772
-50.0,50,367.675916
-50.0,50,370.254702
-50.0,50,372.802246
-50.0,50,375.353988
-50.0,50,377.95531
0.0,50,380.542513
-50.0,50,383.059721
-50.0,50,385.599889
-50.0,50,388.175642
-50.0,50,390.738878
-50.0,50,393.256407
-50.0,50,395.817217
-50.0,50,396.197542
-50.0,50,396.585728
-50.0,50,396.969812
0.0,50,397.333982
-50.0,50,397.723481
-50.0,50,398.108614
-50.0,50,398.497648
-50.0,50,398.920127
-50.0,50,399.294826
-50.0,50,399.795029
-50.0,50,402.327101
-50.0,50,404.936207
-50.0,50,407.41594
-50.0,50,409.996495
-50.0,50,412.558132
-50.0,50,415.11939
-50.0,50,417.656754
-50.0,50,420.224946
-50.0,50,422.785915
-50.0,50,425.33255
-50.0,50,427.883723
-50.0,50,430.45664
-50.0,50,432.982272
-50.0,50,435.519048
-50.0,50,438.03019
-50.0,50,440.611162
-50.0,50,443.168062
-50.0,50,445.727836
-50.0,50,448.283347
-50.0,50,450.83948
-50.0,50,453.38505
-50.0,50,455.913635
-50.0,50,458.525533
-50.0,50,461.063258
-50.0,50,463.602368
-50.0,50,466.195611
-50.0,50,468.753919
-50.0,50,471.300681
-50.0,50,473.855356
0.0,50,476.357107
-50.0,50,478.942116
-50.0,50,481.484718
-50.0,50,484.073986
-50.0,50,486.595906
-50.0,50,489.172612
-50.0,50,491.732907
-50.0,50,494.317087
-50.0,50,496.859785
-50.0,50,499.408147
-50.0,50,501.935287
-50.0,50,504.458768
-38.0,50,507.044679
-50.0,50,509.564527
-50.0,50,512.107865
-50.0,50,514.667113
-50.0,50,517.170851
-50.0,50,519.724998
-50.0,50,522.234619
-50.0,50,524.796759
-50.0,50,527.338119
-50.0,50,527.741333
-50.0,50,528.143985
-50.0,50,528.503067
-50.0,50,528.894743
-50.0,50,529.279109
-50.0,50,529.652845
-50.0,50,530.035827
-50.0,50,530.42836
-50.0,50,530.86226
-50.0,50,531.365222
-50.0,50,533.920439
-50.0,50,536.477262
-50.0,50,539.013084
-50.0,50,541.560396
-50.0,50,544.107927
-50.0,50,546.689079
-50.0,50,549.203187
-50.0,50,551.762754
-50.0,50,554.338915
-50.0,50,556.867509
-50.0,50,559.383325
-50.0,50,561.962443
-50.0,50,564.49347
-50.0,50,567.036237
-50.0,50,569.564296
-50.0,50,572.128952
-50.0,50,574.672814
-50.0,50,577.182928
-50.0,50,579.746616
-50.0,50,582.277891
-50.0,50,584.827902
-50.0,50,587.407214
-50.0,50,589.959672
-50.0,50,592.486161
-50.0,50,595.034017
-50.0,50,597.584726
-50.0,50,600.135002
-50.0,50,602.687423
-50.0,50,605.236356
-50.0,50,607.789208
-50.0,50,610.332908
-50.0,50,612.855266
-50.0,50,615.453579
-50.0,50,618.036121
-50.0,50,620.559814
-50.0,50,623.079251
-50.0,50,625.630325
-50.0,50,628.167312
-50.0,50,630.747598
-50.0,50,633.266247
-50.0,50,635.78713
-50.0,50,638.312573
-50.0,50,640.898699
-50.0,50,643.440184
-50.0,50,646.027215
-50.0,50,648.559515
-50.0,50,651.099158
-50.0,50,653.650428
-50.0,50,656.196828
-50.0,50,658.776162
-50.0,50,659.15469
-50.0,50,659.550653
-50.0,50,659.919803
-50.0,50,660.311208
-50.0,50,660.710945
-50.0,50,661.104691
-50.0,50,661.520219
-50.0,50,661.910904
-50.0,50,662.306799
-50.0,50,662.766338
-50.0,50,665.301405
-50.0,50,667.861611
-50.0,50,670.427991
-50.0,50,672.944846
0.0,50,675.498948
-50.0,50,678.067536
-50.0,50,680.625677
-50.0,50,683.16693
-50.0,50,685.713922
-50.0,50,688.257204
-50.0,50,690.829287
-50.0,50,693.384132
-50.0,50,695.941638
-50.0,50,698.442936
-50.0,50,701.020116
-18.0,50,703.638087
-50.0,50,706.278256
-50.0,50,708.90653
-50.0,50,711.485246
-50.0,50,714.051378
-50.0,50,716.548031
-50.0,50,719.054557
-50.0,50,721.661503
-50.0,50,724.20425
-50.0,50,726.733452
-50.0,50,729.309721
-50.0,50,731.862596
-50.0,50,734.413876
-50.0,50,736.948568
-50.0,50,739.556195
-50.0,50,742.115088
-50.0,50,744.759421
-50.0,50,747.379951
-50.0,50,750.006236
-49.0,50,752.652356
-50.0,50,755.253271
-50.0,50,757.780884
-50.0,50,760.352568
-50.0,50,762.921048
-50.0,50,765.474424
-50.0,50,767.996104
-50.0,50,770.621366
-50.0,50,773.325089
-50.0,50,775.94619
-50.0,50,778.558136
-50.0,50,781.109383
-50.0,50,783.69286
-50.0,50,786.29249
-50.0,50,789.040759
-50.0,50,791.733333
-50.0,50,792.197203
-50.0,50,792.617912
-50.0,50,792.994223
-50.0,50,793.403399
-50.0,50,793.836456
-50.0,50,794.215221
-50.0,50,794.606576
-50.0,50,795.023087
-50.0,50,795.450749
-50.0,50,795.909726
-50.0,50,798.559533
-50.0,50,801.259227
-50.0,50,803.841301
-50.0,50,806.423512
-50.0,50,808.974335
-50.0,50,811.461036
-50.0,50,814.002597
-50.0,50,816.550968
-50.0,50,819.093761
-50.0,50,821.637663
-50.0,50,824.165307
-50.0,50,826.719218
-31.0,50,829.308769
-50.0,50,831.823621
-50.0,50,834.398255
-50.0,50,836.942253
-50.0,50,839.459415
-50.0,50,842.018097
-50.0,50,844.553638
-50.0,50,847.0762
-50.0,50,849.616036
-50.0,50,852.203871
-50.0,50,854.726316
-50.0,50,857.279343
-50.0,50,859.848867
-50.0,50,862.339203
-50.0,50,864.910316
-50.0,50,867.675077
0.0,50,870.37376
-50.0,50,873.056256
0.0,50,875.657238
-50.0,50,878.322523
-50.0,50,880.866188
-48.0,50,883.523585
-50.0,50,886.13421
-50.0,50,888.71716
-50.0,50,891.449967
-50.0,50,893.995989
-50.0,50,896.502354
-50.0,50,899.057575
-50.0,50,901.592612
-50.0,50,904.15577
-50.0,50,906.723521
-50.0,50,909.272042
-50.0,50,911.842504
-50.0,50,914.385293
-50.0,50,916.919495
-50.0,50,919.501466
-50.0,50,922.000801
-50.0,50,924.523971
-50.0,50,924.92263
-50.0,50,925.34247
-50.0,50,925.72126
-50.0,50,926.149435
-50.0,50,926.530946
-50.0,50,926.918429
-50.0,50,927.306779
-50.0,50,927.694277
-50.0,50,928.097281
-50.0,50,928.588658
0.0,50,931.157822
-50.0,50,933.749947
-50.0,50,936.518224
-50.0,50,939.144547
-9.0,50,941.697759
-50.0,50,944.335227
-50.0,50,946.953059
-50.0,50,949.752302
-50.0,50,952.35795
-50.0,50,954.957878
-50.0,50,957.632477
-50.0,50,960.265363
-50.0,50,962.943614
-50.0,50,965.527823
-50.0,50,968.224483
-50.0,50,970.861302
-50.0,50,973.457329
-41.0,50,975.997269
-50.0,50,978.608048
-50.0,50,981.173214
-50.0,50,983.756386
-50.0,50,986.290513
-50.0,50,988.870578
-50.0,50,991.41379
-50.0,50,994.030657
-50.0,50,996.613817
-50.0,50,999.151422
-50.0,50,1001.722734
-50.0,50,1004.338653
-50.0,50,1006.954694
-50.0,50,1009.576217
-50.0,50,1012.218952
-15.0,50,1014.85247
-50.0,50,1017.409936
-50.0,50,1019.990113
-50.0,50,1022.740293
-41.0,50,1025.294791
-50.0,50,1027.84844
-50.0,50,1030.431723
-50.0,50,1033.035958
-50.0,50,1035.623797
-50.0,50,1038.148428
-50.0,50,1040.831566
-50.0,50,1043.335222
-50.0,50,1046.009225
-50.0,50,1048.587784
-50.0,50,1051.182243
-50.0,50,1053.69539
-50.0,50,1056.238725
-50.0,50,1058.816905
-50.0,50,1059.212397
-50.0,50,1059.615358
-50.0,50,1060.014321
-50.0,50,1060.406377
-50.0,50,1060.824944
-50.0,50,1061.214977
-50.0,50,1061.579538
-50.0,50,1061.975027
-50.0,50,1062.388029
-50.0,50,1062.945203
-50.0,50,1065.51108
-50.0,50,1068.063982
-50.0,50,1070.654847
-50.0,50,1073.195297
-50.0,50,1075.750092
-50.0,50,1078.288624
-50.0,50,1080.856457
-50.0,50,1083.440648
-38.0,50,1085.95932
-50.0,50,1088.515162
-50.0,50,1091.043228
-50.0,50,1093.60546
-50.0,50,1096.158798
0.0,50,1098.685627
-50.0,50,1101.266408
-50.0,50,1103.790571
-50.0,50,1106.323777
-50.0,50,1108.895551
-50.0,50,1111.438604
-50.0,50,1113.985033
-50.0,50,1116.581515
-50.0,50,1119.09562
-50.0,50,1121.628062
-50.0,50,1124.180971
-50.0,50,1126.712395
-50.0,50,1129.213739
-50.0,50,1131.80416
-50.0,50,1134.354513
-50.0,50,1136.921236
-50.0,50,1139.488652
-50.0,50,1142.028776
-50.0,50,1144.559301
-50.0,50,1147.131664
-50.0,50,1149.672218
-50.0,50,1152.291333
-50.0,50,1154.808722
-50.0,50,1157.388456
-50.0,50,1159.922332
-50.0,50,1162.464906
-50.0,50,1165.010196
-50.0,50,1167.518254
-50.0,50,1170.102225
-27.0,50,1172.639499
-50.0,50,1175.183822
-50.0,50,1177.752652
-50.0,50,1180.339688
0.0,50,1182.87839
-50.0,50,1185.422309
-12.0,50,1188.000932
-50.0,50,1190.54594
-13.0,50,1190.914939
-50.0,50,1191.312526
-50.0,50,1191.694665
-50.0,50,1192.101468
-11.0,50,1192.500129
-50.0,50,1192.956086
0.0,50,1193.371325
-50.0,50,1193.784216
-50.0,50,1194.196276
-50.0,50,1194.676455
-50.0,50,1197.224171
-50.0,50,1199.776188
-50.0,50,1202.328866
-50.0,50,1204.828839
-50.0,50,1207.448787
-48.0,50,1210.007973
-50.0,50,1212.557908
-50.0,50,1215.086398
-50.0,50,1217.598408
-46.0,50,1220.193101
-50.0,50,1222.689771
-50.0,50,1225.225839
-15.0,50,1227.805775
-50.0,50,1230.374096
-49.0,50,1232.92212
-50.0,50,1235.487265
-50.0,50,1238.055126
-50.0,50,1240.592144
-50.0,50,1243.145989
-50.0,50,1245.680713
-50.0,50,1248.29329
-50.0,50,1250.85506
-50.0,50,1253.419078
-50.0,50,1255.968978
-46.0,50,1258.560423
-50.0,50,1261.122783
-50.0,50,1263.663516
-50.0,50,1266.22227
-50.0,50,1268.784031
-50.0,50,1271.348271
-50.0,50,1273.899681
-50.0,50,1276.453493
-50.0,50,1278.986898
-50.0,50,1281.560724
-47.0,50,1284.109007
-32.0,50,1286.674141
-50.0,50,1289.200105
-50.0,50,1291.823854
