# {"env_id": "FetchPickAndPlaceball-v1", "t_start": 1580822449.1419883} 
r,l,t
-50.0,50,7.980644
-50.0,50,10.738536
-50.0,50,13.271191
-50.0,50,15.805705
-50.0,50,18.320464
-50.0,50,20.826483
-50.0,50,23.336991
-50.0,50,25.846978
-50.0,50,28.364837
-50.0,50,30.877576
0.0,50,33.386496
0.0,50,35.942957
-50.0,50,38.468583
-50.0,50,41.029218
0.0,50,43.528012
-50.0,50,46.05281
-50.0,50,48.560605
-50.0,50,51.127266
-50.0,50,53.694353
-50.0,50,56.264816
-50.0,50,58.824438
-50.0,50,61.3399
0.0,50,63.916348
-50.0,50,66.455594
-50.0,50,68.923762
-50.0,50,71.46718
-50.0,50,73.993978
-25.0,50,76.54016
-50.0,50,79.046632
-50.0,50,81.580335
-50.0,50,84.136999
-50.0,50,86.61715
-50.0,50,89.188956
-50.0,50,91.716489
-50.0,50,94.241047
-50.0,50,96.747074
-50.0,50,99.289695
-50.0,50,101.797095
-50.0,50,104.344758
-50.0,50,106.884513
-50.0,50,109.467705
-50.0,50,112.003784
-50.0,50,114.565588
0.0,50,117.126243
-50.0,50,119.646834
-50.0,50,122.142349
-50.0,50,124.658871
-50.0,50,127.213589
-50.0,50,129.742471
-50.0,50,132.282546
-50.0,50,134.850204
-50.0,50,135.233161
-50.0,50,135.596858
-50.0,50,135.971871
-50.0,50,136.37964
-50.0,50,136.755274
-50.0,50,137.164669
-50.0,50,137.570128
-50.0,50,137.972167
-50.0,50,138.35239
-50.0,50,138.790758
-50.0,50,141.370332
-50.0,50,143.898143
-50.0,50,146.452866
-15.0,50,148.960902
-50.0,50,151.512189
-50.0,50,154.038764
-50.0,50,156.584263
-50.0,50,159.140494
-50.0,50,161.676818
-50.0,50,164.236738
-50.0,50,166.782442
0.0,50,169.29659
-50.0,50,171.829823
-50.0,50,174.370974
-50.0,50,176.905437
-50.0,50,179.447821
-50.0,50,182.039412
-50.0,50,184.569815
-50.0,50,187.086164
-50.0,50,189.651171
-50.0,50,192.211198
-50.0,50,194.761721
-50.0,50,197.303678
-50.0,50,199.836705
-50.0,50,202.402437
-50.0,50,204.940912
-50.0,50,207.435669
-50.0,50,209.957866
-50.0,50,212.540173
-50.0,50,215.105295
-50.0,50,217.653973
-50.0,50,220.169548
-50.0,50,222.721559
-50.0,50,225.260446
-50.0,50,227.848139
0.0,50,230.380307
-50.0,50,232.932366
-50.0,50,235.447754
-50.0,50,237.948904
-50.0,50,240.520874
-50.0,50,243.069069
0.0,50,245.590268
-50.0,50,248.137363
-50.0,50,250.707499
-50.0,50,253.239832
-50.0,50,255.834585
-50.0,50,258.367812
-50.0,50,260.909642
-50.0,50,263.403234
-50.0,50,265.982131
-50.0,50,266.37021
-50.0,50,266.762857
-50.0,50,267.15099
-50.0,50,267.537491
-50.0,50,267.919785
-50.0,50,268.264341
-50.0,50,268.660699
-50.0,50,269.025412
-50.0,50,269.418928
-50.0,50,269.977643
-50.0,50,272.58998
-50.0,50,275.104069
