# {"env_id": "FetchPush-v1", "t_start": 1581447374.6978934} 
r,l,t
-50.0,50,7.435883
-50.0,50,11.379392
-50.0,50,14.995658
-50.0,50,18.58821
-50.0,50,22.20156
-50.0,50,25.820707
-50.0,50,29.415587
-50.0,50,33.035162
-50.0,50,36.603704
-50.0,50,40.132092
-50.0,50,43.805125
-50.0,50,47.452977
-50.0,50,51.041219
-50.0,50,54.603947
-50.0,50,58.211522
-50.0,50,61.814119
-50.0,50,65.444442
-50.0,50,69.025171
-50.0,50,72.684975
-50.0,50,76.196858
-50.0,50,79.914943
-50.0,50,83.548481
-50.0,50,87.118438
-50.0,50,90.774576
-50.0,50,94.385502
-50.0,50,98.04125
-50.0,50,101.730772
-50.0,50,105.240106
-50.0,50,108.779986
-50.0,50,112.408486
-50.0,50,116.087094
-50.0,50,119.092184
-50.0,50,121.894902
-50.0,50,124.839873
-50.0,50,127.536489
-50.0,50,130.148903
-50.0,50,132.772202
-50.0,50,135.339983
0.0,50,137.944694
-50.0,50,140.520294
-50.0,50,143.162063
-50.0,50,145.720844
-50.0,50,148.329874
-50.0,50,150.947857
-50.0,50,153.55824
-50.0,50,156.120745
-50.0,50,158.72988
-50.0,50,161.33537
0.0,50,163.937624
-50.0,50,166.570021
-50.0,50,169.185887
-50.0,50,169.604051
-50.0,50,170.052698
-50.0,50,170.494331
0.0,50,170.919145
-50.0,50,171.364745
-50.0,50,171.806212
0.0,50,172.277975
-50.0,50,172.723989
-50.0,50,173.194105
-50.0,50,173.918311
-50.0,50,176.562809
0.0,50,179.191017
-50.0,50,181.769835
-50.0,50,184.407921
0.0,50,186.977194
-50.0,50,189.587248
0.0,50,192.192599
-50.0,50,194.808791
-50.0,50,197.387694
-50.0,50,200.009083
-50.0,50,202.626257
-50.0,50,205.205015
-50.0,50,207.776853
-50.0,50,210.425261
-50.0,50,212.979707
-50.0,50,215.636556
-50.0,50,218.248827
-50.0,50,220.848016
-50.0,50,223.442627
-50.0,50,226.07181
-50.0,50,228.723926
-50.0,50,231.325133
-50.0,50,233.991382
-50.0,50,236.567945
-50.0,50,239.175489
-50.0,50,241.829331
-49.0,50,244.461974
-50.0,50,247.016293
0.0,50,249.644513
-50.0,50,252.273265
-50.0,50,254.884888
0.0,50,257.473049
-50.0,50,260.101324
-50.0,50,262.760248
0.0,50,265.346267
-50.0,50,267.962491
-50.0,50,270.555211
-50.0,50,273.23162
-50.0,50,275.86112
-50.0,50,278.688368
-50.0,50,281.574733
0.0,50,284.332845
-50.0,50,286.962111
-50.0,50,289.662227
-50.0,50,292.860779
0.0,50,295.892938
-50.0,50,298.812016
-50.0,50,301.775643
-50.0,50,304.764198
-50.0,50,307.586177
-50.0,50,308.044392
-50.0,50,308.515802
-50.0,50,308.973244
-50.0,50,309.4153
0.0,50,309.922778
-50.0,50,310.467048
-50.0,50,310.958596
-50.0,50,311.441258
-50.0,50,311.928031
-50.0,50,312.618109
-50.0,50,315.457823
-50.0,50,318.062574
-50.0,50,320.757609
-50.0,50,323.489428
-50.0,50,326.192825
-50.0,50,328.863508
-50.0,50,331.588182
-50.0,50,334.338552
-50.0,50,336.991394
-50.0,50,339.609844
-50.0,50,342.259079
-50.0,50,344.9138
-50.0,50,347.613957
-50.0,50,350.44642
-50.0,50,353.24181
-50.0,50,355.86622
0.0,50,358.911864
-50.0,50,362.790119
-50.0,50,366.419757
-50.0,50,369.838864
-50.0,50,373.558705
-50.0,50,376.8745
-50.0,50,380.490217
-50.0,50,384.132443
-50.0,50,387.705837
-21.0,50,391.349511
-46.0,50,394.94201
-50.0,50,398.523948
-50.0,50,402.124287
-50.0,50,405.792855
-50.0,50,409.35604
-50.0,50,412.973174
0.0,50,416.610139
-50.0,50,420.194731
0.0,50,423.788921
-50.0,50,427.425321
-50.0,50,431.0212
-50.0,50,434.580117
-50.0,50,438.121074
-50.0,50,441.648321
-20.0,50,445.392311
-50.0,50,448.98221
-50.0,50,452.496694
-50.0,50,456.079069
-50.0,50,459.617888
-50.0,50,462.931321
-50.0,50,466.574962
-50.0,50,470.150865
-50.0,50,473.742242
-50.0,50,477.471944
-50.0,50,478.040062
-50.0,50,478.508215
-50.0,50,479.086614
-50.0,50,479.699824
-50.0,50,480.21704
-50.0,50,480.774009
-50.0,50,481.308956
-50.0,50,481.833711
-50.0,50,482.36446
-50.0,50,482.894324
-50.0,50,486.555063
-50.0,50,490.0345
-50.0,50,493.216803
-50.0,50,495.914102
0.0,50,498.686953
-50.0,50,501.355899
-50.0,50,504.086396
-50.0,50,506.720284
-50.0,50,509.655817
-50.0,50,512.415107
-50.0,50,515.075809
-50.0,50,517.823086
-50.0,50,520.472181
-50.0,50,523.16342
-50.0,50,525.958437
-50.0,50,528.576647
-50.0,50,531.167812
-50.0,50,533.75593
-50.0,50,536.306158
-50.0,50,538.922814
0.0,50,541.522933
-50.0,50,544.120992
-50.0,50,546.720416
-50.0,50,549.308668
0.0,50,551.863837
-50.0,50,554.503313
-50.0,50,557.061425
-50.0,50,559.636406
-50.0,50,562.267963
-50.0,50,564.869931
-50.0,50,567.405632
-50.0,50,570.028781
