# {"t_start": 1581447372.650537, "env_id": "FetchPush-v1"} 
r,l,t
-50.0,50,9.508926
-50.0,50,13.454072
-50.0,50,17.009296
-50.0,50,20.670677
0.0,50,24.283978
-50.0,50,27.886766
-50.0,50,31.384645
-50.0,50,35.050873
-50.0,50,38.604866
-50.0,50,42.190751
-50.0,50,45.853757
-50.0,50,49.51071
-50.0,50,53.064424
-50.0,50,56.649645
-50.0,50,60.258313
-50.0,50,63.882505
-50.0,50,67.530495
-50.0,50,71.077425
0.0,50,74.727108
-50.0,50,78.246294
-50.0,50,81.981527
-50.0,50,85.60306
-50.0,50,89.15202
-50.0,50,92.812397
-50.0,50,96.449794
-50.0,50,100.063013
-50.0,50,103.793854
-50.0,50,107.320914
-50.0,50,110.891283
-50.0,50,114.473208
-50.0,50,118.133628
-50.0,50,121.116307
-50.0,50,123.987697
-50.0,50,126.861876
0.0,50,129.542708
-50.0,50,132.182569
-50.0,50,134.805877
-50.0,50,137.398236
-50.0,50,140.013917
0.0,50,142.584567
-50.0,50,145.215502
-50.0,50,147.819229
-50.0,50,150.409954
-50.0,50,153.001405
-50.0,50,155.580373
-50.0,50,158.189148
-50.0,50,160.801647
-50.0,50,163.389283
-50.0,50,166.010198
-50.0,50,168.644901
-50.0,50,171.254589
-50.0,50,171.687865
-50.0,50,172.155506
-50.0,50,172.577939
-50.0,50,173.038022
-50.0,50,173.520468
-50.0,50,173.983398
-50.0,50,174.40768
-50.0,50,174.834326
-50.0,50,175.282948
-50.0,50,175.946786
-50.0,50,178.597691
-50.0,50,181.244671
-50.0,50,183.812537
-50.0,50,186.426904
-50.0,50,189.058915
-50.0,50,191.659219
-50.0,50,194.258483
-50.0,50,196.853395
-50.0,50,199.406171
0.0,50,202.038847
-50.0,50,204.670503
-50.0,50,207.254933
-50.0,50,209.825083
-50.0,50,212.464438
-50.0,50,215.037246
-50.0,50,217.693507
-50.0,50,220.275578
-50.0,50,222.925295
-50.0,50,225.523781
-50.0,50,228.096925
-50.0,50,230.746268
-50.0,50,233.420461
-50.0,50,235.997422
-50.0,50,238.617813
