# {"env_id": "FetchReach-v1", "t_start": 1580320414.5142007} 
r,l,t
-50.0,50,9.297254
-50.0,50,12.823949
-50.0,50,17.037542
-31.0,50,19.55154
-10.0,50,22.056773
-6.0,50,25.886811
-50.0,50,28.415382
-50.0,50,30.878945
-50.0,50,34.458306
-50.0,50,38.433051
-17.0,50,40.909193
-50.0,50,41.264419
-14.0,50,41.617319
-50.0,50,41.979198
-34.0,50,42.33948
-2.0,50,42.689954
-27.0,50,43.045125
-19.0,50,44.160032
-50.0,50,45.240531
0.0,50,45.623165
-50.0,50,46.093048
-50.0,50,48.556814
-50.0,50,51.049219
-9.0,50,53.554485
-28.0,50,56.022274
-2.0,50,58.482347
-21.0,50,61.025077
-8.0,50,63.591921
-50.0,50,66.088243
-3.0,50,70.224966
-13.0,50,74.77436
-5.0,50,75.165956
0.0,50,75.533427
-10.0,50,75.89417
-17.0,50,76.252218
-9.0,50,76.603493
-50.0,50,76.976213
-1.0,50,77.352402
-21.0,50,77.729355
-50.0,50,78.93722
-50.0,50,80.487766
-15.0,50,83.713682
-13.0,50,87.163913
-25.0,50,90.051009
-14.0,50,92.557749
-28.0,50,95.166648
-35.0,50,99.964016
-50.0,50,102.451644
-33.0,50,104.982817
-11.0,50,107.463841
-10.0,50,112.454094
-1.0,50,112.831499
-8.0,50,113.183915
-9.0,50,113.573065
-5.0,50,113.904867
-16.0,50,114.281673
-11.0,50,114.662836
-6.0,50,115.031825
-14.0,50,115.364153
-1.0,50,115.732284
-19.0,50,116.123504
-24.0,50,121.012054
-13.0,50,123.487647
-16.0,50,125.955566
-17.0,50,128.504642
-14.0,50,130.941171
-13.0,50,135.020004
-10.0,50,138.540142
-7.0,50,141.0425
-8.0,50,143.579474
-2.0,50,146.125663
-3.0,50,146.519812
-8.0,50,146.901711
-50.0,50,147.235747
-1.0,50,147.584858
-50.0,50,147.928933
-5.0,50,148.273066
-5.0,50,148.667619
-6.0,50,149.039821
0.0,50,149.390848
-20.0,50,149.856798
-12.0,50,153.611487
-14.0,50,156.140101
-6.0,50,158.708905
-17.0,50,161.350243
-12.0,50,163.798269
-4.0,50,166.361984
-28.0,50,171.410302
-16.0,50,173.927429
-11.0,50,178.185517
-2.0,50,181.461617
-1.0,50,181.837113
-8.0,50,182.214103
-1.0,50,182.59306
-1.0,50,182.948882
-5.0,50,183.310372
-5.0,50,183.950723
-2.0,50,185.131136
-1.0,50,186.284858
-7.0,50,187.490676
-13.0,50,188.156824
-11.0,50,190.710777
-14.0,50,193.238755
-7.0,50,195.714233
-14.0,50,200.576334
-28.0,50,203.242213
-13.0,50,208.20788
-11.0,50,210.83455
-7.0,50,213.320232
