# {"t_start": 1581444981.39055, "env_id": "FetchReach-v1"} 
r,l,t
-50.0,50,6.76532
-50.0,50,10.87646
-50.0,50,13.513356
-50.0,50,16.705219
-50.0,50,19.922154
-9.0,50,22.514097
-20.0,50,25.479568
-12.0,50,28.647533
-8.0,50,32.117113
-50.0,50,35.376213
-50.0,50,38.481465
0.0,50,38.928912
-11.0,50,39.391889
-2.0,50,39.824516
-50.0,50,40.274428
-50.0,50,40.725304
-50.0,50,41.187494
-15.0,50,41.645675
-50.0,50,42.1374
-50.0,50,42.652358
-50.0,50,43.440542
-50.0,50,46.717806
-41.0,50,49.81703
-50.0,50,53.147301
-30.0,50,56.496054
-35.0,50,59.863828
-40.0,50,63.338431
-7.0,50,66.842379
-20.0,50,70.231592
-15.0,50,73.71277
-27.0,50,77.171169
-8.0,50,77.607108
-33.0,50,78.032469
-3.0,50,78.478204
-33.0,50,78.953324
-1.0,50,79.399395
-5.0,50,79.837894
-14.0,50,80.308693
0.0,50,80.806474
-7.0,50,81.245628
-6.0,50,81.697326
-50.0,50,85.137467
-39.0,50,88.579073
-12.0,50,92.009853
-50.0,50,95.377004
-50.0,50,98.737633
-3.0,50,102.116191
-50.0,50,105.583925
-18.0,50,108.936866
-41.0,50,112.333821
-16.0,50,115.746316
-33.0,50,116.214295
-8.0,50,116.663376
-6.0,50,117.08848
-13.0,50,117.559232
-5.0,50,118.011761
-5.0,50,118.43641
-13.0,50,118.866617
-7.0,50,119.377859
-5.0,50,119.82622
-13.0,50,120.466743
-50.0,50,123.873967
-4.0,50,127.260278
-3.0,50,130.710468
-50.0,50,134.146216
-8.0,50,137.562403
-8.0,50,141.081621
-8.0,50,144.480798
-7.0,50,147.863122
-6.0,50,151.28634
-38.0,50,154.789357
-4.0,50,155.278691
-3.0,50,155.718399
-3.0,50,156.186063
-7.0,50,156.614046
-3.0,50,157.087237
-4.0,50,157.527618
0.0,50,157.989038
-3.0,50,158.467167
-2.0,50,158.916593
-11.0,50,159.392403
-17.0,50,162.845536
-24.0,50,166.255289
-12.0,50,169.622563
-26.0,50,173.084796
-50.0,50,176.459105
-50.0,50,179.898427
-21.0,50,183.291045
-12.0,50,186.75049
-17.0,50,190.140063
-2.0,50,192.75344
-3.0,50,193.249653
0.0,50,193.718119
0.0,50,194.118844
-1.0,50,194.565922
-1.0,50,195.06494
-1.0,50,195.476832
-10.0,50,195.856463
0.0,50,196.28646
-1.0,50,196.702243
-26.0,50,197.247708
-50.0,50,200.465397
-12.0,50,203.439785
-22.0,50,206.300778
-9.0,50,209.282148
-14.0,50,212.198947
-12.0,50,215.076447
-10.0,50,217.855766
-12.0,50,220.903495
-9.0,50,224.286104
-3.0,50,227.261895
-2.0,50,227.704153
-3.0,50,228.184857
-4.0,50,228.610845
0.0,50,229.014715
-2.0,50,229.547134
-2.0,50,230.027986
-2.0,50,230.504673
-2.0,50,230.983309
-1.0,50,231.452334
-18.0,50,231.980376
-13.0,50,234.561122
-13.0,50,237.245671
-8.0,50,239.939816
-14.0,50,242.615513
-13.0,50,245.310281
-18.0,50,248.211192
-12.0,50,250.920287
-7.0,50,253.434512
-20.0,50,255.967607
-3.0,50,258.947517
-2.0,50,259.367972
0.0,50,259.758398
-4.0,50,260.198088
0.0,50,260.631441
-27.0,50,261.031479
-3.0,50,261.478102
-2.0,50,261.926007
0.0,50,262.461494
-4.0,50,262.970222
-13.0,50,263.534103
-19.0,50,266.974661
-14.0,50,270.145297
-17.0,50,273.089083
-10.0,50,275.99827
-13.0,50,279.229257
-12.0,50,282.083503
-13.0,50,284.688748
-16.0,50,287.57252
-9.0,50,290.438177
-3.0,50,293.092516
0.0,50,293.497593
-3.0,50,293.910218
0.0,50,294.312984
-2.0,50,294.690758
-2.0,50,295.122775
-1.0,50,295.54632
-3.0,50,295.957734
-2.0,50,296.413972
-2.0,50,296.899533
-15.0,50,297.379226
-11.0,50,300.209842
-10.0,50,303.126732
-20.0,50,306.160023
-18.0,50,309.061957
-14.0,50,311.758293
-23.0,50,314.515765
-19.0,50,317.219357
-11.0,50,320.241509
-13.0,50,323.015481
-2.0,50,325.655873
-3.0,50,326.081065
-3.0,50,326.532735
0.0,50,326.939182
-1.0,50,327.362188
0.0,50,327.810274
0.0,50,328.221726
-2.0,50,328.641177
-3.0,50,329.05029
-2.0,50,329.411429
-17.0,50,330.108978
-13.0,50,332.756775
-20.0,50,335.888199
-12.0,50,338.705665
-12.0,50,341.530064
-20.0,50,344.455516
-14.0,50,347.515929
-22.0,50,350.884615
-17.0,50,353.503572
-19.0,50,356.252184
-2.0,50,359.725157
-3.0,50,360.261333
-1.0,50,360.845369
-2.0,50,361.384472
-2.0,50,362.028953
0.0,50,362.555292
0.0,50,363.049001
-2.0,50,363.521458
-1.0,50,364.009779
-2.0,50,364.451319
-14.0,50,365.104298
-21.0,50,368.48616
-8.0,50,372.16079
-20.0,50,376.285341
-16.0,50,379.869717
-17.0,50,383.224436
-16.0,50,387.413691
-11.0,50,391.678727
-12.0,50,394.963184
-12.0,50,398.786461
-2.0,50,402.50083
-1.0,50,402.98841
-2.0,50,403.490869
-1.0,50,404.018987
-2.0,50,404.51684
-2.0,50,405.027135
-3.0,50,405.538984
-1.0,50,406.033691
0.0,50,406.508057
-2.0,50,406.933514
-11.0,50,407.387427
-16.0,50,410.957244
-12.0,50,414.751884
-20.0,50,418.535651
-9.0,50,422.47571
-13.0,50,426.468806
-10.0,50,430.53503
-16.0,50,434.254281
-28.0,50,438.140346
-21.0,50,441.950926
0.0,50,445.745016
-3.0,50,446.270826
-3.0,50,446.767808
-2.0,50,447.244807
-2.0,50,447.73507
-2.0,50,448.231269
-2.0,50,448.694412
0.0,50,449.123718
-1.0,50,449.61112
-2.0,50,450.144601
-20.0,50,450.758374
-22.0,50,453.776929
-17.0,50,456.932075
-15.0,50,460.879362
-17.0,50,464.994874
-17.0,50,469.063354
-18.0,50,472.771447
-19.0,50,476.205976
-19.0,50,479.592024
-20.0,50,482.855875
-2.0,50,486.30896
-2.0,50,486.75
-1.0,50,487.229398
-2.0,50,487.69472
-2.0,50,488.14808
-1.0,50,488.616024
-2.0,50,489.10963
-3.0,50,489.531533
-3.0,50,489.938012
0.0,50,490.405984
-12.0,50,491.118626
-10.0,50,494.827386
-14.0,50,497.997776
-23.0,50,500.938068
-24.0,50,504.076577
-24.0,50,507.221386
-18.0,50,510.402551
-13.0,50,513.477886
-21.0,50,516.615958
-23.0,50,519.80478
-1.0,50,522.997354
-2.0,50,523.441797
-1.0,50,523.898739
-1.0,50,524.348316
-1.0,50,524.810426
-3.0,50,525.220047
-3.0,50,525.638088
-2.0,50,526.055225
-3.0,50,526.481481
-2.0,50,526.994428
-16.0,50,527.482638
-20.0,50,530.711405
-12.0,50,533.870409
-13.0,50,537.031636
-15.0,50,540.12447
-19.0,50,543.37853
-16.0,50,546.517115
-17.0,50,549.694059
-14.0,50,552.791824
-12.0,50,555.984106
-2.0,50,559.163238
-1.0,50,559.571091
-3.0,50,560.032431
-2.0,50,560.459461
-2.0,50,560.937773
-1.0,50,561.41405
-3.0,50,561.881833
0.0,50,562.291716
-2.0,50,562.693258
-2.0,50,563.115791
-22.0,50,563.681067
-16.0,50,566.615656
-15.0,50,569.530688
-15.0,50,572.452013
-15.0,50,575.332471
-17.0,50,578.173408
-12.0,50,581.040499
-21.0,50,583.915013
