# {"t_start": 1575548477.5458057, "env_id": "FetchSlide-v1"} 
r,l,t
-50.0,50,10.153181
-50.0,50,16.169102
-50.0,50,21.894209
-50.0,50,25.74797
-50.0,50,30.67901
-50.0,50,34.672155
-50.0,50,40.072358
-50.0,50,43.614743
-50.0,50,47.985069
-50.0,50,51.333399
-50.0,50,56.140377
-50.0,50,58.825011
-50.0,50,62.701619
-50.0,50,65.577149
-50.0,50,68.197016
-50.0,50,70.807485
-50.0,50,75.983849
-50.0,50,78.737198
-50.0,50,83.651598
-50.0,50,86.586175
-50.0,50,91.092233
-50.0,50,94.536267
-50.0,50,97.271275
-50.0,50,101.88221
-50.0,50,105.607211
-50.0,50,109.854193
-50.0,50,114.471966
-50.0,50,120.050346
-50.0,50,125.497892
-50.0,50,128.704543
-50.0,50,133.400229
-50.0,50,137.305433
-50.0,50,142.83047
-50.0,50,145.472646
-50.0,50,149.383891
-50.0,50,152.413421
-50.0,50,156.559246
-50.0,50,161.874598
-50.0,50,164.606704
-50.0,50,167.418618
-50.0,50,172.564269
-50.0,50,175.226666
-50.0,50,177.960436
-50.0,50,183.285557
-50.0,50,186.381084
-50.0,50,191.349301
-50.0,50,194.086136
-50.0,50,196.704566
-50.0,50,202.871522
-50.0,50,205.789724
-50.0,50,208.5225
-50.0,50,208.970457
-50.0,50,209.399137
-50.0,50,209.841937
-50.0,50,210.262319
-50.0,50,210.678926
-50.0,50,211.137468
-50.0,50,212.343653
-50.0,50,213.533531
-50.0,50,214.000301
-50.0,50,214.576013
-50.0,50,217.457858
-50.0,50,222.604974
-50.0,50,225.325734
-50.0,50,230.529325
-50.0,50,233.248343
-50.0,50,235.935335
-50.0,50,238.58863
-50.0,50,241.267714
-50.0,50,246.35235
-50.0,50,249.026719
-50.0,50,251.628356
-50.0,50,255.48278
-50.0,50,258.226683
-50.0,50,261.135805
-50.0,50,265.996818
-50.0,50,268.696109
-50.0,50,273.721628
-50.0,50,276.441564
-50.0,50,279.116391
-50.0,50,281.785295
-50.0,50,285.741966
-50.0,50,290.093745
-50.0,50,294.847026
-50.0,50,298.816244
-50.0,50,305.070557
-50.0,50,310.924752
-50.0,50,314.900758
-50.0,50,320.94712
-50.0,50,324.571387
-50.0,50,331.886845
-50.0,50,337.129266
-50.0,50,341.681058
-50.0,50,349.03607
-50.0,50,353.988751
-50.0,50,358.661423
-50.0,50,363.38745
-50.0,50,366.808999
-50.0,50,374.152038
-50.0,50,379.077091
-50.0,50,384.113822
-50.0,50,390.159957
-50.0,50,396.10853
-50.0,50,399.960028
-50.0,50,406.073868
-50.0,50,409.656776
-50.0,50,416.96828
-50.0,50,422.155487
-50.0,50,426.892041
-50.0,50,432.499505
-50.0,50,435.355278
-50.0,50,436.907031
-50.0,50,438.471532
-50.0,50,439.422921
-50.0,50,439.85966
-50.0,50,440.296763
-50.0,50,440.713506
-50.0,50,441.154945
