# {"t_start": 1574363451.7473817, "env_id": "FetchSlide-v1"} 
r,l,t
-50.0,50,9.470524
-50.0,50,12.801558
-50.0,50,15.842205
-50.0,50,18.894064
-50.0,50,21.89772
-50.0,50,25.002682
-50.0,50,28.148796
-50.0,50,31.036617
-50.0,50,34.038309
-50.0,50,37.058241
-50.0,50,39.759723
-50.0,50,42.633991
-50.0,50,45.503228
-50.0,50,48.258932
-50.0,50,51.008768
-50.0,50,53.711588
-50.0,50,56.420313
-50.0,50,59.106745
-50.0,50,61.906594
-50.0,50,64.770459
-50.0,50,67.426684
-50.0,50,70.259556
-50.0,50,73.036405
-50.0,50,75.826452
-50.0,50,78.456515
-50.0,50,81.196113
-50.0,50,83.964521
-50.0,50,86.664639
-50.0,50,89.290407
-50.0,50,91.97181
-50.0,50,94.632005
-50.0,50,97.356766
-50.0,50,99.939597
-50.0,50,102.678593
-50.0,50,105.281438
-50.0,50,107.981823
-50.0,50,110.789482
-50.0,50,113.635441
-50.0,50,116.374784
-50.0,50,119.184027
-50.0,50,121.856482
-50.0,50,124.497525
-50.0,50,127.249693
-50.0,50,130.014023
-50.0,50,132.622762
-50.0,50,135.441939
-50.0,50,138.212008
-50.0,50,141.127676
-50.0,50,143.918676
-50.0,50,146.661744
-50.0,50,149.474905
-50.0,50,149.967127
-50.0,50,150.463596
-50.0,50,150.936827
-50.0,50,151.526689
-50.0,50,151.990448
-50.0,50,152.48322
-50.0,50,153.012163
-50.0,50,153.458775
-50.0,50,153.979544
-50.0,50,154.603533
-50.0,50,157.300606
-50.0,50,160.091617
-50.0,50,162.781367
-50.0,50,165.492212
-50.0,50,168.120504
-50.0,50,170.957167
-50.0,50,173.897585
-50.0,50,176.606347
-50.0,50,179.30912
-50.0,50,181.948468
-50.0,50,184.679461
-50.0,50,187.528805
-50.0,50,190.177605
-50.0,50,192.965327
-50.0,50,195.669021
-50.0,50,198.375987
-50.0,50,201.281312
-50.0,50,204.884431
-50.0,50,208.312686
-50.0,50,211.650851
-50.0,50,214.821424
-50.0,50,217.802753
-50.0,50,220.489371
-50.0,50,223.248115
-50.0,50,225.867182
-50.0,50,228.532301
-50.0,50,231.145728
-50.0,50,233.733224
-50.0,50,236.391976
-50.0,50,239.055509
-50.0,50,241.765713
-50.0,50,244.577279
-50.0,50,247.593406
-50.0,50,250.541934
-50.0,50,253.241992
-50.0,50,256.121789
-50.0,50,258.843322
-50.0,50,261.632152
-50.0,50,264.350401
-43.0,50,267.236305
-50.0,50,270.030593
-50.0,50,272.920388
-50.0,50,275.740303
-50.0,50,278.526089
-50.0,50,281.301102
-50.0,50,284.1405
-50.0,50,287.09953
-50.0,50,289.866327
-50.0,50,292.562535
-50.0,50,295.368133
-50.0,50,295.853097
-50.0,50,296.282102
-50.0,50,296.729864
-50.0,50,297.199769
-50.0,50,297.677293
-50.0,50,298.159985
-50.0,50,298.637201
-50.0,50,299.113953
-50.0,50,299.565094
-50.0,50,300.096617
-50.0,50,302.771948
-50.0,50,305.513517
-50.0,50,308.109387
-50.0,50,310.916386
-50.0,50,313.65105
-50.0,50,316.496447
-50.0,50,319.459092
-50.0,50,322.301606
-50.0,50,325.201139
-50.0,50,327.987891
-50.0,50,330.723214
-50.0,50,333.366971
-50.0,50,336.158775
-50.0,50,338.794287
-50.0,50,341.496412
-50.0,50,344.280334
-50.0,50,347.946165
-50.0,50,351.163193
-50.0,50,354.383672
-50.0,50,357.024429
-6.0,50,359.656395
-50.0,50,362.355422
-50.0,50,364.955835
-50.0,50,367.607122
-50.0,50,370.281784
-50.0,50,372.906919
-50.0,50,375.531148
-50.0,50,378.141833
-50.0,50,380.758379
-50.0,50,383.39116
-50.0,50,386.05955
-47.0,50,388.942754
-50.0,50,391.689615
-50.0,50,394.785495
-50.0,50,397.715241
-50.0,50,400.621592
-50.0,50,403.350143
-50.0,50,406.128754
-50.0,50,408.963782
-50.0,50,411.992697
-50.0,50,414.99483
-50.0,50,417.650399
-50.0,50,420.318442
-50.0,50,423.145901
-50.0,50,426.255901
-50.0,50,429.264749
-50.0,50,432.3195
-50.0,50,434.985027
-50.0,50,437.679714
-50.0,50,440.535077
-50.0,50,440.999419
-50.0,50,441.489182
-50.0,50,441.952379
-50.0,50,442.390091
-50.0,50,442.867089
-50.0,50,443.335344
-50.0,50,443.831158
-50.0,50,444.311575
-50.0,50,444.777884
-50.0,50,445.31479
-50.0,50,447.982183
-50.0,50,450.587827
-50.0,50,453.194645
-50.0,50,456.040292
-50.0,50,458.960571
-50.0,50,462.086333
-50.0,50,464.772315
-50.0,50,467.47864
-50.0,50,470.388614
-50.0,50,473.116658
-50.0,50,475.842685
-50.0,50,478.542148
-50.0,50,481.224209
-50.0,50,483.975716
-50.0,50,486.747265
-50.0,50,489.447518
-50.0,50,492.097572
-47.0,50,494.835253
-50.0,50,497.586916
-50.0,50,500.293184
-50.0,50,502.935177
-50.0,50,505.615972
-50.0,50,508.322603
-28.0,50,511.122248
-50.0,50,513.894069
-50.0,50,516.543423
-50.0,50,519.296869
-50.0,50,521.969314
-50.0,50,524.662216
-50.0,50,527.348024
-50.0,50,530.062594
-50.0,50,532.746388
-50.0,50,535.530008
-50.0,50,538.480739
-50.0,50,541.446932
-50.0,50,544.461344
-50.0,50,547.4992
-50.0,50,550.473165
-50.0,50,553.438242
-50.0,50,556.403325
-50.0,50,559.461527
-50.0,50,562.489544
-50.0,50,565.489238
-50.0,50,568.324091
-50.0,50,571.362179
-50.0,50,574.225505
-50.0,50,577.272669
-50.0,50,580.896194
-46.0,50,584.052411
-50.0,50,587.229132
-50.0,50,587.79316
-50.0,50,588.313981
-50.0,50,588.788769
-50.0,50,589.274276
-50.0,50,589.747345
-50.0,50,590.236675
-50.0,50,590.717055
-50.0,50,591.17837
-50.0,50,591.65477
-50.0,50,592.276515
-50.0,50,594.963435
-50.0,50,597.617052
-50.0,50,600.287145
-50.0,50,602.889137
-50.0,50,605.61353
-50.0,50,608.23526
-50.0,50,610.949094
-50.0,50,613.52786
-50.0,50,616.353521
-50.0,50,619.046544
-50.0,50,621.710698
-50.0,50,624.492921
-50.0,50,627.141586
-48.0,50,629.835998
-50.0,50,632.461361
-50.0,50,635.146239
-50.0,50,637.838481
-50.0,50,640.649443
-50.0,50,643.530855
-50.0,50,646.460298
-50.0,50,649.310134
-50.0,50,652.008229
-50.0,50,654.686717
-50.0,50,657.441185
-50.0,50,660.264291
-50.0,50,663.330402
-50.0,50,666.349262
-50.0,50,668.993793
-50.0,50,671.660601
-50.0,50,674.425666
-50.0,50,677.139512
-50.0,50,679.906611
-50.0,50,682.88091
-50.0,50,685.644922
-50.0,50,688.420739
-50.0,50,691.206045
-50.0,50,694.157704
-50.0,50,697.056853
-50.0,50,700.040593
-50.0,50,703.157447
-45.0,50,705.980359
-50.0,50,708.724241
-50.0,50,711.667642
-50.0,50,714.405187
-50.0,50,717.617495
-50.0,50,721.146435
-50.0,50,724.457765
-50.0,50,727.821051
-50.0,50,730.914933
-50.0,50,734.030751
-50.0,50,734.568403
-50.0,50,735.130306
-50.0,50,735.702528
-50.0,50,736.300542
-50.0,50,736.850417
-50.0,50,737.435851
-50.0,50,738.040356
-50.0,50,738.564538
-50.0,50,739.104832
-50.0,50,739.710608
-50.0,50,742.671315
-50.0,50,745.687901
-10.0,50,748.745895
-50.0,50,752.067478
-50.0,50,755.199216
-50.0,50,758.444071
-50.0,50,761.493685
-50.0,50,764.623347
-50.0,50,767.525698
-50.0,50,770.159082
-50.0,50,773.061931
-50.0,50,775.833391
-50.0,50,778.717319
-50.0,50,781.65832
-50.0,50,784.424188
-50.0,50,787.372825
-50.0,50,790.38652
-50.0,50,793.264964
-35.0,50,796.144589
-50.0,50,799.04561
-50.0,50,802.091239
-50.0,50,804.957889
-50.0,50,807.807125
-50.0,50,810.629743
-50.0,50,813.621261
-50.0,50,816.61346
-50.0,50,819.33385
-50.0,50,822.065566
-50.0,50,824.676402
-50.0,50,827.338808
-46.0,50,830.070354
-50.0,50,832.708167
-50.0,50,835.47975
-50.0,50,838.114244
-50.0,50,840.75522
-50.0,50,843.457036
-50.0,50,846.240633
-50.0,50,848.945375
-50.0,50,851.844437
-50.0,50,854.712316
-50.0,50,857.462957
-50.0,50,860.103428
-44.0,50,862.843568
-50.0,50,865.621621
-50.0,50,868.401749
-50.0,50,871.590695
-50.0,50,875.27862
-50.0,50,878.600877
-50.0,50,881.595662
-50.0,50,884.318153
-50.0,50,884.828621
-50.0,50,885.341238
-50.0,50,885.819126
-50.0,50,886.354945
-48.0,50,886.905494
-50.0,50,887.386298
-50.0,50,887.907307
-50.0,50,888.431857
-47.0,50,888.935369
-50.0,50,889.61691
-50.0,50,892.324399
-50.0,50,895.132055
-50.0,50,897.821108
-50.0,50,900.455819
-50.0,50,903.051926
-50.0,50,905.757881
-50.0,50,908.568914
-50.0,50,911.419942
-50.0,50,914.157128
-50.0,50,916.983876
-50.0,50,919.790359
-50.0,50,922.564947
-50.0,50,925.272247
-50.0,50,927.905075
-50.0,50,930.767745
-6.0,50,933.641848
-50.0,50,936.485275
-47.0,50,939.366867
-50.0,50,942.090895
-50.0,50,944.906055
-50.0,50,947.694393
-50.0,50,950.382422
-50.0,50,953.104491
-50.0,50,955.797033
-50.0,50,958.417822
-50.0,50,961.198438
-50.0,50,963.927592
-50.0,50,966.612698
-50.0,50,969.395954
-47.0,50,972.252426
-50.0,50,975.046919
-50.0,50,977.803632
-50.0,50,980.590039
-50.0,50,983.324269
-50.0,50,985.996604
-50.0,50,988.792235
-50.0,50,991.36149
-50.0,50,994.048027
-50.0,50,996.952615
-50.0,50,999.706783
-50.0,50,1002.605876
-50.0,50,1005.472173
-50.0,50,1008.240384
-50.0,50,1011.166606
-48.0,50,1014.045826
-50.0,50,1016.781665
-50.0,50,1019.570746
-50.0,50,1022.236228
-50.0,50,1024.968655
-50.0,50,1027.726215
-50.0,50,1028.258263
-50.0,50,1028.758811
-50.0,50,1029.240441
-50.0,50,1029.766455
-50.0,50,1030.24807
-50.0,50,1030.78426
-46.0,50,1031.319546
-46.0,50,1031.863594
-50.0,50,1032.419395
-50.0,50,1033.050449
-50.0,50,1035.743383
-50.0,50,1038.563138
-48.0,50,1041.433585
-50.0,50,1044.417249
-50.0,50,1047.061519
-50.0,50,1049.753239
-50.0,50,1052.922921
-50.0,50,1056.564261
-46.0,50,1059.858959
-50.0,50,1062.529578
-50.0,50,1065.198185
-50.0,50,1067.802446
-50.0,50,1070.416821
-47.0,50,1073.097039
-50.0,50,1075.724295
-50.0,50,1078.312207
-50.0,50,1080.972853
-50.0,50,1083.621779
-50.0,50,1086.638509
-50.0,50,1090.05828
-50.0,50,1093.117984
-50.0,50,1096.310671
-50.0,50,1099.688115
-50.0,50,1102.886235
-49.0,50,1106.40535
-50.0,50,1109.665064
