# {"env_id": "FetchSlide-v1", "t_start": 1574543338.8935528} 
r,l,t
-42.0,50,8.347126
-50.0,50,11.187482
-50.0,50,13.773492
-41.0,50,16.35457
-50.0,50,18.960749
-50.0,50,21.606066
-50.0,50,24.177292
-42.0,50,26.808043
-29.0,50,29.553108
-38.0,50,32.196476
-50.0,50,35.006301
-49.0,50,37.704007
-50.0,50,40.366707
-50.0,50,43.041837
-50.0,50,45.707891
-46.0,50,48.48318
-46.0,50,51.338809
-41.0,50,53.99871
-33.0,50,56.708098
-50.0,50,59.460905
-50.0,50,62.177912
-31.0,50,64.886931
-28.0,50,67.653207
-50.0,50,70.377762
-50.0,50,73.568501
-38.0,50,76.604058
-50.0,50,79.801477
-43.0,50,82.984687
-50.0,50,86.223443
-50.0,50,89.599504
-50.0,50,92.982121
-40.0,50,96.207939
-48.0,50,99.538008
-50.0,50,102.672498
-50.0,50,105.874303
-46.0,50,109.11996
-47.0,50,112.299596
-39.0,50,115.585828
-24.0,50,118.90475
-50.0,50,122.194285
-50.0,50,125.441943
-50.0,50,128.635199
-50.0,50,131.804488
-50.0,50,135.073738
-50.0,50,138.298662
-50.0,50,141.520251
-50.0,50,144.788102
-44.0,50,147.973091
-31.0,50,151.273896
-50.0,50,154.658426
-41.0,50,157.993122
-47.0,50,158.541513
-40.0,50,159.082474
-23.0,50,159.633216
-24.0,50,160.137885
-29.0,50,160.681252
-31.0,50,161.183921
-37.0,50,161.750788
-49.0,50,162.265648
-26.0,50,162.77283
-50.0,50,163.55311
-47.0,50,166.780906
-50.0,50,170.070514
-50.0,50,173.33551
-41.0,50,176.509851
-39.0,50,179.772913
-40.0,50,182.988513
-50.0,50,186.223991
-50.0,50,189.459885
-50.0,50,192.625044
-47.0,50,195.830304
-22.0,50,199.118052
-43.0,50,202.346227
-23.0,50,205.580614
-39.0,50,208.848903
-50.0,50,212.028664
-50.0,50,215.323235
-50.0,50,218.491394
-45.0,50,221.797414
-33.0,50,225.035166
-47.0,50,228.249779
-25.0,50,231.456562
-48.0,50,234.69966
-50.0,50,237.894476
-50.0,50,241.063211
-50.0,50,244.443251
-44.0,50,247.660124
-48.0,50,250.846097
-50.0,50,254.07108
-25.0,50,257.240568
-50.0,50,260.474672
-25.0,50,263.701558
-50.0,50,266.913148
-50.0,50,270.134686
-50.0,50,273.360404
-34.0,50,276.60546
-42.0,50,279.84909
-50.0,50,283.066792
-50.0,50,286.22293
-42.0,50,289.433495
