# {"t_start": 1576824210.517428, "env_id": "FetchSlideball-v1"} 
r,l,t
-50.0,50,5.343714
-50.0,50,7.851146
-50.0,50,10.196791
-50.0,50,12.600302
-50.0,50,15.347456
-50.0,50,17.723972
-50.0,50,20.007638
-50.0,50,22.315761
-50.0,50,24.633384
-50.0,50,26.939135
-50.0,50,29.227405
-50.0,50,31.52991
-50.0,50,33.813849
-50.0,50,36.144843
-50.0,50,38.452441
-50.0,50,40.801849
-50.0,50,43.090977
-50.0,50,45.505078
-50.0,50,47.858209
-50.0,50,50.22887
-50.0,50,52.552045
-50.0,50,54.936439
-50.0,50,57.39065
-50.0,50,59.801925
-50.0,50,62.107765
-50.0,50,64.40969
-50.0,50,66.751525
-50.0,50,69.07736
-50.0,50,72.472792
-50.0,50,76.020969
-50.0,50,78.681359
-50.0,50,81.361086
-50.0,50,84.021637
-50.0,50,86.642265
-50.0,50,89.303565
-50.0,50,91.958041
-50.0,50,94.643327
-50.0,50,97.323339
-50.0,50,99.967366
-50.0,50,102.655934
-50.0,50,105.335299
-50.0,50,108.023552
-50.0,50,110.69865
-50.0,50,113.387583
-50.0,50,116.059669
-50.0,50,118.730552
-50.0,50,121.407119
-50.0,50,124.090226
-50.0,50,126.686367
-50.0,50,129.421337
-50.0,50,132.154216
-50.0,50,132.577536
-50.0,50,133.006133
-50.0,50,133.41263
-50.0,50,133.841159
-50.0,50,134.31373
-50.0,50,134.763267
-50.0,50,135.189586
-50.0,50,135.623638
-50.0,50,136.057291
-50.0,50,136.697918
-50.0,50,139.361195
-50.0,50,142.09087
-50.0,50,144.85592
-50.0,50,147.567212
-50.0,50,150.251787
-50.0,50,152.96187
-50.0,50,155.658911
-50.0,50,158.34678
-50.0,50,161.062353
-50.0,50,163.680128
-50.0,50,166.355155
-50.0,50,169.08911
-50.0,50,171.806814
-50.0,50,174.378637
-50.0,50,177.13027
-50.0,50,179.797277
-50.0,50,182.535425
-50.0,50,185.180501
-50.0,50,187.867493
-50.0,50,190.52599
-50.0,50,193.232332
-50.0,50,195.897868
-50.0,50,198.705236
-50.0,50,201.395601
-50.0,50,204.057996
-50.0,50,206.69536
-50.0,50,209.264122
-50.0,50,211.9646
-50.0,50,214.598224
-50.0,50,217.217325
-50.0,50,219.976274
-50.0,50,222.642178
-50.0,50,225.321488
-50.0,50,227.936124
-50.0,50,230.666974
-50.0,50,233.363786
-50.0,50,236.030534
-50.0,50,238.703956
-50.0,50,241.297724
-50.0,50,243.970488
-50.0,50,246.621758
-50.0,50,249.28631
-50.0,50,251.980677
-50.0,50,254.61448
-50.0,50,257.276971
-47.0,50,259.964161
-50.0,50,262.662783
-50.0,50,265.343822
-50.0,50,268.034146
-50.0,50,270.701289
-50.0,50,271.129232
-50.0,50,271.541194
-50.0,50,271.950013
-50.0,50,272.418594
-50.0,50,272.856072
-50.0,50,273.308663
-50.0,50,273.715359
-50.0,50,274.135415
-50.0,50,274.54563
-49.0,50,275.029413
-50.0,50,277.716665
-50.0,50,280.327096
-50.0,50,283.006216
-50.0,50,285.68971
-50.0,50,288.375816
-50.0,50,291.067441
-50.0,50,293.71792
-50.0,50,296.39547
-50.0,50,299.015953
-50.0,50,301.692853
-50.0,50,304.378852
-49.0,50,307.058813
-50.0,50,309.795103
-50.0,50,312.595829
-50.0,50,315.330073
-50.0,50,318.088855
-50.0,50,320.78404
-50.0,50,323.451772
-50.0,50,326.274471
-50.0,50,328.998904
-50.0,50,331.716762
-50.0,50,334.396043
-50.0,50,337.216705
-50.0,50,339.956053
-50.0,50,342.633112
-50.0,50,345.324449
-50.0,50,348.144694
-50.0,50,350.843377
-50.0,50,353.545552
-50.0,50,356.184012
-50.0,50,358.928826
-50.0,50,361.587385
-50.0,50,364.26643
-50.0,50,366.929533
-47.0,50,369.623208
-50.0,50,372.257435
-50.0,50,374.934518
-50.0,50,377.643654
-50.0,50,380.334149
-50.0,50,382.989379
-50.0,50,385.692298
-50.0,50,388.352044
-50.0,50,391.047741
-50.0,50,393.715109
-50.0,50,396.372832
-50.0,50,399.032263
-50.0,50,401.688709
-50.0,50,404.388045
-50.0,50,406.998063
-50.0,50,409.692387
-50.0,50,410.117923
-50.0,50,410.524192
-50.0,50,410.947686
-50.0,50,411.381895
-50.0,50,411.828464
-50.0,50,412.279352
-50.0,50,412.718296
-50.0,50,413.113967
-50.0,50,413.52703
-50.0,50,414.009126
-50.0,50,416.734801
-48.0,50,419.411741
-50.0,50,422.050997
-50.0,50,424.715904
-50.0,50,427.368377
-50.0,50,430.006017
-50.0,50,432.659716
-50.0,50,435.294088
-50.0,50,438.013013
-50.0,50,440.670223
-50.0,50,443.371519
-50.0,50,446.006784
-50.0,50,448.685141
-50.0,50,451.394519
-50.0,50,454.068434
-50.0,50,456.799436
-50.0,50,459.475088
-50.0,50,462.124421
-50.0,50,464.794338
-50.0,50,467.481815
-50.0,50,470.064849
-50.0,50,472.720387
-50.0,50,475.38572
-50.0,50,478.014978
-50.0,50,480.743321
-50.0,50,483.448942
-50.0,50,486.206422
-50.0,50,488.989806
-50.0,50,491.94346
-50.0,50,494.614748
-50.0,50,497.395945
-50.0,50,500.081189
-50.0,50,502.840683
-50.0,50,505.643614
-50.0,50,508.462168
-50.0,50,511.371008
-50.0,50,514.176542
-50.0,50,516.878276
-50.0,50,519.607648
-50.0,50,522.203021
-50.0,50,524.999302
-50.0,50,527.745969
-50.0,50,530.536107
-50.0,50,533.249604
-50.0,50,536.064542
-50.0,50,538.89571
-50.0,50,541.626106
-50.0,50,544.344905
-50.0,50,547.078604
-50.0,50,549.862
-50.0,50,550.288868
-50.0,50,550.801016
-50.0,50,551.354892
-50.0,50,551.796893
-50.0,50,552.233208
-50.0,50,552.694615
-50.0,50,553.17562
-50.0,50,553.619517
-49.0,50,554.02425
-50.0,50,554.489229
-50.0,50,557.118555
-50.0,50,559.79831
-50.0,50,562.546913
-50.0,50,565.210187
-50.0,50,568.080602
-50.0,50,570.85223
-50.0,50,573.593747
-50.0,50,576.30722
-50.0,50,578.935321
-50.0,50,581.748466
-50.0,50,585.152484
-50.0,50,588.283313
-50.0,50,591.12767
-50.0,50,593.815879
-50.0,50,596.536015
-50.0,50,599.308061
-50.0,50,602.032652
-50.0,50,604.771099
-50.0,50,607.434043
-50.0,50,610.199498
-50.0,50,612.904842
-50.0,50,615.593265
-50.0,50,618.305245
-50.0,50,621.055559
-50.0,50,623.802747
-50.0,50,626.514183
-50.0,50,629.413707
-50.0,50,632.156897
-50.0,50,634.799361
-50.0,50,637.586549
-50.0,50,640.383074
-50.0,50,643.172658
-50.0,50,645.837807
-50.0,50,648.4988
-50.0,50,651.228243
-47.0,50,653.895321
-50.0,50,656.725155
-50.0,50,659.639766
-50.0,50,662.378475
-50.0,50,665.134295
-50.0,50,667.886414
-50.0,50,670.679063
-50.0,50,673.579008
-50.0,50,676.325622
-50.0,50,678.953507
-44.0,50,681.746752
-50.0,50,684.511579
-50.0,50,687.353379
-50.0,50,690.08564
-47.0,50,692.846599
-50.0,50,693.323837
-47.0,50,693.771476
-46.0,50,694.201366
-50.0,50,694.661877
-50.0,50,695.174348
-50.0,50,695.680171
-50.0,50,696.249933
-50.0,50,696.718228
-50.0,50,697.1571
-50.0,50,697.609909
-50.0,50,700.26592
-50.0,50,702.964651
-50.0,50,705.676462
-50.0,50,708.471891
-50.0,50,711.231537
-50.0,50,713.982886
-50.0,50,716.720126
-50.0,50,719.385128
-50.0,50,722.047461
-50.0,50,724.760363
-50.0,50,727.674568
-50.0,50,730.585905
-50.0,50,733.295895
-50.0,50,736.068341
-50.0,50,738.812519
-42.0,50,741.528006
-50.0,50,744.234703
-50.0,50,746.969999
-50.0,50,749.62524
-50.0,50,752.334363
-50.0,50,755.101498
-45.0,50,758.008093
-50.0,50,760.758861
-50.0,50,763.577127
-50.0,50,766.265168
-50.0,50,769.177532
-50.0,50,771.865512
-50.0,50,774.722139
-50.0,50,777.528979
-50.0,50,780.282684
-50.0,50,782.988205
-50.0,50,785.738098
-43.0,50,788.616745
-50.0,50,791.428171
-50.0,50,794.284003
-48.0,50,797.072617
-50.0,50,799.755595
-50.0,50,802.583818
-50.0,50,805.330899
-39.0,50,808.114675
-50.0,50,810.799914
-50.0,50,813.496008
-50.0,50,816.193946
-50.0,50,818.960099
-50.0,50,821.752026
-50.0,50,824.470287
-50.0,50,827.235917
-50.0,50,829.954284
-50.0,50,832.631193
-50.0,50,835.448024
-50.0,50,835.893847
-48.0,50,836.334096
-50.0,50,836.778352
-50.0,50,837.22462
-50.0,50,837.670063
-50.0,50,838.163951
-49.0,50,838.658184
-50.0,50,839.103676
-14.0,50,839.503333
-48.0,50,840.110425
-50.0,50,842.835355
-50.0,50,845.546658
-50.0,50,848.28128
-50.0,50,850.925006
-50.0,50,853.583392
-50.0,50,856.319133
-50.0,50,859.019066
-46.0,50,861.750479
-50.0,50,864.499694
-50.0,50,867.161364
-50.0,50,869.871581
-44.0,50,872.557008
-47.0,50,875.342928
-50.0,50,878.025631
-50.0,50,880.811489
-50.0,50,883.522505
-50.0,50,886.26479
-50.0,50,889.078631
-50.0,50,891.7856
-50.0,50,894.506437
-50.0,50,897.214259
-50.0,50,900.030719
-50.0,50,902.863575
-50.0,50,905.766387
-50.0,50,908.542549
-50.0,50,911.208817
-50.0,50,914.14594
-50.0,50,916.954434
-50.0,50,919.810587
-50.0,50,922.569778
-50.0,50,925.264379
-21.0,50,928.016789
-50.0,50,930.768097
-50.0,50,933.404259
-50.0,50,936.211204
-50.0,50,939.058656
-50.0,50,941.772476
-50.0,50,944.496097
-50.0,50,947.256698
-50.0,50,949.988745
-50.0,50,952.747815
-50.0,50,955.543631
-50.0,50,958.423474
-44.0,50,961.154411
-50.0,50,963.941365
-50.0,50,966.665534
-50.0,50,969.329227
-50.0,50,972.108893
-50.0,50,974.904316
-50.0,50,977.765582
-50.0,50,978.255964
-50.0,50,978.721768
-47.0,50,979.212803
-50.0,50,979.6896
-50.0,50,980.165596
-50.0,50,980.696668
-50.0,50,981.220653
-50.0,50,981.738645
-50.0,50,982.188486
-50.0,50,982.738297
-50.0,50,985.422051
-50.0,50,988.153376
-50.0,50,990.822304
-50.0,50,993.517902
-50.0,50,996.347388
-50.0,50,999.054664
-50.0,50,1001.734337
-50.0,50,1004.397282
-19.0,50,1007.104782
-50.0,50,1009.824486
-50.0,50,1012.455497
-50.0,50,1015.091419
-50.0,50,1017.757404
-50.0,50,1020.440969
-43.0,50,1023.052315
-50.0,50,1025.732572
-50.0,50,1028.36509
