# {"env_id": "FetchSlideball-v1", "t_start": 1576824209.9597466} 
r,l,t
-50.0,50,5.887303
-50.0,50,8.447575
-50.0,50,10.737703
-50.0,50,13.188144
-50.0,50,15.870375
-50.0,50,18.250877
-50.0,50,20.588247
-50.0,50,22.899419
-50.0,50,25.208163
-50.0,50,27.486265
-50.0,50,29.792732
-50.0,50,32.105581
-50.0,50,34.378749
-50.0,50,36.707645
-50.0,50,39.026822
-50.0,50,41.34615
-50.0,50,43.690346
-50.0,50,46.034472
-50.0,50,48.414675
-50.0,50,50.766914
-50.0,50,53.138783
-50.0,50,55.492572
-50.0,50,57.949919
-50.0,50,60.36833
-50.0,50,62.665447
-50.0,50,64.975347
-50.0,50,67.329194
-50.0,50,69.617802
-50.0,50,72.992244
-50.0,50,76.577032
-50.0,50,79.254544
-50.0,50,81.894969
-50.0,50,84.561105
-50.0,50,87.263143
-50.0,50,89.865576
-50.0,50,92.54535
-50.0,50,95.233725
-50.0,50,97.852663
-50.0,50,100.543604
-50.0,50,103.181755
-50.0,50,105.906582
-50.0,50,108.565717
-50.0,50,111.236625
-50.0,50,113.928451
-50.0,50,116.584393
-50.0,50,119.270582
-50.0,50,121.930432
-50.0,50,124.647717
-50.0,50,127.286431
-50.0,50,129.979313
-50.0,50,132.697199
-50.0,50,133.160232
-50.0,50,133.62045
-50.0,50,134.084863
-50.0,50,134.550668
-50.0,50,135.026705
-50.0,50,135.438331
-50.0,50,135.884029
-50.0,50,136.315655
-50.0,50,136.759222
-50.0,50,137.275854
-50.0,50,139.900468
-50.0,50,142.652658
-50.0,50,145.414449
-50.0,50,148.092314
-50.0,50,150.781055
-50.0,50,153.565117
-50.0,50,156.195986
-50.0,50,158.891049
-50.0,50,161.595712
-50.0,50,164.239552
-50.0,50,166.950205
-50.0,50,169.596276
-50.0,50,172.296974
-50.0,50,175.00099
-50.0,50,177.64642
-50.0,50,180.346695
-50.0,50,183.089898
-50.0,50,185.76666
-50.0,50,188.407166
-6.0,50,191.089962
-50.0,50,193.767911
-50.0,50,196.465932
-50.0,50,199.273864
-50.0,50,201.919916
-50.0,50,204.603014
-50.0,50,207.243644
-50.0,50,209.815963
-50.0,50,212.49771
-50.0,50,215.136244
-50.0,50,217.786743
-50.0,50,220.529907
-50.0,50,223.206794
-50.0,50,225.897487
-50.0,50,228.561831
-50.0,50,231.242129
-50.0,50,233.91956
-50.0,50,236.624259
-50.0,50,239.286284
-50.0,50,241.883277
-50.0,50,244.503025
-50.0,50,247.140855
-50.0,50,249.870686
-50.0,50,252.55874
-50.0,50,255.164396
-50.0,50,257.818904
-50.0,50,260.475583
-45.0,50,263.228175
-50.0,50,265.934575
-50.0,50,268.613671
-50.0,50,271.305
-50.0,50,271.736401
-50.0,50,272.164467
-50.0,50,272.584782
-50.0,50,273.024741
-50.0,50,273.417283
-50.0,50,273.826167
-50.0,50,274.235942
-50.0,50,274.668705
-50.0,50,275.07778
-50.0,50,275.588941
-50.0,50,278.258517
-50.0,50,280.869318
-50.0,50,283.560975
-50.0,50,286.242843
-50.0,50,288.911545
-50.0,50,291.613999
-50.0,50,294.256679
-50.0,50,296.97083
-50.0,50,299.555412
-50.0,50,302.234413
-50.0,50,304.918372
-50.0,50,307.606525
-50.0,50,310.356842
-50.0,50,313.150391
-50.0,50,315.898271
-50.0,50,318.663415
-50.0,50,321.359398
-50.0,50,323.987936
-50.0,50,326.79756
-50.0,50,329.547929
-50.0,50,332.251475
-50.0,50,334.934155
-50.0,50,337.752389
-50.0,50,340.537674
-50.0,50,343.191173
-50.0,50,345.858526
-50.0,50,348.693619
-50.0,50,351.377854
-50.0,50,354.124513
-50.0,50,356.762465
-50.0,50,359.47332
-50.0,50,362.192413
-50.0,50,364.840239
-50.0,50,367.50314
-50.0,50,370.170341
-50.0,50,372.843799
-50.0,50,375.513435
-50.0,50,378.183619
-50.0,50,380.902489
-50.0,50,383.560149
-50.0,50,386.226031
-50.0,50,388.958535
-50.0,50,391.624494
-50.0,50,394.247817
-50.0,50,396.917373
-50.0,50,399.64532
-50.0,50,402.261065
-50.0,50,404.961701
-50.0,50,407.574009
-50.0,50,410.247031
-50.0,50,410.717387
-50.0,50,411.144549
-50.0,50,411.605613
-50.0,50,412.037112
-50.0,50,412.459639
-50.0,50,412.904418
-50.0,50,413.308183
-50.0,50,413.730648
-50.0,50,414.135179
-50.0,50,414.596721
-50.0,50,417.317287
-50.0,50,419.942501
-50.0,50,422.609185
