# {"env_id": "FetchSlideball-v3", "t_start": 1580485716.8344147} 
r,l,t
-50.0,50,9.14257
-50.0,50,14.499792
-50.0,50,17.111861
-50.0,50,19.67203
-50.0,50,22.237822
-50.0,50,24.770358
-50.0,50,27.44498
-50.0,50,30.049958
-50.0,50,32.677134
-50.0,50,35.240923
-50.0,50,37.854653
-50.0,50,40.486483
-50.0,50,43.054415
-50.0,50,45.686328
-50.0,50,48.234414
-50.0,50,50.898586
-50.0,50,53.666253
-50.0,50,56.37377
-50.0,50,59.023221
-50.0,50,61.631322
-50.0,50,66.403054
-50.0,50,69.334536
-50.0,50,71.903824
-50.0,50,74.522732
-50.0,50,77.131006
-50.0,50,80.975006
-50.0,50,84.856441
-50.0,50,87.484769
-50.0,50,91.393527
-50.0,50,94.00106
-50.0,50,96.563335
-50.0,50,99.190386
-50.0,50,101.75708
-50.0,50,104.435209
-50.0,50,107.032802
-50.0,50,109.672379
-50.0,50,112.257197
-50.0,50,114.896559
-50.0,50,119.176886
-50.0,50,122.613451
-50.0,50,125.258703
-50.0,50,127.852354
-50.0,50,130.504158
-50.0,50,133.115493
-50.0,50,135.733676
-50.0,50,140.832116
-50.0,50,144.677675
-50.0,50,147.853797
-50.0,50,152.310904
-50.0,50,154.861743
-50.0,50,158.686474
-50.0,50,159.102195
-50.0,50,159.539541
-50.0,50,159.971738
-50.0,50,160.383845
-50.0,50,160.829508
-50.0,50,161.252391
-50.0,50,161.672883
-50.0,50,162.10869
-50.0,50,163.255941
-50.0,50,165.243585
-50.0,50,168.484773
-50.0,50,171.117745
-50.0,50,173.729501
-50.0,50,176.430204
-50.0,50,179.00816
-50.0,50,181.650053
-50.0,50,184.292006
-50.0,50,186.891689
-50.0,50,189.462391
-50.0,50,194.432939
-50.0,50,197.05296
-50.0,50,199.664617
-50.0,50,202.272591
-50.0,50,204.9185
-50.0,50,207.506192
-50.0,50,210.147713
-50.0,50,212.763199
-50.0,50,215.363087
-50.0,50,217.933321
-50.0,50,220.57953
-50.0,50,223.147988
-50.0,50,225.780383
-50.0,50,228.8052
-50.0,50,233.497326
-50.0,50,236.217968
-50.0,50,238.873519
-50.0,50,241.571227
-50.0,50,244.207149
-50.0,50,246.851154
-50.0,50,249.482802
-50.0,50,254.498211
-50.0,50,257.149619
-50.0,50,259.80472
-50.0,50,263.79671
-50.0,50,266.470588
-50.0,50,269.88832
-50.0,50,274.556623
-50.0,50,277.455861
-50.0,50,281.467904
-50.0,50,284.30306
-50.0,50,287.570577
-50.0,50,290.905478
-50.0,50,294.063477
-50.0,50,299.373284
-50.0,50,302.087516
-50.0,50,305.303352
-50.0,50,308.633161
-50.0,50,313.576054
-50.0,50,319.36539
-50.0,50,325.87184
-50.0,50,326.460993
-50.0,50,327.068487
-50.0,50,327.669634
-50.0,50,328.351904
-50.0,50,328.985322
-50.0,50,329.545146
-50.0,50,331.066752
-50.0,50,333.017315
-50.0,50,334.236162
-50.0,50,335.17738
-50.0,50,341.584682
-50.0,50,345.702362
-50.0,50,349.864535
-50.0,50,355.5116
-50.0,50,360.097271
-50.0,50,364.728894
-50.0,50,369.28706
-50.0,50,372.823818
-50.0,50,378.579343
-50.0,50,381.6927
-50.0,50,387.275748
-50.0,50,390.033805
-50.0,50,393.007264
-50.0,50,399.467088
-50.0,50,402.261284
-50.0,50,404.905536
-50.0,50,408.393941
-50.0,50,411.649999
-50.0,50,415.661475
