# {"t_start": 1580485717.9320276, "env_id": "FetchSlideball-v3"} 
r,l,t
-50.0,50,8.059873
-50.0,50,13.387603
-50.0,50,15.988634
-50.0,50,18.614532
-50.0,50,21.142791
-50.0,50,23.714485
-50.0,50,26.369281
-50.0,50,28.939374
-50.0,50,31.621211
-50.0,50,34.116317
-50.0,50,36.782234
-50.0,50,39.365319
-50.0,50,41.96358
-50.0,50,44.589926
-50.0,50,47.123394
-50.0,50,49.803711
-50.0,50,52.535604
-50.0,50,55.254978
-50.0,50,57.942187
-50.0,50,60.530444
-50.0,50,65.397637
-50.0,50,68.269093
-50.0,50,70.788552
-50.0,50,73.442705
-50.0,50,75.981941
-50.0,50,79.924882
-50.0,50,83.768828
-50.0,50,86.377823
-50.0,50,90.301199
-50.0,50,92.896582
-50.0,50,95.491046
-50.0,50,98.076334
-50.0,50,100.694627
-50.0,50,103.345292
-50.0,50,105.926096
-50.0,50,108.610729
-50.0,50,111.194376
-50.0,50,113.792013
-50.0,50,118.234225
-50.0,50,121.542913
-50.0,50,124.160982
-50.0,50,126.736888
-50.0,50,129.405432
-50.0,50,131.991247
-50.0,50,134.619525
-50.0,50,139.680236
-50.0,50,143.598797
-50.0,50,146.552727
-50.0,50,151.216215
-50.0,50,153.790474
-50.0,50,157.573392
-50.0,50,158.016629
-50.0,50,158.449055
-50.0,50,158.862558
-50.0,50,159.302156
-50.0,50,159.750553
-50.0,50,160.207264
-50.0,50,160.632015
-50.0,50,161.071997
-50.0,50,162.346207
-50.0,50,164.141384
-50.0,50,167.376573
-50.0,50,170.034442
-50.0,50,172.6368
-50.0,50,175.30914
-50.0,50,177.903401
-50.0,50,180.549965
-50.0,50,183.164901
-50.0,50,185.787721
-50.0,50,188.370051
-50.0,50,193.333542
-50.0,50,195.957504
-50.0,50,198.547717
-50.0,50,201.145802
-50.0,50,203.804298
-50.0,50,206.415311
-50.0,50,209.051468
-50.0,50,211.649386
-50.0,50,214.264609
-50.0,50,216.840092
-50.0,50,219.47145
-50.0,50,222.080425
-50.0,50,224.689747
-50.0,50,227.794184
-50.0,50,232.387771
