epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.81660414,0.2539887,0.17355154,0.05971999,20.0,-3.2263198,0.0,100.0,0.0
1,0.8157689,0.25323024,0.17338185,0.057940997,40.0,-5.3514047,0.0,200.0,0.0
2,0.81468374,0.2537743,0.17313944,0.058133125,60.0,-7.3560133,0.0,300.0,0.0
3,0.8140413,0.25453976,0.17314482,0.057902675,80.0,-9.413936,0.0,400.0,0.0
4,0.8139455,0.25477734,0.17318629,0.0581385,100.0,-11.2906475,0.0,500.0,0.0
5,0.813196,0.25659198,0.17313558,0.059094477,120.0,-13.176023,0.0,600.0,0.0
6,0.8127983,0.25669274,0.17302361,0.059281953,140.0,-14.936333,0.0,700.0,0.0
7,0.81221646,0.25785252,0.17297398,0.060568996,160.0,-16.520885,0.0,800.0,0.0
8,0.81157416,0.25848934,0.17289214,0.06128958,180.0,-18.207525,0.0,900.0,0.0
9,0.81151086,0.25910828,0.17283659,0.061641503,200.0,-19.63219,0.0,1000.0,0.0
10,0.8113925,0.259402,0.17283946,0.062133648,220.0,-21.074484,0.0,1100.0,0.0
11,0.8112667,0.25940922,0.17282417,0.06227193,240.0,-22.41114,0.0,1200.0,0.0
12,0.8112305,0.2601001,0.17283085,0.062778994,260.0,-23.70211,0.0,1300.0,0.0
13,0.81171083,0.26160103,0.17290321,0.06359291,280.0,-24.411325,0.0,1400.0,0.0
14,0.8128619,0.26562884,0.17325424,0.06629052,300.0,-25.190145,0.0,1500.0,0.0019999999552965165
15,0.8147251,0.27290246,0.17379217,0.07061577,320.0,-25.888351,0.0,1600.0,0.0
16,0.81708086,0.2820353,0.1744553,0.07658013,340.0,-25.399944,0.010000000149011612,1700.0,0.0019999999552965165
17,0.82220125,0.29102674,0.17564978,0.08283982,360.0,-25.986439,0.005000000074505806,1800.0,0.007000000029802322
18,0.8279683,0.29787627,0.17713286,0.08796506,380.0,-25.021318,0.005000000074505806,1900.0,0.004999999888241291
19,0.8340184,0.30150226,0.178615,0.09192289,400.0,-24.07788,0.010000000149011612,2000.0,0.005999999865889549
20,0.83869,0.3021611,0.17974347,0.09427104,420.0,-24.554625,0.005000000074505806,2100.0,0.0009999999776482583
21,0.83974963,0.30082563,0.17998141,0.0944106,440.0,-25.942402,0.010000000149011612,2200.0,0.0029999999329447745
22,0.8393818,0.2989986,0.17985833,0.0937532,460.0,-26.585617,0.015000000223517418,2300.0,0.0009999999776482583
23,0.839238,0.2975292,0.17977896,0.09317964,480.0,-28.109852,0.015000000223517418,2400.0,0.0019999999552965165
24,0.8402897,0.29662773,0.18001555,0.093317896,500.0,-28.0584,0.005000000074505806,2500.0,0.0019999999552965165
25,0.8413509,0.29586694,0.18023907,0.09371237,520.0,-29.570745,0.0,2600.0,0.0019999999552965165
26,0.84253013,0.29518923,0.18047707,0.09427262,540.0,-29.652103,0.0,2700.0,0.0019999999552965165
27,0.84384745,0.29490212,0.18073338,0.09530029,560.0,-29.221994,0.0,2800.0,0.0029999999329447745
28,0.8469402,0.29614604,0.18141843,0.098416604,580.0,-27.017078,0.010000000149011612,2900.0,0.003999999910593033
29,0.85126483,0.2980991,0.18210717,0.10218753,600.0,-26.248285,0.005000000074505806,3000.0,0.009999999776482582
30,0.85724515,0.30033442,0.18329914,0.106566265,620.0,-22.503063,0.02500000074505806,3100.0,0.014999999478459359
31,0.8633253,0.30127734,0.18458681,0.10995016,640.0,-22.481192,0.005000000074505806,3200.0,0.02199999913573265
32,0.868025,0.301464,0.18556662,0.11221792,660.0,-23.683117,0.005000000074505806,3300.0,0.017000000551342966
33,0.87172127,0.30171433,0.18634896,0.11381116,680.0,-24.80063,0.015000000223517418,3400.0,0.009999999776482582
34,0.87504673,0.3015442,0.18712194,0.11545521,700.0,-25.547276,0.02500000037252903,3500.0,0.007999999821186066
35,0.87776977,0.30161086,0.18773305,0.11648502,720.0,-26.298712,0.020000000298023225,3600.0,0.01699999962002039
36,0.8795231,0.30104133,0.18806444,0.116858795,740.0,-27.349432,0.020000000298023225,3700.0,0.010999999754130841
37,0.88035023,0.30083802,0.18818925,0.117143095,760.0,-27.825855,0.005000000074505806,3800.0,0.003999999910593033
38,0.8812634,0.30107597,0.18834339,0.11742065,780.0,-28.940113,0.0,3900.0,0.009999999776482582
39,0.88195306,0.30120698,0.18843383,0.11765243,800.0,-28.436382,0.010000000149011612,4000.0,0.005999999865889549
40,0.8834159,0.30134055,0.18867044,0.118052706,820.0,-27.85546,0.015000000223517418,4100.0,0.011999999731779098
41,0.8852604,0.3017719,0.18895955,0.11861563,840.0,-28.341846,0.020000000298023225,4200.0,0.009999999776482582
42,0.8869112,0.3019381,0.18926132,0.11910282,860.0,-29.05019,0.030000000447034835,4300.0,0.012999999523162841
43,0.88862145,0.30197802,0.18954937,0.11945139,880.0,-29.206486,0.05000000149011612,4400.0,0.014999999664723873
44,0.89060754,0.30237177,0.18986762,0.12014674,900.0,-29.244495,0.02500000037252903,4500.0,0.009999999590218068
45,0.89332885,0.30271733,0.19037934,0.12093085,920.0,-29.207224,0.005000000074505806,4600.0,0.007999999821186066
46,0.8956746,0.30306253,0.19088823,0.12156965,940.0,-28.966766,0.02500000037252903,4700.0,0.008999999798834323
47,0.89801395,0.3034151,0.19138592,0.12226908,960.0,-28.044256,0.02500000037252903,4800.0,0.024
48,0.89970315,0.30326948,0.1917346,0.12264802,980.0,-27.57684,0.09,4900.0,0.013999999687075614
49,0.90141565,0.30318698,0.19204503,0.122961834,1000.0,-26.901068,0.07000000476837158,5000.0,0.027999997
