# {"env_id": "FetchSlideball-v4", "t_start": 1580668952.0714717} 
r,l,t
-100.0,100,7.25236
-100.0,100,10.655379
-100.0,100,13.942392
-100.0,100,17.097706
-100.0,100,20.691603
-100.0,100,24.463643
-100.0,100,28.044825
-100.0,100,31.583062
-100.0,100,35.1367
-100.0,100,38.699398
-100.0,100,42.349369
-100.0,100,45.925888
-100.0,100,49.502918
-100.0,100,53.079052
-100.0,100,56.540286
-100.0,100,60.201548
-100.0,100,63.748044
-100.0,100,67.241605
-100.0,100,70.868313
-100.0,100,74.461603
-100.0,100,77.952584
-100.0,100,81.508677
-100.0,100,85.079554
-100.0,100,88.637121
-100.0,100,92.587513
-100.0,100,96.736152
-100.0,100,101.0481
-100.0,100,105.431552
-100.0,100,109.644363
-100.0,100,114.027892
-100.0,100,118.344273
-100.0,100,122.534741
-100.0,100,126.919919
-100.0,100,131.287399
-100.0,100,135.536019
-100.0,100,139.786215
-100.0,100,144.03955
-100.0,100,148.478673
-100.0,100,152.769147
-100.0,100,157.019249
-100.0,100,161.292635
-100.0,100,165.692251
-100.0,100,169.980719
-100.0,100,174.197378
-100.0,100,178.579712
-100.0,100,182.910888
-100.0,100,187.229731
-100.0,100,191.627232
-100.0,100,195.814061
-100.0,100,200.149732
-100.0,100,204.513847
-100.0,100,205.577751
-100.0,100,206.702171
-100.0,100,207.814595
-100.0,100,208.908119
-100.0,100,210.045848
-100.0,100,211.164554
-100.0,100,212.315217
-100.0,100,213.451715
-100.0,100,214.627887
-100.0,100,216.077064
-100.0,100,219.850562
-100.0,100,223.616823
-100.0,100,227.284712
-100.0,100,230.50756
-100.0,100,233.704133
-100.0,100,236.908904
-100.0,100,240.729467
-100.0,100,244.382849
-100.0,100,247.879668
-100.0,100,251.086415
-100.0,100,254.208691
-100.0,100,257.380033
-100.0,100,260.543639
-100.0,100,264.091162
-100.0,100,267.630846
-100.0,100,271.558196
-100.0,100,275.093992
-100.0,100,279.048676
-100.0,100,282.406312
-100.0,100,286.323491
-100.0,100,289.918095
-100.0,100,294.093071
-100.0,100,298.354282
-100.0,100,301.717398
-100.0,100,305.385374
-100.0,100,308.558309
-100.0,100,312.108626
-100.0,100,317.320981
-100.0,100,322.111043
-100.0,100,325.395518
-100.0,100,329.090138
-100.0,100,332.261473
-100.0,100,336.352549
-100.0,100,340.128434
-100.0,100,343.704667
-100.0,100,347.446784
-100.0,100,351.09387
-100.0,100,354.477667
-100.0,100,358.485988
-100.0,100,361.952512
-100.0,100,365.88932
-100.0,100,369.603464
-100.0,100,373.121039
-100.0,100,376.794626
-100.0,100,380.436304
-100.0,100,383.968616
-100.0,100,387.594172
-100.0,100,391.144362
-100.0,100,395.622679
-100.0,100,399.163338
-100.0,100,400.13101
-100.0,100,401.178935
-100.0,100,402.166378
-100.0,100,403.109131
-100.0,100,404.118842
-100.0,100,405.115354
-100.0,100,406.185244
-100.0,100,407.256433
-100.0,100,408.272711
-100.0,100,409.42132
-100.0,100,413.048761
-100.0,100,416.775234
-100.0,100,420.436178
-100.0,100,424.247456
-100.0,100,428.035721
-100.0,100,431.826292
-100.0,100,435.644711
-100.0,100,439.405064
-100.0,100,443.244567
-100.0,100,446.875449
-100.0,100,450.421786
-100.0,100,454.011581
-100.0,100,457.493496
-100.0,100,461.064155
-100.0,100,464.633605
-100.0,100,468.155826
-100.0,100,471.690509
-100.0,100,475.151659
-100.0,100,478.669402
-100.0,100,482.398275
-100.0,100,486.207065
-100.0,100,489.879805
-100.0,100,493.391354
-100.0,100,496.972503
-100.0,100,500.469296
-100.0,100,504.023472
-100.0,100,507.543751
-100.0,100,511.092135
-100.0,100,514.641768
-100.0,100,518.185869
-100.0,100,521.739345
-100.0,100,525.249134
-100.0,100,528.962582
-100.0,100,532.592649
-100.0,100,536.050244
-100.0,100,539.621936
-100.0,100,543.130973
-100.0,100,546.635826
-100.0,100,550.086089
-100.0,100,553.64176
-100.0,100,557.283062
-100.0,100,560.899655
-100.0,100,564.540876
-100.0,100,568.093133
-100.0,100,571.57909
-100.0,100,575.102155
-100.0,100,578.591905
-100.0,100,582.114309
-100.0,100,585.681228
-100.0,100,589.257205
-100.0,100,590.256508
-100.0,100,591.234302
-100.0,100,592.320154
-100.0,100,593.422338
-100.0,100,594.482064
-100.0,100,595.589792
-100.0,100,596.631329
-100.0,100,597.630612
-100.0,100,598.695305
-100.0,100,599.880896
-100.0,100,603.41329
-100.0,100,606.924878
-100.0,100,610.532581
-100.0,100,613.971524
-100.0,100,617.540946
-100.0,100,621.075584
-100.0,100,624.524853
-100.0,100,628.150935
-100.0,100,631.688491
-100.0,100,635.159493
-100.0,100,638.634462
-100.0,100,642.249975
-100.0,100,645.689208
-100.0,100,649.22131
-100.0,100,652.721526
-100.0,100,656.23817
-100.0,100,659.802831
-100.0,100,663.308804
-100.0,100,666.793784
-100.0,100,670.287778
-100.0,100,673.801599
-100.0,100,677.330402
-100.0,100,680.897391
-100.0,100,684.435555
-100.0,100,687.92172
-100.0,100,691.478104
-100.0,100,695.049737
-100.0,100,698.567563
-100.0,100,702.081751
-100.0,100,705.616318
-100.0,100,709.213233
-100.0,100,712.713719
-100.0,100,716.275841
-100.0,100,719.786742
-100.0,100,723.282124
-100.0,100,726.860942
-100.0,100,730.344599
-100.0,100,733.948922
-100.0,100,737.472699
-100.0,100,740.988899
-100.0,100,744.517627
-100.0,100,748.035471
-100.0,100,751.517668
-100.0,100,755.034151
-100.0,100,758.598099
-100.0,100,762.134819
-100.0,100,765.664498
-100.0,100,769.117818
-100.0,100,772.636151
-100.0,100,776.113667
-100.0,100,777.125006
-100.0,100,778.167859
-100.0,100,779.197295
-100.0,100,780.190779
-100.0,100,781.226794
-100.0,100,782.262836
-100.0,100,783.231714
-100.0,100,784.269157
-100.0,100,785.254591
-100.0,100,786.566506
-100.0,100,790.060983
-100.0,100,793.579437
-100.0,100,797.142224
-100.0,100,800.670781
-100.0,100,804.180653
-100.0,100,807.661451
-100.0,100,811.443684
-100.0,100,815.109722
-100.0,100,818.666459
-100.0,100,822.259387
-100.0,100,825.727205
-100.0,100,829.299346
-100.0,100,832.860972
-100.0,100,836.362204
-100.0,100,839.881827
-100.0,100,843.442872
-100.0,100,847.000402
-100.0,100,850.695866
-100.0,100,854.402979
-100.0,100,858.00981
-100.0,100,861.550511
-100.0,100,865.091806
-100.0,100,868.656573
-100.0,100,872.168153
-100.0,100,875.726507
-100.0,100,879.196943
-100.0,100,882.764809
-100.0,100,886.280617
-100.0,100,889.821439
-100.0,100,893.382442
-100.0,100,896.928133
-100.0,100,900.353007
-100.0,100,903.905898
-100.0,100,907.484383
-100.0,100,911.00792
-100.0,100,915.119349
-100.0,100,918.751255
-100.0,100,922.341265
-100.0,100,925.868978
-100.0,100,929.362141
-100.0,100,932.902597
-100.0,100,936.467379
-100.0,100,939.914841
-100.0,100,943.503799
-100.0,100,946.979455
-100.0,100,950.507203
-100.0,100,954.059028
-100.0,100,957.590569
-100.0,100,961.120975
-100.0,100,964.57244
-100.0,100,965.543655
-100.0,100,966.483395
-100.0,100,967.501139
-100.0,100,968.552397
-100.0,100,969.516138
-100.0,100,970.5942
-100.0,100,971.608723
-100.0,100,972.64547
-100.0,100,973.772038
-100.0,100,975.046345
-100.0,100,978.631322
-100.0,100,982.075881
-100.0,100,985.639477
-100.0,100,989.103435
-100.0,100,992.698022
-100.0,100,996.137132
-100.0,100,999.699371
-100.0,100,1003.170077
-100.0,100,1007.511613
-100.0,100,1011.143772
-100.0,100,1015.073049
-100.0,100,1018.670576
-100.0,100,1022.255188
-100.0,100,1026.029673
-100.0,100,1029.702294
-100.0,100,1033.304268
-100.0,100,1036.951399
