epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8158287,0.26901475,0.1727382,0.0976011,20.0,-3.0989232,0.0,100.0,0.0
1,0.8145259,0.25991258,0.17329994,0.08909566,40.0,-5.2775016,0.0,200.0,0.0
2,0.8154581,0.25829813,0.17347355,0.086792134,60.0,-7.3985214,0.0,300.0,0.0
3,0.81494397,0.2612922,0.1734889,0.08653804,80.0,-9.662365,0.0,400.0,0.0
4,0.81443274,0.2619578,0.17344204,0.08720378,100.0,-11.890345,0.0,500.0,0.0
5,0.8141219,0.2600724,0.17331514,0.085540295,120.0,-13.931183,0.0,600.0,0.0
6,0.81402093,0.26016286,0.17317873,0.08504636,140.0,-15.9692135,0.0,700.0,0.0
7,0.8142451,0.25969645,0.17314702,0.08475447,160.0,-17.906982,0.0,800.0,0.0
8,0.8143381,0.26071128,0.17315651,0.084687985,180.0,-19.918468,0.0,900.0,0.0
9,0.81443006,0.2593892,0.17321357,0.08397927,200.0,-21.925165,0.0,1000.0,0.0
10,0.81459457,0.25916785,0.17329413,0.08382546,220.0,-23.670101,0.0,1100.0,0.0
11,0.8144921,0.259012,0.17329223,0.08320365,240.0,-25.60555,0.0,1200.0,0.0
12,0.8147896,0.25906527,0.17337447,0.0828653,260.0,-27.327473,0.0,1300.0,0.0
13,0.81452036,0.25917768,0.1734401,0.082931235,280.0,-29.009222,0.0,1400.0,0.0
14,0.81460494,0.2596825,0.17347246,0.08321351,300.0,-30.731482,0.0,1500.0,0.0
15,0.8145153,0.2594439,0.17352758,0.08308873,320.0,-32.41334,0.0,1600.0,0.0
16,0.81456625,0.2592089,0.17352119,0.08331567,340.0,-33.997387,0.0,1700.0,0.0
17,0.81460935,0.258922,0.17352302,0.08345502,360.0,-35.66146,0.0,1800.0,0.0
18,0.8145976,0.25939718,0.17357033,0.08412769,380.0,-36.76296,0.0,1900.0,0.0
19,0.81448543,0.25939038,0.17355546,0.08537358,400.0,-36.88731,0.0,2000.0,0.0
20,0.8144348,0.26037237,0.1733634,0.087759696,420.0,-37.027985,0.0,2100.0,0.0
21,0.8143649,0.26146105,0.17318322,0.090397246,440.0,-38.767776,0.0,2200.0,0.0
22,0.81432074,0.2621034,0.1730934,0.09209313,460.0,-40.11565,0.0,2300.0,0.0
23,0.81437606,0.26270822,0.17298836,0.09350137,480.0,-41.533913,0.0,2400.0,0.0
24,0.81442386,0.2633145,0.1728737,0.0947861,500.0,-42.7353,0.0,2500.0,0.0
