# {"t_start": 1580681607.03377, "env_id": "FetchSlideball-v4"} 
r,l,t
-100.0,100,8.546346
-100.0,100,12.751666
-100.0,100,17.050836
-100.0,100,20.283306
-100.0,100,24.064068
-100.0,100,27.640891
-100.0,100,31.287148
-100.0,100,34.92943
-100.0,100,38.496179
-100.0,100,42.265511
-100.0,100,45.983752
-100.0,100,49.687371
-100.0,100,53.433149
-100.0,100,56.798955
-100.0,100,59.920096
-100.0,100,63.047624
-100.0,100,66.383412
-100.0,100,69.550824
-100.0,100,72.667158
-100.0,100,75.814534
-100.0,100,78.966663
-100.0,100,82.102647
-100.0,100,85.414114
-100.0,100,88.694233
-100.0,100,91.91811
-100.0,100,94.981596
-100.0,100,98.084583
-100.0,100,101.195694
-100.0,100,104.31005
-100.0,100,107.413074
-100.0,100,110.573299
-100.0,100,113.616599
-100.0,100,116.768138
-100.0,100,119.819189
-100.0,100,122.995322
-100.0,100,126.225616
-100.0,100,129.370467
-100.0,100,132.430794
-100.0,100,135.590005
-100.0,100,138.65655
-100.0,100,141.819487
-100.0,100,145.0305
-100.0,100,148.157931
-100.0,100,151.182541
-100.0,100,154.295278
-100.0,100,157.481695
-100.0,100,160.640379
-100.0,100,163.76796
-100.0,100,166.852332
-100.0,100,169.985752
-100.0,100,173.182182
-100.0,100,174.145187
-100.0,100,175.115428
-100.0,100,176.131268
-100.0,100,177.086172
-100.0,100,178.119816
-100.0,100,179.116078
-100.0,100,180.148499
-100.0,100,181.116721
-100.0,100,182.075799
-100.0,100,183.319623
-100.0,100,186.699372
-100.0,100,190.182046
-100.0,100,193.333129
-100.0,100,196.467261
-100.0,100,199.626871
-100.0,100,202.721397
-100.0,100,205.962549
-100.0,100,209.183645
-100.0,100,212.337628
-100.0,100,215.444216
-100.0,100,218.685622
-100.0,100,221.976648
-100.0,100,225.170281
-100.0,100,228.371085
-100.0,100,231.591387
-100.0,100,234.864681
-100.0,100,238.072513
-100.0,100,241.298312
-100.0,100,244.544755
-100.0,100,247.691565
-100.0,100,250.834278
-100.0,100,254.002706
-100.0,100,257.127894
-100.0,100,260.430112
-100.0,100,263.553163
-100.0,100,266.676336
-100.0,100,269.827011
-100.0,100,272.962477
-100.0,100,276.154551
-100.0,100,279.482214
-100.0,100,282.7105
-100.0,100,285.917709
-100.0,100,289.011784
-100.0,100,292.245448
-100.0,100,295.325751
-100.0,100,298.417111
-100.0,100,301.570458
-100.0,100,304.76708
-100.0,100,307.946048
-100.0,100,311.099734
-100.0,100,314.248567
-100.0,100,317.43174
-100.0,100,320.508586
-100.0,100,323.630219
-100.0,100,326.720325
-100.0,100,329.859818
-100.0,100,333.201548
-100.0,100,336.536942
-100.0,100,339.741463
-100.0,100,342.929893
-100.0,100,343.906299
-100.0,100,344.841817
-100.0,100,345.79957
-100.0,100,346.779077
-100.0,100,347.78773
-100.0,100,348.751893
-100.0,100,349.764927
-100.0,100,350.673093
-100.0,100,351.685538
-100.0,100,352.93724
-100.0,100,356.129195
-100.0,100,359.235913
-100.0,100,362.344035
-100.0,100,365.634569
-100.0,100,368.714962
-100.0,100,372.003832
-100.0,100,375.105093
-100.0,100,378.284617
-100.0,100,381.456003
-100.0,100,384.59485
-100.0,100,387.754071
-100.0,100,391.006859
-100.0,100,394.117246
-100.0,100,397.332486
-100.0,100,400.445349
-100.0,100,403.567839
-100.0,100,406.749256
-100.0,100,409.88102
-100.0,100,413.007456
-100.0,100,416.72708
-100.0,100,419.919546
-100.0,100,423.121451
-100.0,100,426.334305
-100.0,100,429.458083
-100.0,100,432.707597
-100.0,100,435.820385
-100.0,100,438.958411
