# {"t_start": 1580854074.4380176, "env_id": "FetchSlideball-v6"} 
r,l,t
-75.0,75,7.635898
-75.0,75,13.255985
-75.0,75,18.877597
-75.0,75,21.838015
-75.0,75,25.999639
-75.0,75,29.131663
-75.0,75,34.853878
-75.0,75,39.737026
-75.0,75,44.966586
-75.0,75,49.350371
-75.0,75,54.979663
-75.0,75,60.560897
-75.0,75,65.359388
-75.0,75,69.478338
-75.0,75,75.455758
-75.0,75,79.375642
-75.0,75,84.813501
-75.0,75,89.297896
-75.0,75,92.319184
-75.0,75,96.740831
-75.0,75,103.039068
-75.0,75,106.490466
-75.0,75,111.520682
-75.0,75,117.538366
-75.0,75,120.831528
-75.0,75,126.236119
-75.0,75,129.567474
-75.0,75,134.329092
-75.0,75,137.896899
-75.0,75,144.991742
-75.0,75,148.069878
-75.0,75,154.462891
-75.0,75,159.288695
-75.0,75,163.219379
-75.0,75,167.24825
-75.0,75,172.464845
-75.0,75,177.756274
-75.0,75,186.203537
-75.0,75,191.348649
-75.0,75,196.955012
-75.0,75,200.121492
-75.0,75,204.518355
-75.0,75,209.01189
-75.0,75,215.094129
-75.0,75,218.51176
-75.0,75,222.879665
-75.0,75,230.208085
-75.0,75,233.754081
-75.0,75,239.836972
-75.0,75,243.348873
-75.0,75,249.316955
-75.0,75,250.092175
-75.0,75,250.876872
-75.0,75,251.648591
-75.0,75,254.170825
-75.0,75,256.084036
-75.0,75,256.775438
-75.0,75,257.466308
-75.0,75,258.197242
-75.0,75,258.970395
-75.0,75,259.802529
-75.0,75,264.314162
-75.0,75,268.616626
-75.0,75,274.613358
-75.0,75,278.487622
-75.0,75,283.267677
-75.0,75,288.74544
-75.0,75,292.505636
-75.0,75,297.971719
-75.0,75,302.620795
-75.0,75,306.973428
-75.0,75,310.81725
-75.0,75,316.512363
-75.0,75,322.465619
-75.0,75,325.915464
-75.0,75,330.262914
-75.0,75,336.533176
-75.0,75,340.254722
-75.0,75,345.895216
-75.0,75,348.829674
-75.0,75,354.372698
-75.0,75,358.414272
-75.0,75,362.894318
-75.0,75,367.39123
-75.0,75,370.299117
-75.0,75,375.775837
-75.0,75,379.031911
-75.0,75,384.228018
-75.0,75,387.121392
-75.0,75,391.301081
-75.0,75,397.089037
-75.0,75,400.128779
-75.0,75,405.659159
-75.0,75,408.844076
-75.0,75,414.278153
-75.0,75,417.269658
-75.0,75,423.139261
-75.0,75,429.482557
-75.0,75,433.334817
-75.0,75,438.431679
-75.0,75,446.219542
-75.0,75,452.889544
-75.0,75,457.070254
-75.0,75,463.494273
-75.0,75,470.649407
-75.0,75,475.93477
-75.0,75,482.85769
-75.0,75,489.742385
-75.0,75,493.894339
-75.0,75,501.001679
-75.0,75,507.11231
-75.0,75,509.603278
-75.0,75,511.829504
-75.0,75,512.693583
-75.0,75,513.509043
-75.0,75,514.386088
-75.0,75,515.229948
-75.0,75,517.500844
-75.0,75,519.910303
-75.0,75,520.74843
-75.0,75,521.709812
-75.0,75,528.387006
-75.0,75,532.619689
-75.0,75,539.084646
-75.0,75,544.305108
-75.0,75,552.417605
-75.0,75,556.891566
-75.0,75,563.155801
-75.0,75,570.255355
-75.0,75,575.989598
-75.0,75,581.816126
-75.0,75,587.564993
-75.0,75,593.451332
-75.0,75,599.311032
-75.0,75,606.25574
-75.0,75,613.12604
-75.0,75,619.20644
-75.0,75,625.321358
-75.0,75,631.318845
-75.0,75,638.617932
-75.0,75,644.694854
-75.0,75,650.823461
-75.0,75,656.484429
-75.0,75,662.407965
-75.0,75,668.495167
-75.0,75,675.525789
-75.0,75,682.019978
-75.0,75,685.144721
-75.0,75,689.875302
-75.0,75,692.959389
-75.0,75,695.808667
-75.0,75,698.783649
-75.0,75,701.714804
-75.0,75,704.650067
-75.0,75,707.533494
-75.0,75,710.331501
-75.0,75,713.246464
-75.0,75,716.105451
-75.0,75,718.99868
-75.0,75,721.973061
-75.0,75,724.796491
-75.0,75,727.729744
-75.0,75,730.842406
-75.0,75,733.888432
-75.0,75,736.890512
-75.0,75,739.895673
-75.0,75,742.90332
-75.0,75,746.010071
-75.0,75,749.006446
-75.0,75,752.003558
-75.0,75,755.183357
-75.0,75,755.982812
-75.0,75,756.751252
-75.0,75,757.464747
-75.0,75,758.250454
-75.0,75,758.975617
-75.0,75,759.717137
-75.0,75,760.505644
-75.0,75,761.279705
-75.0,75,762.041299
-75.0,75,762.818959
-75.0,75,765.771354
-75.0,75,768.760174
-75.0,75,771.751033
-75.0,75,774.715266
-75.0,75,777.751826
-75.0,75,780.647943
-75.0,75,783.899937
-75.0,75,786.894466
-75.0,75,789.871423
-75.0,75,793.140577
-75.0,75,796.843238
-75.0,75,799.967531
-75.0,75,802.876702
-75.0,75,805.813102
-75.0,75,809.496327
-75.0,75,813.152333
-75.0,75,816.55754
-75.0,75,819.927125
-75.0,75,823.215905
-75.0,75,826.977995
-75.0,75,830.886593
-75.0,75,834.392831
-75.0,75,838.403652
-75.0,75,842.406395
-75.0,75,846.489555
-75.0,75,850.545022
-75.0,75,854.594148
-75.0,75,858.514991
-75.0,75,862.474611
-75.0,75,866.525921
-75.0,75,870.57007
-75.0,75,874.588689
-75.0,75,878.616212
-75.0,75,882.634536
-75.0,75,886.589804
-75.0,75,890.684273
-75.0,75,894.715464
-75.0,75,898.711271
-75.0,75,902.948447
-75.0,75,906.741327
-75.0,75,910.812889
-75.0,75,914.909887
-75.0,75,918.994904
-75.0,75,922.972925
-75.0,75,927.043395
-75.0,75,931.051455
-75.0,75,935.184618
-75.0,75,939.19856
-75.0,75,943.270795
-75.0,75,947.414391
-75.0,75,948.387586
-75.0,75,949.338445
-75.0,75,950.208982
-75.0,75,951.152044
-75.0,75,952.080773
-75.0,75,953.037675
-75.0,75,954.000558
-75.0,75,954.941739
-75.0,75,955.978888
-75.0,75,957.119568
-75.0,75,961.116654
-75.0,75,965.196524
-75.0,75,969.320766
-75.0,75,973.261387
-75.0,75,977.362687
-75.0,75,981.388927
-75.0,75,985.45233
-75.0,75,989.459572
-75.0,75,993.453932
-75.0,75,997.391242
-75.0,75,1001.463736
-75.0,75,1005.492727
-75.0,75,1009.581458
-75.0,75,1013.705106
-75.0,75,1017.7521
-75.0,75,1021.874342
-75.0,75,1025.993064
-75.0,75,1029.938365
-75.0,75,1034.086892
-75.0,75,1037.988764
-75.0,75,1041.870438
-75.0,75,1045.971293
-75.0,75,1050.077179
-75.0,75,1054.090329
-75.0,75,1058.076793
-75.0,75,1062.015677
-75.0,75,1066.041456
-75.0,75,1069.921429
-75.0,75,1074.015633
-75.0,75,1078.044883
-75.0,75,1082.030314
-75.0,75,1086.038793
-75.0,75,1090.097822
-75.0,75,1094.085485
-75.0,75,1098.063648
-75.0,75,1102.007582
-75.0,75,1106.112381
-75.0,75,1110.245627
-75.0,75,1114.279607
-75.0,75,1118.377423
-75.0,75,1122.566504
-75.0,75,1126.580254
-75.0,75,1130.643842
-75.0,75,1134.752829
-75.0,75,1138.83164
-75.0,75,1142.950975
-75.0,75,1147.136637
-75.0,75,1151.287477
-75.0,75,1155.430816
-75.0,75,1159.683411
-75.0,75,1160.601624
-75.0,75,1161.558381
-75.0,75,1162.469501
-75.0,75,1163.373229
-75.0,75,1164.262326
-75.0,75,1165.16461
-75.0,75,1166.108289
-75.0,75,1167.018172
-75.0,75,1167.968123
-75.0,75,1168.926271
-75.0,75,1173.022452
-75.0,75,1177.09331
-75.0,75,1181.11881
-75.0,75,1185.241091
-75.0,75,1189.234875
-75.0,75,1193.813712
-75.0,75,1198.107461
-75.0,75,1202.335466
-75.0,75,1206.442488
-75.0,75,1210.518079
-75.0,75,1214.762042
-75.0,75,1219.015726
-75.0,75,1223.262391
-75.0,75,1227.330263
-75.0,75,1231.421908
-75.0,75,1235.432219
-75.0,75,1239.619647
-75.0,75,1243.838473
-75.0,75,1248.041253
-75.0,75,1252.259329
-75.0,75,1256.413609
-75.0,75,1260.714495
-75.0,75,1264.898149
-75.0,75,1269.108889
-75.0,75,1273.20473
-75.0,75,1277.424402
-75.0,75,1281.589719
-75.0,75,1285.875764
-75.0,75,1290.123439
-75.0,75,1294.472179
-75.0,75,1298.674445
-75.0,75,1302.890227
-75.0,75,1307.160369
-75.0,75,1311.330544
-75.0,75,1315.632481
-75.0,75,1319.807037
-75.0,75,1324.045094
-75.0,75,1328.314366
-75.0,75,1332.38376
-75.0,75,1336.621926
-75.0,75,1340.835947
-75.0,75,1345.043992
-75.0,75,1349.255815
-75.0,75,1353.481058
-75.0,75,1357.708165
-75.0,75,1361.962704
-75.0,75,1366.053371
-75.0,75,1370.276915
-75.0,75,1374.334452
