# {"env_id": "FetchSlideball-v6", "t_start": 1580854070.4032414} 
r,l,t
-75.0,75,11.489966
-75.0,75,17.378344
-75.0,75,22.807117
-75.0,75,25.86847
-75.0,75,30.038799
-75.0,75,33.189831
-75.0,75,38.799119
-75.0,75,43.669734
-75.0,75,49.121987
-75.0,75,53.638999
-75.0,75,59.002215
-75.0,75,64.611111
-75.0,75,69.635057
-75.0,75,73.495352
-75.0,75,79.487109
-75.0,75,83.354357
-75.0,75,88.822342
-75.0,75,93.373471
-75.0,75,96.348734
-75.0,75,100.923483
-75.0,75,107.059924
-75.0,75,110.667814
-75.0,75,115.611676
-75.0,75,121.537716
-75.0,75,124.835906
-75.0,75,130.247263
-75.0,75,133.571126
-75.0,75,138.405782
-75.0,75,141.954698
-75.0,75,149.009484
-75.0,75,152.113174
-75.0,75,158.459595
-75.0,75,163.368253
-75.0,75,167.270327
-75.0,75,171.07022
-75.0,75,176.466128
-75.0,75,181.832723
-75.0,75,190.227908
-75.0,75,195.34068
-75.0,75,200.92055
-75.0,75,204.183692
-75.0,75,208.259184
-75.0,75,213.07796
-75.0,75,219.102143
-75.0,75,222.516612
-75.0,75,226.964291
-75.0,75,234.433119
-75.0,75,237.776394
-75.0,75,243.722078
-75.0,75,247.39939
-75.0,75,253.299676
-75.0,75,254.081301
-75.0,75,254.842811
-75.0,75,255.621615
-75.0,75,258.043517
-75.0,75,260.081888
-75.0,75,260.735868
-75.0,75,261.427857
-75.0,75,262.121308
-75.0,75,262.847814
-75.0,75,263.802858
-75.0,75,268.296845
-75.0,75,272.661831
-75.0,75,278.666919
-75.0,75,282.523926
-75.0,75,287.325958
-75.0,75,292.803493
-75.0,75,296.458282
-75.0,75,301.945409
-75.0,75,306.57568
-75.0,75,311.00827
-75.0,75,314.968577
-75.0,75,320.498868
-75.0,75,326.432857
-75.0,75,329.931822
-75.0,75,334.297188
-75.0,75,340.652388
-75.0,75,344.29552
-75.0,75,349.910891
-75.0,75,352.886206
-75.0,75,358.417338
-75.0,75,362.219093
-75.0,75,366.962127
-75.0,75,371.415388
-75.0,75,374.318341
-75.0,75,379.755504
-75.0,75,383.012036
-75.0,75,388.212147
-75.0,75,391.123773
-75.0,75,395.269071
-75.0,75,401.045796
-75.0,75,404.13309
-75.0,75,409.655378
-75.0,75,412.867518
-75.0,75,418.310662
-75.0,75,421.313768
-75.0,75,427.079777
-75.0,75,433.655335
-75.0,75,437.369642
-75.0,75,442.505127
-75.0,75,450.25352
-75.0,75,457.011553
-75.0,75,461.07843
-75.0,75,467.543859
-75.0,75,474.674766
-75.0,75,479.989751
-75.0,75,486.827666
-75.0,75,493.662093
-75.0,75,497.888538
-75.0,75,504.956131
-75.0,75,511.087094
-75.0,75,513.251849
-75.0,75,515.685959
-75.0,75,516.503141
-75.0,75,517.333544
-75.0,75,518.170244
-75.0,75,518.979064
-75.0,75,520.521046
-75.0,75,523.632886
-75.0,75,524.517162
-75.0,75,525.711712
-75.0,75,532.375853
-75.0,75,536.616612
-75.0,75,543.177498
-75.0,75,548.357752
-75.0,75,556.469123
-75.0,75,560.882076
-75.0,75,567.207686
-75.0,75,574.286976
-75.0,75,580.030041
-75.0,75,585.831784
-75.0,75,591.610609
-75.0,75,597.428775
-75.0,75,603.301056
-75.0,75,610.399647
-75.0,75,617.24644
-75.0,75,623.172789
-75.0,75,629.355271
-75.0,75,635.233581
-75.0,75,642.635387
-75.0,75,648.740291
-75.0,75,654.876869
-75.0,75,660.555433
-75.0,75,666.450023
-75.0,75,672.513446
-75.0,75,679.64936
-75.0,75,685.997828
-75.0,75,689.161258
-75.0,75,693.906662
-75.0,75,697.028393
-75.0,75,699.885156
-75.0,75,702.731755
-75.0,75,705.733514
-75.0,75,708.644181
-75.0,75,711.52058
-75.0,75,714.393939
-75.0,75,717.305609
-75.0,75,720.182526
-75.0,75,723.102269
-75.0,75,725.947158
-75.0,75,728.878068
-75.0,75,731.74558
-75.0,75,734.877853
-75.0,75,737.915255
-75.0,75,740.93355
-75.0,75,743.942842
-75.0,75,746.910646
-75.0,75,750.020869
-75.0,75,753.004807
-75.0,75,756.02526
-75.0,75,759.152229
-75.0,75,759.921093
-75.0,75,760.680826
-75.0,75,761.417703
-75.0,75,762.204529
-75.0,75,762.918726
-75.0,75,763.652624
-75.0,75,764.415956
-75.0,75,765.189567
-75.0,75,765.908719
-75.0,75,766.855876
-75.0,75,769.789374
-75.0,75,772.707673
-75.0,75,775.822647
-75.0,75,778.679732
-75.0,75,781.746421
-75.0,75,784.6992
-75.0,75,787.906939
-75.0,75,790.870328
-75.0,75,793.853225
-75.0,75,797.227236
-75.0,75,800.90029
-75.0,75,804.018476
-75.0,75,806.903091
-75.0,75,809.820529
-75.0,75,813.597196
-75.0,75,817.128331
-75.0,75,820.664038
-75.0,75,823.950607
-75.0,75,827.219969
-75.0,75,831.019312
-75.0,75,834.965935
-75.0,75,838.393765
-75.0,75,842.456907
-75.0,75,846.409162
-75.0,75,850.541288
-75.0,75,854.596573
-75.0,75,858.621325
-75.0,75,862.536702
-75.0,75,866.563849
-75.0,75,870.557109
-75.0,75,874.580484
-75.0,75,878.711728
-75.0,75,882.628949
-75.0,75,886.645231
-75.0,75,890.677597
-75.0,75,894.719954
-75.0,75,898.727047
-75.0,75,902.740304
-75.0,75,906.957779
-75.0,75,910.84009
-75.0,75,914.876555
-75.0,75,918.994603
-75.0,75,923.036236
-75.0,75,927.010147
-75.0,75,931.107988
-75.0,75,935.122349
-75.0,75,939.169136
-75.0,75,943.258446
-75.0,75,947.34405
-75.0,75,951.458305
-75.0,75,952.341865
-75.0,75,953.208294
-75.0,75,954.097759
-75.0,75,955.024545
-75.0,75,955.95943
-75.0,75,956.862072
-75.0,75,957.769608
-75.0,75,958.73744
-75.0,75,959.586515
-75.0,75,961.143464
-75.0,75,965.169915
-75.0,75,969.275388
-75.0,75,973.354851
-75.0,75,977.297772
-75.0,75,981.387257
-75.0,75,985.393084
-75.0,75,989.472937
-75.0,75,993.451506
-75.0,75,997.435853
-75.0,75,1001.375918
-75.0,75,1005.484142
-75.0,75,1009.465123
-75.0,75,1013.648998
-75.0,75,1017.744434
-75.0,75,1021.762392
-75.0,75,1025.938986
-75.0,75,1030.032264
-75.0,75,1034.013805
-75.0,75,1038.12341
-75.0,75,1041.992862
-75.0,75,1045.860298
-75.0,75,1049.946102
-75.0,75,1054.072434
-75.0,75,1058.070396
-75.0,75,1062.032056
-75.0,75,1066.056945
-75.0,75,1069.99714
-75.0,75,1074.00724
-75.0,75,1078.023701
-75.0,75,1082.053781
-75.0,75,1086.121938
-75.0,75,1090.060494
-75.0,75,1094.137905
-75.0,75,1098.13946
-75.0,75,1102.053349
-75.0,75,1106.112451
-75.0,75,1110.148192
-75.0,75,1114.284901
-75.0,75,1118.317869
-75.0,75,1122.47606
