epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.86222064,0.11997841,0.20456056,0.037629813,20.0,-2.9271598,0.015000000223517418,100.0,0.026999999582767487
1,0.8616398,0.120883666,0.20422074,0.038359106,40.0,-5.079131,0.010000000149011612,200.0,0.030000000074505807
2,0.86228836,0.12361185,0.20425849,0.038368724,60.0,-6.841399,0.03500000089406967,300.0,0.015999999642372132
3,0.8620471,0.12631072,0.20411053,0.039697118,80.0,-8.550774,0.03500000052154064,400.0,0.043000000342726705
4,0.86188143,0.12756898,0.20420595,0.040907975,100.0,-8.926813,0.1300000011920929,500.0,0.062
5,0.8616662,0.1285169,0.20407632,0.042690042,120.0,-10.167749,0.1700000062584877,600.0,0.094
6,0.86129206,0.12832741,0.20398693,0.043587394,140.0,-11.094505,0.175,700.0,0.107999995
7,0.86099565,0.12870757,0.20388544,0.04475235,160.0,-11.251634,0.23499998,800.0,0.18200001
8,0.8609064,0.1293066,0.20382778,0.045696616,180.0,-12.082719,0.29000002,900.0,0.18699999
9,0.86083156,0.12932901,0.20380035,0.04636412,200.0,-11.140329,0.38000003,1000.0,0.23000002
10,0.8610691,0.12939353,0.20384395,0.046659175,220.0,-13.398007,0.32,1100.0,0.26099998
11,0.86123437,0.1292036,0.20395264,0.047010288,240.0,-12.847723,0.40500003,1200.0,0.269
12,0.8614162,0.12933213,0.20401272,0.04741359,260.0,-12.714121,0.45999998,1300.0,0.292
13,0.8615802,0.12948476,0.20405822,0.047744293,280.0,-12.504944,0.43999997,1400.0,0.32399997
14,0.8615769,0.12961401,0.20406935,0.04807218,300.0,-13.135798,0.46000004,1500.0,0.31300002
15,0.86154234,0.12968199,0.20409796,0.04815333,320.0,-11.504888,0.44,1600.0,0.335
16,0.8616207,0.13001715,0.20415875,0.048285127,340.0,-11.392504,0.58,1700.0,0.374
17,0.8618722,0.13011193,0.20423046,0.04846231,360.0,-10.418631,0.545,1800.0,0.39000002
18,0.8621539,0.13018914,0.20427692,0.048455507,380.0,-11.32017,0.515,1900.0,0.398
19,0.8625164,0.13010521,0.20431499,0.048294473,400.0,-14.0129795,0.40499997,2000.0,0.41399997
20,0.86255944,0.12986161,0.20430657,0.048313074,420.0,-12.51046,0.57,2100.0,0.379
21,0.8629762,0.12981151,0.20435789,0.048379898,440.0,-11.676033,0.625,2200.0,0.422
22,0.8634753,0.12993674,0.20443943,0.048474588,460.0,-11.089346,0.62,2300.0,0.39200002
23,0.8638929,0.12985575,0.20447369,0.048577175,480.0,-10.495779,0.6,2400.0,0.41799998
24,0.8644358,0.12994272,0.20450106,0.048687663,500.0,-11.57642,0.625,2500.0,0.408
25,0.8648057,0.13001858,0.20452616,0.048746087,520.0,-11.377394,0.60999995,2600.0,0.42999998
26,0.8649151,0.13020885,0.20451811,0.048817743,540.0,-12.150915,0.62,2700.0,0.43699998
27,0.86504155,0.13047533,0.20452586,0.048886865,560.0,-11.0151,0.67,2800.0,0.421
28,0.86523455,0.13068748,0.20453182,0.04894551,580.0,-8.5083065,0.70500004,2900.0,0.41000003
29,0.8653733,0.13086283,0.20453148,0.0489138,600.0,-11.095377,0.63,3000.0,0.419
30,0.8655111,0.13092458,0.20454171,0.04886299,620.0,-12.377772,0.6,3100.0,0.421
31,0.86564666,0.13100387,0.2045476,0.048775997,640.0,-8.925855,0.735,3200.0,0.43
32,0.8657549,0.13100576,0.20457359,0.04871128,660.0,-10.8788395,0.65999997,3300.0,0.435
33,0.86589086,0.13101791,0.20458958,0.04863937,680.0,-9.807646,0.68999994,3400.0,0.409
34,0.86602277,0.13100122,0.20462027,0.04856453,700.0,-10.627048,0.6999999,3500.0,0.42399997
35,0.86610925,0.13100226,0.20464471,0.048480857,720.0,-9.523394,0.71999997,3600.0,0.435
36,0.8662364,0.13095866,0.20468125,0.0484025,740.0,-10.730524,0.66,3700.0,0.402
37,0.8663017,0.13095033,0.20470083,0.048312124,760.0,-12.611485,0.6,3800.0,0.40399998
38,0.8664589,0.13091846,0.20474358,0.048245586,780.0,-12.521795,0.61,3900.0,0.412
39,0.86650026,0.13091117,0.2047501,0.048205346,800.0,-9.430123,0.70500004,4000.0,0.42200002
40,0.8666239,0.13097753,0.2047811,0.04817939,820.0,-9.686111,0.65,4100.0,0.40299997
41,0.86673766,0.13109888,0.20479533,0.048202485,840.0,-7.883587,0.725,4200.0,0.409
42,0.86698276,0.13139121,0.20482865,0.04823405,860.0,-10.437633,0.64000005,4300.0,0.394
43,0.86724395,0.13153066,0.20486955,0.04822009,880.0,-8.461491,0.68999994,4400.0,0.394
44,0.8674452,0.13172041,0.20489529,0.04821651,900.0,-9.363592,0.64,4500.0,0.422
45,0.8676214,0.13191827,0.20491962,0.04823275,920.0,-8.615659,0.70500004,4600.0,0.408
46,0.8677805,0.1321001,0.20494387,0.04824443,940.0,-10.473325,0.66499996,4700.0,0.394
47,0.8679244,0.13208288,0.20496586,0.048230883,960.0,-9.747416,0.645,4800.0,0.38500002
48,0.86801976,0.13206382,0.20498328,0.048195425,980.0,-9.011354,0.67999995,4900.0,0.38200003
49,0.8680671,0.13199626,0.20500216,0.048153874,1000.0,-8.889993,0.65999997,5000.0,0.394
