# {"env_id": "FetchToss-v12", "t_start": 1585310729.968083} 
r,l,t
-50.0,50,5.939101
-50.0,50,8.804819
-50.0,50,11.361583
-50.0,50,13.855006
-50.0,50,16.485613
-50.0,50,19.089275
-50.0,50,21.652248
-50.0,50,24.231905
-50.0,50,26.783159
-50.0,50,29.419264
-50.0,50,32.000127
-50.0,50,34.569704
-50.0,50,37.149121
-50.0,50,39.686638
-50.0,50,42.251475
-50.0,50,44.86186
-50.0,50,47.414864
-50.0,50,50.00224
-50.0,50,52.53652
-50.0,50,55.181258
-50.0,50,57.794059
-50.0,50,60.383461
-50.0,50,62.932344
-50.0,50,65.563481
-50.0,50,68.111527
-50.0,50,70.724211
0.0,50,73.294545
-50.0,50,75.924772
-50.0,50,78.48296
-50.0,50,81.013169
-50.0,50,83.587381
-50.0,50,86.157336
-50.0,50,88.757357
0.0,50,91.383997
-50.0,50,93.923601
-50.0,50,96.526656
-50.0,50,99.13085
-50.0,50,101.70617
-50.0,50,104.243632
-50.0,50,106.796883
-50.0,50,109.367514
-50.0,50,111.932258
-50.0,50,114.574226
-50.0,50,117.121755
-50.0,50,119.715085
-50.0,50,122.335875
-50.0,50,124.839573
-50.0,50,127.452151
-50.0,50,130.044482
-50.0,50,132.612396
-50.0,50,135.221532
-50.0,50,135.654953
-50.0,50,136.110536
-50.0,50,136.54172
-50.0,50,136.995051
-50.0,50,137.46186
-50.0,50,137.920753
-50.0,50,138.348193
-50.0,50,138.769493
-50.0,50,139.193133
-50.0,50,139.828478
-50.0,50,142.432605
-50.0,50,145.021095
-50.0,50,147.620754
-50.0,50,150.226391
-50.0,50,152.794237
-50.0,50,155.407923
-50.0,50,158.024482
-50.0,50,160.605927
-26.0,50,163.163909
-50.0,50,165.767292
-50.0,50,168.367905
-50.0,50,170.962121
-50.0,50,173.536155
-50.0,50,176.089945
-50.0,50,178.700403
-50.0,50,181.333579
-50.0,50,183.915875
-50.0,50,186.466486
-50.0,50,189.013957
-50.0,50,191.652256
-50.0,50,194.193096
-50.0,50,196.812303
-50.0,50,199.402018
-50.0,50,201.994558
-50.0,50,204.558461
-50.0,50,207.155893
-50.0,50,209.698934
-50.0,50,212.327331
-50.0,50,214.931989
-50.0,50,217.486239
-50.0,50,220.068286
-50.0,50,222.631168
-50.0,50,225.244631
-12.0,50,227.898604
-50.0,50,230.524226
-50.0,50,233.091247
-50.0,50,235.718576
-50.0,50,238.313281
-50.0,50,240.90858
-50.0,50,243.501735
-50.0,50,246.135192
-50.0,50,248.74083
-50.0,50,251.363328
-50.0,50,253.945501
-50.0,50,256.610277
-50.0,50,259.210453
-50.0,50,261.813181
-50.0,50,264.464418
-50.0,50,267.112809
-50.0,50,269.688474
-50.0,50,270.108297
-50.0,50,270.550454
-50.0,50,270.994792
-50.0,50,271.436627
-50.0,50,271.872092
-50.0,50,272.330334
-50.0,50,272.78213
-50.0,50,273.239761
-50.0,50,273.644897
-50.0,50,274.507463
-50.0,50,277.102123
-50.0,50,279.702728
-50.0,50,282.312907
-50.0,50,284.940028
-50.0,50,287.523288
-50.0,50,290.120426
-50.0,50,292.743888
-50.0,50,295.340332
-50.0,50,297.900902
-50.0,50,300.525679
-50.0,50,303.144819
-50.0,50,305.752487
-50.0,50,308.357516
-50.0,50,310.947192
-50.0,50,313.539799
-50.0,50,316.112544
0.0,50,318.696591
-50.0,50,321.308931
-50.0,50,323.94291
-50.0,50,326.528075
-50.0,50,329.157628
-50.0,50,331.839247
-50.0,50,334.439478
-50.0,50,337.024687
-50.0,50,339.627003
-50.0,50,342.225411
-50.0,50,344.849367
-50.0,50,347.464774
-50.0,50,350.096832
-50.0,50,352.706074
-50.0,50,355.285371
-50.0,50,357.873258
-50.0,50,360.467698
-50.0,50,363.080959
-50.0,50,365.665457
-50.0,50,368.307742
-50.0,50,370.885822
-50.0,50,373.493915
-50.0,50,376.036539
-50.0,50,378.709197
-50.0,50,381.292674
-50.0,50,383.885226
-50.0,50,386.521056
-50.0,50,389.085144
-50.0,50,391.717326
-50.0,50,394.328268
-50.0,50,396.92374
-50.0,50,399.52975
-50.0,50,402.183548
-50.0,50,404.738591
-50.0,50,405.210269
-50.0,50,405.646889
-50.0,50,406.072128
-50.0,50,406.519239
-50.0,50,406.987799
-50.0,50,407.416189
-50.0,50,407.869149
-50.0,50,408.315215
-50.0,50,408.755254
-50.0,50,409.219283
-50.0,50,411.848537
-50.0,50,414.456884
-50.0,50,417.010746
-50.0,50,419.579142
-50.0,50,422.243961
-50.0,50,424.857679
-50.0,50,427.398256
-50.0,50,430.013586
-50.0,50,432.613145
-50.0,50,435.218608
-50.0,50,437.799774
-50.0,50,440.410465
-50.0,50,443.025373
-50.0,50,445.61921
-50.0,50,448.211442
-50.0,50,450.779227
-42.0,50,453.371548
-50.0,50,455.919595
-50.0,50,458.597057
-50.0,50,461.163816
-50.0,50,463.75955
-50.0,50,466.355573
-50.0,50,468.988796
-50.0,50,471.552251
-50.0,50,474.1528
-50.0,50,476.792197
-50.0,50,479.374687
-50.0,50,481.9521
-50.0,50,484.539878
-50.0,50,487.109006
-50.0,50,489.707787
-50.0,50,492.318331
-50.0,50,494.951477
-50.0,50,497.553441
-50.0,50,500.128618
-50.0,50,502.706786
-50.0,50,505.322822
-50.0,50,507.863381
-50.0,50,510.543557
-50.0,50,513.122131
-50.0,50,515.746676
-50.0,50,518.341494
-50.0,50,520.97893
-50.0,50,523.566977
-50.0,50,526.174306
-50.0,50,528.813904
-50.0,50,531.435176
-50.0,50,533.986532
-50.0,50,536.632703
-50.0,50,539.261957
-50.0,50,539.724575
-50.0,50,540.189642
-50.0,50,540.639058
-50.0,50,541.079943
-50.0,50,541.517381
-50.0,50,541.981123
-50.0,50,542.414392
-50.0,50,542.908736
-50.0,50,543.316514
-50.0,50,543.772817
-50.0,50,546.423341
-50.0,50,549.035845
