# {"t_start": 1585317782.2082753, "env_id": "FetchToss-v13"} 
r,l,t
-50.0,50,5.505747
-48.0,50,8.298223
-50.0,50,10.852213
-50.0,50,13.374309
-50.0,50,15.916049
-50.0,50,18.458676
-50.0,50,21.015337
-50.0,50,23.580206
-50.0,50,26.119988
-50.0,50,28.64639
-50.0,50,31.19432
-50.0,50,33.750276
-50.0,50,36.311113
-50.0,50,38.861881
-50.0,50,41.441575
-50.0,50,43.989437
-50.0,50,46.518705
-50.0,50,49.12071
-50.0,50,51.659196
-50.0,50,54.178446
-50.0,50,56.782845
-50.0,50,59.359585
-50.0,50,61.910923
-50.0,50,64.500576
-50.0,50,67.072884
-50.0,50,69.587222
-50.0,50,72.129905
-50.0,50,74.669046
-50.0,50,77.256439
-50.0,50,79.788271
-50.0,50,82.339499
-50.0,50,84.858249
-50.0,50,87.39971
-50.0,50,89.946015
-50.0,50,92.47965
-50.0,50,95.053881
-50.0,50,97.60809
-50.0,50,100.227243
-50.0,50,102.764156
-50.0,50,105.336602
-50.0,50,107.893113
-50.0,50,110.455311
-50.0,50,113.023685
-50.0,50,115.588287
-50.0,50,118.083472
-50.0,50,120.663811
-50.0,50,123.242958
-50.0,50,125.741632
-50.0,50,128.373917
-50.0,50,130.930683
0.0,50,133.565952
-50.0,50,133.970972
-50.0,50,134.403751
-50.0,50,134.819644
-50.0,50,135.249245
-50.0,50,135.621873
-50.0,50,136.039611
-50.0,50,136.463974
-50.0,50,136.879667
-50.0,50,137.307031
-50.0,50,137.822546
-50.0,50,140.414671
-50.0,50,142.947932
-50.0,50,145.552138
-50.0,50,148.077284
-50.0,50,150.633501
-50.0,50,153.19257
-50.0,50,155.778846
-50.0,50,158.334303
-50.0,50,160.915438
-50.0,50,163.474571
-50.0,50,166.05058
-50.0,50,168.616112
-50.0,50,171.19488
-50.0,50,173.780351
-50.0,50,176.350391
-50.0,50,178.921613
-50.0,50,181.509093
-50.0,50,184.095845
-50.0,50,186.648952
-50.0,50,189.222776
-50.0,50,191.792757
-50.0,50,194.374733
-50.0,50,196.903451
-50.0,50,199.503953
-50.0,50,202.102483
-50.0,50,204.653131
0.0,50,207.21279
-50.0,50,209.782631
-50.0,50,212.334156
-50.0,50,214.863282
-50.0,50,217.404197
-50.0,50,219.997294
-50.0,50,222.566941
-50.0,50,225.141873
-50.0,50,227.705137
-50.0,50,230.269062
-50.0,50,232.837859
-50.0,50,235.374921
-50.0,50,237.921914
-50.0,50,240.474815
-50.0,50,243.044028
-50.0,50,245.584935
-50.0,50,248.116302
-50.0,50,250.668512
-50.0,50,253.224528
0.0,50,255.801995
-50.0,50,258.347899
-50.0,50,260.912986
-50.0,50,263.506192
-50.0,50,266.106925
-50.0,50,266.51556
-50.0,50,266.935812
-50.0,50,267.328134
-50.0,50,267.748378
-50.0,50,268.142618
-50.0,50,268.557405
-50.0,50,268.964095
-50.0,50,269.381318
-50.0,50,269.809839
-50.0,50,270.279966
-50.0,50,272.879235
-50.0,50,275.483632
-50.0,50,278.023226
-50.0,50,280.56237
-50.0,50,283.140341
-50.0,50,285.682548
-50.0,50,288.231204
-50.0,50,290.816865
-50.0,50,293.3796
-50.0,50,296.020879
-50.0,50,298.56378
0.0,50,301.117953
-50.0,50,303.628754
-50.0,50,306.193791
0.0,50,308.711309
-50.0,50,311.294853
-50.0,50,313.839015
-50.0,50,316.434421
-50.0,50,319.03041
-50.0,50,321.571926
-50.0,50,324.157511
-50.0,50,326.76292
-50.0,50,329.352406
-50.0,50,331.896177
-50.0,50,334.437644
-50.0,50,336.972401
-50.0,50,339.517299
-50.0,50,342.094614
-50.0,50,344.639759
-50.0,50,347.198535
-50.0,50,349.770129
-50.0,50,352.301043
-50.0,50,354.868081
-50.0,50,357.426579
-50.0,50,359.937382
-39.0,50,362.524138
-50.0,50,365.004288
-50.0,50,367.642381
-50.0,50,370.181072
-50.0,50,372.780583
-50.0,50,375.320883
-50.0,50,377.90494
-50.0,50,380.457319
-50.0,50,383.023419
-50.0,50,385.603052
-50.0,50,388.141925
-50.0,50,390.708069
-50.0,50,393.253191
-50.0,50,395.783256
-50.0,50,398.392998
-50.0,50,398.820081
-50.0,50,399.257503
-50.0,50,399.690631
-50.0,50,400.090304
-50.0,50,400.488068
-50.0,50,400.883925
-50.0,50,401.291525
-50.0,50,401.697484
-50.0,50,402.085159
-50.0,50,402.661416
-50.0,50,405.237027
-50.0,50,407.734696
-50.0,50,410.359946
-50.0,50,412.961287
-50.0,50,415.534454
-50.0,50,418.111871
-50.0,50,420.645022
-50.0,50,423.223737
-50.0,50,425.80068
-50.0,50,428.410387
-50.0,50,430.946049
-50.0,50,433.511307
-50.0,50,436.11078
-50.0,50,438.655401
-50.0,50,441.220951
-13.0,50,443.798135
-50.0,50,446.372543
-50.0,50,448.97654
-50.0,50,451.504071
-50.0,50,454.098775
-50.0,50,456.668876
-50.0,50,459.211962
-50.0,50,461.774104
-50.0,50,464.332899
-47.0,50,466.910403
-50.0,50,469.518169
-50.0,50,472.081024
-5.0,50,474.643677
-50.0,50,477.201526
-50.0,50,479.767642
-46.0,50,482.32854
-50.0,50,484.874546
-50.0,50,487.44558
-50.0,50,490.062361
-50.0,50,492.613353
-50.0,50,495.206631
-50.0,50,497.817151
-50.0,50,500.378389
-50.0,50,502.950344
-50.0,50,505.551412
-9.0,50,508.204044
-24.0,50,510.770668
-50.0,50,513.328836
-50.0,50,515.917423
-50.0,50,518.557216
-50.0,50,521.120397
-50.0,50,523.638129
-50.0,50,526.243078
-50.0,50,528.789968
-50.0,50,531.378098
-50.0,50,531.768865
-50.0,50,532.206289
-50.0,50,532.608222
-8.0,50,533.007551
-50.0,50,533.402928
-50.0,50,533.829374
-50.0,50,534.30237
-50.0,50,534.745685
-50.0,50,535.183397
-50.0,50,535.899788
-50.0,50,538.514997
-50.0,50,541.143862
-50.0,50,543.699279
-50.0,50,546.211018
-50.0,50,548.828805
-50.0,50,551.414887
0.0,50,554.039239
-50.0,50,556.562132
-50.0,50,559.200517
-50.0,50,561.738031
-50.0,50,564.367322
-50.0,50,566.883727
-50.0,50,569.483372
-50.0,50,572.046041
-50.0,50,574.60957
-50.0,50,577.13923
-50.0,50,579.744179
-48.0,50,582.332994
-50.0,50,584.86626
-50.0,50,587.465745
-50.0,50,590.057109
-6.0,50,592.619052
-50.0,50,595.173265
-50.0,50,597.764571
-50.0,50,600.328615
-9.0,50,602.889023
-44.0,50,605.444113
-50.0,50,608.012386
-50.0,50,610.607127
-48.0,50,613.191003
-50.0,50,615.743888
-50.0,50,618.266754
-50.0,50,620.86847
-50.0,50,623.427156
-50.0,50,626.001704
-50.0,50,628.529969
-50.0,50,631.170426
-50.0,50,633.701622
-13.0,50,636.275982
-50.0,50,638.889618
-50.0,50,641.394985
-50.0,50,643.985187
0.0,50,646.58548
-50.0,50,649.119144
-50.0,50,651.696068
-50.0,50,654.283051
-50.0,50,656.862938
-50.0,50,659.432645
-50.0,50,662.069102
-50.0,50,664.609825
-50.0,50,665.01437
-50.0,50,665.448193
-50.0,50,665.830544
-50.0,50,666.214471
-50.0,50,666.631404
-50.0,50,667.062152
-50.0,50,667.493896
-50.0,50,667.89181
0.0,50,668.278968
-50.0,50,668.974843
-50.0,50,671.525973
-28.0,50,674.090064
-50.0,50,676.678039
-50.0,50,679.235618
-50.0,50,681.788394
-50.0,50,684.332883
-50.0,50,686.889226
-50.0,50,689.456932
-50.0,50,692.010209
-50.0,50,694.5994
-50.0,50,697.132308
-50.0,50,699.674074
-50.0,50,702.257521
-50.0,50,704.859157
-49.0,50,707.414634
-8.0,50,709.985134
-50.0,50,712.527241
-50.0,50,715.087123
-50.0,50,717.633446
-39.0,50,720.208596
-50.0,50,722.723206
-50.0,50,725.304705
-50.0,50,727.896257
-50.0,50,730.50322
-49.0,50,733.079226
-50.0,50,735.614141
-50.0,50,738.189107
-50.0,50,740.744535
-50.0,50,743.298613
-50.0,50,745.909822
-9.0,50,748.507427
-50.0,50,751.060451
-50.0,50,753.63496
-50.0,50,756.197985
-50.0,50,758.768741
-50.0,50,761.331741
-50.0,50,763.884437
0.0,50,766.509309
-50.0,50,769.095689
-41.0,50,771.678831
0.0,50,774.274246
-50.0,50,776.815912
