# {"env_id": "FetchToss-v14", "t_start": 1585571776.6854625} 
r,l,t
-50.0,50,4.012333
-50.0,50,7.149961
-50.0,50,10.105158
-50.0,50,13.519287
-50.0,50,16.641869
-50.0,50,20.050277
-50.0,50,23.382603
-50.0,50,26.74914
-50.0,50,30.054349
-50.0,50,33.443128
0.0,50,36.807335
-50.0,50,40.164613
0.0,50,43.479132
-50.0,50,46.766593
-50.0,50,50.082337
-50.0,50,53.421908
-50.0,50,56.78952
-50.0,50,60.154284
-50.0,50,63.513508
-50.0,50,66.920387
-50.0,50,70.277903
-50.0,50,73.692297
-50.0,50,77.010622
-50.0,50,80.408253
-50.0,50,83.749984
-50.0,50,87.089828
-50.0,50,90.441986
-50.0,50,93.843287
-50.0,50,97.180714
-50.0,50,100.465301
-50.0,50,103.832864
-50.0,50,107.132096
0.0,50,110.377256
-50.0,50,113.788733
-50.0,50,117.172045
-50.0,50,120.579945
0.0,50,123.996764
-50.0,50,127.398281
-50.0,50,130.706513
-50.0,50,134.128316
-50.0,50,137.349767
-50.0,50,140.342398
-50.0,50,143.109637
-50.0,50,145.91442
-50.0,50,148.542666
-50.0,50,150.913641
-50.0,50,153.32181
-50.0,50,155.651362
-50.0,50,158.077146
-50.0,50,160.438227
0.0,50,162.892525
-50.0,50,163.104386
-50.0,50,163.320872
-50.0,50,163.536396
-50.0,50,163.752068
-50.0,50,163.956769
-50.0,50,164.194894
-50.0,50,164.425738
-50.0,50,164.642516
-50.0,50,164.851749
-50.0,50,165.131056
-50.0,50,167.503214
-50.0,50,169.863964
-50.0,50,172.257874
-50.0,50,174.674797
-50.0,50,177.022303
-50.0,50,179.418378
-50.0,50,181.792664
-50.0,50,184.223884
-50.0,50,186.585957
-50.0,50,188.982814
-50.0,50,191.347083
-50.0,50,193.716768
-50.0,50,196.131961
-50.0,50,198.501526
-50.0,50,200.850769
-50.0,50,203.235068
-50.0,50,205.576632
-50.0,50,207.975663
-50.0,50,210.36492
-50.0,50,212.741158
-50.0,50,215.116481
-50.0,50,217.497428
-30.0,50,219.884344
-50.0,50,222.23514
0.0,50,224.610967
-50.0,50,226.978421
-50.0,50,229.405055
-50.0,50,231.794683
-50.0,50,234.146705
-50.0,50,236.521271
-50.0,50,238.920917
-50.0,50,241.277026
-50.0,50,243.642097
-50.0,50,246.020785
