# {"t_start": 1585571777.0281262, "env_id": "FetchToss-v14"} 
r,l,t
-50.0,50,3.677103
-50.0,50,6.827922
-50.0,50,9.774225
-50.0,50,13.181565
-50.0,50,16.293164
-50.0,50,19.693825
-50.0,50,23.052263
-50.0,50,26.40206
-50.0,50,29.703924
-50.0,50,33.082855
-50.0,50,36.458054
-50.0,50,39.827718
-50.0,50,43.144003
-50.0,50,46.447891
-16.0,50,49.749278
-50.0,50,53.081659
-50.0,50,56.43684
-50.0,50,59.806029
-50.0,50,63.176021
-50.0,50,66.575267
-50.0,50,69.94511
-50.0,50,73.350361
0.0,50,76.66822
-50.0,50,80.051665
-50.0,50,83.400622
-50.0,50,86.748898
-50.0,50,90.08923
-50.0,50,93.47448
-50.0,50,96.844245
-50.0,50,100.134465
-50.0,50,103.498768
-50.0,50,106.805757
-50.0,50,110.041244
-50.0,50,113.427246
-50.0,50,116.811738
-50.0,50,120.219424
-50.0,50,123.664751
-50.0,50,127.067847
-50.0,50,130.374274
0.0,50,133.770864
-50.0,50,137.007982
-50.0,50,140.016855
-50.0,50,142.75217
0.0,50,145.578097
-50.0,50,148.18486
-50.0,50,150.591913
-50.0,50,152.965789
-50.0,50,155.326668
-50.0,50,157.746481
-50.0,50,160.092969
-50.0,50,162.54717
-50.0,50,162.759228
-50.0,50,162.969522
-50.0,50,163.180493
-50.0,50,163.391649
-50.0,50,163.599547
-50.0,50,163.818468
-50.0,50,164.039773
-50.0,50,164.251457
-50.0,50,164.46302
-50.0,50,164.791344
-50.0,50,167.147638
-50.0,50,169.529693
-50.0,50,171.912995
-50.0,50,174.306676
-50.0,50,176.680324
-50.0,50,179.033999
-50.0,50,181.45933
-50.0,50,183.874541
-50.0,50,186.269477
-50.0,50,188.638734
-50.0,50,191.00693
-50.0,50,193.385242
-50.0,50,195.768872
-50.0,50,198.162935
-50.0,50,200.506417
-50.0,50,202.894945
-50.0,50,205.240148
-50.0,50,207.625259
-50.0,50,210.019726
-50.0,50,212.385155
-50.0,50,214.767332
-50.0,50,217.158404
-50.0,50,219.51269
0.0,50,221.901228
-50.0,50,224.268265
-50.0,50,226.648518
-50.0,50,229.031295
-50.0,50,231.430126
-50.0,50,233.809148
0.0,50,236.212731
-50.0,50,238.563392
-50.0,50,240.92887
-50.0,50,243.297415
-50.0,50,245.663548
-50.0,50,248.040667
-50.0,50,250.429935
-50.0,50,252.823866
-50.0,50,255.64268
-50.0,50,259.019011
-50.0,50,261.907563
-50.0,50,264.61891
-50.0,50,267.123894
-50.0,50,269.705386
-50.0,50,272.253422
-50.0,50,275.567196
-50.0,50,278.615997
-50.0,50,281.622985
-50.0,50,285.02686
-50.0,50,288.372834
-50.0,50,291.797461
-50.0,50,292.037063
-50.0,50,292.296912
-50.0,50,292.547996
-50.0,50,292.796504
-50.0,50,293.074241
-50.0,50,293.314357
-50.0,50,293.578837
-50.0,50,293.827646
-50.0,50,294.074834
-50.0,50,294.362627
-50.0,50,297.766629
-50.0,50,301.124394
-50.0,50,304.537837
-50.0,50,307.89668
-50.0,50,311.297917
-50.0,50,314.641653
-50.0,50,318.022618
-50.0,50,321.414985
-50.0,50,324.833682
-50.0,50,328.162989
-50.0,50,331.54709
-50.0,50,334.83635
-50.0,50,338.18443
-50.0,50,341.53592
-50.0,50,344.934054
-50.0,50,348.2766
-50.0,50,351.609713
-50.0,50,354.940624
-50.0,50,358.235774
-50.0,50,361.59211
-50.0,50,365.087974
-50.0,50,368.55529
-50.0,50,372.068538
-50.0,50,375.473796
-50.0,50,378.927232
-50.0,50,382.415998
-50.0,50,385.899938
-50.0,50,389.443728
