epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8537715,0.101768255,0.20409533,0.043755367,10.0,-2.832293,0.04000000059604645,50.0,0.029999999701976775
1,0.853718,0.099664055,0.20384982,0.04205048,20.0,-4.792848,0.030000000447034835,100.0,0.025999999418854714
2,0.8542126,0.09938451,0.20398846,0.04238555,30.0,-6.6252303,0.04000000059604645,150.0,0.02799999937415123
3,0.854451,0.09915173,0.20392969,0.04422383,40.0,-8.338202,0.05000000074505806,200.0,0.031999998912215236
4,0.85421866,0.09947685,0.20398135,0.045558896,50.0,-9.668236,0.08000000193715096,250.0,0.02799999937415123
5,0.8538226,0.09988888,0.20395069,0.047412682,60.0,-11.320009,0.07000000178813934,300.0,0.05200000070035458
6,0.853604,0.10048799,0.20394926,0.050036836,70.0,-13.101158,0.040000001341104506,350.0,0.03399999998509884
7,0.85371274,0.10164316,0.2040914,0.0533429,80.0,-14.421155,0.040000001341104506,400.0,0.06600000038743019
8,0.85372055,0.10249692,0.20414071,0.055963673,90.0,-14.256154,0.08000000044703484,450.0,0.07399999983608722
9,0.85330594,0.10333341,0.20414925,0.05742491,100.0,-16.013592,0.060000001639127734,500.0,0.063999996
10,0.8532232,0.10363448,0.20426655,0.0586934,110.0,-16.209309,0.0800000011920929,550.0,0.0539999969303608
11,0.853289,0.10436811,0.20433345,0.06019514,120.0,-17.375206,0.07000000178813934,600.0,0.07599999941885471
12,0.8533703,0.104834355,0.20438024,0.061533004,130.0,-17.79753,0.08000000268220901,650.0,0.074
13,0.8533772,0.105075456,0.20445049,0.06334919,140.0,-18.021389,0.06000000089406967,700.0,0.094
14,0.85326874,0.10518658,0.20450155,0.0647976,150.0,-19.122599,0.0800000011920929,750.0,0.102
15,0.8535403,0.105275765,0.20454249,0.06576905,160.0,-19.598764,0.1100000023841858,800.0,0.08799999
16,0.8537424,0.10521577,0.20462902,0.06630968,170.0,-18.316898,0.13999999985098838,850.0,0.11
17,0.8535017,0.10504229,0.20450929,0.06696505,180.0,-20.243881,0.17000000402331353,900.0,0.102
18,0.8537033,0.10484654,0.20458288,0.067448765,190.0,-22.453026,0.13000000193715094,950.0,0.098000005
19,0.8537561,0.105013706,0.20450994,0.06859252,200.0,-20.3927,0.17,1000.0,0.12799999
20,0.8537493,0.10492182,0.20456621,0.06931239,210.0,-21.145569,0.13000000268220901,1050.0,0.132
21,0.8536564,0.105086446,0.20453091,0.07003643,220.0,-21.93995,0.17000000327825546,1100.0,0.15400001
22,0.85366,0.10523472,0.20464215,0.07073681,230.0,-21.208725,0.21000000312924386,1150.0,0.174
23,0.85361063,0.105255485,0.20467982,0.071714476,240.0,-22.325224,0.1500000037252903,1200.0,0.226
24,0.85352147,0.105164565,0.20468731,0.07278293,250.0,-25.353409,0.17000000476837157,1250.0,0.206
25,0.85353965,0.105290055,0.2047675,0.073432095,260.0,-22.459232,0.27,1300.0,0.222
26,0.8536336,0.10524269,0.20484236,0.074081786,270.0,-21.900452,0.26,1350.0,0.226
27,0.85372686,0.105231404,0.20488176,0.074554436,280.0,-20.041534,0.37,1400.0,0.224
28,0.85381067,0.10565211,0.20488636,0.07508166,290.0,-22.233932,0.28000003,1450.0,0.206
29,0.85386705,0.10551866,0.20491484,0.075666614,300.0,-22.865192,0.31,1500.0,0.224
30,0.85378265,0.105418205,0.20484987,0.07619236,310.0,-25.10947,0.25,1550.0,0.24000001
31,0.85367584,0.105633676,0.20483236,0.07674748,320.0,-25.388554,0.29000002,1600.0,0.226
32,0.8536436,0.105609454,0.20487723,0.07713564,330.0,-22.164316,0.31,1650.0,0.254
33,0.85365725,0.10552865,0.20489053,0.07735678,340.0,-21.568691,0.39000002,1700.0,0.248
34,0.8536871,0.10562531,0.20491096,0.07764396,350.0,-23.23391,0.32,1750.0,0.26
35,0.85368717,0.10568295,0.20490213,0.077890925,360.0,-21.28785,0.39000002,1800.0,0.27599996
36,0.8536909,0.10583206,0.20490167,0.07813578,370.0,-23.186634,0.34,1850.0,0.282
37,0.8536738,0.10575547,0.20491882,0.078382105,380.0,-25.701767,0.26000000536441803,1900.0,0.306
38,0.8536297,0.10567553,0.20490293,0.07868499,390.0,-25.84784,0.32999998,1950.0,0.31199998
39,0.85366106,0.105563834,0.20491031,0.07896804,400.0,-22.510857,0.39000002,2000.0,0.338
40,0.85360754,0.10559573,0.20489411,0.07928245,410.0,-23.619133,0.4,2050.0,0.314
41,0.853603,0.10583502,0.20492716,0.07971151,420.0,-25.32899,0.32999998,2100.0,0.25599998
42,0.8536404,0.105795026,0.20495205,0.08012972,430.0,-20.855236,0.41000003,2150.0,0.336
43,0.85368174,0.10570042,0.2049814,0.080446154,440.0,-23.052237,0.4,2200.0,0.338
44,0.8536803,0.105587974,0.20501871,0.08069075,450.0,-24.671947,0.37000003,2250.0,0.36400002
45,0.8537346,0.10548855,0.20501757,0.080963045,460.0,-21.85625,0.4299999952316284,2300.0,0.316
46,0.8537339,0.10541078,0.20498833,0.08139099,470.0,-26.575607,0.3100000016391277,2350.0,0.346
47,0.8537443,0.105672,0.2050087,0.08193821,480.0,-22.553406,0.42,2400.0,0.312
48,0.8536704,0.10573667,0.20501404,0.08224917,490.0,-25.996384,0.29000002,2450.0,0.34
49,0.8536962,0.105687164,0.20503148,0.08240132,500.0,-19.955511,0.43,2500.0,0.32199997
50,0.85371244,0.10561731,0.20499822,0.082646996,510.0,-22.018023,0.41,2550.0,0.338
