# {"env_id": "FetchToss-v1", "t_start": 1580777379.6621711} 
r,l,t
-50.0,50,6.698716
-50.0,50,9.511608
-50.0,50,12.142199
-50.0,50,14.715224
-50.0,50,17.275556
-50.0,50,19.854274
-50.0,50,22.391436
-50.0,50,24.959556
-50.0,50,27.550012
-50.0,50,30.098278
-50.0,50,32.634044
-50.0,50,35.149634
-50.0,50,37.688697
-50.0,50,40.273236
-50.0,50,42.781169
-50.0,50,45.352047
-50.0,50,47.902181
-50.0,50,50.50118
-50.0,50,53.061957
-50.0,50,55.597228
-50.0,50,58.154667
-50.0,50,60.691772
-50.0,50,63.237195
-50.0,50,65.840722
-50.0,50,68.423195
-50.0,50,70.939974
-50.0,50,73.56369
-50.0,50,76.107174
-50.0,50,78.683534
-50.0,50,81.2417
-50.0,50,83.793158
-50.0,50,86.339751
-50.0,50,88.913848
-50.0,50,91.541781
-50.0,50,94.073289
-50.0,50,96.64298
-50.0,50,99.235177
-50.0,50,101.745231
-50.0,50,104.327683
-50.0,50,106.876248
-50.0,50,109.415416
-50.0,50,111.982355
-50.0,50,114.589786
-50.0,50,117.18248
-50.0,50,119.732281
-50.0,50,122.279283
-50.0,50,124.836959
-50.0,50,127.375479
-50.0,50,129.943944
-50.0,50,132.506069
-50.0,50,135.171891
-50.0,50,135.577803
-50.0,50,135.985733
-50.0,50,136.384868
-50.0,50,136.76514
-50.0,50,137.15943
-50.0,50,137.56702
-50.0,50,137.957883
-50.0,50,138.366042
-50.0,50,138.756054
-50.0,50,139.233564
-50.0,50,141.798408
-50.0,50,144.384667
-50.0,50,146.931512
-50.0,50,149.518111
-50.0,50,152.130535
-50.0,50,155.412953
-50.0,50,158.028138
-50.0,50,160.651713
-50.0,50,163.279997
-50.0,50,165.854291
-50.0,50,168.451787
-50.0,50,170.977973
-50.0,50,173.589517
-50.0,50,176.126524
-50.0,50,178.675558
-50.0,50,181.244259
-50.0,50,183.770794
-50.0,50,186.342124
-50.0,50,188.949869
-50.0,50,191.496375
-50.0,50,194.071042
-50.0,50,196.621212
-50.0,50,199.15011
-50.0,50,201.724908
-50.0,50,204.256736
-50.0,50,206.829746
-50.0,50,209.356247
-50.0,50,211.91288
-50.0,50,214.412628
-50.0,50,216.966593
-50.0,50,219.496536
-50.0,50,222.068001
-50.0,50,224.650893
-50.0,50,227.184863
-50.0,50,229.743155
-50.0,50,232.30163
-50.0,50,234.876884
-50.0,50,237.40772
-50.0,50,239.944885
-50.0,50,242.493876
-50.0,50,245.022707
-50.0,50,247.558836
-50.0,50,250.158784
-50.0,50,252.679449
-50.0,50,255.207079
-50.0,50,257.757668
-50.0,50,260.324187
-50.0,50,262.87258
