# {"t_start": 1580777379.1513505, "env_id": "FetchToss-v1"} 
r,l,t
-50.0,50,7.261012
-50.0,50,10.111955
-50.0,50,12.674184
-50.0,50,15.226094
-50.0,50,17.795482
-50.0,50,20.339848
-50.0,50,22.930542
-50.0,50,25.472881
-50.0,50,28.061327
-50.0,50,30.584575
-50.0,50,33.131438
-50.0,50,35.685413
-50.0,50,38.185716
-50.0,50,40.7723
-50.0,50,43.321362
-50.0,50,45.871924
-50.0,50,48.397383
-50.0,50,51.017645
-50.0,50,53.560023
-50.0,50,56.118739
-50.0,50,58.645683
-50.0,50,61.231596
-50.0,50,63.744062
-50.0,50,66.353585
-50.0,50,68.909228
-50.0,50,71.461252
-50.0,50,74.068014
-50.0,50,76.619715
-50.0,50,79.173589
-50.0,50,81.73305
-50.0,50,84.325487
-50.0,50,86.843278
-50.0,50,89.43509
-50.0,50,92.048358
-50.0,50,94.592374
-50.0,50,97.139381
-50.0,50,99.725138
-50.0,50,102.266793
-50.0,50,104.85648
-50.0,50,107.35024
-50.0,50,109.947717
-50.0,50,112.500721
-50.0,50,115.08436
-50.0,50,117.678253
-50.0,50,120.240969
-50.0,50,122.796463
-50.0,50,125.340714
-50.0,50,127.89813
-50.0,50,130.464787
-50.0,50,133.018313
-50.0,50,135.600351
-50.0,50,135.986362
-50.0,50,136.384498
-50.0,50,136.786265
-50.0,50,137.224015
-50.0,50,137.633581
-50.0,50,138.022502
-50.0,50,138.421625
-50.0,50,138.819976
-50.0,50,139.219282
-50.0,50,139.748041
-50.0,50,142.354119
-50.0,50,144.896212
-50.0,50,147.460593
-50.0,50,150.00161
-50.0,50,152.674447
-50.0,50,155.898616
-50.0,50,158.548517
-50.0,50,161.194796
-50.0,50,163.824189
-50.0,50,166.407607
-50.0,50,168.95139
-50.0,50,171.543878
-50.0,50,174.087538
-50.0,50,176.66434
-50.0,50,179.210874
-50.0,50,181.753338
-50.0,50,184.276916
-50.0,50,186.853696
-50.0,50,189.464238
-50.0,50,191.989962
-50.0,50,194.561699
-50.0,50,197.128695
-50.0,50,199.668175
-50.0,50,202.232121
-50.0,50,204.772809
-50.0,50,207.32007
-50.0,50,209.883854
-50.0,50,212.429505
-50.0,50,214.96386
-50.0,50,217.48684
-50.0,50,220.006161
-50.0,50,222.566314
-50.0,50,225.172883
-50.0,50,227.695851
-50.0,50,230.25513
-50.0,50,232.788081
-50.0,50,235.335565
-50.0,50,237.921829
-50.0,50,240.444422
-50.0,50,243.012249
-50.0,50,245.554456
-50.0,50,248.087941
-50.0,50,250.646658
-50.0,50,253.193961
-50.0,50,255.744704
-50.0,50,258.274829
-50.0,50,260.832138
-50.0,50,263.365447
-50.0,50,265.947471
-50.0,50,268.48605
-50.0,50,268.897732
-50.0,50,269.309351
-50.0,50,269.688734
-50.0,50,270.092172
-50.0,50,270.482032
-50.0,50,270.897631
-50.0,50,271.293199
-50.0,50,271.700898
-50.0,50,272.089907
-50.0,50,272.509172
-50.0,50,275.041155
-50.0,50,277.597986
-50.0,50,280.153157
-50.0,50,282.712023
-50.0,50,285.257479
-50.0,50,287.789916
-50.0,50,290.37306
-50.0,50,292.870655
-50.0,50,295.417454
-50.0,50,298.001832
-50.0,50,300.558068
-50.0,50,303.081173
-50.0,50,305.639207
-50.0,50,308.174361
-50.0,50,310.716711
-50.0,50,313.236725
-50.0,50,315.808941
-50.0,50,318.393589
-50.0,50,320.935724
-50.0,50,323.485957
-50.0,50,326.009998
-50.0,50,328.562219
-50.0,50,331.096454
-50.0,50,333.651314
-50.0,50,336.188305
-50.0,50,338.723401
-50.0,50,341.279252
-50.0,50,343.838902
-50.0,50,346.387051
-50.0,50,348.951462
-50.0,50,351.491244
-50.0,50,354.046252
-50.0,50,356.629222
-50.0,50,359.180709
-50.0,50,361.701585
-50.0,50,364.253391
-50.0,50,366.798681
-50.0,50,369.386316
-50.0,50,371.913173
-50.0,50,374.448278
-50.0,50,377.003148
-50.0,50,379.5576
-50.0,50,382.055645
-50.0,50,384.618334
-50.0,50,387.174852
-50.0,50,389.736242
-50.0,50,392.291783
-50.0,50,394.849948
-50.0,50,397.409161
-50.0,50,399.953519
-50.0,50,400.348371
-50.0,50,400.75675
-50.0,50,401.160442
-50.0,50,401.553773
-50.0,50,401.940561
-50.0,50,402.345509
-50.0,50,402.7457
-50.0,50,403.137124
-50.0,50,403.536538
-50.0,50,403.933659
-50.0,50,406.484355
-50.0,50,409.023714
-50.0,50,411.574299
-50.0,50,414.145512
-50.0,50,416.699442
-50.0,50,419.254093
-50.0,50,421.812137
-50.0,50,424.393686
-50.0,50,426.914045
-50.0,50,429.498511
-50.0,50,432.016438
-50.0,50,434.59305
-50.0,50,437.153315
-50.0,50,439.693959
-50.0,50,442.229671
-50.0,50,444.810691
-50.0,50,447.359965
-50.0,50,449.898745
-50.0,50,452.466626
-50.0,50,455.01176
-50.0,50,457.515319
-50.0,50,460.072231
-50.0,50,462.596586
-50.0,50,465.151985
-50.0,50,467.732837
-50.0,50,470.301044
-50.0,50,472.866819
-50.0,50,475.419621
-50.0,50,477.970885
-50.0,50,480.542387
-50.0,50,483.091119
-50.0,50,485.639725
-50.0,50,488.204386
-50.0,50,490.747121
-50.0,50,493.297566
-50.0,50,495.831041
-50.0,50,498.397866
-50.0,50,500.974591
-50.0,50,503.49675
-50.0,50,506.116255
-50.0,50,508.804086
-50.0,50,511.361865
-50.0,50,513.913706
-50.0,50,516.45387
-50.0,50,518.974444
-50.0,50,521.513233
-50.0,50,524.100605
-50.0,50,526.629694
-50.0,50,529.187129
-50.0,50,531.738445
-50.0,50,532.112983
-50.0,50,532.495951
-50.0,50,532.905661
-50.0,50,533.299485
-50.0,50,533.702739
-50.0,50,534.098267
-50.0,50,534.489121
-50.0,50,534.882069
-50.0,50,535.271137
-50.0,50,535.818686
-50.0,50,538.361749
-50.0,50,540.931675
-50.0,50,543.491815
-50.0,50,546.03354
-50.0,50,548.567258
-50.0,50,551.136142
-50.0,50,553.721899
-50.0,50,556.315461
-50.0,50,558.884322
-50.0,50,561.510421
-50.0,50,564.10959
-50.0,50,566.646791
-50.0,50,569.313644
-50.0,50,571.835571
-50.0,50,574.585958
-50.0,50,577.38237
-50.0,50,580.198444
-50.0,50,583.038857
-50.0,50,585.993464
-50.0,50,589.480688
-50.0,50,592.348562
-50.0,50,594.982375
-50.0,50,599.224383
-50.0,50,603.463644
-50.0,50,609.239549
-50.0,50,613.667981
-50.0,50,617.433042
-50.0,50,621.175695
-50.0,50,624.803077
-50.0,50,628.394301
-50.0,50,632.039643
-50.0,50,635.567969
-50.0,50,639.134291
-50.0,50,642.748483
-50.0,50,646.38694
-50.0,50,649.948331
-50.0,50,653.402911
-50.0,50,657.191106
-50.0,50,661.113481
-50.0,50,664.927929
-50.0,50,668.512013
-50.0,50,672.152109
-50.0,50,675.778233
-50.0,50,679.389663
-50.0,50,682.986498
-50.0,50,686.584658
