# {"t_start": 1581279042.1576743, "env_id": "FetchToss-v3"} 
r,l,t
-100.0,100,6.198122
-100.0,100,9.078314
-100.0,100,11.567031
-100.0,100,14.132102
-100.0,100,16.662147
-100.0,100,19.242388
-100.0,100,21.958287
-100.0,100,24.499439
-100.0,100,27.086473
-100.0,100,30.341283
-100.0,100,33.87904
-100.0,100,37.522931
-100.0,100,41.20222
-100.0,100,44.860642
-100.0,100,48.532947
-100.0,100,52.3052
-100.0,100,56.000489
-100.0,100,59.729312
-100.0,100,63.425513
-100.0,100,67.064538
-100.0,100,70.813214
-100.0,100,74.599855
-100.0,100,78.232749
-100.0,100,81.891315
-100.0,100,85.491136
-100.0,100,89.153648
-100.0,100,92.794032
-100.0,100,96.4493
-100.0,100,100.224292
-100.0,100,103.921302
-100.0,100,107.655949
-100.0,100,111.311921
-100.0,100,114.985056
-100.0,100,118.678699
-100.0,100,122.38749
-100.0,100,126.000396
-100.0,100,129.780923
-100.0,100,133.443726
-100.0,100,137.15523
-100.0,100,140.861786
-100.0,100,144.609071
-100.0,100,148.368342
-100.0,100,152.033385
-100.0,100,155.831085
-100.0,100,159.618285
-100.0,100,162.955286
-100.0,100,165.912348
-100.0,100,168.540254
-100.0,100,171.193166
-100.0,100,173.782596
-100.0,100,176.351034
-100.0,100,177.040637
-100.0,100,177.757326
-100.0,100,178.459258
-100.0,100,179.146443
-100.0,100,179.866286
-100.0,100,180.576316
-100.0,100,181.293142
-100.0,100,181.997102
-100.0,100,182.684945
-100.0,100,183.498752
-100.0,100,186.097322
-100.0,100,188.665888
-100.0,100,191.208959
-100.0,100,193.82639
-100.0,100,196.47093
-100.0,100,199.014255
-100.0,100,201.647125
-100.0,100,204.196776
-100.0,100,206.785987
-100.0,100,209.411981
-100.0,100,212.008059
-100.0,100,214.597134
-100.0,100,217.141178
-100.0,100,219.780204
-100.0,100,222.354557
-100.0,100,224.916176
-100.0,100,227.51729
-100.0,100,230.141669
-100.0,100,232.75371
-100.0,100,235.316288
-100.0,100,237.903307
-100.0,100,240.50462
-100.0,100,243.110497
-100.0,100,245.712957
-100.0,100,248.280027
-100.0,100,250.895846
-100.0,100,253.466913
-100.0,100,256.061279
-100.0,100,258.651033
-100.0,100,261.242176
-100.0,100,263.89485
-100.0,100,266.450174
-100.0,100,269.059289
-100.0,100,271.610961
-100.0,100,274.222479
-100.0,100,276.791246
-100.0,100,279.381397
-100.0,100,281.975502
-100.0,100,284.525985
-100.0,100,287.145728
-100.0,100,289.729629
-100.0,100,292.348509
-100.0,100,294.919669
-100.0,100,297.540772
-100.0,100,300.286822
-100.0,100,303.004101
-100.0,100,305.604576
-100.0,100,308.215592
-100.0,100,310.757679
-100.0,100,313.333169
-100.0,100,314.016636
-100.0,100,314.699977
-100.0,100,315.371811
-100.0,100,316.089738
-100.0,100,316.791475
-100.0,100,317.50032
-100.0,100,318.205946
-100.0,100,318.904326
-100.0,100,319.597498
-100.0,100,320.389802
-100.0,100,322.976811
-100.0,100,325.492614
-100.0,100,328.115719
-100.0,100,330.644912
-100.0,100,333.28035
-100.0,100,335.853986
-100.0,100,338.417974
-100.0,100,341.001035
-100.0,100,343.570691
-100.0,100,346.138591
-100.0,100,348.697295
-100.0,100,351.289011
-100.0,100,353.89014
-100.0,100,356.474152
-100.0,100,359.018848
-100.0,100,361.639176
-100.0,100,364.201535
-100.0,100,366.787137
-100.0,100,369.369256
-100.0,100,371.979494
-100.0,100,374.557896
-100.0,100,377.170145
-100.0,100,379.742769
-100.0,100,382.332744
-100.0,100,384.881966
-100.0,100,387.452268
-100.0,100,390.068563
-100.0,100,392.65622
-100.0,100,395.220584
-100.0,100,397.783951
-100.0,100,400.457563
-100.0,100,402.991573
-100.0,100,405.594503
-100.0,100,408.200104
-100.0,100,410.783147
-100.0,100,413.375659
-100.0,100,416.017628
-100.0,100,418.558728
-100.0,100,421.128067
-100.0,100,423.720592
-100.0,100,426.287411
-100.0,100,428.886563
-100.0,100,431.468044
-100.0,100,434.021258
-100.0,100,436.633637
-100.0,100,439.220171
-100.0,100,441.783102
-100.0,100,444.368095
-100.0,100,446.937863
-100.0,100,449.553535
-100.0,100,450.260502
-100.0,100,450.959894
-100.0,100,451.671478
-100.0,100,452.342745
-100.0,100,453.020328
-100.0,100,453.754334
-100.0,100,454.474955
-100.0,100,455.15133
-100.0,100,455.84921
-100.0,100,456.645231
-100.0,100,459.186345
-100.0,100,461.752652
-100.0,100,464.366423
-100.0,100,466.921065
-100.0,100,469.564915
-100.0,100,472.132066
-100.0,100,474.7274
-100.0,100,477.291021
-100.0,100,479.891858
-100.0,100,482.473738
-100.0,100,485.107752
-100.0,100,487.684279
-100.0,100,490.273698
-100.0,100,492.819254
-100.0,100,495.439981
-100.0,100,498.027275
-100.0,100,500.59931
-100.0,100,503.124199
-100.0,100,505.749055
-100.0,100,508.313831
-100.0,100,510.916724
-100.0,100,513.51056
-100.0,100,516.155045
-100.0,100,518.738958
-100.0,100,521.327907
-100.0,100,523.874841
-100.0,100,526.491778
-100.0,100,529.05204
-100.0,100,531.747693
-100.0,100,534.768455
-100.0,100,537.676883
-100.0,100,540.363382
-100.0,100,542.996627
-100.0,100,545.677444
-100.0,100,548.336735
-100.0,100,551.052568
-100.0,100,553.948108
-100.0,100,556.581346
-100.0,100,559.285226
-100.0,100,561.880087
-100.0,100,564.604823
-100.0,100,567.643325
-100.0,100,570.44616
-100.0,100,573.040175
-100.0,100,575.569754
-100.0,100,578.247556
-100.0,100,580.893631
-100.0,100,583.769142
-100.0,100,587.516869
-100.0,100,590.745078
-100.0,100,591.639063
-100.0,100,592.45122
-100.0,100,593.273939
-100.0,100,594.102327
-100.0,100,595.017195
-100.0,100,595.923517
-100.0,100,596.737579
-100.0,100,597.492484
-100.0,100,598.297036
-100.0,100,599.234846
-100.0,100,602.523171
-100.0,100,605.620926
-100.0,100,608.662353
-100.0,100,611.686157
-100.0,100,614.754099
-100.0,100,617.774209
-100.0,100,620.827873
-100.0,100,623.783892
-100.0,100,626.897979
-100.0,100,629.869608
-100.0,100,632.777887
-100.0,100,635.774272
-100.0,100,638.403182
