# {"env_id": "FetchToss-v3", "t_start": 1581279040.9653046} 
r,l,t
-100.0,100,7.45368
-100.0,100,10.155098
-100.0,100,12.772558
-100.0,100,15.313629
-100.0,100,17.787047
-100.0,100,20.457212
-100.0,100,23.076073
-100.0,100,25.728462
-100.0,100,28.346892
-100.0,100,31.495763
-100.0,100,35.08485
-100.0,100,38.679969
-100.0,100,42.382494
-100.0,100,46.045633
-100.0,100,49.771885
-100.0,100,53.502964
-100.0,100,57.236746
-100.0,100,60.87101
-100.0,100,64.637785
-100.0,100,68.273209
-100.0,100,72.01891
-100.0,100,75.77047
-100.0,100,79.422636
-100.0,100,83.072408
-100.0,100,86.636049
-100.0,100,90.401677
-100.0,100,93.995838
-100.0,100,97.636593
-100.0,100,101.393055
-100.0,100,105.136399
-100.0,100,108.778719
-100.0,100,112.511909
-100.0,100,116.187875
-100.0,100,119.847576
-100.0,100,123.564729
-100.0,100,127.205119
-100.0,100,130.934456
-100.0,100,134.693206
-100.0,100,138.357116
-100.0,100,142.092872
-100.0,100,145.839715
-100.0,100,149.51577
-100.0,100,153.23631
-100.0,100,157.048645
-100.0,100,160.731782
-100.0,100,164.160622
-100.0,100,167.134546
-100.0,100,169.76862
-100.0,100,172.37926
-100.0,100,174.942374
-100.0,100,177.572019
-100.0,100,178.255516
-100.0,100,178.974602
-100.0,100,179.683039
-100.0,100,180.397045
-100.0,100,181.069531
-100.0,100,181.76891
-100.0,100,182.474763
-100.0,100,183.208115
-100.0,100,183.906317
-100.0,100,184.674623
-100.0,100,187.250498
-100.0,100,189.899126
-100.0,100,192.431953
-100.0,100,195.02755
-100.0,100,197.653037
-100.0,100,200.281042
-100.0,100,202.82707
-100.0,100,205.382592
-100.0,100,207.996104
-100.0,100,210.589233
-100.0,100,213.167139
-100.0,100,215.752973
-100.0,100,218.376716
-100.0,100,220.959371
-100.0,100,223.537215
-100.0,100,226.162945
-100.0,100,228.719831
-100.0,100,231.260555
-100.0,100,233.913898
-100.0,100,236.505193
-100.0,100,239.151514
-100.0,100,241.692784
-100.0,100,244.296627
-100.0,100,246.915687
-100.0,100,249.471394
-100.0,100,252.049182
-100.0,100,254.689864
-100.0,100,257.283917
-100.0,100,259.873585
-100.0,100,262.426258
-100.0,100,265.078449
-100.0,100,267.644142
-100.0,100,270.216361
-100.0,100,272.808035
-100.0,100,275.430409
-100.0,100,278.013331
-100.0,100,280.577598
-100.0,100,283.181348
-100.0,100,285.74933
-100.0,100,288.349546
-100.0,100,290.95208
-100.0,100,293.53912
-100.0,100,296.104818
-100.0,100,298.725786
-100.0,100,301.446847
-100.0,100,304.194335
-100.0,100,306.776163
-100.0,100,309.374725
-100.0,100,311.978974
-100.0,100,314.52121
-100.0,100,315.220937
-100.0,100,315.920214
-100.0,100,316.594406
-100.0,100,317.283321
-100.0,100,317.96171
-100.0,100,318.657441
-100.0,100,319.388039
-100.0,100,320.102449
-100.0,100,320.816464
-100.0,100,321.56155
-100.0,100,324.129179
-100.0,100,326.707729
-100.0,100,329.325154
-100.0,100,331.89578
-100.0,100,334.468444
-100.0,100,337.049416
-100.0,100,339.594674
-100.0,100,342.210976
-100.0,100,344.756347
-100.0,100,347.320045
-100.0,100,349.89673
-100.0,100,352.460856
-100.0,100,355.085539
-100.0,100,357.609439
-100.0,100,360.261507
-100.0,100,362.792454
-100.0,100,365.440273
-100.0,100,367.946089
-100.0,100,370.584655
-100.0,100,373.14621
-100.0,100,375.764455
-100.0,100,378.383017
-100.0,100,380.928962
-100.0,100,383.54397
-100.0,100,386.074587
-100.0,100,388.699003
-100.0,100,391.257477
-100.0,100,393.789958
-100.0,100,396.391107
-100.0,100,399.050556
-100.0,100,401.606816
-100.0,100,404.188735
-100.0,100,406.807369
-100.0,100,409.39256
-100.0,100,411.996792
-100.0,100,414.564507
-100.0,100,417.186365
-100.0,100,419.745456
-100.0,100,422.334521
-100.0,100,424.898269
-100.0,100,427.500293
-100.0,100,430.099122
-100.0,100,432.683902
-100.0,100,435.253173
-100.0,100,437.813994
-100.0,100,440.439091
-100.0,100,443.01681
-100.0,100,445.602148
-100.0,100,448.188151
-100.0,100,450.749391
-100.0,100,451.447894
-100.0,100,452.159004
-100.0,100,452.861834
-100.0,100,453.55105
-100.0,100,454.265643
-100.0,100,454.971336
-100.0,100,455.67443
-100.0,100,456.35623
-100.0,100,457.077795
-100.0,100,457.84622
-100.0,100,460.398983
-100.0,100,462.998919
-100.0,100,465.545195
-100.0,100,468.20131
-100.0,100,470.716104
-100.0,100,473.31645
-100.0,100,475.89989
-100.0,100,478.514549
-100.0,100,481.116402
-100.0,100,483.703239
-100.0,100,486.294063
-100.0,100,488.852445
-100.0,100,491.457345
-100.0,100,494.067789
-100.0,100,496.652909
-100.0,100,499.192317
-100.0,100,501.794532
-100.0,100,504.381283
-100.0,100,506.934467
-100.0,100,509.537646
-100.0,100,512.083694
-100.0,100,514.663897
-100.0,100,517.324058
-100.0,100,519.889565
-100.0,100,522.497569
-100.0,100,525.057912
-100.0,100,527.686131
-100.0,100,530.274628
-100.0,100,532.990507
-100.0,100,535.936218
-100.0,100,538.88147
-100.0,100,541.48676
-100.0,100,544.120255
-100.0,100,546.857955
-100.0,100,549.513323
-100.0,100,552.202093
-100.0,100,555.139949
-100.0,100,557.830878
-100.0,100,560.44631
-100.0,100,563.058304
-100.0,100,565.787358
-100.0,100,568.800762
-100.0,100,571.627094
-100.0,100,574.187431
-100.0,100,576.802596
-100.0,100,579.41778
-100.0,100,582.046247
-100.0,100,584.941018
-100.0,100,588.670703
-100.0,100,591.959586
-100.0,100,592.87583
-100.0,100,593.683193
-100.0,100,594.491411
-100.0,100,595.303516
-100.0,100,596.251278
-100.0,100,597.155125
-100.0,100,597.997818
-100.0,100,598.742937
-100.0,100,599.576354
-100.0,100,600.397486
-100.0,100,603.764077
-100.0,100,606.778347
-100.0,100,609.827057
-100.0,100,612.916132
-100.0,100,615.939562
-100.0,100,618.963882
-100.0,100,621.958525
-100.0,100,624.993147
-100.0,100,628.090169
-100.0,100,631.064134
-100.0,100,634.00677
-100.0,100,637.008407
-100.0,100,639.606486
-100.0,100,642.21281
-100.0,100,644.79038
-100.0,100,647.345825
-100.0,100,649.941101
-100.0,100,652.530746
-100.0,100,655.153394
-100.0,100,657.742914
-100.0,100,660.357404
-100.0,100,662.926667
-100.0,100,665.564611
-100.0,100,668.177231
-100.0,100,670.711517
-100.0,100,673.323612
-100.0,100,675.9566
-100.0,100,678.507799
-100.0,100,681.143133
-100.0,100,683.720567
-100.0,100,686.356553
-100.0,100,688.908253
-100.0,100,691.605289
-100.0,100,694.175265
-100.0,100,696.737443
-100.0,100,699.3847
-100.0,100,701.943929
-100.0,100,704.572827
-100.0,100,707.210568
-100.0,100,709.810861
-100.0,100,712.88375
-100.0,100,715.764814
-100.0,100,718.495801
-100.0,100,721.421508
-100.0,100,724.52796
-100.0,100,727.870212
-100.0,100,731.301285
-100.0,100,734.85927
-100.0,100,738.4004
-100.0,100,741.768569
-100.0,100,742.715498
-100.0,100,743.55335
-100.0,100,744.314099
-100.0,100,745.006024
-100.0,100,745.769335
-100.0,100,746.586535
-100.0,100,747.289604
-100.0,100,747.997559
-100.0,100,748.697252
-100.0,100,749.445766
-100.0,100,752.377292
-100.0,100,755.144889
-100.0,100,758.051534
-100.0,100,760.945003
-100.0,100,763.795901
-100.0,100,766.596413
-100.0,100,769.320658
-100.0,100,772.054905
-100.0,100,775.134072
-100.0,100,777.869771
-100.0,100,780.494888
-100.0,100,783.085617
-100.0,100,785.640018
-100.0,100,788.315797
-100.0,100,791.168449
-100.0,100,793.943105
-100.0,100,796.540087
-100.0,100,799.196398
-100.0,100,801.927453
-100.0,100,804.680511
-100.0,100,807.324275
-100.0,100,810.008144
-100.0,100,812.984807
-100.0,100,816.275781
-100.0,100,819.405029
-100.0,100,822.673622
-100.0,100,825.521544
-100.0,100,828.500323
-100.0,100,831.350451
-100.0,100,834.55133
-100.0,100,837.201399
-100.0,100,840.19432
-100.0,100,842.795318
-100.0,100,845.522125
-100.0,100,848.83738
-100.0,100,851.924378
-100.0,100,854.766715
-100.0,100,857.590177
-100.0,100,860.813963
-100.0,100,863.629973
-100.0,100,866.346066
-100.0,100,869.571186
-100.0,100,872.672961
-100.0,100,875.342674
-100.0,100,878.089692
-100.0,100,881.202284
-100.0,100,884.197711
-100.0,100,887.262571
-100.0,100,890.321115
-100.0,100,893.163064
-100.0,100,893.890702
-100.0,100,894.595537
-100.0,100,895.311415
-100.0,100,896.024321
-100.0,100,896.718902
-100.0,100,897.416857
-100.0,100,898.188291
-100.0,100,899.056043
-100.0,100,899.798507
-100.0,100,900.569566
-100.0,100,903.55158
-100.0,100,906.573451
-100.0,100,909.40782
-100.0,100,912.406397
-100.0,100,915.38063
-100.0,100,917.994414
-100.0,100,920.623043
-100.0,100,923.254943
-100.0,100,925.85638
-100.0,100,928.564957
-100.0,100,931.841127
-100.0,100,934.937931
-100.0,100,938.324094
-100.0,100,941.622635
-100.0,100,944.335359
-100.0,100,947.309506
-100.0,100,950.37267
-100.0,100,953.027489
-100.0,100,955.646952
-100.0,100,958.344975
-100.0,100,961.106524
-100.0,100,964.664195
-100.0,100,967.768223
-100.0,100,970.621143
-100.0,100,973.42329
-100.0,100,976.146338
-100.0,100,978.92632
-100.0,100,981.760658
-100.0,100,984.828254
-100.0,100,988.136024
-100.0,100,990.965893
-100.0,100,993.955182
-100.0,100,997.350044
-100.0,100,1000.489119
-100.0,100,1004.111901
-100.0,100,1007.175781
-100.0,100,1009.989026
-100.0,100,1013.478297
-100.0,100,1017.151276
-100.0,100,1020.201447
-100.0,100,1023.083738
-100.0,100,1025.820339
-100.0,100,1028.829293
-100.0,100,1032.794698
-100.0,100,1036.526242
-100.0,100,1039.979144
-100.0,100,1042.665765
-100.0,100,1045.287169
-100.0,100,1047.948419
-100.0,100,1050.61388
-100.0,100,1051.307198
-100.0,100,1052.069545
-100.0,100,1052.774878
-100.0,100,1053.457133
-100.0,100,1054.130685
-100.0,100,1054.857261
-100.0,100,1055.5649
-100.0,100,1056.262583
-100.0,100,1056.946945
-100.0,100,1057.680883
-100.0,100,1060.288338
-100.0,100,1062.977138
-100.0,100,1065.590266
-100.0,100,1068.206857
-100.0,100,1070.817852
-100.0,100,1073.487842
-100.0,100,1076.104657
-100.0,100,1078.754273
-100.0,100,1081.333766
-100.0,100,1083.962997
-100.0,100,1086.51536
-100.0,100,1089.217614
-100.0,100,1091.851038
-100.0,100,1094.485184
-100.0,100,1097.094157
-100.0,100,1099.710155
-100.0,100,1102.361758
-100.0,100,1104.955083
-100.0,100,1107.568774
-100.0,100,1110.305752
-100.0,100,1113.614735
-100.0,100,1117.358621
-100.0,100,1120.91801
-100.0,100,1124.632896
-100.0,100,1128.401957
-100.0,100,1132.064476
-100.0,100,1135.841137
-100.0,100,1139.531094
-100.0,100,1143.272369
-100.0,100,1147.037259
-100.0,100,1150.882932
-100.0,100,1154.535878
-100.0,100,1158.387613
-100.0,100,1162.096272
-100.0,100,1165.959567
-100.0,100,1169.666483
-100.0,100,1173.301176
-100.0,100,1177.11678
-100.0,100,1180.776523
-100.0,100,1184.458339
-100.0,100,1188.202852
-100.0,100,1191.970017
-100.0,100,1195.70416
-100.0,100,1199.458475
-100.0,100,1203.209724
-100.0,100,1206.917552
-100.0,100,1210.693793
-100.0,100,1214.477691
-100.0,100,1218.127179
-100.0,100,1221.868451
-100.0,100,1222.655903
-100.0,100,1223.465877
-100.0,100,1224.299994
-100.0,100,1225.12998
-100.0,100,1225.964286
-100.0,100,1226.823549
-100.0,100,1227.670704
-100.0,100,1228.507777
-100.0,100,1229.338339
-100.0,100,1230.5599
-100.0,100,1234.3172
-100.0,100,1237.387497
-100.0,100,1240.763492
-100.0,100,1244.667704
-100.0,100,1248.510007
-100.0,100,1252.19414
-100.0,100,1255.998978
-100.0,100,1259.648975
-100.0,100,1263.482151
-100.0,100,1267.107083
