# {"env_id": "FetchToss-v55", "t_start": 1584969628.4685998} 
r,l,t
-50.0,50,8.906572
-50.0,50,11.778261
-50.0,50,14.377738
0.0,50,16.968826
-50.0,50,19.578177
-50.0,50,22.183423
-50.0,50,24.814138
-50.0,50,27.402829
-50.0,50,29.993748
-50.0,50,32.596734
-50.0,50,35.18582
-50.0,50,37.788967
-50.0,50,40.376026
-50.0,50,42.969443
-50.0,50,45.67853
-50.0,50,48.298934
-50.0,50,50.887231
-50.0,50,53.475215
-50.0,50,56.157953
-50.0,50,58.810666
-50.0,50,61.380549
-50.0,50,64.01823
-50.0,50,66.646542
-50.0,50,69.288795
-50.0,50,71.932837
-50.0,50,74.528304
-50.0,50,77.141516
-50.0,50,79.739055
-50.0,50,82.396338
-50.0,50,85.03811
-50.0,50,87.649653
-50.0,50,90.273585
-50.0,50,92.915647
-50.0,50,95.53775
-50.0,50,98.170252
-50.0,50,101.166347
-50.0,50,104.127174
-50.0,50,106.796901
-50.0,50,109.448479
-50.0,50,112.063485
-50.0,50,114.696989
-50.0,50,117.297905
-50.0,50,119.9369
-50.0,50,122.548542
-50.0,50,125.14801
-50.0,50,127.749674
-50.0,50,130.369285
-50.0,50,133.018485
-50.0,50,135.61408
-50.0,50,138.199544
-50.0,50,140.88797
-50.0,50,141.277981
0.0,50,141.663494
-50.0,50,142.064897
-50.0,50,142.475626
-50.0,50,142.867507
-50.0,50,143.278374
-50.0,50,143.717965
-50.0,50,144.132967
-50.0,50,144.566862
-50.0,50,145.122181
-50.0,50,147.767679
-50.0,50,150.347139
-50.0,50,152.934636
-50.0,50,155.565302
0.0,50,158.192134
-50.0,50,160.824405
-50.0,50,163.422536
-50.0,50,166.054363
-50.0,50,168.673943
-50.0,50,171.29275
-50.0,50,173.893863
-50.0,50,176.527071
-50.0,50,179.120949
-50.0,50,181.777779
-50.0,50,184.378855
-50.0,50,187.024236
-50.0,50,189.626457
-50.0,50,192.262388
-50.0,50,194.85914
-50.0,50,197.480324
-50.0,50,200.155791
-50.0,50,202.799609
-50.0,50,205.394256
0.0,50,208.056241
-50.0,50,210.651253
-50.0,50,213.267209
-50.0,50,215.88303
-50.0,50,218.488939
-50.0,50,221.108055
-50.0,50,223.766909
-50.0,50,226.375348
-50.0,50,229.009449
-50.0,50,231.616307
-50.0,50,234.238131
-50.0,50,236.887841
-50.0,50,239.521698
-50.0,50,242.128973
-50.0,50,244.771134
-50.0,50,247.361058
-50.0,50,249.950466
-50.0,50,252.597703
-50.0,50,255.151592
-50.0,50,257.829803
-50.0,50,260.424307
-50.0,50,263.027825
-50.0,50,265.679358
-50.0,50,268.293439
-50.0,50,270.93453
-50.0,50,273.499984
-50.0,50,276.132112
-50.0,50,276.53788
-50.0,50,276.968598
-50.0,50,277.386092
-50.0,50,277.79352
-50.0,50,278.201623
-50.0,50,278.64954
-50.0,50,279.06686
-50.0,50,279.509438
-50.0,50,279.91209
-50.0,50,280.340323
-50.0,50,282.990041
-50.0,50,285.630733
-50.0,50,288.234543
-50.0,50,290.831975
-50.0,50,293.500036
