epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8539481,0.10183378,0.20394829,0.045705248,20.0,-2.3856416,0.245,100.0,0.331
1,0.8538991,0.101105645,0.20412171,0.045011524,40.0,-3.3966248,0.36999997,200.0,0.355
2,0.8540743,0.10112983,0.20415345,0.04428598,60.0,-4.719113,0.375,300.0,0.353
3,0.854242,0.100674376,0.20414877,0.043915752,80.0,-6.4740725,0.30499998,400.0,0.338
4,0.85393494,0.10004389,0.20407195,0.044002295,100.0,-7.1136284,0.365,500.0,0.343
5,0.8538473,0.099691294,0.20405059,0.043718945,120.0,-8.6177,0.365,600.0,0.343
6,0.8538707,0.09982926,0.2040436,0.043690715,140.0,-11.055014,0.29000002,700.0,0.322
7,0.85342824,0.09979275,0.20398264,0.043691896,160.0,-11.651326,0.315,800.0,0.374
8,0.8535287,0.0996502,0.20400798,0.043690015,180.0,-12.953028,0.33,900.0,0.36
9,0.8534338,0.09996713,0.20400557,0.04386943,200.0,-14.708206,0.305,1000.0,0.35400003
10,0.8534266,0.09996149,0.2040153,0.04386226,220.0,-15.117047,0.34,1100.0,0.331
11,0.8534435,0.099901296,0.20400879,0.04395664,240.0,-15.7192745,0.34499997,1200.0,0.35300002
12,0.8533804,0.10005333,0.20399217,0.044241194,260.0,-17.610107,0.325,1300.0,0.35
13,0.8533764,0.09991515,0.20399933,0.04427164,280.0,-18.279842,0.365,1400.0,0.35799998
14,0.8533956,0.09984613,0.20401573,0.0443001,300.0,-19.187181,0.335,1500.0,0.368
15,0.8532465,0.09991608,0.20397417,0.044456113,320.0,-17.56755,0.425,1600.0,0.366
16,0.85326374,0.10023216,0.20395775,0.04456735,340.0,-23.205383,0.275,1700.0,0.341
17,0.8531395,0.100374915,0.20392835,0.04466408,360.0,-21.294443,0.38,1800.0,0.372
18,0.8530582,0.10030415,0.20392594,0.044807024,380.0,-24.310947,0.315,1900.0,0.35999998
19,0.8531421,0.10036673,0.20394461,0.04482554,400.0,-22.980103,0.38,2000.0,0.333
20,0.85324115,0.100312695,0.20397358,0.044914633,420.0,-23.819874,0.365,2100.0,0.359
21,0.8532499,0.1004959,0.20397547,0.0451233,440.0,-26.467072,0.32,2200.0,0.338
22,0.85320204,0.100533746,0.20395522,0.045250818,460.0,-27.472233,0.3,2300.0,0.348
23,0.853223,0.100609876,0.20395741,0.045432545,480.0,-23.74562,0.43500003,2400.0,0.333
24,0.8531486,0.10057386,0.20395942,0.045537952,500.0,-27.548641,0.35,2500.0,0.364
25,0.853134,0.1005762,0.20394985,0.04562587,520.0,-27.827887,0.33999997,2600.0,0.33400002
26,0.85315216,0.1006076,0.2039537,0.045773134,540.0,-31.647354,0.3,2700.0,0.354
27,0.8530879,0.100642815,0.20394143,0.045909133,560.0,-31.364277,0.305,2800.0,0.33
28,0.8530523,0.1005285,0.20393932,0.046037316,580.0,-33.008694,0.29000002,2900.0,0.36400002
29,0.8530361,0.10048149,0.20394926,0.04627965,600.0,-32.194935,0.325,3000.0,0.362
30,0.85304374,0.100468,0.20395331,0.046362516,620.0,-30.619913,0.35,3100.0,0.335
31,0.85304147,0.100578845,0.20396674,0.046560384,640.0,-31.570934,0.35,3200.0,0.351
32,0.85297585,0.10066725,0.20394938,0.046684794,660.0,-31.609997,0.34499997,3300.0,0.359
33,0.8529979,0.10062132,0.20395641,0.046836916,680.0,-31.39953,0.385,3400.0,0.363
34,0.85304624,0.10066452,0.20397183,0.04698231,700.0,-33.888115,0.345,3500.0,0.36
35,0.8530637,0.10077751,0.20397024,0.047170077,720.0,-34.98579,0.33999997,3600.0,0.34100002
36,0.85302085,0.10079918,0.20396045,0.047303095,740.0,-32.32176,0.4,3700.0,0.35
37,0.8530199,0.10081605,0.20395586,0.047418367,760.0,-33.264015,0.39499998,3800.0,0.365
38,0.85303175,0.100772105,0.20395286,0.047552213,780.0,-34.6873,0.375,3900.0,0.35
39,0.8530698,0.10077804,0.20395753,0.047688965,800.0,-38.760754,0.32999998,4000.0,0.349
40,0.85310805,0.10072968,0.20396456,0.047818128,820.0,-38.783123,0.32999998,4100.0,0.341
41,0.85306054,0.1007361,0.2039564,0.047941342,840.0,-35.159473,0.375,4200.0,0.333
42,0.8530817,0.10075364,0.20395777,0.04800355,860.0,-35.80755,0.39000002,4300.0,0.34100002
43,0.85310525,0.10077186,0.2039605,0.048103023,880.0,-39.884235,0.32999998,4400.0,0.33400002
44,0.853053,0.1007792,0.2039442,0.0481468,900.0,-39.744923,0.355,4500.0,0.352
45,0.8529881,0.10075555,0.20392518,0.04819209,920.0,-37.942726,0.365,4600.0,0.363
46,0.85298204,0.10076362,0.20392975,0.048318624,940.0,-37.432243,0.39,4700.0,0.34199998
47,0.852991,0.10078114,0.20393017,0.048394624,960.0,-37.545647,0.395,4800.0,0.35
48,0.8529979,0.10082092,0.20392922,0.048512038,980.0,-40.762653,0.33999997,4900.0,0.34100002
49,0.85296667,0.10084331,0.203927,0.048593186,1000.0,-43.07482,0.32999998,5000.0,0.35799998
