# {"t_start": 1585257037.2365685, "env_id": "FetchToss-v9"} 
r,l,t
-50.0,50,7.034889
-50.0,50,9.416945
-50.0,50,11.712706
-50.0,50,13.955343
-50.0,50,16.194139
-50.0,50,18.53472
-50.0,50,20.921993
-50.0,50,23.345526
-50.0,50,26.862054
-50.0,50,30.973118
-50.0,50,35.013921
-50.0,50,39.484668
-50.0,50,42.959829
-50.0,50,46.162724
-50.0,50,48.976991
-50.0,50,51.607673
-50.0,50,54.600666
-50.0,50,57.123129
-50.0,50,59.60306
-50.0,50,62.167515
-50.0,50,65.260014
-50.0,50,68.717476
-50.0,50,71.358748
-50.0,50,73.931225
-50.0,50,76.23852
-50.0,50,78.545288
-50.0,50,80.860112
-50.0,50,83.369076
-50.0,50,86.170402
-50.0,50,88.940992
-50.0,50,92.016629
-50.0,50,94.931955
-50.0,50,97.186443
-50.0,50,99.616563
-50.0,50,101.975917
-50.0,50,104.428904
-50.0,50,106.938418
-50.0,50,109.233386
-50.0,50,111.648494
-50.0,50,114.174158
-50.0,50,116.776855
-50.0,50,119.175961
-50.0,50,121.685232
-50.0,50,124.478553
-50.0,50,126.778905
-50.0,50,129.410159
0.0,50,132.330502
-50.0,50,134.724942
-50.0,50,137.283929
-50.0,50,139.864965
-50.0,50,142.320879
-50.0,50,142.754373
-50.0,50,143.163183
-50.0,50,143.595641
-50.0,50,144.007
-50.0,50,144.378351
-50.0,50,144.775134
-50.0,50,145.210316
-50.0,50,145.615653
-50.0,50,145.973406
-50.0,50,146.421958
-50.0,50,148.676754
-50.0,50,150.997557
-50.0,50,153.30514
-50.0,50,156.100137
-50.0,50,158.985139
-50.0,50,162.014449
-50.0,50,165.075281
-50.0,50,167.869191
-50.0,50,170.635313
-50.0,50,173.836636
-50.0,50,176.3742
-50.0,50,179.131448
-50.0,50,181.832091
-50.0,50,184.517691
-50.0,50,187.339557
-50.0,50,189.899929
-50.0,50,192.762806
-50.0,50,195.096627
-50.0,50,197.855972
-50.0,50,200.245857
-50.0,50,202.811838
-50.0,50,205.206221
-50.0,50,207.577221
-50.0,50,209.986361
-50.0,50,212.628319
-50.0,50,215.232927
-50.0,50,217.796171
-50.0,50,220.164749
-50.0,50,222.41722
-50.0,50,224.936617
-50.0,50,227.284845
-50.0,50,230.016688
-50.0,50,232.421882
-50.0,50,235.018436
-50.0,50,237.443553
-50.0,50,239.963445
-50.0,50,242.576019
-50.0,50,244.966784
-50.0,50,247.253572
-50.0,50,249.865447
-50.0,50,252.549945
-50.0,50,255.031053
0.0,50,257.489086
-50.0,50,260.209942
-50.0,50,263.22287
-50.0,50,265.595459
-50.0,50,268.189929
-50.0,50,270.868124
-50.0,50,273.384907
-50.0,50,276.312243
-50.0,50,276.722786
-50.0,50,277.106611
-50.0,50,277.486493
-50.0,50,277.869312
-50.0,50,278.260108
-50.0,50,278.612438
-50.0,50,278.969709
-50.0,50,279.328393
-50.0,50,279.696305
-1.0,50,280.080979
-50.0,50,282.419371
-50.0,50,284.695288
-50.0,50,287.155231
-50.0,50,289.61061
-50.0,50,292.328207
-50.0,50,295.611988
-50.0,50,298.056294
-50.0,50,300.850204
-50.0,50,303.750947
-50.0,50,306.914755
-50.0,50,310.217814
-50.0,50,313.499872
-50.0,50,316.835275
-50.0,50,320.062245
-50.0,50,323.288129
-50.0,50,326.582041
0.0,50,329.861022
-50.0,50,333.083953
-50.0,50,336.285354
-50.0,50,339.498763
-50.0,50,342.899019
-50.0,50,346.143141
-50.0,50,349.312705
-50.0,50,352.612866
-50.0,50,355.887282
-50.0,50,359.152107
-50.0,50,362.453242
-50.0,50,365.688346
0.0,50,368.846566
-50.0,50,372.127587
-50.0,50,375.399357
-50.0,50,378.70471
-50.0,50,381.970258
-50.0,50,385.253582
0.0,50,388.483709
-50.0,50,391.736518
-50.0,50,395.059642
-50.0,50,398.269057
-50.0,50,401.524414
-50.0,50,404.742811
-50.0,50,408.015033
-50.0,50,411.278694
-50.0,50,414.509984
-50.0,50,417.717888
-50.0,50,420.969177
-50.0,50,424.278033
-50.0,50,427.606918
-50.0,50,430.421104
-50.0,50,433.762709
-50.0,50,436.333453
-50.0,50,436.674672
-50.0,50,437.045098
-50.0,50,437.401188
-50.0,50,437.794331
-50.0,50,438.18902
-50.0,50,438.53468
-50.0,50,438.87946
-50.0,50,439.235837
-50.0,50,439.641347
-50.0,50,440.136275
-50.0,50,442.532413
-50.0,50,445.580678
-50.0,50,447.948072
-50.0,50,450.178567
-50.0,50,452.507563
-50.0,50,454.780702
-50.0,50,457.13181
-50.0,50,459.429587
-50.0,50,462.095154
-50.0,50,465.356718
-50.0,50,468.676841
-50.0,50,472.179259
-50.0,50,474.983001
-50.0,50,477.712704
-50.0,50,480.385048
-50.0,50,483.092369
-50.0,50,485.732464
-50.0,50,488.358716
-50.0,50,491.030651
-50.0,50,493.636264
-50.0,50,496.270919
-50.0,50,498.931567
-50.0,50,501.68768
