# {"env_id": "FetchTosscube-v1", "t_start": 1580946935.0169353} 
r,l,t
-50.0,50,9.807552
-50.0,50,13.919193
-50.0,50,17.640519
-50.0,50,21.363996
-50.0,50,25.137662
-50.0,50,28.810831
-50.0,50,32.564503
-50.0,50,36.701368
-50.0,50,40.54557
-50.0,50,44.348922
-50.0,50,48.269269
-50.0,50,52.206521
-50.0,50,56.256794
-50.0,50,60.045477
-50.0,50,63.821769
-50.0,50,67.684964
-50.0,50,71.539204
-50.0,50,75.358246
-50.0,50,79.073352
-50.0,50,82.929135
-50.0,50,86.66835
-50.0,50,90.36241
-50.0,50,94.161879
-50.0,50,97.903403
-50.0,50,101.603513
-50.0,50,105.387104
-50.0,50,109.051928
-50.0,50,112.812464
-50.0,50,116.854788
-50.0,50,120.562524
-50.0,50,124.254555
-50.0,50,127.73396
-50.0,50,131.705258
-50.0,50,135.381238
-50.0,50,139.016528
-50.0,50,142.589541
-50.0,50,146.340321
-50.0,50,149.938089
-50.0,50,153.618868
-50.0,50,157.313096
-50.0,50,160.985388
-50.0,50,164.648488
-50.0,50,168.247137
-50.0,50,172.003841
-50.0,50,175.62974
-50.0,50,179.246499
-50.0,50,182.829226
-50.0,50,186.466477
-50.0,50,190.017569
-50.0,50,193.531609
-50.0,50,197.314782
-50.0,50,197.803462
-50.0,50,198.388689
-50.0,50,198.87606
-50.0,50,199.323555
-50.0,50,199.839294
-50.0,50,200.335582
-50.0,50,200.860831
-50.0,50,201.442369
-50.0,50,201.954688
-50.0,50,202.622383
-50.0,50,206.278512
-50.0,50,209.946986
-50.0,50,213.673934
-50.0,50,217.391086
-50.0,50,221.034822
-50.0,50,224.741387
-50.0,50,228.433174
-50.0,50,232.135002
-50.0,50,235.850732
-50.0,50,239.489657
-50.0,50,242.930291
-50.0,50,246.786887
-50.0,50,250.113187
-50.0,50,254.854799
-50.0,50,258.956061
-50.0,50,262.969073
-50.0,50,266.728619
-50.0,50,270.521415
-50.0,50,274.372922
-50.0,50,278.133008
-50.0,50,281.890872
-50.0,50,285.79806
-50.0,50,289.581671
-50.0,50,293.524988
-50.0,50,297.407883
-50.0,50,301.221312
-50.0,50,305.056039
-50.0,50,308.946297
-50.0,50,312.623857
-50.0,50,316.556639
-50.0,50,320.336731
-50.0,50,324.41957
-50.0,50,328.325054
-50.0,50,332.286016
-50.0,50,336.254348
-50.0,50,340.180235
-50.0,50,343.940327
-50.0,50,347.842449
-50.0,50,351.682878
-50.0,50,355.56529
-50.0,50,359.357963
-50.0,50,363.231965
-50.0,50,367.002121
-50.0,50,370.743088
-50.0,50,374.523555
-50.0,50,378.312841
-50.0,50,382.22686
-50.0,50,385.412934
