# {"t_start": 1580946935.395739, "env_id": "FetchTosscube-v1"} 
r,l,t
-50.0,50,9.432795
-50.0,50,13.53578
-50.0,50,17.261455
-50.0,50,20.98752
-50.0,50,24.763581
-50.0,50,28.43566
-50.0,50,32.185406
-50.0,50,36.326958
-50.0,50,40.167247
-50.0,50,43.963237
-50.0,50,47.8879
-50.0,50,51.826349
-50.0,50,55.875525
-50.0,50,59.672673
-50.0,50,63.442092
-50.0,50,67.30539
-50.0,50,71.161421
-50.0,50,74.980968
-50.0,50,78.696981
-50.0,50,82.549429
-50.0,50,86.290051
-50.0,50,89.987067
-50.0,50,93.777095
-50.0,50,97.529355
-50.0,50,101.229993
-50.0,50,105.008328
-50.0,50,108.674435
-50.0,50,112.432382
-50.0,50,116.473268
-50.0,50,120.187956
-50.0,50,123.875549
-50.0,50,127.35665
-50.0,50,131.325651
-50.0,50,135.000744
-50.0,50,138.64589
-50.0,50,142.214773
-50.0,50,145.960607
-50.0,50,149.554286
-50.0,50,153.238857
-50.0,50,156.934202
-50.0,50,160.608966
-50.0,50,164.269679
-50.0,50,167.873311
-50.0,50,171.618145
-50.0,50,175.251032
-50.0,50,178.868273
-50.0,50,182.454086
-50.0,50,186.090164
-50.0,50,189.638706
-50.0,50,193.155491
-50.0,50,196.935309
-50.0,50,197.430615
-50.0,50,197.982477
-50.0,50,198.50102
-50.0,50,198.951138
-50.0,50,199.454591
-50.0,50,199.95559
-50.0,50,200.496654
-50.0,50,201.063887
-50.0,50,201.579878
-50.0,50,202.249217
-50.0,50,205.904345
-50.0,50,209.576331
-50.0,50,213.292433
-50.0,50,217.013059
-50.0,50,220.658828
-50.0,50,224.3638
-50.0,50,228.055436
-50.0,50,231.760603
-50.0,50,235.465338
-50.0,50,239.10956
-50.0,50,242.546102
-50.0,50,246.404794
-50.0,50,249.73452
-50.0,50,254.473769
-50.0,50,258.579608
-50.0,50,262.590416
-50.0,50,266.359218
-50.0,50,270.146714
-50.0,50,274.001211
-50.0,50,277.755376
-50.0,50,281.507394
-50.0,50,285.419179
-50.0,50,289.210633
-50.0,50,293.147232
-50.0,50,297.024794
-50.0,50,300.847039
-50.0,50,304.67496
-50.0,50,308.565402
-50.0,50,312.241354
-50.0,50,316.179586
-50.0,50,319.960851
-50.0,50,324.046285
-50.0,50,327.951033
-50.0,50,331.905365
-50.0,50,335.880849
-50.0,50,339.811559
-50.0,50,343.561345
-50.0,50,347.464321
-50.0,50,351.306548
-50.0,50,355.188623
-50.0,50,358.98129
-50.0,50,362.858498
-50.0,50,366.625609
-50.0,50,370.368396
-50.0,50,374.144897
-50.0,50,377.93222
-50.0,50,381.84762
-50.0,50,385.032469
-50.0,50,388.768546
-50.0,50,392.684986
-50.0,50,393.233735
-50.0,50,393.763516
-50.0,50,394.321167
-50.0,50,394.854396
-50.0,50,395.396573
-50.0,50,395.973496
-50.0,50,396.549064
-50.0,50,397.094128
-50.0,50,397.63855
-50.0,50,398.226783
-50.0,50,402.311963
-50.0,50,406.314537
-50.0,50,410.26191
-50.0,50,414.067043
-50.0,50,417.870982
-50.0,50,421.715713
-50.0,50,425.510474
-50.0,50,429.37252
-50.0,50,433.204661
-50.0,50,437.041674
-50.0,50,440.772346
-50.0,50,444.65819
-50.0,50,448.449117
-50.0,50,452.237569
-50.0,50,455.931386
-50.0,50,459.747496
-50.0,50,463.539353
-50.0,50,467.456237
-50.0,50,471.207008
-50.0,50,474.966087
-50.0,50,478.843134
-50.0,50,482.710116
-50.0,50,486.470467
-50.0,50,490.283248
-50.0,50,494.248188
-50.0,50,498.119389
-50.0,50,501.913286
-50.0,50,505.798089
-50.0,50,509.594395
-50.0,50,513.429899
-50.0,50,517.297808
-50.0,50,521.238835
-50.0,50,525.180978
-50.0,50,529.102848
-50.0,50,532.969677
-50.0,50,536.912472
-50.0,50,540.794307
-50.0,50,544.676411
-50.0,50,548.500946
-50.0,50,552.382907
-50.0,50,556.267862
-50.0,50,560.156625
-50.0,50,563.941864
-50.0,50,567.821908
-50.0,50,571.65827
-50.0,50,575.455774
-50.0,50,579.255356
-50.0,50,583.136985
-50.0,50,587.024543
-50.0,50,590.935705
-50.0,50,591.510053
-50.0,50,592.050948
-50.0,50,592.586231
-50.0,50,593.109112
-50.0,50,593.637101
-50.0,50,594.138665
-50.0,50,594.667035
-50.0,50,595.208399
-50.0,50,595.702247
-50.0,50,596.274647
-50.0,50,600.207439
-50.0,50,604.032855
-50.0,50,607.769487
-50.0,50,611.574304
-50.0,50,615.370999
-50.0,50,619.161428
-50.0,50,623.021442
-50.0,50,626.853016
-50.0,50,630.632568
-50.0,50,634.479705
-50.0,50,638.305105
-50.0,50,642.040532
-50.0,50,646.009919
-50.0,50,650.160975
-50.0,50,654.164276
-50.0,50,658.291067
-50.0,50,662.366294
-50.0,50,666.303248
-50.0,50,669.960463
-50.0,50,674.064447
-50.0,50,678.082305
-50.0,50,681.932157
-50.0,50,685.847703
-50.0,50,689.607654
-50.0,50,693.478019
-50.0,50,697.207704
-50.0,50,701.072214
-50.0,50,705.055193
-50.0,50,708.845868
-50.0,50,712.740861
-50.0,50,716.478044
-50.0,50,720.349132
-50.0,50,724.181798
-50.0,50,727.900615
-50.0,50,731.703775
-50.0,50,735.537902
-50.0,50,739.466147
-50.0,50,743.282905
-50.0,50,747.098485
-50.0,50,751.040085
-50.0,50,754.895286
-50.0,50,758.678435
-50.0,50,762.596068
-50.0,50,766.340486
-50.0,50,770.180092
-50.0,50,774.084308
-50.0,50,778.051181
-50.0,50,781.905839
-50.0,50,785.807322
-50.0,50,789.690079
-50.0,50,790.190622
-50.0,50,790.704149
-50.0,50,791.268131
-50.0,50,791.820526
-50.0,50,792.357629
-50.0,50,792.87359
-50.0,50,793.420339
-50.0,50,793.954684
-50.0,50,794.492214
-50.0,50,795.00554
-50.0,50,798.673707
-50.0,50,802.61234
-50.0,50,806.575646
-50.0,50,810.427046
-50.0,50,814.366822
-50.0,50,818.189485
-50.0,50,822.07791
-50.0,50,825.990875
-50.0,50,829.845848
-50.0,50,833.737408
-50.0,50,837.597454
-50.0,50,841.544907
-50.0,50,845.445483
-50.0,50,849.283074
-50.0,50,853.006596
-50.0,50,856.851651
-50.0,50,860.607401
-50.0,50,864.432379
-50.0,50,868.133853
-50.0,50,871.920715
-50.0,50,875.71063
-50.0,50,879.471923
-50.0,50,883.218372
-50.0,50,886.927183
-50.0,50,890.404041
-50.0,50,893.05823
-50.0,50,895.700488
-50.0,50,898.304208
-50.0,50,900.95102
-50.0,50,903.573116
-50.0,50,906.229383
-50.0,50,908.859645
-50.0,50,911.475708
-50.0,50,914.10304
-50.0,50,916.733956
-50.0,50,919.383666
-50.0,50,922.008852
-50.0,50,924.621112
-50.0,50,927.275667
-50.0,50,929.87172
-50.0,50,932.46624
-50.0,50,935.079522
-50.0,50,937.71807
-50.0,50,940.334721
-50.0,50,942.941096
-50.0,50,945.56383
-50.0,50,948.15447
-50.0,50,950.817665
-50.0,50,953.451873
-50.0,50,956.053511
-50.0,50,956.489115
-50.0,50,956.929914
-50.0,50,957.368011
-50.0,50,957.819196
-50.0,50,958.214298
-50.0,50,958.63073
-50.0,50,959.040927
-50.0,50,959.474701
-50.0,50,959.876714
-50.0,50,960.313253
-50.0,50,962.953394
-50.0,50,965.601537
-50.0,50,968.207098
-50.0,50,970.774176
-50.0,50,973.424387
-50.0,50,976.045231
-50.0,50,978.634027
-50.0,50,981.21517
-50.0,50,983.866301
-50.0,50,986.487918
-50.0,50,989.101986
-50.0,50,991.725408
-50.0,50,994.354803
-50.0,50,996.963569
-50.0,50,999.603787
-50.0,50,1002.219271
-50.0,50,1004.798279
-50.0,50,1007.404812
-50.0,50,1010.049656
-50.0,50,1012.636946
-50.0,50,1015.212653
-50.0,50,1017.896505
-50.0,50,1020.466231
-50.0,50,1023.081497
-50.0,50,1025.716716
-50.0,50,1028.462797
-50.0,50,1031.067212
-50.0,50,1033.704094
-50.0,50,1037.043796
-50.0,50,1040.863438
-50.0,50,1044.630479
-50.0,50,1048.300662
-50.0,50,1051.965325
-50.0,50,1055.65856
-50.0,50,1059.324191
-50.0,50,1062.976789
-50.0,50,1066.576723
-50.0,50,1070.235726
-50.0,50,1073.916954
-50.0,50,1077.701585
-50.0,50,1081.389267
-50.0,50,1085.119173
-50.0,50,1088.82877
-50.0,50,1092.579328
-50.0,50,1096.267866
-50.0,50,1099.963035
-50.0,50,1103.728435
-50.0,50,1107.502948
-50.0,50,1111.255521
-50.0,50,1115.055436
-50.0,50,1115.589365
-50.0,50,1116.062774
-50.0,50,1116.558693
-50.0,50,1117.066834
-50.0,50,1117.558077
-50.0,50,1118.065223
-50.0,50,1118.540445
-50.0,50,1119.044957
-50.0,50,1119.561707
-50.0,50,1120.158957
-50.0,50,1123.921789
-50.0,50,1127.629349
-50.0,50,1131.375131
-50.0,50,1135.278229
-50.0,50,1139.206792
-50.0,50,1143.173522
-50.0,50,1147.044109
-50.0,50,1150.874671
-50.0,50,1154.527789
-50.0,50,1157.98852
-50.0,50,1160.755126
-50.0,50,1163.492512
-50.0,50,1166.200083
-50.0,50,1168.914863
-50.0,50,1171.641041
-50.0,50,1174.405169
-50.0,50,1177.097461
-50.0,50,1179.805491
