# {"t_start": 1580305578.3894892, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,8.101032
-50.0,50,10.966903
-50.0,50,13.578354
-50.0,50,16.252209
-50.0,50,18.883747
-50.0,50,21.451365
-50.0,50,24.088342
-50.0,50,26.647844
-50.0,50,29.315717
-50.0,50,32.054719
-50.0,50,34.853866
-50.0,50,37.53543
-50.0,50,40.491135
-50.0,50,43.434737
-50.0,50,46.233701
-50.0,50,48.800108
-50.0,50,51.384648
-50.0,50,53.934255
-50.0,50,56.575865
-50.0,50,59.181017
-50.0,50,61.76929
-50.0,50,64.306399
-50.0,50,66.861733
-50.0,50,69.449828
-50.0,50,71.996977
-50.0,50,74.560673
-50.0,50,77.123473
-50.0,50,79.718871
-50.0,50,82.245287
0.0,50,84.840481
-50.0,50,87.42956
-50.0,50,90.001709
-50.0,50,92.529281
-50.0,50,95.065483
-50.0,50,97.651833
-50.0,50,100.208028
-50.0,50,102.781208
-50.0,50,105.369982
-50.0,50,107.951119
-50.0,50,110.51618
-50.0,50,113.081134
-50.0,50,115.627768
-50.0,50,118.194186
-50.0,50,120.791608
-50.0,50,123.330626
-50.0,50,125.909197
-50.0,50,128.46983
-50.0,50,131.030405
-50.0,50,133.64421
-50.0,50,136.156626
-50.0,50,138.732626
-50.0,50,139.11416
-50.0,50,139.540165
-50.0,50,139.970767
-50.0,50,140.380092
-50.0,50,140.779953
-50.0,50,141.180775
-50.0,50,141.583956
-50.0,50,142.017987
-50.0,50,142.430939
-50.0,50,142.925994
-50.0,50,145.500616
-50.0,50,148.032058
-50.0,50,150.635815
-50.0,50,153.157463
-50.0,50,155.712651
-50.0,50,158.249404
-50.0,50,160.845508
-50.0,50,163.434097
-50.0,50,166.001337
-50.0,50,168.569526
-50.0,50,171.089478
-50.0,50,173.698692
-50.0,50,176.22685
-50.0,50,178.786603
-50.0,50,181.350728
-50.0,50,183.889398
-50.0,50,186.490142
-50.0,50,189.070491
-50.0,50,191.630215
