# {"env_id": "FetchPickAndPlace-v1", "t_start": 1580305578.2130349} 
r,l,t
-50.0,50,8.282679
-50.0,50,11.11624
-50.0,50,13.79522
-50.0,50,16.443895
-50.0,50,19.047055
-50.0,50,21.637159
-50.0,50,24.256461
-50.0,50,26.828227
-50.0,50,29.465129
-50.0,50,32.256409
-50.0,50,35.009992
-50.0,50,37.685067
-50.0,50,40.674137
-50.0,50,43.643893
-50.0,50,46.411328
-50.0,50,48.957265
-50.0,50,51.572978
-50.0,50,54.132671
-50.0,50,56.794662
-50.0,50,59.331585
-50.0,50,61.920426
-50.0,50,64.476016
-50.0,50,67.035117
-50.0,50,69.644544
-50.0,50,72.164083
-50.0,50,74.766193
-50.0,50,77.312212
-50.0,50,79.865912
-50.0,50,82.437537
-50.0,50,84.991493
-50.0,50,87.570845
-50.0,50,90.160668
-50.0,50,92.679072
-50.0,50,95.303024
-50.0,50,97.822946
-50.0,50,100.397936
-50.0,50,102.978012
-50.0,50,105.520144
-50.0,50,108.141917
-50.0,50,110.701244
-50.0,50,113.258319
-50.0,50,115.812299
-50.0,50,118.371406
-50.0,50,120.958476
-50.0,50,123.53667
-50.0,50,126.076027
-50.0,50,128.62365
0.0,50,131.226554
-50.0,50,133.777287
-50.0,50,136.303563
-50.0,50,138.904069
-50.0,50,139.32381
-50.0,50,139.739825
-50.0,50,140.185082
-50.0,50,140.59029
-50.0,50,140.985354
-50.0,50,141.406017
-50.0,50,141.82077
-50.0,50,142.24829
0.0,50,142.642032
-50.0,50,143.117518
-50.0,50,145.652451
-50.0,50,148.185368
-50.0,50,150.785217
-50.0,50,153.353275
-50.0,50,155.884778
-50.0,50,158.428553
-50.0,50,161.012017
-50.0,50,163.592651
-50.0,50,166.171439
-50.0,50,168.740521
0.0,50,171.278195
-50.0,50,173.845664
-50.0,50,176.433555
-50.0,50,178.95912
-50.0,50,181.537635
-50.0,50,184.096577
-50.0,50,186.690497
0.0,50,189.214224
-50.0,50,191.782365
-50.0,50,194.384189
-50.0,50,196.939239
-50.0,50,199.496661
-50.0,50,202.038281
-50.0,50,204.648729
-50.0,50,207.187766
-50.0,50,209.722347
-50.0,50,212.341874
-50.0,50,214.88666
-50.0,50,217.475383
-50.0,50,220.027972
-50.0,50,222.610642
-50.0,50,225.168837
-50.0,50,227.712507
-50.0,50,230.294998
-50.0,50,232.844185
-50.0,50,235.418272
-50.0,50,237.949132
-50.0,50,240.477157
-50.0,50,243.047578
-50.0,50,245.619889
-50.0,50,248.180245
-50.0,50,250.734337
-50.0,50,253.313244
-50.0,50,255.882365
-50.0,50,258.437928
-50.0,50,261.015939
-50.0,50,263.583279
-50.0,50,266.129023
-50.0,50,268.711803
-50.0,50,271.237936
-50.0,50,271.66633
-50.0,50,272.103345
-50.0,50,272.529412
-50.0,50,272.959317
-50.0,50,273.362551
-50.0,50,273.789332
-50.0,50,274.179022
-50.0,50,274.61566
-50.0,50,275.0305
-50.0,50,275.485424
-50.0,50,278.066719
0.0,50,280.627108
-50.0,50,283.176234
-50.0,50,285.735129
-50.0,50,288.31418
-50.0,50,290.823405
-50.0,50,293.434998
-50.0,50,295.999158
-50.0,50,298.531837
-50.0,50,301.068364
-50.0,50,303.663218
-50.0,50,306.214805
-50.0,50,308.794332
-50.0,50,311.354427
-50.0,50,313.899623
-50.0,50,316.449627
-50.0,50,318.989243
-50.0,50,321.56103
0.0,50,324.114637
-50.0,50,326.693412
-50.0,50,329.234882
-50.0,50,331.798455
-50.0,50,334.346368
-50.0,50,336.919279
-50.0,50,339.473957
-50.0,50,342.070426
-50.0,50,344.641854
-50.0,50,347.248016
-50.0,50,349.826082
-50.0,50,352.418699
-50.0,50,355.032226
-50.0,50,357.570625
-50.0,50,360.177975
-50.0,50,362.777508
-50.0,50,365.344523
-50.0,50,367.920613
-50.0,50,370.502234
-50.0,50,373.08836
-50.0,50,375.647831
-50.0,50,378.216639
-50.0,50,380.853828
-50.0,50,383.400892
-50.0,50,385.975888
-50.0,50,388.523007
0.0,50,391.124443
-50.0,50,393.67261
-50.0,50,396.22954
-50.0,50,398.776754
-50.0,50,401.376319
-50.0,50,403.911554
-50.0,50,404.308181
-50.0,50,404.718321
-50.0,50,405.128739
-50.0,50,405.539573
0.0,50,405.964468
-50.0,50,406.388865
-50.0,50,406.802922
-50.0,50,407.203347
-50.0,50,407.619959
-50.0,50,408.114323
-50.0,50,410.687765
-50.0,50,413.228716
-50.0,50,415.773605
-50.0,50,418.34267
-50.0,50,420.89235
-50.0,50,423.412384
-50.0,50,426.034207
-50.0,50,428.602423
-50.0,50,431.144509
-50.0,50,433.725981
-50.0,50,436.303199
-50.0,50,438.88957
-50.0,50,441.441549
-50.0,50,444.027569
-50.0,50,446.625777
-50.0,50,449.225325
-50.0,50,451.844375
-50.0,50,454.387084
-50.0,50,456.978045
-50.0,50,459.600357
-50.0,50,462.185105
-50.0,50,464.762739
-50.0,50,467.325604
-50.0,50,469.8862
-50.0,50,472.437267
-50.0,50,475.017173
-50.0,50,477.640613
-50.0,50,480.195418
-50.0,50,482.750345
-50.0,50,485.356029
-50.0,50,487.939601
-50.0,50,490.497057
-50.0,50,493.090769
-50.0,50,495.622595
-50.0,50,498.264219
-32.0,50,500.861721
-50.0,50,503.463025
-50.0,50,506.037957
-50.0,50,508.612408
-50.0,50,511.232649
-50.0,50,513.800855
-50.0,50,516.339099
-50.0,50,518.938816
-50.0,50,521.489489
-50.0,50,524.089637
-50.0,50,526.658113
-50.0,50,529.25498
-50.0,50,531.833019
-50.0,50,534.415789
-50.0,50,536.970259
-50.0,50,537.392626
-50.0,50,537.803297
-50.0,50,538.212721
-50.0,50,538.608536
-50.0,50,539.024107
-50.0,50,539.438112
-50.0,50,539.887232
