# {"t_start": 1580320411.8310208, "env_id": "FetchReach-v1"} 
r,l,t
-50.0,50,11.905639
-50.0,50,15.693412
-46.0,50,19.727947
-17.0,50,22.248508
-11.0,50,24.754067
-2.0,50,28.564921
-16.0,50,31.088843
-50.0,50,33.568987
-48.0,50,37.069057
-6.0,50,41.072853
-16.0,50,43.622026
-50.0,50,43.9841
-50.0,50,44.334563
-50.0,50,44.704817
0.0,50,45.086486
-18.0,50,45.45412
-50.0,50,45.911853
-50.0,50,47.135946
0.0,50,47.972989
-50.0,50,48.346646
-50.0,50,48.767529
-17.0,50,51.254976
-50.0,50,53.743747
-9.0,50,56.212682
-32.0,50,58.696424
-18.0,50,61.194516
-50.0,50,63.743091
-12.0,50,66.264089
-50.0,50,68.779274
-50.0,50,73.026197
-20.0,50,77.478098
0.0,50,77.832804
-1.0,50,78.177424
-50.0,50,78.518574
-1.0,50,78.882245
-4.0,50,79.242218
-14.0,50,79.607757
-50.0,50,79.974938
-50.0,50,80.347608
-16.0,50,81.590516
-15.0,50,83.100249
-39.0,50,86.419768
-25.0,50,89.863167
-9.0,50,92.745256
-50.0,50,95.255237
-17.0,50,97.83103
-34.0,50,102.635508
-3.0,50,105.099804
-10.0,50,107.656854
-10.0,50,110.182787
-7.0,50,115.13282
-1.0,50,115.500736
-5.0,50,115.864373
-7.0,50,116.197751
-1.0,50,116.538262
-7.0,50,116.926019
-50.0,50,117.281469
-12.0,50,117.633402
0.0,50,118.018934
-15.0,50,118.412733
-22.0,50,118.831192
-10.0,50,123.690476
-9.0,50,126.166113
-17.0,50,128.649126
-17.0,50,131.173929
-12.0,50,133.634919
-6.0,50,137.586559
-9.0,50,141.222896
-14.0,50,143.723854
-13.0,50,146.278932
-3.0,50,148.822361
-3.0,50,149.163109
0.0,50,149.541451
-4.0,50,149.913283
-7.0,50,150.277649
0.0,50,150.656429
-15.0,50,151.027423
-5.0,50,151.413529
-1.0,50,151.778039
-2.0,50,152.123266
-36.0,50,152.563491
-6.0,50,156.295954
-23.0,50,158.867724
-13.0,50,161.384661
-9.0,50,164.015772
-13.0,50,166.497936
-13.0,50,169.03323
-11.0,50,174.114422
-15.0,50,176.599176
-5.0,50,180.847041
0.0,50,184.139836
-3.0,50,184.51812
-5.0,50,184.927028
-1.0,50,185.305519
-2.0,50,185.675341
-3.0,50,186.078463
-9.0,50,186.762995
0.0,50,187.932258
-3.0,50,189.261697
-2.0,50,190.408616
-14.0,50,190.818188
-50.0,50,193.42057
-19.0,50,195.911587
-15.0,50,198.401405
-13.0,50,203.166729
-9.0,50,205.908322
-17.0,50,210.950511
-18.0,50,213.519082
-11.0,50,215.998491
-10.0,50,219.715224
-3.0,50,222.251339
-3.0,50,222.621647
0.0,50,222.975356
-1.0,50,223.344329
0.0,50,223.697824
-2.0,50,224.05876
-8.0,50,224.443336
-1.0,50,224.791172
-2.0,50,225.149913
-5.0,50,225.514216
-14.0,50,225.98403
-14.0,50,230.904506
-14.0,50,233.440029
-11.0,50,238.425805
-17.0,50,241.005196
-18.0,50,243.500667
-10.0,50,247.116414
-15.0,50,251.077187
-16.0,50,253.669703
-21.0,50,258.521968
-2.0,50,261.036165
-1.0,50,261.422132
-2.0,50,261.779845
-2.0,50,262.155775
-3.0,50,262.557476
-2.0,50,262.942327
-2.0,50,263.323524
-1.0,50,263.68563
-2.0,50,264.781554
-2.0,50,265.943817
-17.0,50,267.222905
-18.0,50,270.105898
-15.0,50,272.630461
-4.0,50,275.504955
-9.0,50,279.585129
-9.0,50,282.079269
-14.0,50,284.617188
-21.0,50,289.583153
-17.0,50,292.11408
-14.0,50,294.640058
-2.0,50,298.432218
-3.0,50,299.623863
-2.0,50,300.579725
-3.0,50,300.942264
-1.0,50,301.290453
-3.0,50,301.686473
-3.0,50,302.034634
0.0,50,302.372336
0.0,50,302.739024
-3.0,50,303.101846
-11.0,50,303.565149
-14.0,50,307.312571
-20.0,50,309.845242
-13.0,50,312.385189
-18.0,50,314.930061
-20.0,50,317.416276
-20.0,50,319.987601
-15.0,50,322.542554
-8.0,50,325.067776
-15.0,50,327.566048
-3.0,50,330.064954
-3.0,50,330.494483
-3.0,50,330.868757
-2.0,50,331.252689
-3.0,50,331.607465
-1.0,50,331.98386
-3.0,50,333.029006
-2.0,50,334.188795
-1.0,50,335.31848
-2.0,50,336.262022
-23.0,50,336.696169
-24.0,50,339.230585
-12.0,50,341.730906
-15.0,50,344.222999
-24.0,50,346.790414
-21.0,50,349.360694
-10.0,50,351.86353
-19.0,50,354.418551
-11.0,50,356.944339
-12.0,50,359.497792
-2.0,50,362.019532
-2.0,50,362.407539
-2.0,50,362.769337
0.0,50,363.159844
-2.0,50,363.504346
-3.0,50,363.891591
-1.0,50,364.250327
-1.0,50,364.638286
-2.0,50,365.67574
-1.0,50,366.805802
-14.0,50,367.180796
-16.0,50,369.705693
-19.0,50,374.5607
-19.0,50,377.316384
-19.0,50,382.346585
-18.0,50,384.761955
-24.0,50,389.246967
-20.0,50,392.414093
-21.0,50,394.943131
-22.0,50,397.420519
0.0,50,402.334892
-2.0,50,402.664254
-2.0,50,403.024315
-3.0,50,403.405918
0.0,50,403.747287
-2.0,50,404.104433
-2.0,50,404.4868
-1.0,50,404.828971
-2.0,50,405.162543
-1.0,50,405.593729
-19.0,50,407.303326
-21.0,50,411.283093
-12.0,50,413.783402
-16.0,50,416.326145
-23.0,50,419.168778
-16.0,50,423.938701
-22.0,50,426.458298
-15.0,50,428.967693
-27.0,50,431.508291
-16.0,50,434.04923
-3.0,50,436.553946
0.0,50,436.900464
-2.0,50,437.251639
-2.0,50,437.629136
-2.0,50,437.99637
-3.0,50,438.368834
-3.0,50,438.746224
-2.0,50,439.111007
-3.0,50,439.492493
-1.0,50,439.831569
-25.0,50,440.358614
-22.0,50,445.913605
-19.0,50,448.423434
-10.0,50,450.958151
-19.0,50,455.946226
-17.0,50,458.489425
-16.0,50,461.00357
-17.0,50,463.516109
-26.0,50,466.763957
-17.0,50,471.153476
-2.0,50,473.658745
-1.0,50,474.025108
-1.0,50,474.362448
0.0,50,474.728845
0.0,50,475.065198
0.0,50,475.436719
-2.0,50,475.789872
-1.0,50,476.621199
-3.0,50,477.844409
-2.0,50,478.278671
-21.0,50,478.766161
-13.0,50,481.305017
-23.0,50,483.897777
-15.0,50,486.458898
-14.0,50,488.940647
-21.0,50,493.915423
-16.0,50,496.402313
-24.0,50,498.948175
-21.0,50,501.499523
-20.0,50,506.585325
-2.0,50,509.089926
-2.0,50,509.428685
-2.0,50,509.799324
-3.0,50,510.157581
-1.0,50,510.517292
-2.0,50,510.865069
-3.0,50,511.220603
-3.0,50,511.607588
-3.0,50,511.970546
-2.0,50,512.321221
-25.0,50,513.195485
-16.0,50,517.860816
-15.0,50,520.425238
-18.0,50,522.922446
-22.0,50,525.395288
-20.0,50,530.434224
-18.0,50,532.911327
-21.0,50,535.415678
-18.0,50,539.787634
-19.0,50,542.324254
-2.0,50,544.895617
-2.0,50,545.249072
-2.0,50,545.591128
-3.0,50,545.979901
0.0,50,546.338012
-2.0,50,546.676558
0.0,50,547.030105
-3.0,50,547.717968
-3.0,50,548.96392
-1.0,50,550.214038
-13.0,50,551.595294
-15.0,50,554.61847
-23.0,50,559.68614
-24.0,50,562.208337
-15.0,50,564.784403
-13.0,50,567.283471
-14.0,50,569.851064
-9.0,50,572.388486
-21.0,50,574.909271
-18.0,50,578.440222
-2.0,50,581.282739
-1.0,50,581.677876
-2.0,50,582.037673
-3.0,50,582.384073
-1.0,50,582.736867
-1.0,50,583.596246
-2.0,50,584.879479
-2.0,50,585.321654
0.0,50,585.680993
-1.0,50,586.05872
-24.0,50,586.458163
-21.0,50,589.055973
-29.0,50,591.556346
-16.0,50,594.064807
-27.0,50,599.080239
-20.0,50,601.588708
-18.0,50,604.096786
-18.0,50,607.180103
-20.0,50,611.722051
-19.0,50,614.219175
-2.0,50,616.764148
-2.0,50,617.150598
-1.0,50,617.511379
-3.0,50,617.885382
-1.0,50,618.259416
-2.0,50,618.643912
0.0,50,619.006401
0.0,50,619.35876
