# {"env_id": "FetchReach-v1", "t_start": 1580320412.2020397} 
r,l,t
-40.0,50,11.559415
-50.0,50,15.220705
-39.0,50,19.347362
-19.0,50,21.851655
-50.0,50,24.361675
-50.0,50,28.195773
-23.0,50,30.703386
-50.0,50,33.20618
-50.0,50,36.629869
-9.0,50,40.734951
-50.0,50,43.223154
-50.0,50,43.567117
-50.0,50,43.909877
-50.0,50,44.274205
-8.0,50,44.637936
-50.0,50,44.981583
-19.0,50,45.331561
-50.0,50,46.322765
0.0,50,47.477169
-10.0,50,47.817369
-6.0,50,48.401482
-49.0,50,50.872293
-9.0,50,53.373224
-13.0,50,55.872325
-14.0,50,58.309402
-24.0,50,60.826582
-4.0,50,63.338476
-5.0,50,65.858135
-41.0,50,68.429301
-34.0,50,72.56304
-4.0,50,77.130476
-14.0,50,77.472972
-6.0,50,77.858601
-50.0,50,78.224639
-16.0,50,78.590931
-1.0,50,78.954117
-1.0,50,79.315133
-18.0,50,79.690358
-50.0,50,80.161148
-10.0,50,81.320597
-50.0,50,82.825518
-6.0,50,86.05048
-22.0,50,89.50836
-27.0,50,92.373614
-12.0,50,94.879728
-15.0,50,97.572184
-6.0,50,102.28317
-26.0,50,104.714968
-10.0,50,107.272911
-15.0,50,109.793827
-33.0,50,114.781454
-9.0,50,115.144696
0.0,50,115.495594
-44.0,50,115.867404
-18.0,50,116.26245
0.0,50,116.628234
-2.0,50,117.005606
-8.0,50,117.369509
-3.0,50,117.755931
-5.0,50,118.082515
-9.0,50,118.443524
-50.0,50,123.331532
-22.0,50,125.801718
-5.0,50,128.255864
-18.0,50,130.770684
-28.0,50,133.247768
-18.0,50,137.213244
-14.0,50,140.843952
-6.0,50,143.368404
-9.0,50,145.86226
-10.0,50,148.442425
-4.0,50,148.824931
-6.0,50,149.225152
-50.0,50,149.58485
-50.0,50,149.938058
-7.0,50,150.283092
-2.0,50,150.636532
-2.0,50,151.006712
-11.0,50,151.381162
-19.0,50,151.760375
-26.0,50,152.198827
-17.0,50,155.915255
-19.0,50,158.482397
-13.0,50,161.009423
-5.0,50,163.641865
-13.0,50,166.109977
-21.0,50,168.656806
-15.0,50,173.74727
-13.0,50,176.250013
-13.0,50,180.577921
0.0,50,183.782953
0.0,50,184.127711
-1.0,50,184.484709
-3.0,50,184.867451
-2.0,50,185.269336
-2.0,50,185.623411
-6.0,50,186.215858
-1.0,50,187.401291
-2.0,50,188.675556
-2.0,50,189.894911
-21.0,50,190.442216
-11.0,50,193.00276
-12.0,50,195.536567
-16.0,50,198.007728
-13.0,50,202.857746
-16.0,50,205.524945
-12.0,50,210.565681
-19.0,50,213.145928
-10.0,50,215.586787
-10.0,50,219.348703
0.0,50,221.912443
-8.0,50,222.307005
0.0,50,222.643739
-1.0,50,223.020012
-2.0,50,223.384958
-2.0,50,223.756859
-2.0,50,224.134356
-1.0,50,224.511439
-2.0,50,224.879937
-1.0,50,225.228184
-50.0,50,225.609332
-10.0,50,230.515523
-11.0,50,233.095207
-12.0,50,238.053309
-12.0,50,240.636761
-14.0,50,243.096436
-7.0,50,246.786763
-19.0,50,250.700317
-14.0,50,253.304975
-20.0,50,258.179838
-1.0,50,260.653903
-2.0,50,261.023011
-2.0,50,261.371597
-2.0,50,261.724087
-2.0,50,262.110573
-1.0,50,262.443548
0.0,50,262.832952
-3.0,50,263.192818
-1.0,50,263.896734
-1.0,50,265.106678
-15.0,50,266.823307
-21.0,50,269.749997
-11.0,50,272.239365
-16.0,50,275.137424
-15.0,50,279.204359
-19.0,50,281.689475
-10.0,50,284.262254
-10.0,50,289.19664
-16.0,50,291.732709
-18.0,50,294.274368
-3.0,50,298.191383
-3.0,50,299.317884
-1.0,50,300.272055
-3.0,50,300.654945
-1.0,50,301.006784
-2.0,50,301.348409
-2.0,50,301.726465
-2.0,50,302.104442
-3.0,50,302.483851
-3.0,50,302.82854
-16.0,50,303.208515
-19.0,50,306.942741
-19.0,50,309.495846
-20.0,50,311.982076
-20.0,50,314.557814
-22.0,50,317.097226
-7.0,50,319.621795
-7.0,50,322.159393
-23.0,50,324.689398
-13.0,50,327.194268
-3.0,50,329.72607
-1.0,50,330.11709
-2.0,50,330.470708
-2.0,50,330.825166
0.0,50,331.195179
-2.0,50,331.564781
-3.0,50,332.530754
-2.0,50,333.741969
-1.0,50,334.893521
-3.0,50,335.883187
-13.0,50,336.30424
-6.0,50,338.88025
-11.0,50,341.364262
-19.0,50,343.841904
-11.0,50,346.416307
-18.0,50,348.951024
-11.0,50,351.484276
-22.0,50,354.035844
-11.0,50,356.584549
-17.0,50,359.096189
-2.0,50,361.661635
-2.0,50,362.038078
-2.0,50,362.397422
0.0,50,362.758149
0.0,50,363.10711
-3.0,50,363.459709
0.0,50,363.828762
-2.0,50,364.204533
-2.0,50,365.033789
-2.0,50,366.276948
-22.0,50,366.803398
-12.0,50,369.345263
-27.0,50,374.216959
-27.0,50,376.913
-14.0,50,381.953981
-23.0,50,384.421997
-7.0,50,388.926512
-14.0,50,392.028062
-19.0,50,394.572213
-13.0,50,396.997709
-3.0,50,402.000687
-3.0,50,402.378915
-2.0,50,402.769449
-1.0,50,403.124788
-3.0,50,403.472514
-1.0,50,403.825884
0.0,50,404.160514
-3.0,50,404.525834
-2.0,50,404.895179
-3.0,50,405.42053
-7.0,50,406.981919
-14.0,50,410.893274
-11.0,50,413.392963
-16.0,50,415.936169
-20.0,50,418.690506
-15.0,50,423.564481
-21.0,50,426.091145
-9.0,50,428.586627
-15.0,50,431.143683
-15.0,50,433.676369
0.0,50,436.162438
-3.0,50,436.525009
-2.0,50,436.891823
-3.0,50,437.268186
-3.0,50,437.649488
-3.0,50,438.030577
-2.0,50,438.413467
-1.0,50,438.787131
-2.0,50,439.151642
-2.0,50,439.500864
-21.0,50,439.908727
-22.0,50,445.503628
-18.0,50,448.022399
-12.0,50,450.575457
-15.0,50,455.52545
-17.0,50,458.107927
-29.0,50,460.61183
-9.0,50,463.156623
-18.0,50,466.296708
-18.0,50,470.778788
-2.0,50,473.298557
-2.0,50,473.655367
0.0,50,474.040308
-2.0,50,474.387584
-1.0,50,474.732028
0.0,50,475.10447
-2.0,50,475.459132
-2.0,50,476.444823
0.0,50,477.576326
-3.0,50,477.944506
-14.0,50,478.390993
-19.0,50,480.900393
-17.0,50,483.540204
-13.0,50,486.078299
-11.0,50,488.570269
-15.0,50,493.557835
-20.0,50,496.016219
-27.0,50,498.607433
-13.0,50,501.11128
-8.0,50,506.18409
-2.0,50,508.74587
-2.0,50,509.075943
-3.0,50,509.439193
-3.0,50,509.821424
-2.0,50,510.198472
-1.0,50,510.553985
-1.0,50,510.915245
-1.0,50,511.253734
-1.0,50,511.635628
-2.0,50,511.973177
-19.0,50,512.805961
-25.0,50,517.512859
-13.0,50,520.041772
-28.0,50,522.542437
-23.0,50,525.023849
-18.0,50,530.025654
-24.0,50,532.516151
-25.0,50,535.032528
-20.0,50,539.413862
-23.0,50,541.963918
0.0,50,544.466827
0.0,50,544.838194
-2.0,50,545.184908
-1.0,50,545.556674
0.0,50,545.939555
0.0,50,546.321452
-1.0,50,546.678516
-1.0,50,547.306189
-1.0,50,548.519275
-2.0,50,549.773275
-24.0,50,551.316387
-18.0,50,554.256655
-13.0,50,559.270387
-19.0,50,561.856869
-15.0,50,564.419624
-17.0,50,566.927368
-17.0,50,569.450802
-27.0,50,571.996771
-14.0,50,574.521124
-22.0,50,578.113069
-1.0,50,580.94214
-2.0,50,581.322251
-2.0,50,581.6867
-3.0,50,582.030499
-1.0,50,582.387707
0.0,50,583.248207
-2.0,50,584.44508
0.0,50,584.952163
-1.0,50,585.29798
-2.0,50,585.665309
-14.0,50,586.083358
-20.0,50,588.668015
-16.0,50,591.17303
-29.0,50,593.686563
-18.0,50,598.680277
-19.0,50,601.226586
-16.0,50,603.73482
-15.0,50,606.65866
-19.0,50,611.345338
-27.0,50,613.826498
-3.0,50,616.417284
-1.0,50,616.77465
-2.0,50,617.136785
-3.0,50,617.483895
-2.0,50,617.872674
-2.0,50,618.212976
-2.0,50,618.560371
-3.0,50,618.924297
-2.0,50,619.349479
-2.0,50,620.625286
-17.0,50,622.080081
-10.0,50,624.768021
-16.0,50,628.946938
-16.0,50,633.62162
-22.0,50,636.127544
-16.0,50,638.569868
-16.0,50,643.607446
-19.0,50,646.14412
-21.0,50,648.665253
-19.0,50,651.223769
-1.0,50,653.760579
-2.0,50,654.668947
-3.0,50,655.8545
-1.0,50,657.055399
-1.0,50,658.041377
-2.0,50,658.364379
-3.0,50,658.732744
-3.0,50,659.101258
-3.0,50,659.470783
-2.0,50,659.817048
-18.0,50,660.310711
-26.0,50,664.124427
-15.0,50,667.328132
-20.0,50,669.918237
-16.0,50,672.488594
-21.0,50,675.002649
-11.0,50,677.515857
-18.0,50,680.073554
-23.0,50,682.609072
-16.0,50,685.135252
-3.0,50,687.698041
-1.0,50,688.056828
-2.0,50,688.419093
-1.0,50,689.3673
0.0,50,690.533597
-2.0,50,691.65163
-1.0,50,692.68022
-3.0,50,693.084545
-2.0,50,693.444618
-1.0,50,693.827488
-28.0,50,694.276441
-24.0,50,697.022767
-13.0,50,701.844644
-10.0,50,704.356679
-19.0,50,706.928305
-15.0,50,709.46957
-24.0,50,713.251022
-11.0,50,715.737042
-20.0,50,720.735758
-10.0,50,723.300697
-3.0,50,725.830618
0.0,50,726.209041
-2.0,50,726.587682
-1.0,50,726.955074
-2.0,50,727.316872
-2.0,50,727.683972
-1.0,50,728.032312
-2.0,50,728.654963
-2.0,50,729.949304
-2.0,50,730.529349
-11.0,50,731.000829
-19.0,50,733.545999
-19.0,50,736.070576
-12.0,50,738.663749
-11.0,50,741.183029
-28.0,50,743.780743
-24.0,50,746.318537
-10.0,50,748.881511
-12.0,50,751.383183
-22.0,50,753.926036
-1.0,50,756.584356
-1.0,50,756.965967
-1.0,50,757.311428
-3.0,50,757.673242
-1.0,50,758.008046
-3.0,50,758.407427
-2.0,50,758.788619
-1.0,50,759.955009
0.0,50,761.19095
-2.0,50,762.33439
-15.0,50,763.810418
-22.0,50,767.049403
-16.0,50,769.668805
-18.0,50,772.256779
-17.0,50,774.765064
-21.0,50,778.516348
-17.0,50,781.105576
-17.0,50,783.620633
-16.0,50,786.090224
-11.0,50,791.155424
0.0,50,793.63975
-2.0,50,794.028026
-3.0,50,794.397849
-1.0,50,794.740262
-3.0,50,795.122748
-3.0,50,795.492102
-2.0,50,795.826657
-2.0,50,796.213763
-1.0,50,796.76774
-2.0,50,797.996572
-24.0,50,798.788966
-12.0,50,801.294248
-19.0,50,804.471328
-19.0,50,808.979323
-21.0,50,811.453183
-17.0,50,815.255688
-22.0,50,817.775155
-23.0,50,820.335525
-26.0,50,822.867868
-17.0,50,825.464137
-2.0,50,828.00298
-3.0,50,828.355859
-1.0,50,828.718962
-3.0,50,829.109961
0.0,50,829.482784
-1.0,50,829.860714
-2.0,50,830.230794
-3.0,50,830.630739
-3.0,50,830.992736
-3.0,50,831.863344
-27.0,50,833.101298
-11.0,50,836.916365
-25.0,50,839.466355
-19.0,50,843.32552
-22.0,50,847.185732
-17.0,50,849.726864
-28.0,50,852.315558
-16.0,50,855.525329
-19.0,50,858.692475
-18.0,50,861.253623
-3.0,50,865.772096
0.0,50,866.829316
-2.0,50,867.215599
-1.0,50,867.552112
-1.0,50,867.932124
-2.0,50,868.288607
0.0,50,868.636813
-2.0,50,869.011125
-2.0,50,869.362537
-3.0,50,869.736103
-7.0,50,870.815561
-17.0,50,875.247167
-23.0,50,877.79438
-27.0,50,880.367961
-20.0,50,882.949979
-17.0,50,885.456212
-15.0,50,888.048528
-24.0,50,890.595671
-18.0,50,893.146305
-22.0,50,896.538825
-3.0,50,900.788436
0.0,50,901.192258
-2.0,50,901.580338
-3.0,50,901.921587
-1.0,50,902.259769
-2.0,50,902.630296
-2.0,50,903.016323
-3.0,50,903.395416
-1.0,50,904.489291
-1.0,50,905.540807
-20.0,50,905.966403
-20.0,50,908.580844
-28.0,50,913.613909
-10.0,50,916.127068
-23.0,50,918.667317
-22.0,50,922.365101
-25.0,50,925.16109
-20.0,50,927.638505
-16.0,50,930.184231
-15.0,50,932.70687
-2.0,50,935.306274
-2.0,50,935.629823
-2.0,50,936.020934
-2.0,50,936.375655
-2.0,50,936.726082
-2.0,50,937.096349
-1.0,50,937.438811
-1.0,50,937.838694
-3.0,50,938.669336
-1.0,50,939.82981
-19.0,50,941.188078
-16.0,50,944.288929
-15.0,50,948.206892
-22.0,50,950.745099
-21.0,50,953.274501
-14.0,50,956.829601
-12.0,50,961.015079
-18.0,50,963.544765
-16.0,50,966.136347
-14.0,50,968.672246
-2.0,50,971.222482
0.0,50,971.564465
-1.0,50,971.913238
-3.0,50,972.282332
-1.0,50,972.622315
-3.0,50,973.019914
-1.0,50,973.384451
-3.0,50,973.957402
-2.0,50,975.251548
-2.0,50,976.387908
-16.0,50,977.809661
-30.0,50,980.349046
-20.0,50,982.883864
-11.0,50,985.504708
-14.0,50,988.299527
-13.0,50,993.086891
-15.0,50,995.672321
-18.0,50,998.21973
-25.0,50,1003.383602
-21.0,50,1005.864549
-2.0,50,1009.646714
-1.0,50,1010.003358
-2.0,50,1010.405874
-2.0,50,1010.744421
0.0,50,1011.104479
-2.0,50,1011.46023
-1.0,50,1011.844515
-1.0,50,1012.194826
-3.0,50,1013.050106
-1.0,50,1014.249055
-18.0,50,1015.553109
-17.0,50,1018.66493
-15.0,50,1021.22403
-16.0,50,1024.313109
-14.0,50,1028.904321
-19.0,50,1031.497668
-16.0,50,1034.612418
-21.0,50,1039.35718
-19.0,50,1043.082439
-22.0,50,1047.50942
-2.0,50,1051.368501
-3.0,50,1051.723551
-2.0,50,1052.062296
-2.0,50,1052.413308
-2.0,50,1052.797011
