epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.86056757,0.09580156,0.25865594,0.030997809,20.0,-0.9100441,0.5,20.0,0.40500003
1,0.8700202,0.08684099,0.26112053,0.02851336,40.0,-0.7487175,0.82,40.0,0.61
2,0.87217027,0.085097276,0.26183292,0.028177366,60.0,-0.538803,0.995,60.0,0.72
3,0.8729423,0.08474026,0.26204088,0.0283308,80.0,-0.53637093,0.96500003,80.0,0.81500006
4,0.8729476,0.08419914,0.262042,0.028497094,100.0,-0.27105802,1.0,100.0,0.81499994
5,0.873638,0.08383563,0.26224527,0.028673297,120.0,-0.20632024,1.0,120.0,0.78000003
6,0.874131,0.08404442,0.26239043,0.028966859,140.0,-0.20510283,1.0,140.0,0.775
7,0.87355745,0.08439759,0.262235,0.029221809,160.0,-0.23836775,1.0,160.0,0.705
8,0.8738119,0.08447432,0.26229104,0.029371854,180.0,-0.20904467,1.0,180.0,0.725
9,0.875096,0.08465341,0.2626513,0.02954107,200.0,-0.17117834,1.0,200.0,0.76000005
10,0.87587756,0.084750615,0.26287025,0.029650128,220.0,-0.17854193,1.0,220.0,0.735
11,0.87626857,0.08471472,0.26298213,0.029712489,240.0,-0.16097727,1.0,240.0,0.785
12,0.8761368,0.08473616,0.26295042,0.029795121,260.0,-0.150006,1.0,260.0,0.69500005
13,0.87679195,0.08481232,0.2631182,0.029873565,280.0,-0.10516801,1.0,280.0,0.705
14,0.8768299,0.084826015,0.26312065,0.029924411,300.0,-0.14915185,1.0,300.0,0.63
15,0.8766738,0.084724225,0.2630843,0.029932762,320.0,-0.15000495,1.0,320.0,0.7099999
16,0.8769639,0.084823705,0.263156,0.030004624,340.0,-0.09143324,1.0,340.0,0.65
17,0.8772637,0.084893905,0.263237,0.030040693,360.0,-0.11516037,1.0,360.0,0.7
18,0.8772564,0.08485067,0.26323268,0.030054223,380.0,-0.05399061,1.0,380.0,0.65500003
19,0.8772623,0.08477793,0.26323056,0.03005546,400.0,-0.09504922,1.0,400.0,0.675
20,0.87739533,0.08478627,0.2632642,0.030082026,420.0,-0.04128269,1.0,420.0,0.615
21,0.87730074,0.084756136,0.26322657,0.030093247,440.0,-0.120849885,1.0,440.0,0.65500003
22,0.87716913,0.0847298,0.2631853,0.030101916,460.0,-0.10750008,1.0,460.0,0.65500003
23,0.877192,0.08480879,0.263185,0.03013207,480.0,-0.07796706,1.0,480.0,0.71500003
24,0.877159,0.08472112,0.2631689,0.030115739,500.0,-0.101264596,1.0,500.0,0.66999996
25,0.87715006,0.08475774,0.26316264,0.030129885,520.0,-0.05261038,1.0,520.0,0.71999997
