epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.7457462,0.11887218,0.16446748,0.062040754,20.0,-3.1154516,0.005000000074505806,100.0,0.0009999999776482583
1,0.7434619,0.11719485,0.16508749,0.059341066,40.0,-5.189523,0.0,200.0,0.0009999999776482583
2,0.7426644,0.11979169,0.1650789,0.06113453,60.0,-7.1679792,0.010000000149011612,300.0,0.0009999999776482583
3,0.7433638,0.12210169,0.16535291,0.062434502,80.0,-9.056687,0.010000000149011612,400.0,0.004999999888241291
4,0.7443068,0.12617613,0.16566786,0.064019755,100.0,-11.04902,0.0,500.0,0.004999999888241291
5,0.7452844,0.1307381,0.16595359,0.066798896,120.0,-12.25507,0.020000000298023225,600.0,0.009999999776482582
6,0.7476511,0.13875948,0.16664718,0.070649035,140.0,-13.3778305,0.045000001415610315,700.0,0.008999999240040779
7,0.75099826,0.14459331,0.1675346,0.07381521,160.0,-14.170026,0.05000000074505806,800.0,0.01899999938905239
8,0.7536702,0.15078294,0.16832326,0.07789228,180.0,-13.811111,0.11000000014901161,900.0,0.038999997
9,0.75663614,0.1556078,0.16915955,0.08070394,200.0,-14.367063,0.095,1000.0,0.049000002
10,0.7594091,0.16035272,0.17000833,0.08345685,220.0,-13.010907,0.11,1100.0,0.07
11,0.76237315,0.16445936,0.17059904,0.08592545,240.0,-13.73103,0.11,1200.0,0.057
12,0.76608753,0.16650645,0.17121896,0.087504,260.0,-13.9470005,0.185,1300.0,0.085
13,0.7692163,0.1680467,0.17189018,0.088478364,280.0,-13.455007,0.19,1400.0,0.094
14,0.7712167,0.16878699,0.1723739,0.08873996,300.0,-12.988844,0.25,1500.0,0.096
15,0.7733043,0.16864912,0.17295858,0.08866695,320.0,-13.054868,0.315,1600.0,0.105
16,0.77522844,0.1687665,0.17346162,0.08874177,340.0,-15.316523,0.25,1700.0,0.086
17,0.7770869,0.16915852,0.17393254,0.08898402,360.0,-13.430801,0.315,1800.0,0.116
18,0.77952987,0.1702789,0.17465991,0.08955373,380.0,-13.500598,0.37000003,1900.0,0.11800001
19,0.7812621,0.17081136,0.17518778,0.0896939,400.0,-13.52243,0.35,2000.0,0.13499999
20,0.78311014,0.17102778,0.17576939,0.08983899,420.0,-12.094307,0.48499998,2100.0,0.148
21,0.7849388,0.17117111,0.1763123,0.09018073,440.0,-11.732951,0.53999996,2200.0,0.17300001
22,0.7866296,0.17135638,0.17684397,0.090441935,460.0,-11.818515,0.425,2300.0,0.176
23,0.7887258,0.171193,0.17736386,0.09055941,480.0,-12.89503,0.41500002,2400.0,0.149
24,0.7905772,0.17118718,0.17785767,0.09066902,500.0,-11.885873,0.475,2500.0,0.175
25,0.7923746,0.17113061,0.17831965,0.09074085,520.0,-11.451677,0.51,2600.0,0.161
26,0.79386353,0.17114525,0.17877252,0.09092497,540.0,-12.66924,0.445,2700.0,0.16700001
27,0.795129,0.17088723,0.1791299,0.09099421,560.0,-11.485367,0.52000004,2800.0,0.163
28,0.79647803,0.1706581,0.17943782,0.09109025,580.0,-11.365601,0.565,2900.0,0.16099998
29,0.7977151,0.17063826,0.17975546,0.091216736,600.0,-11.363917,0.575,3000.0,0.141
30,0.79867816,0.17032726,0.18004954,0.091225,620.0,-10.483365,0.625,3100.0,0.175
31,0.7996183,0.17033453,0.18033701,0.09134112,640.0,-11.314756,0.6,3200.0,0.166
32,0.8007544,0.1699853,0.18063138,0.091282226,660.0,-10.859962,0.59999996,3300.0,0.19500001
33,0.8017337,0.16970146,0.18086857,0.09134698,680.0,-10.732032,0.565,3400.0,0.178
34,0.8026001,0.169465,0.18111707,0.09141949,700.0,-11.239064,0.55,3500.0,0.187
35,0.8035328,0.16946585,0.18136714,0.09154152,720.0,-10.993792,0.63,3600.0,0.188
36,0.80447024,0.16947007,0.18160212,0.091707945,740.0,-9.35256,0.65,3700.0,0.18200001
37,0.8052975,0.16924001,0.18182947,0.09182248,760.0,-11.574793,0.61500007,3800.0,0.168
38,0.8060924,0.1688777,0.18206154,0.091817886,780.0,-10.254608,0.58500004,3900.0,0.174
39,0.80693597,0.1685233,0.18227647,0.09184351,800.0,-10.576642,0.59499997,4000.0,0.184
40,0.8075619,0.16837357,0.1824546,0.09194881,820.0,-12.264723,0.455,4100.0,0.203
41,0.8081876,0.1681817,0.18261476,0.09205029,840.0,-11.693245,0.47999996,4200.0,0.184
42,0.8088743,0.16782956,0.18279487,0.092097476,860.0,-10.690464,0.58,4300.0,0.15900001
43,0.8095312,0.167637,0.1829312,0.092194736,880.0,-10.879228,0.55999994,4400.0,0.178
44,0.8101862,0.16743077,0.18311648,0.092259645,900.0,-10.579731,0.535,4500.0,0.17999999
45,0.8106489,0.16737638,0.18324547,0.09252187,920.0,-10.94588,0.56499994,4600.0,0.182
46,0.8111428,0.16712171,0.18338995,0.092646234,940.0,-10.427965,0.64,4700.0,0.17300001
47,0.8115867,0.16699861,0.18349403,0.092912875,960.0,-11.161056,0.53,4800.0,0.164
48,0.8120572,0.16671425,0.1836212,0.09314353,980.0,-9.876766,0.65,4900.0,0.188
49,0.8126114,0.16653775,0.1837799,0.093409605,1000.0,-11.343271,0.585,5000.0,0.179
