# {"t_start": 1576824209.6796932, "env_id": "FetchSlideball-v1"} 
r,l,t
-50.0,50,6.203855
-50.0,50,8.723426
-50.0,50,11.028612
-50.0,50,13.462295
-50.0,50,16.124402
-50.0,50,18.555503
-50.0,50,20.839777
-50.0,50,23.202007
-50.0,50,25.460511
-50.0,50,27.775946
-50.0,50,30.068192
-50.0,50,32.40325
-50.0,50,34.68353
-50.0,50,37.010469
-50.0,50,39.315109
-50.0,50,41.643821
-50.0,50,43.962974
-50.0,50,46.29681
-50.0,50,48.705758
-50.0,50,51.076297
-50.0,50,53.44758
-50.0,50,55.787016
-50.0,50,58.233042
-50.0,50,60.614306
-50.0,50,62.933159
-50.0,50,65.266654
-50.0,50,67.590926
-50.0,50,69.888547
-50.0,50,73.466733
-50.0,50,76.843594
-50.0,50,79.531387
-50.0,50,82.200151
-50.0,50,84.889599
-50.0,50,87.488132
-50.0,50,90.174471
-50.0,50,92.807284
-50.0,50,95.459187
-50.0,50,98.173007
-50.0,50,100.852534
-50.0,50,103.464899
-50.0,50,106.166219
-50.0,50,108.871545
-50.0,50,111.487104
-50.0,50,114.226164
-50.0,50,116.904353
-45.0,50,119.570035
-50.0,50,122.23663
-50.0,50,124.907475
-50.0,50,127.582577
-50.0,50,130.259578
-50.0,50,132.991134
-50.0,50,133.428751
-50.0,50,133.864739
-50.0,50,134.285544
-50.0,50,134.705356
-50.0,50,135.17789
-50.0,50,135.63839
-50.0,50,136.088651
-50.0,50,136.49931
-50.0,50,136.895073
-50.0,50,137.547944
-50.0,50,140.249283
-50.0,50,142.897997
-50.0,50,145.689281
-50.0,50,148.417547
-50.0,50,151.09539
-50.0,50,153.841713
-50.0,50,156.491356
-50.0,50,159.163829
-50.0,50,161.903602
-50.0,50,164.535361
-50.0,50,167.232729
-50.0,50,169.901267
-50.0,50,172.587565
-50.0,50,175.242423
-50.0,50,177.965248
-50.0,50,180.629213
-50.0,50,183.377018
-50.0,50,186.075112
-50.0,50,188.694876
-50.0,50,191.357799
-50.0,50,194.049068
-50.0,50,196.733772
-50.0,50,199.555484
-50.0,50,202.199429
-50.0,50,204.898887
-50.0,50,207.544402
-50.0,50,210.13455
-50.0,50,212.773679
-50.0,50,215.455589
-50.0,50,218.082004
-50.0,50,220.842177
-50.0,50,223.488311
-50.0,50,226.1529
-50.0,50,228.846204
-50.0,50,231.543126
-50.0,50,234.203529
-50.0,50,236.888125
-50.0,50,239.546118
-50.0,50,242.146788
-50.0,50,244.786968
-50.0,50,247.443474
-50.0,50,250.172587
-50.0,50,252.839277
-50.0,50,255.438043
-50.0,50,258.11385
-50.0,50,260.78295
-50.0,50,263.528226
-50.0,50,266.202198
-50.0,50,268.908474
-50.0,50,271.522745
-50.0,50,271.95435
-44.0,50,272.408537
-50.0,50,272.827793
-50.0,50,273.291967
-50.0,50,273.740993
-50.0,50,274.153582
-50.0,50,274.538889
-50.0,50,274.975145
-50.0,50,275.398685
-50.0,50,275.875872
-50.0,50,278.583068
-50.0,50,281.175006
-50.0,50,283.836641
-50.0,50,286.535759
-50.0,50,289.216277
-50.0,50,291.854109
-50.0,50,294.580255
-50.0,50,297.220268
-50.0,50,299.862215
-50.0,50,302.517096
-50.0,50,305.186241
-50.0,50,307.90354
-50.0,50,310.610041
-50.0,50,313.445787
-50.0,50,316.168225
-50.0,50,318.944158
-50.0,50,321.620016
-50.0,50,324.284425
