# {"env_id": "FetchSlideball-v1", "t_start": 1576824210.9587479} 
r,l,t
-50.0,50,4.913255
-50.0,50,7.44994
-50.0,50,9.740483
-50.0,50,12.203613
-50.0,50,14.854399
-50.0,50,17.292228
-50.0,50,19.568006
-50.0,50,21.889812
-50.0,50,24.179042
-50.0,50,26.490119
-50.0,50,28.816749
-50.0,50,31.090097
-50.0,50,33.379427
-50.0,50,35.721251
-50.0,50,38.02106
-50.0,50,40.352257
-50.0,50,42.688554
-50.0,50,44.97556
-50.0,50,47.384458
-50.0,50,49.778881
-50.0,50,52.123632
-50.0,50,54.526574
-50.0,50,56.945201
-50.0,50,59.353692
-50.0,50,61.647663
-50.0,50,63.999719
-50.0,50,66.332155
-50.0,50,68.606602
-50.0,50,72.068507
-50.0,50,75.56357
-50.0,50,78.25493
-50.0,50,80.93683
-50.0,50,83.571528
-50.0,50,86.229706
-50.0,50,88.873963
-50.0,50,91.513616
-50.0,50,94.198127
-50.0,50,96.883991
-50.0,50,99.527924
-50.0,50,102.219975
-50.0,50,104.919557
-50.0,50,107.566762
-50.0,50,110.223211
-50.0,50,112.918095
-50.0,50,115.610758
-50.0,50,118.298821
-50.0,50,120.96593
-50.0,50,123.642728
-50.0,50,126.291557
-50.0,50,128.985729
-50.0,50,131.731561
-50.0,50,132.176074
-50.0,50,132.590857
-50.0,50,133.00029
-50.0,50,133.43874
-50.0,50,133.90557
-50.0,50,134.35472
-50.0,50,134.752219
-50.0,50,135.213874
-50.0,50,135.636209
-50.0,50,136.229558
-50.0,50,138.980762
-50.0,50,141.628494
-50.0,50,144.361117
-50.0,50,147.101648
-50.0,50,149.791169
-50.0,50,152.567784
-50.0,50,155.214532
-50.0,50,157.903
-50.0,50,160.615274
-50.0,50,163.25066
-50.0,50,165.968041
-50.0,50,168.628689
-50.0,50,171.347077
-50.0,50,173.977807
-50.0,50,176.680513
-50.0,50,179.378527
-50.0,50,182.08376
-50.0,50,184.778028
-50.0,50,187.422137
-50.0,50,190.094997
-50.0,50,192.798607
-50.0,50,195.48686
-50.0,50,198.277649
-50.0,50,200.927309
-50.0,50,203.633055
-50.0,50,206.260838
-50.0,50,208.850255
-50.0,50,211.514675
-50.0,50,214.132167
-50.0,50,216.815751
-50.0,50,219.539856
-50.0,50,222.179003
-50.0,50,224.916755
-50.0,50,227.560806
-50.0,50,230.23526
-50.0,50,232.911474
-50.0,50,235.61803
-50.0,50,238.264754
-50.0,50,240.887279
-50.0,50,243.499885
-50.0,50,246.17246
-50.0,50,248.882669
-50.0,50,251.552288
-50.0,50,254.19649
-50.0,50,256.842279
-50.0,50,259.535699
-50.0,50,262.24231
-50.0,50,264.932361
-50.0,50,267.596308
-50.0,50,270.297359
-50.0,50,270.702024
-50.0,50,271.11617
-50.0,50,271.519023
-50.0,50,271.980405
-50.0,50,272.42454
-50.0,50,272.889655
-50.0,50,273.284491
-45.0,50,273.685492
-50.0,50,274.099337
-50.0,50,274.589927
-50.0,50,277.291855
-50.0,50,279.860153
-50.0,50,282.571871
-50.0,50,285.231439
-50.0,50,287.932685
-50.0,50,290.586275
-50.0,50,293.257895
-50.0,50,295.945091
-50.0,50,298.602148
-50.0,50,301.261768
-50.0,50,303.942051
-50.0,50,306.598673
-50.0,50,309.327724
-50.0,50,312.140246
-50.0,50,314.879104
-50.0,50,317.673161
-50.0,50,320.325203
-50.0,50,323.035197
-50.0,50,325.812275
-50.0,50,328.569883
-50.0,50,331.240491
-50.0,50,333.986705
-50.0,50,336.769115
-50.0,50,339.50101
-50.0,50,342.194949
-50.0,50,344.856411
-50.0,50,347.691464
-50.0,50,350.369828
-50.0,50,353.1275
-50.0,50,355.765667
-50.0,50,358.441478
-50.0,50,361.164551
-50.0,50,363.856328
-50.0,50,366.468068
-50.0,50,369.188569
-50.0,50,371.851935
-50.0,50,374.515944
-50.0,50,377.189492
-50.0,50,379.892148
-50.0,50,382.534995
-50.0,50,385.237863
-50.0,50,387.960901
-50.0,50,390.588587
-50.0,50,393.268457
-50.0,50,395.945091
-50.0,50,398.609027
-50.0,50,401.264989
-50.0,50,403.957631
-50.0,50,406.575181
-50.0,50,409.221663
-50.0,50,409.625718
-50.0,50,410.050793
-50.0,50,410.477462
-50.0,50,410.910956
-50.0,50,411.32562
-50.0,50,411.78138
-50.0,50,412.228439
-50.0,50,412.65903
-50.0,50,413.061368
-50.0,50,413.546281
-50.0,50,416.276319
-50.0,50,418.956078
-50.0,50,421.622364
-50.0,50,424.294437
-50.0,50,426.879993
-50.0,50,429.563826
-50.0,50,432.208794
-50.0,50,434.840555
-50.0,50,437.549825
-50.0,50,440.26157
-50.0,50,442.915193
-50.0,50,445.620112
-50.0,50,448.29702
-50.0,50,450.956912
-50.0,50,453.585436
-45.0,50,456.350326
-50.0,50,459.030812
-50.0,50,461.684944
-50.0,50,464.340413
-50.0,50,467.005407
-50.0,50,469.634521
-50.0,50,472.263774
-50.0,50,474.933508
-50.0,50,477.604079
-50.0,50,480.301152
-50.0,50,483.032312
-50.0,50,485.747218
-50.0,50,488.485666
-50.0,50,491.487192
-50.0,50,494.187178
-50.0,50,496.979868
-50.0,50,499.673561
-50.0,50,502.440705
-50.0,50,505.170945
-50.0,50,508.022489
-50.0,50,510.940881
-50.0,50,513.667466
-50.0,50,516.420222
-50.0,50,519.112461
-50.0,50,521.804451
-50.0,50,524.58748
-50.0,50,527.323584
-50.0,50,530.075971
-50.0,50,532.823719
-50.0,50,535.638588
-50.0,50,538.467566
-50.0,50,541.164423
-50.0,50,543.892307
-50.0,50,546.66363
-50.0,50,549.416434
-50.0,50,549.857759
-50.0,50,550.331775
-50.0,50,550.796439
-50.0,50,551.258807
-50.0,50,551.682806
-50.0,50,552.149784
-50.0,50,552.562455
-50.0,50,552.981902
-50.0,50,553.44416
-50.0,50,554.015406
-50.0,50,556.723757
-50.0,50,559.380977
-50.0,50,562.101162
-50.0,50,564.74248
-50.0,50,567.618343
-50.0,50,570.422344
-50.0,50,573.111331
-50.0,50,575.798968
-50.0,50,578.480999
-50.0,50,581.3163
-50.0,50,584.681211
-50.0,50,587.816213
-50.0,50,590.69152
-50.0,50,593.389898
-50.0,50,596.098416
-50.0,50,598.864172
-50.0,50,601.581351
-50.0,50,604.330535
-50.0,50,607.013967
-50.0,50,609.740971
-50.0,50,612.470556
-50.0,50,615.108512
-50.0,50,617.836749
-50.0,50,620.584255
-50.0,50,623.365453
-50.0,50,626.066494
-50.0,50,628.921165
-50.0,50,631.735217
-50.0,50,634.400363
-50.0,50,637.141891
-50.0,50,639.906133
-50.0,50,642.677848
-50.0,50,645.416909
-50.0,50,648.10894
-50.0,50,650.77474
-50.0,50,653.463006
-50.0,50,656.289241
-50.0,50,659.159732
-50.0,50,661.960395
-50.0,50,664.750778
-50.0,50,667.488025
-50.0,50,670.190424
-50.0,50,673.153374
-50.0,50,675.849082
-50.0,50,678.522988
-50.0,50,681.334761
-50.0,50,684.113281
-50.0,50,686.894442
-50.0,50,689.607658
-50.0,50,692.418618
-50.0,50,692.854731
-50.0,50,693.336081
-50.0,50,693.788925
-50.0,50,694.263632
-50.0,50,694.719276
-50.0,50,695.1914
-50.0,50,695.717478
-50.0,50,696.167163
-50.0,50,696.588799
-50.0,50,697.150202
-50.0,50,699.839853
-50.0,50,702.521232
-50.0,50,705.208721
-50.0,50,708.013489
-50.0,50,710.780009
-50.0,50,713.562699
-50.0,50,716.269838
-48.0,50,718.924183
-50.0,50,721.619925
-50.0,50,724.34216
-50.0,50,727.200938
-50.0,50,730.099942
-50.0,50,732.888854
-50.0,50,735.615334
-49.0,50,738.335417
-50.0,50,741.085485
-50.0,50,743.825563
-47.0,50,746.545309
-50.0,50,749.193672
-50.0,50,751.906527
-50.0,50,754.70546
-50.0,50,757.53124
-50.0,50,760.356313
-50.0,50,763.151493
-50.0,50,765.814833
-50.0,50,768.717854
-50.0,50,771.411365
-50.0,50,774.286452
-50.0,50,777.109098
-50.0,50,779.813972
-50.0,50,782.538005
-18.0,50,785.279138
-50.0,50,788.150802
-50.0,50,791.008393
-50.0,50,793.776576
-50.0,50,796.644124
-50.0,50,799.328871
-50.0,50,802.203312
-50.0,50,804.848629
-47.0,50,807.633925
-50.0,50,810.367445
-50.0,50,813.070047
-50.0,50,815.745233
-50.0,50,818.507373
-50.0,50,821.30035
-50.0,50,824.008937
-50.0,50,826.779689
-50.0,50,829.500479
-50.0,50,832.211976
-50.0,50,834.971334
-50.0,50,835.437188
-50.0,50,835.908353
-50.0,50,836.345662
-50.0,50,836.787278
-50.0,50,837.236513
-50.0,50,837.69734
-50.0,50,838.182752
-50.0,50,838.655057
-45.0,50,839.115471
-50.0,50,839.675173
-50.0,50,842.393571
-50.0,50,845.083658
-50.0,50,847.814441
-50.0,50,850.482488
-50.0,50,853.158236
-50.0,50,855.884314
-50.0,50,858.603338
-50.0,50,861.320975
-50.0,50,864.012464
-50.0,50,866.741353
-46.0,50,869.414789
-50.0,50,872.104166
-45.0,50,874.920578
-50.0,50,877.602053
-50.0,50,880.357476
-50.0,50,883.094678
-50.0,50,885.814406
-50.0,50,888.607279
-50.0,50,891.358166
-50.0,50,894.090341
-50.0,50,896.769463
-50.0,50,899.629706
-50.0,50,902.408739
-50.0,50,905.318763
-50.0,50,908.075187
-50.0,50,910.811572
-50.0,50,913.686354
-50.0,50,916.605078
-50.0,50,919.343313
-50.0,50,922.13245
-50.0,50,924.871523
-50.0,50,927.561106
-50.0,50,930.302486
-50.0,50,932.997811
-47.0,50,935.744298
-50.0,50,938.594073
-50.0,50,941.324488
-50.0,50,944.091559
-50.0,50,946.808495
-50.0,50,949.571509
-50.0,50,952.353278
-50.0,50,955.101068
-50.0,50,957.965734
-50.0,50,960.768761
-50.0,50,963.457401
-50.0,50,966.216205
-50.0,50,968.908726
-50.0,50,971.679118
-50.0,50,974.467291
-44.0,50,977.395452
-50.0,50,977.908287
-50.0,50,978.389457
-50.0,50,978.853017
-50.0,50,979.310082
-50.0,50,979.831774
-50.0,50,980.374986
-50.0,50,980.84527
-50.0,50,981.284977
-13.0,50,981.729823
-50.0,50,982.269639
-45.0,50,985.010204
-50.0,50,987.696902
-50.0,50,990.366004
-50.0,50,993.079777
-50.0,50,995.901834
-50.0,50,998.584703
-50.0,50,1001.330827
-50.0,50,1004.008632
-50.0,50,1006.661187
-50.0,50,1009.326886
-46.0,50,1012.012252
-50.0,50,1014.644666
-50.0,50,1017.335626
-50.0,50,1020.008139
-50.0,50,1022.618193
-50.0,50,1025.291366
-50.0,50,1027.946437
-50.0,50,1030.627858
-50.0,50,1033.251835
-50.0,50,1035.988032
-50.0,50,1038.685249
-50.0,50,1041.361862
-50.0,50,1044.065706
-46.0,50,1046.761785
-50.0,50,1049.43421
-50.0,50,1052.049268
-50.0,50,1054.785752
-50.0,50,1057.507561
-24.0,50,1060.168553
-49.0,50,1062.834538
-50.0,50,1065.508061
-50.0,50,1068.21538
-50.0,50,1070.910218
-50.0,50,1073.635165
-50.0,50,1076.280667
-50.0,50,1078.978386
-50.0,50,1081.668686
-50.0,50,1084.3946
-50.0,50,1087.052097
-50.0,50,1089.708686
-50.0,50,1092.481235
-50.0,50,1095.128216
-50.0,50,1097.775839
-50.0,50,1100.468785
-50.0,50,1103.188481
-50.0,50,1105.847173
-38.0,50,1108.47274
-50.0,50,1111.214377
-50.0,50,1113.932525
-50.0,50,1116.633293
-50.0,50,1117.116702
-50.0,50,1117.579051
-50.0,50,1118.043849
-50.0,50,1118.535689
-48.0,50,1119.040316
-44.0,50,1119.506013
-50.0,50,1119.956849
-50.0,50,1120.434244
-50.0,50,1120.924768
-50.0,50,1121.36776
-50.0,50,1124.053669
-50.0,50,1126.786661
-50.0,50,1129.435671
-50.0,50,1132.079937
-50.0,50,1134.774175
-50.0,50,1137.492248
-50.0,50,1140.136227
-50.0,50,1142.90949
-50.0,50,1145.609323
-45.0,50,1148.238199
-50.0,50,1150.861359
-50.0,50,1153.581717
-50.0,50,1156.285635
-43.0,50,1158.956215
-50.0,50,1161.607624
-50.0,50,1164.308297
-50.0,50,1166.961633
-50.0,50,1169.719546
-50.0,50,1172.425356
-50.0,50,1175.251837
-50.0,50,1178.060886
-50.0,50,1180.808262
-46.0,50,1183.44751
-50.0,50,1186.165235
-48.0,50,1188.864013
-50.0,50,1191.550657
-50.0,50,1194.425693
-50.0,50,1197.250618
-47.0,50,1200.069723
-44.0,50,1202.780857
-50.0,50,1205.437823
-50.0,50,1208.205491
-45.0,50,1210.880555
-50.0,50,1213.632982
-50.0,50,1216.387254
-23.0,50,1219.110742
-50.0,50,1221.898948
-50.0,50,1224.805237
