# {"t_start": 1576834338.3641453, "env_id": "FetchSlideball-v2"} 
r,l,t
-50.0,50,9.421685
-50.0,50,12.6726
-50.0,50,17.697608
-50.0,50,20.279077
-50.0,50,22.875168
-50.0,50,25.551435
-50.0,50,29.403429
-50.0,50,33.252627
-50.0,50,35.87933
-50.0,50,38.518106
-50.0,50,42.165353
-50.0,50,45.226667
-50.0,50,49.095723
-50.0,50,51.750879
-50.0,50,54.330484
-50.0,50,58.590225
-50.0,50,62.082042
-50.0,50,64.70753
-50.0,50,68.491514
-50.0,50,71.188988
-50.0,50,73.844333
-50.0,50,76.440371
-50.0,50,79.078757
-50.0,50,82.112354
-50.0,50,86.813301
-50.0,50,89.445473
-50.0,50,92.106813
-50.0,50,94.763693
-50.0,50,101.014382
-50.0,50,103.592462
-50.0,50,106.201571
-50.0,50,110.566031
-50.0,50,113.15252
-50.0,50,118.140245
-50.0,50,120.706754
-50.0,50,125.145401
-50.0,50,128.433118
-50.0,50,131.060842
-50.0,50,133.715746
-50.0,50,136.325959
-50.0,50,141.204877
-50.0,50,144.186023
-50.0,50,148.60113
-50.0,50,151.916707
-50.0,50,155.605161
-50.0,50,158.425979
-50.0,50,163.449553
-50.0,50,166.035552
-50.0,50,171.083465
-50.0,50,173.765177
-50.0,50,177.717975
-50.0,50,178.173313
-50.0,50,178.643102
-50.0,50,179.067096
-50.0,50,179.493179
-50.0,50,179.90631
-50.0,50,180.337907
-50.0,50,180.790216
-50.0,50,181.23776
-50.0,50,181.683395
-50.0,50,182.240431
-50.0,50,187.192592
-50.0,50,189.790617
-50.0,50,192.412292
-50.0,50,197.44479
-50.0,50,200.111577
-50.0,50,202.706315
-50.0,50,205.337101
-50.0,50,207.931955
-50.0,50,211.722556
-50.0,50,215.75343
-50.0,50,218.338143
-50.0,50,222.427723
-50.0,50,226.153324
-50.0,50,231.03835
-50.0,50,233.931012
-50.0,50,237.81622
-50.0,50,240.429151
-50.0,50,245.166991
-50.0,50,248.235122
-50.0,50,250.853285
-50.0,50,255.881315
-50.0,50,258.507713
-50.0,50,261.209105
-50.0,50,264.931761
-50.0,50,267.549963
-50.0,50,270.141568
-50.0,50,275.15658
-50.0,50,277.716335
-50.0,50,280.303954
-50.0,50,282.891018
-50.0,50,288.589515
-50.0,50,291.803469
-50.0,50,294.462057
-50.0,50,297.111611
-50.0,50,299.723886
-50.0,50,304.621652
-50.0,50,307.530643
-50.0,50,310.122026
-50.0,50,312.712269
-50.0,50,317.701702
-50.0,50,320.317127
-50.0,50,322.928903
-50.0,50,325.973281
-50.0,50,329.45685
-50.0,50,332.098357
-50.0,50,334.70685
-50.0,50,338.661251
-50.0,50,342.494428
-50.0,50,345.107184
-50.0,50,349.027279
-50.0,50,349.452389
-50.0,50,349.864716
-50.0,50,350.303921
-50.0,50,350.784397
-50.0,50,351.248419
-50.0,50,351.742336
-50.0,50,352.195056
-50.0,50,352.623602
-50.0,50,353.072738
-50.0,50,353.599832
-50.0,50,358.516738
-50.0,50,361.200956
-50.0,50,363.837333
-50.0,50,366.478502
-50.0,50,370.395583
-50.0,50,373.033428
-50.0,50,375.994095
-50.0,50,380.679916
-50.0,50,383.306873
-50.0,50,385.891702
-50.0,50,389.914524
-50.0,50,392.54653
-50.0,50,396.024676
-50.0,50,401.538976
-50.0,50,404.192142
-50.0,50,406.829307
-50.0,50,410.278741
-50.0,50,413.375968
-50.0,50,416.056555
-50.0,50,419.534728
-50.0,50,423.828143
-50.0,50,426.407804
-50.0,50,431.329347
-50.0,50,434.008311
-50.0,50,436.608314
-50.0,50,441.60525
-50.0,50,444.414053
-50.0,50,446.93785
-50.0,50,450.798344
-50.0,50,453.374641
-50.0,50,455.962605
-50.0,50,460.910479
-50.0,50,464.297175
-50.0,50,468.709399
-50.0,50,471.378187
-50.0,50,475.242871
-50.0,50,478.729553
-50.0,50,483.068311
-50.0,50,487.448075
-50.0,50,490.984052
-50.0,50,494.944514
-50.0,50,497.556413
-50.0,50,502.426927
-50.0,50,505.408524
-50.0,50,510.505956
-50.0,50,513.075926
-50.0,50,517.599899
-50.0,50,520.234671
-50.0,50,522.852545
-50.0,50,525.497196
-50.0,50,526.982838
-50.0,50,528.541589
-50.0,50,529.717187
-50.0,50,530.170136
-50.0,50,530.627656
-50.0,50,531.055309
-50.0,50,531.501857
-50.0,50,531.94321
-50.0,50,532.364831
-50.0,50,532.765384
-50.0,50,537.922699
-50.0,50,540.52158
-50.0,50,545.378343
-50.0,50,548.371935
-50.0,50,553.413385
-50.0,50,556.039632
-50.0,50,558.651473
-50.0,50,561.200119
-50.0,50,565.026404
-50.0,50,567.654668
-50.0,50,570.270471
-50.0,50,573.996683
-50.0,50,578.015847
-50.0,50,580.873248
-50.0,50,584.473613
-50.0,50,587.161336
-50.0,50,590.036181
-50.0,50,594.921739
-50.0,50,597.491002
-50.0,50,602.532674
-50.0,50,605.121449
-50.0,50,610.241717
-50.0,50,612.849822
-50.0,50,616.097312
-50.0,50,620.574874
-50.0,50,623.175556
-50.0,50,626.98468
-50.0,50,629.541566
-50.0,50,634.979614
-50.0,50,638.529763
-50.0,50,641.137861
-50.0,50,643.787066
-50.0,50,646.353639
-50.0,50,649.022595
-50.0,50,652.90293
-50.0,50,656.826886
-50.0,50,659.381186
-50.0,50,664.433107
-50.0,50,667.069982
-50.0,50,669.686792
-50.0,50,672.328434
-50.0,50,674.970466
-50.0,50,678.22097
-50.0,50,682.725873
-50.0,50,685.292149
-50.0,50,687.932268
-50.0,50,691.841035
-50.0,50,694.466459
-50.0,50,697.713666
-50.0,50,702.130857
-50.0,50,702.578961
-50.0,50,703.046543
-50.0,50,703.495242
-50.0,50,703.933643
-50.0,50,704.410199
-50.0,50,704.839641
-50.0,50,706.064654
-50.0,50,707.154953
-50.0,50,707.617746
-50.0,50,708.155996
-50.0,50,710.753228
-50.0,50,713.385904
-50.0,50,715.99065
-50.0,50,722.320403
-50.0,50,724.955701
-50.0,50,727.528145
-50.0,50,730.121192
-50.0,50,732.738459
-50.0,50,736.894983
-50.0,50,740.512104
-50.0,50,745.591086
-50.0,50,748.273746
-50.0,50,752.125159
-50.0,50,754.66195
-50.0,50,759.687156
-50.0,50,762.448461
-50.0,50,765.049278
-50.0,50,770.047423
-50.0,50,772.684306
-50.0,50,776.566756
-50.0,50,779.166415
-50.0,50,784.282608
-50.0,50,786.999431
-50.0,50,791.604836
-50.0,50,794.185014
-50.0,50,797.218036
-50.0,50,800.682347
-50.0,50,803.267431
-50.0,50,808.269845
-50.0,50,810.859696
-50.0,50,813.444824
-50.0,50,816.148358
-50.0,50,819.838496
-50.0,50,822.454892
-50.0,50,825.125782
-50.0,50,830.133037
-50.0,50,832.73919
-50.0,50,835.342784
-50.0,50,839.145375
-50.0,50,842.292841
-50.0,50,846.862241
-50.0,50,849.468625
-50.0,50,853.899582
-50.0,50,856.525084
-50.0,50,860.323922
-50.0,50,862.927172
-50.0,50,865.493502
-50.0,50,870.046562
-50.0,50,873.325703
-50.0,50,875.917979
-50.0,50,876.366886
-50.0,50,876.797814
-50.0,50,877.240712
-50.0,50,877.675282
-50.0,50,878.110709
-50.0,50,879.420336
-50.0,50,880.451873
-50.0,50,880.873563
-50.0,50,881.341266
-50.0,50,881.895342
-50.0,50,884.902704
-50.0,50,889.581283
-50.0,50,893.855791
-50.0,50,897.405072
-50.0,50,900.880367
-50.0,50,903.994932
-50.0,50,908.320843
-50.0,50,911.827671
-50.0,50,914.451243
-50.0,50,917.252754
-50.0,50,922.131356
-50.0,50,924.712639
-50.0,50,927.60268
-50.0,50,932.358568
-50.0,50,936.305693
-50.0,50,940.195509
-50.0,50,943.701674
-50.0,50,946.797828
-50.0,50,950.982359
-50.0,50,954.587198
-50.0,50,957.208458
-50.0,50,960.014156
-50.0,50,964.874362
-50.0,50,967.494404
-50.0,50,970.370148
-50.0,50,975.165766
-50.0,50,979.042947
-50.0,50,982.952933
-50.0,50,986.086027
-50.0,50,990.084217
-50.0,50,995.012511
-50.0,50,997.925467
-50.0,50,1002.981706
-50.0,50,1005.591794
-50.0,50,1008.239559
-50.0,50,1010.803311
-50.0,50,1014.710539
-50.0,50,1017.338118
-50.0,50,1019.948353
-50.0,50,1024.950165
-50.0,50,1027.54974
-50.0,50,1030.103984
-50.0,50,1033.965959
-50.0,50,1036.602595
-50.0,50,1039.24963
-50.0,50,1044.292789
-50.0,50,1046.913323
-50.0,50,1049.541083
-50.0,50,1053.182442
-50.0,50,1057.039458
-50.0,50,1058.569515
-50.0,50,1059.925956
-50.0,50,1060.351341
-50.0,50,1060.806627
-50.0,50,1061.303217
-50.0,50,1061.7352
-50.0,50,1062.202599
-50.0,50,1062.645074
-50.0,50,1063.635241
-50.0,50,1065.246453
-50.0,50,1068.912053
-50.0,50,1072.543447
-50.0,50,1075.50368
-50.0,50,1079.987979
-50.0,50,1083.370889
-50.0,50,1088.542042
-50.0,50,1091.174347
-50.0,50,1096.026041
-50.0,50,1098.920129
-50.0,50,1101.55128
-50.0,50,1107.927476
-50.0,50,1110.536521
-50.0,50,1115.354707
-50.0,50,1118.403545
-50.0,50,1122.783726
-50.0,50,1126.228484
-50.0,50,1131.378175
-50.0,50,1134.039334
-50.0,50,1137.837805
-50.0,50,1140.442398
-50.0,50,1145.656495
-50.0,50,1148.282422
-50.0,50,1151.43099
-50.0,50,1156.078032
-50.0,50,1158.713896
-50.0,50,1162.22862
-50.0,50,1165.390289
-50.0,50,1168.059034
-50.0,50,1171.839974
-50.0,50,1175.886698
-50.0,50,1178.921706
-50.0,50,1182.475094
