# {"env_id": "FetchSlideball-v2", "t_start": 1576834336.5577362} 
r,l,t
-50.0,50,11.098788
-50.0,50,14.519674
-50.0,50,19.492317
-50.0,50,22.106941
-50.0,50,24.688462
-50.0,50,27.369364
-50.0,50,31.272872
-50.0,50,35.062768
-50.0,50,37.67987
-50.0,50,40.306155
-50.0,50,43.937514
-50.0,50,47.02989
-50.0,50,50.905167
-50.0,50,53.553274
-50.0,50,56.157307
-50.0,50,60.512179
-50.0,50,63.910313
-50.0,50,66.505411
-50.0,50,70.323448
-50.0,50,73.005589
-50.0,50,75.6323
-50.0,50,78.253596
-50.0,50,80.916885
-50.0,50,84.050447
-50.0,50,88.61124
-50.0,50,91.24851
-50.0,50,93.910017
-50.0,50,96.505134
-50.0,50,102.828213
-50.0,50,105.431859
-50.0,50,107.996232
-50.0,50,112.298712
-50.0,50,114.861895
-50.0,50,119.953299
-50.0,50,122.495431
-50.0,50,127.036541
-50.0,50,130.265093
-50.0,50,132.861054
-50.0,50,135.498954
-50.0,50,138.136424
-50.0,50,143.056432
-50.0,50,145.955529
-50.0,50,150.358034
-50.0,50,153.718229
-50.0,50,157.547686
-50.0,50,160.22021
-50.0,50,165.277354
-50.0,50,167.851841
-50.0,50,172.817722
-50.0,50,175.604108
-50.0,50,179.485628
-50.0,50,179.955137
-50.0,50,180.414748
-50.0,50,180.867449
-50.0,50,181.295712
-50.0,50,181.719349
-50.0,50,182.152313
-50.0,50,182.600462
-50.0,50,183.014559
-50.0,50,183.437382
-50.0,50,184.064227
-50.0,50,189.003925
-50.0,50,191.61068
-50.0,50,194.190022
-50.0,50,199.239905
-50.0,50,201.889017
-50.0,50,204.500419
-50.0,50,207.133368
-50.0,50,209.701144
-50.0,50,213.622241
-50.0,50,217.553494
-50.0,50,220.172772
-50.0,50,224.261047
-50.0,50,227.965123
-50.0,50,232.808576
-50.0,50,235.733232
-50.0,50,239.605783
-50.0,50,242.263244
-50.0,50,247.045641
-50.0,50,250.039165
-50.0,50,252.816544
-50.0,50,257.675563
-50.0,50,260.295743
-50.0,50,263.000982
-50.0,50,266.763697
-50.0,50,269.38028
-50.0,50,271.978746
-50.0,50,276.965455
-50.0,50,279.512887
-50.0,50,282.0923
-50.0,50,284.667881
-50.0,50,290.337113
-50.0,50,293.624474
-50.0,50,296.260364
-50.0,50,298.903059
-50.0,50,301.493933
-50.0,50,306.623685
-50.0,50,309.296849
-50.0,50,311.925557
-50.0,50,314.529771
-50.0,50,319.491037
-50.0,50,322.132785
-50.0,50,324.761912
-50.0,50,327.756977
-50.0,50,331.265292
-50.0,50,333.909068
-50.0,50,336.522676
-50.0,50,340.477394
-50.0,50,344.308519
-50.0,50,346.913087
-50.0,50,350.816959
-50.0,50,351.293311
-50.0,50,351.725308
-50.0,50,352.164968
-50.0,50,352.604808
-50.0,50,353.032267
-50.0,50,353.488595
-50.0,50,353.942793
-50.0,50,354.349052
-50.0,50,354.764334
-50.0,50,355.377276
-50.0,50,360.341872
-50.0,50,363.015983
-50.0,50,365.662586
-50.0,50,368.285146
-50.0,50,372.224292
-50.0,50,374.834619
-50.0,50,377.901634
-50.0,50,382.478028
-50.0,50,385.112566
-50.0,50,387.758957
-50.0,50,391.72099
-50.0,50,394.337477
-50.0,50,397.753439
-50.0,50,403.341432
-50.0,50,405.964327
-50.0,50,408.627961
-50.0,50,411.909948
-50.0,50,415.231279
-50.0,50,417.860842
-50.0,50,421.179793
-50.0,50,425.617799
-50.0,50,428.153793
-50.0,50,433.156658
-50.0,50,435.818369
-50.0,50,438.385766
-50.0,50,443.425535
-50.0,50,446.196941
-50.0,50,448.762851
-50.0,50,452.578544
-50.0,50,455.191805
-50.0,50,457.799501
-50.0,50,462.759178
-50.0,50,466.173423
-50.0,50,470.477582
-50.0,50,473.199196
-50.0,50,477.050717
-50.0,50,480.584283
-50.0,50,484.886872
-50.0,50,489.200257
-50.0,50,492.765962
-50.0,50,496.758961
-50.0,50,499.398422
-50.0,50,504.149559
-50.0,50,507.198596
-50.0,50,512.300867
-50.0,50,514.939801
-50.0,50,519.422234
-50.0,50,522.035086
-50.0,50,524.667143
-50.0,50,527.269131
-50.0,50,528.622864
-50.0,50,530.027089
-50.0,50,531.400587
-50.0,50,531.874222
-50.0,50,532.320804
-50.0,50,532.743615
-50.0,50,533.212423
-50.0,50,533.653941
-50.0,50,534.122154
-50.0,50,534.590045
-50.0,50,539.74806
-50.0,50,542.316188
-50.0,50,547.35734
-50.0,50,550.158228
-50.0,50,555.220047
-50.0,50,557.869041
-50.0,50,560.415866
-50.0,50,563.063031
-50.0,50,566.828196
-50.0,50,569.448503
-50.0,50,572.067925
-50.0,50,575.708562
-50.0,50,579.862777
-50.0,50,582.494111
-50.0,50,586.288359
-50.0,50,588.958418
-50.0,50,591.899742
-50.0,50,596.678819
-50.0,50,599.282936
-50.0,50,604.311428
-50.0,50,606.952598
-50.0,50,612.016433
-50.0,50,614.649536
-50.0,50,617.728732
-50.0,50,622.402824
-50.0,50,625.006322
-50.0,50,628.830214
-50.0,50,631.383663
-50.0,50,636.720248
-50.0,50,640.341903
-50.0,50,642.956185
-50.0,50,645.605483
-50.0,50,648.173777
-50.0,50,650.780325
-50.0,50,654.735594
-50.0,50,658.643361
-50.0,50,661.157569
-50.0,50,666.290968
-50.0,50,668.889299
-50.0,50,671.487876
-50.0,50,674.146493
-50.0,50,676.786173
-50.0,50,679.98809
-50.0,50,684.538426
-50.0,50,687.097095
-50.0,50,689.734704
-50.0,50,693.662614
-50.0,50,696.256586
-50.0,50,699.513636
-50.0,50,703.953883
-50.0,50,704.390912
-50.0,50,704.841582
-50.0,50,705.280882
-50.0,50,705.742115
-50.0,50,706.198364
-50.0,50,706.601746
-50.0,50,707.762446
-50.0,50,708.931665
-50.0,50,709.364304
-50.0,50,709.93663
-50.0,50,712.552262
-50.0,50,715.202417
-50.0,50,717.799311
-50.0,50,724.146863
-50.0,50,726.740036
-50.0,50,729.362956
