epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8164914,0.23668781,0.17374222,0.059856214,20.0,-3.2373536,0.0,100.0,0.0
1,0.81628495,0.2370679,0.1736378,0.059906017,40.0,-5.349701,0.0,200.0,0.0
2,0.81593245,0.23611264,0.17351316,0.06013288,60.0,-7.3629303,0.0,300.0,0.0
3,0.8170493,0.23555377,0.17371023,0.059045948,80.0,-9.372553,0.0,400.0,0.0
4,0.81638145,0.23565714,0.17361946,0.058209885,100.0,-11.307882,0.0,500.0,0.0
5,0.8160675,0.23506784,0.17361057,0.05779653,120.0,-13.120549,0.0,600.0,0.0
6,0.8162589,0.23509713,0.17369409,0.05822099,140.0,-14.866133,0.0,700.0,0.0
7,0.8158883,0.23581891,0.17360795,0.058388848,160.0,-16.52203,0.0,800.0,0.0
8,0.8161991,0.2363626,0.17370723,0.059019376,180.0,-18.106947,0.0,900.0,0.0
9,0.8159755,0.23641205,0.17368697,0.059901573,200.0,-19.58129,0.0,1000.0,0.0
10,0.81577265,0.23710771,0.17365722,0.060646307,220.0,-21.051138,0.0,1100.0,0.0
11,0.815688,0.23694721,0.17359613,0.06129683,240.0,-22.414982,0.0,1200.0,0.0
12,0.815828,0.23728843,0.1736145,0.06202357,260.0,-23.837738,0.0,1300.0,0.0
13,0.8160391,0.23748846,0.17363985,0.06291731,280.0,-25.033627,0.0,1400.0,0.0
14,0.8159481,0.23784986,0.17369677,0.06406396,300.0,-26.262653,0.0,1500.0,0.0
15,0.8158941,0.23790345,0.17368513,0.0646457,320.0,-27.273706,0.0,1600.0,0.0
16,0.8157886,0.23814754,0.17364255,0.06533204,340.0,-28.09039,0.0,1700.0,0.0
17,0.8157528,0.23813967,0.17368399,0.06573892,360.0,-29.063562,0.0,1800.0,0.0
18,0.8158342,0.23804548,0.17371431,0.06586256,380.0,-30.19249,0.0,1900.0,0.0
19,0.81570035,0.2381186,0.17368746,0.065942146,400.0,-31.111866,0.0,2000.0,0.0
