# {"env_id": "FetchPickAndPlace-v1", "t_start": 1580305578.6382568} 
r,l,t
-50.0,50,7.8442
-50.0,50,10.705309
-50.0,50,13.356512
-50.0,50,15.970688
-50.0,50,18.6269
-50.0,50,21.229185
-50.0,50,23.820592
0.0,50,26.419795
-50.0,50,29.077088
-50.0,50,31.811808
-50.0,50,34.577762
-50.0,50,37.255433
-50.0,50,40.269659
-50.0,50,43.182653
0.0,50,45.990466
-50.0,50,48.528116
-50.0,50,51.141412
-50.0,50,53.701679
-50.0,50,56.321185
-50.0,50,58.913513
-50.0,50,61.520285
-50.0,50,64.046973
-50.0,50,66.62584
-50.0,50,69.155205
-50.0,50,71.744557
-50.0,50,74.337137
-50.0,50,76.896066
-50.0,50,79.450063
-50.0,50,82.033357
-50.0,50,84.60256
-50.0,50,87.142634
-50.0,50,89.735848
-50.0,50,92.295852
-50.0,50,94.816841
-50.0,50,97.417951
-50.0,50,99.998014
-50.0,50,102.546169
-50.0,50,105.105853
-50.0,50,107.688598
-50.0,50,110.285748
-50.0,50,112.808098
-50.0,50,115.384746
-50.0,50,117.968431
-50.0,50,120.570779
-50.0,50,123.118643
-50.0,50,125.66676
-50.0,50,128.206883
-50.0,50,130.790635
-50.0,50,133.386492
-50.0,50,135.913518
-50.0,50,138.490555
-50.0,50,138.891682
-50.0,50,139.305304
-50.0,50,139.719293
-50.0,50,140.138474
-50.0,50,140.542059
-50.0,50,140.961429
0.0,50,141.356084
-50.0,50,141.761947
-50.0,50,142.174255
-50.0,50,142.707374
-50.0,50,145.252617
-50.0,50,147.788188
-50.0,50,150.377828
-50.0,50,152.913933
-50.0,50,155.452078
-50.0,50,157.987934
-50.0,50,160.601825
-50.0,50,163.175858
-50.0,50,165.746477
-50.0,50,168.319768
-50.0,50,170.854347
-50.0,50,173.398934
-50.0,50,175.986047
-50.0,50,178.510478
-50.0,50,181.089171
-50.0,50,183.679021
-50.0,50,186.26866
-50.0,50,188.82788
-50.0,50,191.340616
-50.0,50,193.93554
-50.0,50,196.524987
-50.0,50,199.05178
-50.0,50,201.630723
-50.0,50,204.202757
-50.0,50,206.744115
-50.0,50,209.311034
-50.0,50,211.929395
-50.0,50,214.492993
-50.0,50,217.028013
-50.0,50,219.590014
-50.0,50,222.174015
-50.0,50,224.764246
-50.0,50,227.285138
-50.0,50,229.848745
-50.0,50,232.406303
-50.0,50,234.981151
-50.0,50,237.528071
-50.0,50,240.064485
-50.0,50,242.656859
-50.0,50,245.185589
-50.0,50,247.727015
-50.0,50,250.312864
-50.0,50,252.883464
-50.0,50,255.481641
-50.0,50,257.992897
-50.0,50,260.598054
-50.0,50,263.141027
-50.0,50,265.735813
-50.0,50,268.246515
-50.0,50,270.859722
-50.0,50,271.256539
-50.0,50,271.712845
-50.0,50,272.115021
-50.0,50,272.542447
-50.0,50,272.965597
-50.0,50,273.362954
-50.0,50,273.765962
-50.0,50,274.172914
-50.0,50,274.590932
-50.0,50,275.028786
-50.0,50,277.647395
-50.0,50,280.165307
-50.0,50,282.760111
-50.0,50,285.28669
-50.0,50,287.88312
-50.0,50,290.440869
-50.0,50,292.979887
-50.0,50,295.540235
-50.0,50,298.099638
-50.0,50,300.665024
-50.0,50,303.211482
-50.0,50,305.763013
-50.0,50,308.341193
-50.0,50,310.906295
-50.0,50,313.483057
-50.0,50,315.989108
-50.0,50,318.560862
-50.0,50,321.135639
-50.0,50,323.685245
-50.0,50,326.24913
-50.0,50,328.822656
-50.0,50,331.37325
-50.0,50,333.934083
0.0,50,336.477047
-50.0,50,339.020957
-50.0,50,341.662567
-50.0,50,344.204336
-50.0,50,346.791921
-50.0,50,349.397211
-50.0,50,352.013443
0.0,50,354.586654
-50.0,50,357.179181
-50.0,50,359.754497
-50.0,50,362.357409
-50.0,50,364.961156
-50.0,50,367.499961
-50.0,50,370.064546
-50.0,50,372.664795
-50.0,50,375.207653
-50.0,50,377.796068
-50.0,50,380.400465
-50.0,50,382.982729
-50.0,50,385.536897
0.0,50,388.09495
-50.0,50,390.705293
-50.0,50,393.219939
-50.0,50,395.817575
0.0,50,398.356987
-50.0,50,400.945045
-50.0,50,403.508406
-50.0,50,403.933956
-50.0,50,404.343887
-50.0,50,404.713339
-50.0,50,405.114384
-50.0,50,405.522369
-50.0,50,405.922144
-50.0,50,406.33766
-50.0,50,406.740733
-50.0,50,407.129601
-50.0,50,407.661819
0.0,50,410.240637
-50.0,50,412.782168
-50.0,50,415.367402
-50.0,50,417.882356
-50.0,50,420.438389
-50.0,50,423.008988
-50.0,50,425.619453
-50.0,50,428.166211
0.0,50,430.726938
-50.0,50,433.336717
-50.0,50,435.881823
-49.0,50,438.458513
-50.0,50,441.015091
-50.0,50,443.57901
-50.0,50,446.189055
-50.0,50,448.801397
-50.0,50,451.395552
-50.0,50,453.962003
-50.0,50,456.602114
-50.0,50,459.189704
-50.0,50,461.775012
-50.0,50,464.317394
-50.0,50,466.907562
-50.0,50,469.478499
-50.0,50,472.03305
-50.0,50,474.629729
-50.0,50,477.204877
-50.0,50,479.765212
-50.0,50,482.372354
-50.0,50,484.919709
0.0,50,487.508284
-50.0,50,490.047625
-50.0,50,492.658222
-50.0,50,495.252843
-50.0,50,497.835526
-50.0,50,500.391309
-50.0,50,503.021057
-50.0,50,505.575196
-50.0,50,508.203244
-50.0,50,510.800464
-50.0,50,513.348641
-50.0,50,515.910419
-50.0,50,518.516611
-50.0,50,521.062006
-50.0,50,523.683588
-50.0,50,526.256217
-50.0,50,528.85428
-50.0,50,531.41817
-50.0,50,533.937549
-50.0,50,536.572526
-50.0,50,536.961867
-50.0,50,537.351266
-50.0,50,537.750711
-50.0,50,538.162977
-50.0,50,538.550265
-50.0,50,538.95656
-50.0,50,539.379466
-50.0,50,539.784225
-50.0,50,540.203109
0.0,50,540.73705
-50.0,50,543.294879
-50.0,50,545.90574
-50.0,50,548.471119
-50.0,50,551.047249
-50.0,50,553.663411
-50.0,50,556.214357
-50.0,50,558.777243
-50.0,50,561.359912
-50.0,50,563.933662
-50.0,50,566.49311
-50.0,50,569.085667
-50.0,50,571.693473
-50.0,50,574.240856
-50.0,50,576.835326
-50.0,50,579.415227
0.0,50,581.950231
-50.0,50,584.512934
-50.0,50,587.102238
-50.0,50,589.724187
-50.0,50,592.334486
-50.0,50,594.922443
-50.0,50,597.480306
-22.0,50,600.016556
-50.0,50,602.62842
-50.0,50,605.194605
-50.0,50,607.738364
-50.0,50,610.316646
-50.0,50,612.870838
-50.0,50,615.481662
-50.0,50,618.034631
-50.0,50,620.582612
-50.0,50,623.161936
-50.0,50,625.733263
-50.0,50,628.316521
0.0,50,630.902157
-50.0,50,633.458812
0.0,50,636.052846
-50.0,50,638.676523
-50.0,50,641.222769
-50.0,50,643.777058
0.0,50,646.396102
-50.0,50,648.942964
-50.0,50,651.530315
-50.0,50,654.132064
-50.0,50,656.704684
-50.0,50,659.297451
-50.0,50,661.882608
-50.0,50,664.444845
-50.0,50,667.025204
-50.0,50,669.620448
-50.0,50,670.034739
-50.0,50,670.426065
-50.0,50,670.854002
-50.0,50,671.26712
-50.0,50,671.703306
-50.0,50,672.121691
-50.0,50,672.513916
-50.0,50,672.925654
-50.0,50,673.342374
-50.0,50,673.777942
-50.0,50,676.345461
0.0,50,678.925343
-50.0,50,681.534198
0.0,50,684.103498
-50.0,50,686.640841
-50.0,50,689.23099
-50.0,50,691.839845
-50.0,50,694.426575
-50.0,50,697.003285
-50.0,50,699.558216
-50.0,50,702.126508
-50.0,50,704.731215
-50.0,50,707.291491
-50.0,50,709.885939
-50.0,50,712.470506
-50.0,50,715.062952
-50.0,50,717.631085
-50.0,50,720.198547
-50.0,50,722.797126
-50.0,50,725.397278
-50.0,50,727.973648
-50.0,50,730.567054
-50.0,50,733.130125
0.0,50,735.68093
-50.0,50,738.261801
-50.0,50,740.788447
-50.0,50,743.383678
-50.0,50,745.967484
-50.0,50,748.550159
-50.0,50,751.11052
-50.0,50,753.681856
-50.0,50,756.264475
-50.0,50,758.830276
-50.0,50,761.434196
-50.0,50,763.991633
-50.0,50,766.589706
-50.0,50,769.152425
-50.0,50,771.712433
-50.0,50,774.297994
-27.0,50,776.872885
-50.0,50,779.407128
-46.0,50,781.983183
-50.0,50,784.563062
-50.0,50,787.087521
-50.0,50,789.660349
-50.0,50,792.252954
-50.0,50,794.820202
-50.0,50,797.402442
-50.0,50,799.989059
-50.0,50,802.559411
-50.0,50,802.955653
-50.0,50,803.386387
-50.0,50,803.801998
-50.0,50,804.237955
-50.0,50,804.643715
-50.0,50,805.05733
-50.0,50,805.502706
-50.0,50,805.909601
-50.0,50,806.36503
-50.0,50,806.855997
-50.0,50,809.416395
-50.0,50,812.027238
-50.0,50,814.588745
-50.0,50,817.168089
-50.0,50,819.761398
-50.0,50,822.295498
-50.0,50,824.911849
-50.0,50,827.512058
-50.0,50,830.094938
-50.0,50,832.623533
-50.0,50,835.214762
-50.0,50,837.767089
-50.0,50,840.335489
-47.0,50,842.921161
-50.0,50,845.522844
-50.0,50,848.054322
-50.0,50,850.6365
-50.0,50,853.222451
-50.0,50,855.790981
-50.0,50,858.43702
-50.0,50,860.985269
-33.0,50,863.50967
-50.0,50,866.160447
-50.0,50,868.710238
-50.0,50,871.308178
-50.0,50,873.879067
-50.0,50,876.436524
-50.0,50,879.032007
-50.0,50,881.618669
-50.0,50,884.223088
-47.0,50,886.800676
-50.0,50,889.386625
-50.0,50,891.992668
-47.0,50,894.573323
-50.0,50,897.130551
-50.0,50,899.711918
-50.0,50,902.290974
-50.0,50,904.870499
-50.0,50,907.461631
-50.0,50,910.011688
-47.0,50,912.609489
-50.0,50,915.225075
-50.0,50,917.790869
-50.0,50,920.321077
-50.0,50,922.920156
-50.0,50,925.549665
-50.0,50,928.106274
-50.0,50,930.719497
-50.0,50,933.278093
-50.0,50,935.872677
-50.0,50,936.292785
-50.0,50,936.71424
-50.0,50,937.137905
-50.0,50,937.539847
-50.0,50,937.961657
-50.0,50,938.356348
-50.0,50,938.780388
-30.0,50,939.199679
-50.0,50,939.577616
-50.0,50,940.181721
-44.0,50,942.749943
-50.0,50,945.290143
-50.0,50,947.892325
-17.0,50,950.479321
-50.0,50,953.022151
-50.0,50,955.609702
-50.0,50,958.179637
-50.0,50,960.743116
-43.0,50,963.360623
-50.0,50,965.913457
-50.0,50,968.52691
-50.0,50,971.087335
-50.0,50,973.735877
-50.0,50,976.304438
-50.0,50,978.861548
-50.0,50,981.451683
-50.0,50,984.022701
-50.0,50,986.630074
-50.0,50,989.174272
-50.0,50,991.796288
-50.0,50,994.400236
-50.0,50,996.968258
-50.0,50,999.524457
-50.0,50,1002.097961
-50.0,50,1004.738092
-50.0,50,1007.325726
-50.0,50,1009.865282
-50.0,50,1012.531836
-50.0,50,1015.077089
