# {"t_start": 1580305577.8137941, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,8.622581
-50.0,50,11.520697
-50.0,50,14.176607
-50.0,50,16.837445
-50.0,50,19.43273
-50.0,50,22.029595
-50.0,50,24.630406
-50.0,50,27.233267
-50.0,50,29.905064
-50.0,50,32.620816
-50.0,50,35.405857
-50.0,50,38.097818
-50.0,50,41.058922
-50.0,50,44.065687
-50.0,50,46.80881
-50.0,50,49.373728
-50.0,50,51.971927
-50.0,50,54.574103
-50.0,50,57.202936
-50.0,50,59.730747
-50.0,50,62.327471
-50.0,50,64.906658
-50.0,50,67.453303
-50.0,50,70.014066
-50.0,50,72.592124
-50.0,50,75.128998
-50.0,50,77.715108
-50.0,50,80.286324
-50.0,50,82.846393
-50.0,50,85.388827
-50.0,50,87.994245
-50.0,50,90.565286
-50.0,50,93.1284
-50.0,50,95.680221
-50.0,50,98.227173
-50.0,50,100.804412
-50.0,50,103.386434
-50.0,50,105.910459
-50.0,50,108.518454
-50.0,50,111.109486
-50.0,50,113.636177
-50.0,50,116.204882
-50.0,50,118.782984
-50.0,50,121.365655
-50.0,50,123.910134
-50.0,50,126.48646
-50.0,50,129.044764
-50.0,50,131.638851
-50.0,50,134.216297
-50.0,50,136.738773
-50.0,50,139.317366
-50.0,50,139.745557
-50.0,50,140.152149
-50.0,50,140.557798
-50.0,50,140.968191
-50.0,50,141.377125
-50.0,50,141.779794
-50.0,50,142.185516
-50.0,50,142.580819
-50.0,50,142.983785
-50.0,50,143.506596
-50.0,50,146.058794
-50.0,50,148.637327
-50.0,50,151.169403
-50.0,50,153.723915
-50.0,50,156.268318
-50.0,50,158.826801
-50.0,50,161.414556
-50.0,50,164.033193
-50.0,50,166.577681
-50.0,50,169.131035
-50.0,50,171.716891
-50.0,50,174.264846
-50.0,50,176.820783
-50.0,50,179.329296
-50.0,50,181.919214
-50.0,50,184.50051
-50.0,50,187.092219
-50.0,50,189.629887
-50.0,50,192.198593
-50.0,50,194.750523
-50.0,50,197.363821
-50.0,50,199.908412
-50.0,50,202.452657
-50.0,50,205.032193
-50.0,50,207.554632
-50.0,50,210.148272
-50.0,50,212.722071
-50.0,50,215.307506
-50.0,50,217.87793
-50.0,50,220.418872
-50.0,50,222.985462
-50.0,50,225.579974
-50.0,50,228.126297
-50.0,50,230.690522
-50.0,50,233.251208
-50.0,50,235.796262
-50.0,50,238.342876
-50.0,50,240.909214
-50.0,50,243.475559
-50.0,50,245.992784
-50.0,50,248.575114
-50.0,50,251.15544
-50.0,50,253.69255
-50.0,50,256.273793
-50.0,50,258.807608
-50.0,50,261.395683
-50.0,50,263.989694
-50.0,50,266.501727
-50.0,50,269.09826
-50.0,50,271.67396
-50.0,50,272.086477
-50.0,50,272.508667
-50.0,50,272.943298
-50.0,50,273.355536
-50.0,50,273.737604
-50.0,50,274.169152
-50.0,50,274.573384
-50.0,50,274.974041
-50.0,50,275.392923
-50.0,50,275.898742
-50.0,50,278.429744
-50.0,50,280.988094
-50.0,50,283.580894
-50.0,50,286.122227
-50.0,50,288.71407
0.0,50,291.26178
-50.0,50,293.840505
-50.0,50,296.373362
-50.0,50,298.924922
-50.0,50,301.442569
-16.0,50,304.046484
-50.0,50,306.577153
-50.0,50,309.199689
-50.0,50,311.73399
-50.0,50,314.2671
-50.0,50,316.846678
-50.0,50,319.399531
-50.0,50,321.940116
-50.0,50,324.506694
-50.0,50,327.063073
-50.0,50,329.635394
-50.0,50,332.186208
-50.0,50,334.720047
-50.0,50,337.311735
-50.0,50,339.843975
-50.0,50,342.466538
-50.0,50,345.043454
-50.0,50,347.640909
-50.0,50,350.219752
-50.0,50,352.831875
-50.0,50,355.450028
-50.0,50,357.98049
-50.0,50,360.601021
-50.0,50,363.183571
-50.0,50,365.778064
-50.0,50,368.329829
-50.0,50,370.916981
-50.0,50,373.495092
0.0,50,376.065212
-50.0,50,378.638911
-50.0,50,381.249255
-50.0,50,383.78236
-50.0,50,386.338657
-50.0,50,388.900574
-50.0,50,391.478551
-50.0,50,394.077763
-50.0,50,396.602857
-50.0,50,399.212298
-50.0,50,401.742332
-50.0,50,404.33371
-50.0,50,404.768768
-50.0,50,405.186634
-50.0,50,405.589844
-50.0,50,405.985013
-50.0,50,406.387941
-50.0,50,406.818171
-50.0,50,407.246338
-50.0,50,407.658311
-50.0,50,408.038065
-50.0,50,408.459549
-50.0,50,411.066024
-50.0,50,413.624698
-50.0,50,416.163936
-50.0,50,418.755121
-50.0,50,421.271971
-50.0,50,423.856986
-50.0,50,426.41384
-50.0,50,428.96915
-50.0,50,431.55775
-50.0,50,434.121423
-50.0,50,436.688598
-50.0,50,439.287304
-50.0,50,441.840134
-50.0,50,444.403509
-50.0,50,447.040032
-50.0,50,449.64156
-50.0,50,452.240644
-50.0,50,454.768086
-50.0,50,457.40595
-50.0,50,459.992317
-50.0,50,462.587347
-50.0,50,465.127603
-50.0,50,467.729334
-50.0,50,470.28607
0.0,50,472.880481
-50.0,50,475.405349
-50.0,50,478.011817
-50.0,50,480.598569
-50.0,50,483.177015
-50.0,50,485.741338
-50.0,50,488.342621
-50.0,50,490.917362
-50.0,50,493.446558
-50.0,50,496.060375
-28.0,50,498.673639
-50.0,50,501.233866
-50.0,50,503.828302
-50.0,50,506.444302
-50.0,50,509.015177
-50.0,50,511.608142
-50.0,50,514.168141
-50.0,50,516.727736
-50.0,50,519.337775
-50.0,50,521.879633
-50.0,50,524.496365
-50.0,50,527.057677
-50.0,50,529.67122
-50.0,50,532.232338
-50.0,50,534.818994
-50.0,50,537.349317
-50.0,50,537.74333
-50.0,50,538.12408
-50.0,50,538.524549
-50.0,50,538.970172
-50.0,50,539.395216
-50.0,50,539.792722
-50.0,50,540.229271
-50.0,50,540.621397
-50.0,50,541.024328
-50.0,50,541.528408
-50.0,50,544.091173
-50.0,50,546.733192
-50.0,50,549.285695
-50.0,50,551.876279
-50.0,50,554.448499
-50.0,50,557.029258
-50.0,50,559.629265
-50.0,50,562.170532
-50.0,50,564.735235
-50.0,50,567.342077
-50.0,50,569.93047
-50.0,50,572.511365
-50.0,50,575.066933
0.0,50,577.660064
-50.0,50,580.2199
-50.0,50,582.797323
-50.0,50,585.336554
-50.0,50,587.896539
-50.0,50,590.558093
-50.0,50,593.142123
-50.0,50,595.711331
-50.0,50,598.2964
-50.0,50,600.860212
-50.0,50,603.463616
-50.0,50,606.015224
-50.0,50,608.572302
-50.0,50,611.112839
-50.0,50,613.692654
0.0,50,616.27282
-50.0,50,618.88674
-50.0,50,621.411854
-50.0,50,623.994686
-50.0,50,626.541573
-50.0,50,629.124613
-50.0,50,631.742826
-50.0,50,634.284168
-50.0,50,636.843817
-50.0,50,639.443767
-50.0,50,642.030029
-50.0,50,644.606883
-50.0,50,647.177646
-50.0,50,649.775191
-50.0,50,652.359882
-50.0,50,654.938977
-50.0,50,657.541116
-13.0,50,660.117408
-50.0,50,662.689471
0.0,50,665.297203
-50.0,50,667.84377
-50.0,50,670.463491
-50.0,50,670.8585
-50.0,50,671.243827
-50.0,50,671.643482
-50.0,50,672.056247
-50.0,50,672.462511
-50.0,50,672.890732
-50.0,50,673.296743
-4.0,50,673.677616
-50.0,50,674.082569
-50.0,50,674.584789
0.0,50,677.166222
-50.0,50,679.783568
-50.0,50,682.329533
-50.0,50,684.928619
-50.0,50,687.470011
-50.0,50,690.070482
-50.0,50,692.635533
-50.0,50,695.262697
-50.0,50,697.84293
-50.0,50,700.405469
-50.0,50,702.958684
-50.0,50,705.548518
-50.0,50,708.098041
-50.0,50,710.725279
-50.0,50,713.259812
-50.0,50,715.852404
-50.0,50,718.454849
