# {"env_id": "FetchPickAndPlaceAir-v1", "t_start": 1582283643.950237} 
r,l,t
-50.0,50,6.157371
-50.0,50,8.963795
-50.0,50,11.684479
-50.0,50,14.320326
-50.0,50,16.921202
-50.0,50,19.55179
-50.0,50,22.166773
-50.0,50,24.833353
-50.0,50,27.45841
-50.0,50,30.09087
-50.0,50,32.681266
-50.0,50,35.325413
-50.0,50,37.922051
-50.0,50,40.597966
-50.0,50,43.167405
-50.0,50,45.824567
-50.0,50,48.496534
-50.0,50,51.090275
-50.0,50,53.755656
-50.0,50,56.345701
-50.0,50,58.969305
-50.0,50,61.575605
-50.0,50,64.247592
-50.0,50,66.892912
-50.0,50,69.494615
-50.0,50,72.083293
-50.0,50,74.716872
-50.0,50,77.346039
-50.0,50,79.997134
-50.0,50,82.613107
-50.0,50,85.224728
-50.0,50,87.805444
-50.0,50,90.440435
-50.0,50,93.019387
-50.0,50,95.684984
-50.0,50,98.331528
-50.0,50,100.957859
-50.0,50,103.572267
-50.0,50,106.217433
-50.0,50,108.779346
-50.0,50,111.406539
-50.0,50,114.060664
-50.0,50,116.649195
-50.0,50,119.282755
-50.0,50,121.911449
-50.0,50,124.527095
-50.0,50,127.204178
-50.0,50,129.771982
-50.0,50,132.403006
-50.0,50,135.02619
-50.0,50,137.715034
-50.0,50,138.109671
-50.0,50,138.503466
-50.0,50,138.918036
-50.0,50,139.335772
-50.0,50,139.748562
-50.0,50,140.172471
-50.0,50,140.558329
-50.0,50,140.969274
-50.0,50,141.407406
-50.0,50,142.054904
-50.0,50,144.703101
-50.0,50,147.311468
-50.0,50,149.958506
-50.0,50,152.573746
-50.0,50,155.224335
-50.0,50,157.861691
-50.0,50,160.457692
-50.0,50,163.080159
-50.0,50,165.697129
-50.0,50,168.350075
-50.0,50,170.963991
-50.0,50,173.6409
-50.0,50,176.225981
-50.0,50,178.88645
-50.0,50,181.507347
-50.0,50,184.1478
-50.0,50,186.794066
-50.0,50,189.396082
-50.0,50,192.049184
-50.0,50,194.637273
-50.0,50,197.294669
-50.0,50,199.90753
-50.0,50,202.494942
-50.0,50,205.152536
-50.0,50,207.773091
-50.0,50,210.399429
-50.0,50,213.008942
-50.0,50,215.612921
-50.0,50,218.215574
-50.0,50,220.818905
-50.0,50,223.478817
-50.0,50,226.084501
-50.0,50,228.684239
-50.0,50,231.342228
-50.0,50,233.944856
-50.0,50,236.556563
-50.0,50,239.167171
-50.0,50,241.794822
-50.0,50,244.444822
-50.0,50,247.058462
-50.0,50,249.732922
-50.0,50,252.378926
-50.0,50,254.983579
-50.0,50,257.63251
-50.0,50,260.237104
-50.0,50,262.84444
-50.0,50,265.47462
-50.0,50,268.130977
-50.0,50,270.705449
-50.0,50,273.354268
-50.0,50,273.792586
-50.0,50,274.198048
-50.0,50,274.567217
-50.0,50,274.986845
-50.0,50,275.40016
-50.0,50,275.831281
-50.0,50,276.252209
-50.0,50,276.693884
-50.0,50,277.090299
-50.0,50,277.583621
-50.0,50,280.260142
-50.0,50,282.902483
-50.0,50,285.542342
-50.0,50,288.167271
-50.0,50,290.758693
-50.0,50,293.390036
-50.0,50,295.995417
-50.0,50,298.640346
-50.0,50,301.303391
-50.0,50,303.922724
-50.0,50,306.537835
-50.0,50,309.166792
-50.0,50,311.793364
-50.0,50,314.45416
-50.0,50,317.071821
-50.0,50,319.701616
-50.0,50,322.328017
-50.0,50,325.025863
-50.0,50,327.621483
-50.0,50,330.254101
-50.0,50,332.864403
