# {"t_start": 1580822450.5080569, "env_id": "FetchPickAndPlaceball-v1"} 
r,l,t
-50.0,50,6.653393
-50.0,50,9.385115
-50.0,50,11.942892
-50.0,50,14.416517
-50.0,50,16.942301
-50.0,50,19.447512
-50.0,50,21.981551
-50.0,50,24.486071
-50.0,50,26.99703
-50.0,50,29.525144
-50.0,50,32.045987
-50.0,50,34.595607
-50.0,50,37.109385
-50.0,50,39.6636
-50.0,50,42.193719
-50.0,50,44.690266
-50.0,50,47.217859
-50.0,50,49.772469
-50.0,50,52.307766
-50.0,50,54.926717
-50.0,50,57.418362
-50.0,50,60.019288
-50.0,50,62.508702
-50.0,50,65.03744
-50.0,50,67.567689
-50.0,50,70.108776
-50.0,50,72.612227
-50.0,50,75.189119
-50.0,50,77.675393
-50.0,50,80.250964
-50.0,50,82.726208
-50.0,50,85.277387
-50.0,50,87.800235
-50.0,50,90.334532
-50.0,50,92.848392
-50.0,50,95.388595
-50.0,50,97.907317
-50.0,50,100.409271
-50.0,50,103.023572
-50.0,50,105.510552
-50.0,50,108.081753
-50.0,50,110.60722
-50.0,50,113.174779
-50.0,50,115.731549
-50.0,50,118.291459
-50.0,50,120.789487
-50.0,50,123.303001
-50.0,50,125.84989
-50.0,50,128.362733
-50.0,50,130.900886
-50.0,50,133.490354
-50.0,50,133.882195
-50.0,50,134.27406
-50.0,50,134.656567
-50.0,50,135.043454
-50.0,50,135.436716
-50.0,50,135.823583
-50.0,50,136.195909
-50.0,50,136.544206
-50.0,50,136.926242
-50.0,50,137.429978
-50.0,50,139.951802
-50.0,50,142.534849
-50.0,50,145.061933
-50.0,50,147.569498
-50.0,50,150.124883
-50.0,50,152.695559
-50.0,50,155.185318
-50.0,50,157.723298
-50.0,50,160.32385
-50.0,50,162.874445
-50.0,50,165.39692
-50.0,50,167.947373
0.0,50,170.499126
0.0,50,173.006145
-50.0,50,175.559659
-50.0,50,178.073998
-50.0,50,180.636082
-50.0,50,183.154888
-50.0,50,185.796654
-50.0,50,188.320472
-50.0,50,190.852751
0.0,50,193.374756
-50.0,50,195.928586
-50.0,50,198.470883
-50.0,50,201.029951
0.0,50,203.583709
-50.0,50,206.092065
-50.0,50,208.641785
-50.0,50,211.169278
-50.0,50,213.717157
-50.0,50,216.262411
-50.0,50,218.794291
-50.0,50,221.372496
-50.0,50,223.918498
-50.0,50,226.454377
-50.0,50,229.002379
-50.0,50,231.543221
-50.0,50,234.083748
-50.0,50,236.589659
-50.0,50,239.164417
-50.0,50,241.679382
-50.0,50,244.221683
-50.0,50,246.789017
-50.0,50,249.37267
-50.0,50,251.888978
-50.0,50,254.462831
-50.0,50,256.991924
-50.0,50,259.54113
-50.0,50,262.073393
-50.0,50,264.6082
-50.0,50,264.986871
-50.0,50,265.366768
-50.0,50,265.756299
-50.0,50,266.150502
-50.0,50,266.543356
-50.0,50,266.980426
-50.0,50,267.39663
0.0,50,267.799717
-50.0,50,268.202875
-50.0,50,268.624587
-50.0,50,271.188516
-50.0,50,273.743541
-50.0,50,276.298978
-50.0,50,278.825534
-50.0,50,281.404306
-50.0,50,283.942779
-50.0,50,286.49937
-50.0,50,289.033224
-50.0,50,291.61535
-50.0,50,294.147751
-50.0,50,296.694059
-50.0,50,299.279926
-50.0,50,301.817132
-50.0,50,304.363885
-50.0,50,306.874043
-50.0,50,309.425323
-50.0,50,311.988151
-50.0,50,314.526249
-50.0,50,317.061123
-50.0,50,319.611538
-50.0,50,322.135238
-50.0,50,324.676069
-50.0,50,327.215952
-50.0,50,329.744586
-50.0,50,332.332785
-50.0,50,334.851101
-50.0,50,337.460347
-50.0,50,339.999905
-50.0,50,342.545192
-50.0,50,345.075948
-50.0,50,347.598852
-50.0,50,350.173855
-50.0,50,352.700999
-50.0,50,355.282036
-50.0,50,357.861246
-50.0,50,360.409004
-50.0,50,362.979173
-50.0,50,365.537648
-50.0,50,368.069708
-50.0,50,370.621423
-50.0,50,373.203476
-50.0,50,375.756829
-50.0,50,378.365719
0.0,50,380.895289
-50.0,50,383.467671
-50.0,50,385.993388
-50.0,50,388.545271
-50.0,50,391.103019
0.0,50,393.665062
-50.0,50,396.196771
-50.0,50,396.574778
-50.0,50,396.959615
-50.0,50,397.34651
-50.0,50,397.724347
-50.0,50,398.094909
-50.0,50,398.480281
0.0,50,398.879506
-50.0,50,399.242421
-50.0,50,399.625346
