# {"env_id": "FetchPickAndPlaceball-v1", "t_start": 1580822449.6013815} 
r,l,t
-50.0,50,7.544225
0.0,50,10.267687
-50.0,50,12.8219
-50.0,50,15.333207
-50.0,50,17.824919
-50.0,50,20.363171
-50.0,50,22.869342
-50.0,50,25.396124
-50.0,50,27.92136
-50.0,50,30.430381
-50.0,50,32.932551
0.0,50,35.457884
-50.0,50,38.018794
-50.0,50,40.566798
-50.0,50,43.079382
-50.0,50,45.589537
-50.0,50,48.117786
-50.0,50,50.634362
-50.0,50,53.226224
-50.0,50,55.807951
-50.0,50,58.36323
-50.0,50,60.852791
-50.0,50,63.419076
-50.0,50,65.963953
-50.0,50,68.476307
-50.0,50,71.001809
-50.0,50,73.534253
-50.0,50,76.066802
-50.0,50,78.569068
-50.0,50,81.144103
-50.0,50,83.64628
-50.0,50,86.21042
-50.0,50,88.741116
-50.0,50,91.259992
-50.0,50,93.784991
-50.0,50,96.278691
-50.0,50,98.829002
-50.0,50,101.358072
-50.0,50,103.886031
-50.0,50,106.443256
0.0,50,108.993451
-50.0,50,111.53727
-50.0,50,114.11748
-50.0,50,116.658404
0.0,50,119.182801
-50.0,50,121.666656
-50.0,50,124.217317
-50.0,50,126.746462
-50.0,50,129.260425
-50.0,50,131.837703
-50.0,50,134.384888
-50.0,50,134.750092
-50.0,50,135.123828
-50.0,50,135.499992
0.0,50,135.872276
-50.0,50,136.284075
-50.0,50,136.673845
-50.0,50,137.0496
-50.0,50,137.42742
-50.0,50,137.80762
-50.0,50,138.329364
-50.0,50,140.910212
-50.0,50,143.424594
-50.0,50,145.982544
-50.0,50,148.510815
-50.0,50,151.033267
-50.0,50,153.621882
-50.0,50,156.104939
-50.0,50,158.653582
-50.0,50,161.16989
-50.0,50,163.754367
-50.0,50,166.324017
-50.0,50,168.870111
-50.0,50,171.397137
-50.0,50,173.910756
-50.0,50,176.452469
-50.0,50,179.004858
-50.0,50,181.568162
-50.0,50,184.062976
0.0,50,186.629577
-50.0,50,189.242207
-50.0,50,191.756866
-50.0,50,194.297919
-50.0,50,196.849262
-50.0,50,199.38561
-50.0,50,201.912246
-50.0,50,204.471713
-50.0,50,206.984719
-50.0,50,209.563338
-50.0,50,212.077912
0.0,50,214.638928
0.0,50,217.189141
-50.0,50,219.740674
-50.0,50,222.287858
-50.0,50,224.820896
-50.0,50,227.363805
-50.0,50,229.925016
-50.0,50,232.452095
-50.0,50,234.996677
-50.0,50,237.49653
-50.0,50,240.088573
-50.0,50,242.608546
-50.0,50,245.140737
-50.0,50,247.695326
-50.0,50,250.26304
-50.0,50,252.788285
-50.0,50,255.368145
-50.0,50,257.909116
-50.0,50,260.430717
0.0,50,262.9289
-50.0,50,265.489721
0.0,50,265.883762
-50.0,50,266.2769
-50.0,50,266.658114
-50.0,50,267.021385
-50.0,50,267.407246
0.0,50,267.806355
-50.0,50,268.188795
-50.0,50,268.566504
-50.0,50,268.960118
-50.0,50,269.560027
-50.0,50,272.106797
-50.0,50,274.668325
-50.0,50,277.21049
-50.0,50,279.770312
-50.0,50,282.316458
-50.0,50,284.838553
-50.0,50,287.386139
-50.0,50,289.935625
-50.0,50,292.510527
-50.0,50,295.063072
-50.0,50,297.600795
-50.0,50,300.161233
-50.0,50,302.733223
-50.0,50,305.288811
0.0,50,307.774053
-50.0,50,310.321301
-50.0,50,312.891104
-50.0,50,315.449694
-50.0,50,317.96582
-50.0,50,320.530853
-50.0,50,323.053819
-50.0,50,325.561776
-50.0,50,328.130494
-50.0,50,330.682551
-50.0,50,333.213522
-50.0,50,335.751957
-50.0,50,338.341901
-50.0,50,340.845602
-50.0,50,343.47323
-50.0,50,346.000175
-50.0,50,348.495013
-50.0,50,351.08095
-50.0,50,353.631651
-50.0,50,356.213762
-50.0,50,358.791344
-50.0,50,361.300068
-50.0,50,363.879507
-50.0,50,366.426984
-50.0,50,369.029752
-50.0,50,371.571302
-50.0,50,374.119469
-50.0,50,376.665957
-50.0,50,379.219363
-50.0,50,381.799116
-50.0,50,384.351747
-50.0,50,386.919133
-50.0,50,389.465365
-50.0,50,392.051307
-50.0,50,394.55288
-50.0,50,397.101838
-50.0,50,397.483052
-50.0,50,397.863218
-50.0,50,398.280057
-50.0,50,398.680966
-50.0,50,399.100165
-50.0,50,399.49992
-50.0,50,399.884361
-50.0,50,400.258954
-50.0,50,400.669801
-50.0,50,401.084044
-50.0,50,403.67338
-50.0,50,406.181202
-50.0,50,408.741381
-50.0,50,411.294528
-50.0,50,413.857151
-50.0,50,416.445325
-50.0,50,418.963949
-50.0,50,421.503027
-50.0,50,424.069232
-50.0,50,426.592118
-50.0,50,429.149706
-50.0,50,431.743365
-50.0,50,434.295049
-50.0,50,436.823457
-50.0,50,439.338488
-50.0,50,441.939042
-50.0,50,444.457637
-50.0,50,447.04698
-50.0,50,449.561778
0.0,50,452.117418
-50.0,50,454.693027
-50.0,50,457.222931
-50.0,50,459.835272
-50.0,50,462.3711
-50.0,50,464.908192
-50.0,50,467.489977
-50.0,50,470.014097
-50.0,50,472.630936
-50.0,50,475.160708
-50.0,50,477.679226
-50.0,50,480.244474
-50.0,50,482.799911
-50.0,50,485.367183
-50.0,50,487.904623
-50.0,50,490.468695
-50.0,50,493.030393
-50.0,50,495.652144
-50.0,50,498.163034
0.0,50,500.696455
-50.0,50,503.219824
-50.0,50,505.772566
-50.0,50,508.331767
-50.0,50,510.863069
-50.0,50,513.39823
-50.0,50,515.911602
-50.0,50,518.490203
-50.0,50,521.011769
-50.0,50,523.536266
-50.0,50,526.113068
-50.0,50,528.63377
-50.0,50,529.025944
-50.0,50,529.40863
-50.0,50,529.788057
-50.0,50,530.165531
-50.0,50,530.605645
-50.0,50,530.973983
-50.0,50,531.360443
-50.0,50,531.764123
-50.0,50,532.145748
