epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.84434825,0.093154274,0.20412186,0.049081612,20.0,-2.9046874,0.02500000037252903,100.0,0.038999999314546584
1,0.84507596,0.09281383,0.20406096,0.05283792,40.0,-4.679101,0.06999999918043613,200.0,0.043999996
2,0.8453471,0.09295827,0.20392439,0.05468796,60.0,-6.6726875,0.05000000149011612,300.0,0.047
3,0.8453895,0.093990535,0.20403905,0.057478,80.0,-8.796171,0.015000000223517418,400.0,0.035
4,0.8455142,0.0949096,0.20414564,0.062305592,100.0,-10.269484,0.05000000149011612,500.0,0.041999996
5,0.84554386,0.09621007,0.20409778,0.068245165,120.0,-11.983541,0.055000001937150954,600.0,0.0369999997317791
6,0.8455181,0.098315395,0.20414951,0.07452038,140.0,-13.431208,0.04500000067055225,700.0,0.048
7,0.8451502,0.10041509,0.20390621,0.082592726,160.0,-14.01903,0.0600000012665987,800.0,0.060000002
8,0.8454529,0.10152831,0.20389351,0.08853231,180.0,-14.293854,0.11000000052154064,900.0,0.069
9,0.84526443,0.1026755,0.20370631,0.09457831,200.0,-15.101871,0.125,1000.0,0.122
10,0.8451306,0.10321417,0.20354371,0.10106622,220.0,-14.238335,0.22999999,1100.0,0.149
11,0.84511185,0.10347899,0.20344332,0.10631833,240.0,-12.762081,0.365,1200.0,0.222
12,0.8450775,0.10338036,0.20338278,0.1105329,260.0,-13.095001,0.38,1300.0,0.284
13,0.84536207,0.10335866,0.20353122,0.11464433,280.0,-14.144403,0.41500002,1400.0,0.32600003
14,0.8455073,0.103275634,0.20352957,0.117978714,300.0,-11.173046,0.58500004,1500.0,0.385
15,0.8453541,0.10315845,0.2035398,0.120663166,320.0,-13.419299,0.48000002,1600.0,0.391
16,0.84536314,0.103107035,0.20358738,0.12365923,340.0,-12.16009,0.52,1700.0,0.44100004
17,0.84542274,0.103194036,0.2037133,0.12629724,360.0,-12.868991,0.525,1800.0,0.41500002
18,0.84552944,0.10292909,0.20371649,0.12909982,380.0,-13.618265,0.49500003,1900.0,0.443
19,0.8454011,0.103037894,0.20374238,0.13137805,400.0,-12.945827,0.53000003,2000.0,0.444
20,0.8454002,0.10299313,0.20378205,0.13323183,420.0,-13.145538,0.565,2100.0,0.45700002
21,0.84542686,0.10303376,0.20384148,0.13485052,440.0,-11.7640915,0.63,2200.0,0.467
22,0.84555805,0.1032087,0.20391163,0.13642207,460.0,-10.616043,0.59,2300.0,0.46199998
23,0.84563017,0.103317164,0.20402983,0.13802461,480.0,-9.985102,0.61,2400.0,0.473
24,0.8456933,0.10352149,0.2039245,0.1395243,500.0,-9.5602,0.65500003,2500.0,0.477
25,0.8458514,0.10366126,0.2040759,0.14085957,520.0,-8.943131,0.78499997,2600.0,0.514
26,0.84585035,0.103706,0.2041451,0.14235441,540.0,-8.925955,0.78000003,2700.0,0.50699997
27,0.84587777,0.103783704,0.20421152,0.14389315,560.0,-8.680922,0.73999995,2800.0,0.49700004
28,0.8459031,0.103927694,0.20431027,0.14534491,580.0,-8.482153,0.77,2900.0,0.522
29,0.84593505,0.10395616,0.20435563,0.14657554,600.0,-7.9754744,0.81000006,3000.0,0.563
30,0.8459611,0.104085326,0.2044371,0.1475354,620.0,-8.476706,0.81000006,3100.0,0.55
31,0.8459883,0.10408644,0.2044826,0.148352,640.0,-7.407594,0.83000004,3200.0,0.544
32,0.84599954,0.104381286,0.20454523,0.14921111,660.0,-6.503347,0.81000006,3300.0,0.53599995
33,0.8460185,0.10463871,0.20456743,0.15010324,680.0,-5.3423862,0.875,3400.0,0.529
34,0.8461706,0.104803704,0.20468923,0.15096216,700.0,-6.482965,0.8,3500.0,0.51899993
35,0.8462413,0.104952656,0.20486307,0.15169619,720.0,-5.9618683,0.85,3600.0,0.545
36,0.8463963,0.10509534,0.20494862,0.1524158,740.0,-6.5420427,0.8,3700.0,0.554
37,0.8465096,0.10519332,0.20502524,0.1530292,760.0,-5.04083,0.88500005,3800.0,0.571
38,0.8465303,0.105351366,0.20509931,0.15355568,780.0,-5.7422204,0.88,3900.0,0.54300004
39,0.8466493,0.105464496,0.20522213,0.15406436,800.0,-4.8050475,0.86500007,4000.0,0.561
40,0.8467776,0.10552368,0.20524414,0.15455776,820.0,-4.8333435,0.875,4100.0,0.57799995
41,0.8469613,0.10564194,0.20534332,0.1549456,840.0,-3.8069825,0.86499995,4200.0,0.548
42,0.8471214,0.10576309,0.20544896,0.15528329,860.0,-3.8849938,0.9,4300.0,0.5429999
43,0.84718215,0.10584261,0.20547792,0.15566292,880.0,-3.6800594,0.925,4400.0,0.52599996
44,0.847309,0.10598463,0.2054989,0.15595967,900.0,-4.056,0.89,4500.0,0.55799997
45,0.8474325,0.10607121,0.2055639,0.15643568,920.0,-3.21213,0.89,4600.0,0.53599995
46,0.8474749,0.106107295,0.20556423,0.15681335,940.0,-2.6712763,0.90500003,4700.0,0.551
47,0.8475264,0.106225155,0.20557687,0.15729001,960.0,-3.5717869,0.88500005,4800.0,0.53499997
48,0.8475925,0.10620465,0.20562693,0.15770039,980.0,-3.2454674,0.91,4900.0,0.543
49,0.84769267,0.10629593,0.20567957,0.15804219,1000.0,-2.0686803,0.89,5000.0,0.523
