# {"env_id": "FetchPush-v1", "t_start": 1581447373.0918977} 
r,l,t
-50.0,50,9.022565
-50.0,50,13.031788
-50.0,50,16.591554
-50.0,50,20.207405
-50.0,50,23.802708
-50.0,50,27.413091
-50.0,50,30.97245
0.0,50,34.603868
-50.0,50,38.162211
-50.0,50,41.797797
-50.0,50,45.391346
-50.0,50,49.049926
-50.0,50,52.629815
-50.0,50,56.236654
0.0,50,59.837007
-50.0,50,63.39758
-50.0,50,67.083922
-50.0,50,70.609791
-50.0,50,74.277838
-50.0,50,77.852308
-50.0,50,81.538646
-50.0,50,85.173972
-50.0,50,88.654696
-50.0,50,92.382984
-50.0,50,95.965539
-50.0,50,99.681855
-50.0,50,103.338994
-50.0,50,106.895308
-50.0,50,110.398396
-50.0,50,114.016321
-50.0,50,117.680308
0.0,50,120.715154
0.0,50,123.526322
-50.0,50,126.403123
-50.0,50,129.102729
-50.0,50,131.735735
-50.0,50,134.351088
-50.0,50,136.932643
-50.0,50,139.569588
-50.0,50,142.192233
-50.0,50,144.762419
-50.0,50,147.356251
-50.0,50,149.982756
0.0,50,152.534282
-50.0,50,155.153362
-50.0,50,157.751781
-50.0,50,160.351251
-50.0,50,162.93608
-50.0,50,165.54686
-50.0,50,168.224905
-50.0,50,170.841747
-50.0,50,171.32561
-50.0,50,171.750888
-50.0,50,172.201511
0.0,50,172.657858
0.0,50,173.096499
-50.0,50,173.537832
-50.0,50,174.025907
-50.0,50,174.449968
0.0,50,174.908227
-50.0,50,175.492583
-50.0,50,178.200892
-50.0,50,180.759655
-50.0,50,183.391997
0.0,50,186.042339
-50.0,50,188.589682
-50.0,50,191.21848
-50.0,50,193.819233
-50.0,50,196.386652
-50.0,50,199.004171
0.0,50,201.572338
-50.0,50,204.205936
-50.0,50,206.806032
-5.0,50,209.425935
-50.0,50,212.027513
-50.0,50,214.628996
-50.0,50,217.233677
-50.0,50,219.820097
-50.0,50,222.466275
0.0,50,225.061603
-50.0,50,227.670119
-50.0,50,230.332987
-50.0,50,232.959362
-50.0,50,235.604302
-50.0,50,238.17799
-50.0,50,240.793539
-50.0,50,243.422551
-50.0,50,246.023578
-50.0,50,248.656469
-50.0,50,251.251623
-50.0,50,253.911708
-50.0,50,256.517368
-50.0,50,259.06183
-50.0,50,261.72591
-50.0,50,264.340972
-50.0,50,266.936967
0.0,50,269.590548
-50.0,50,272.140416
-50.0,50,274.767345
-50.0,50,277.462749
-50.0,50,280.280106
-50.0,50,283.148963
-50.0,50,285.91822
-50.0,50,288.542401
-50.0,50,291.284914
-50.0,50,294.463659
