# {"t_start": 1581447375.5439258, "env_id": "FetchPush-v1"} 
r,l,t
-50.0,50,6.596925
0.0,50,10.528232
-50.0,50,14.116947
-50.0,50,17.777385
-50.0,50,21.368047
-50.0,50,24.989651
-50.0,50,28.514237
-50.0,50,32.142537
-50.0,50,35.724616
0.0,50,39.333254
-50.0,50,42.992311
-50.0,50,46.61761
-50.0,50,50.201936
-15.0,50,53.755613
-50.0,50,57.358212
-50.0,50,60.959777
0.0,50,64.642805
-50.0,50,68.19246
-50.0,50,71.809705
-50.0,50,75.375082
-50.0,50,79.051627
-50.0,50,82.682306
-50.0,50,86.284382
-50.0,50,89.963478
0.0,50,93.592855
-50.0,50,97.179539
-50.0,50,100.882057
-50.0,50,104.425443
-50.0,50,107.982
-50.0,50,111.546421
-50.0,50,115.233052
-50.0,50,118.256228
-50.0,50,121.066956
-50.0,50,123.966458
-50.0,50,126.654269
-50.0,50,129.303645
-50.0,50,131.919537
-50.0,50,134.496913
-50.0,50,137.121846
0.0,50,139.693033
-50.0,50,142.298247
-50.0,50,144.921654
-50.0,50,147.492603
-50.0,50,150.11851
-50.0,50,152.6714
-50.0,50,155.306676
-50.0,50,157.910249
-50.0,50,160.482208
-50.0,50,163.099187
-50.0,50,165.739869
0.0,50,168.376132
-50.0,50,168.825261
-50.0,50,169.320807
-50.0,50,169.805738
-50.0,50,170.249248
0.0,50,170.733212
-50.0,50,171.193224
-50.0,50,171.610732
-50.0,50,172.037184
-50.0,50,172.46824
-50.0,50,173.019436
-50.0,50,175.71394
-50.0,50,178.304689
-50.0,50,180.920281
-50.0,50,183.54762
-50.0,50,186.172963
-50.0,50,188.708923
-50.0,50,191.337006
-50.0,50,193.950267
-50.0,50,196.542765
-50.0,50,199.183094
-50.0,50,201.78717
0.0,50,204.379468
-50.0,50,206.96938
0.0,50,209.566859
0.0,50,212.135506
-50.0,50,214.785834
-50.0,50,217.39247
0.0,50,220.007771
-50.0,50,222.596676
-50.0,50,225.2348
-50.0,50,227.888592
-50.0,50,230.502781
0.0,50,233.143337
-50.0,50,235.738095
-50.0,50,238.332108
-50.0,50,240.957301
-50.0,50,243.594905
-50.0,50,246.203467
0.0,50,248.781763
-50.0,50,251.417681
-50.0,50,254.038875
-50.0,50,256.632945
-50.0,50,259.259501
-50.0,50,261.875785
-50.0,50,264.501639
-50.0,50,267.102733
-50.0,50,269.735692
-50.0,50,272.399045
-50.0,50,274.977302
-50.0,50,277.82504
-50.0,50,280.700836
-50.0,50,283.461074
-50.0,50,286.086281
0.0,50,288.855895
-50.0,50,292.006924
-50.0,50,295.053297
-50.0,50,297.968175
-50.0,50,300.91858
-50.0,50,303.907082
-50.0,50,306.774705
-50.0,50,307.242635
-50.0,50,307.699744
-50.0,50,308.182616
-50.0,50,308.625448
-50.0,50,309.097195
-50.0,50,309.582883
-50.0,50,310.069465
-50.0,50,310.600248
0.0,50,311.088097
-50.0,50,311.765166
-50.0,50,314.595546
-50.0,50,317.263856
-50.0,50,319.937714
-13.0,50,322.625396
-50.0,50,325.347535
0.0,50,327.938798
-50.0,50,330.780922
-50.0,50,333.487034
-50.0,50,336.145715
-50.0,50,338.791233
-50.0,50,341.393022
-50.0,50,344.089509
-50.0,50,346.772901
-50.0,50,349.60489
-50.0,50,352.401469
-50.0,50,355.032541
-50.0,50,357.968341
-50.0,50,361.924037
0.0,50,365.565025
-50.0,50,368.982993
-50.0,50,372.65855
-50.0,50,376.001711
-50.0,50,379.643021
-50.0,50,383.291742
-25.0,50,386.894541
-50.0,50,390.504572
-50.0,50,394.075028
-50.0,50,397.665482
-50.0,50,401.322896
-50.0,50,404.880506
-50.0,50,408.535864
-50.0,50,412.126028
-50.0,50,415.778464
-50.0,50,419.353597
0.0,50,422.933436
0.0,50,426.603575
-50.0,50,430.16029
0.0,50,433.777807
-50.0,50,437.320989
0.0,50,440.861003
-50.0,50,444.52367
-50.0,50,448.136742
-50.0,50,451.669237
-50.0,50,455.232143
0.0,50,458.814253
-50.0,50,462.105003
-50.0,50,465.717763
-50.0,50,469.298955
-50.0,50,472.917741
-50.0,50,476.610898
-50.0,50,477.129392
-50.0,50,477.688444
-50.0,50,478.194926
-50.0,50,478.804186
-50.0,50,479.347371
-50.0,50,479.870281
-50.0,50,480.42101
-50.0,50,480.940155
-50.0,50,481.471611
-50.0,50,482.017677
-50.0,50,485.674493
-50.0,50,489.213216
-50.0,50,492.343217
-50.0,50,495.059645
-50.0,50,497.819177
0.0,50,500.453672
-50.0,50,503.227036
-36.0,50,505.890832
-50.0,50,508.763274
-50.0,50,511.559208
-50.0,50,514.235422
-50.0,50,516.948166
-50.0,50,519.599213
-50.0,50,522.372728
-50.0,50,525.125585
-50.0,50,527.695916
-50.0,50,530.316559
-50.0,50,532.917646
-50.0,50,535.471472
-50.0,50,538.037766
-50.0,50,540.688077
-50.0,50,543.269553
-50.0,50,545.860491
-50.0,50,548.439531
-50.0,50,551.062864
-50.0,50,553.648889
-50.0,50,556.218816
-50.0,50,558.831406
-50.0,50,561.408036
-50.0,50,564.004271
-50.0,50,566.586738
-50.0,50,569.162879
0.0,50,571.76224
-50.0,50,574.33937
-50.0,50,576.938893
-50.0,50,579.515237
-50.0,50,582.106472
-50.0,50,584.701599
-50.0,50,587.289799
-50.0,50,589.911484
0.0,50,592.53211
