epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.83924484,0.07077917,0.20158708,0.047315225,20.0,-2.6669323,0.08500000201165676,100.0,0.073
1,0.8398172,0.07030042,0.20184132,0.046126146,40.0,-4.8127446,0.05500000081956387,200.0,0.063
2,0.8405679,0.070543185,0.20197411,0.04670246,60.0,-6.781453,0.055000001564621925,300.0,0.078
3,0.84052706,0.071907714,0.20191221,0.047855183,80.0,-8.446235,0.08000000081956386,400.0,0.075
4,0.8403118,0.07330375,0.20186874,0.04947588,100.0,-9.750397,0.10499999970197678,500.0,0.092
5,0.84015876,0.07340929,0.20184782,0.05074035,120.0,-10.498011,0.16999999582767486,600.0,0.103999995
6,0.84029454,0.074418314,0.2019635,0.05295363,140.0,-11.568173,0.215,700.0,0.148
7,0.8406435,0.075213425,0.20207608,0.055797137,160.0,-11.099116,0.33,800.0,0.23499998
8,0.8407551,0.075530075,0.20210907,0.059462756,180.0,-6.9347954,0.625,900.0,0.393
9,0.84071094,0.07553681,0.20204642,0.065045804,200.0,-4.8768506,0.765,1000.0,0.631
10,0.84053963,0.07514133,0.20222464,0.070961714,220.0,-1.981252,0.90500003,1100.0,0.791
11,0.8405997,0.07491668,0.20210478,0.075853415,240.0,-1.5847099,0.95,1200.0,0.85700005
12,0.84062254,0.07444289,0.20212717,0.07963943,260.0,-1.233565,0.995,1300.0,0.91499996
13,0.8406727,0.074410506,0.20217745,0.08249158,280.0,-1.2693732,0.98499995,1400.0,0.926
14,0.8406828,0.074124984,0.2023725,0.08478417,300.0,-1.217395,0.98999995,1500.0,0.926
15,0.8406844,0.07377166,0.20250244,0.08703238,320.0,-1.2147042,0.995,1600.0,0.939
16,0.84060687,0.07363858,0.20263347,0.08868285,340.0,-1.0733324,1.0,1700.0,0.939
17,0.84064037,0.07340519,0.20275071,0.089935884,360.0,-1.1241591,1.0,1800.0,0.94500005
18,0.8405657,0.073259346,0.20273228,0.09129321,380.0,-1.0370591,0.995,1900.0,0.95
19,0.8405531,0.07302558,0.20275977,0.09251025,400.0,-1.0142937,0.995,2000.0,0.95500004
20,0.84062946,0.07277871,0.20278542,0.09334448,420.0,-1.0375899,0.995,2100.0,0.945
21,0.84066886,0.0725484,0.20291698,0.0941523,440.0,-1.2740963,0.995,2200.0,0.9570001
22,0.84063303,0.07245392,0.20295624,0.09475791,460.0,-1.0563956,1.0,2300.0,0.9480001
23,0.8407024,0.07239843,0.20303604,0.0954061,480.0,-1.0484517,0.995,2400.0,0.95199996
24,0.840713,0.072215185,0.20305637,0.096182644,500.0,-1.0230453,0.995,2500.0,0.95300007
25,0.84065163,0.072085,0.20308149,0.09686437,520.0,-1.0466472,1.0,2600.0,0.95600003
26,0.84067327,0.07212505,0.20312443,0.097580165,540.0,-0.9600779,1.0,2700.0,0.945
27,0.8406231,0.07210877,0.20309022,0.098098844,560.0,-0.9954559,1.0,2800.0,0.9480001
28,0.8405833,0.07204311,0.2030826,0.09846265,580.0,-1.2975321,0.98,2900.0,0.952
29,0.84052944,0.071856655,0.20308849,0.098683424,600.0,-0.96094626,1.0,3000.0,0.9620001
30,0.8405264,0.07175263,0.20311251,0.099112295,620.0,-1.0032469,1.0,3100.0,0.949
31,0.84054756,0.07179386,0.20315516,0.099704765,640.0,-0.98390836,0.995,3200.0,0.94799995
32,0.84050226,0.07164258,0.20316263,0.10009943,660.0,-1.2222898,0.98999995,3300.0,0.952
33,0.8404524,0.071613915,0.20319483,0.10046271,680.0,-0.90918577,1.0,3400.0,0.958
34,0.84053004,0.07152706,0.20323214,0.10075071,700.0,-1.0355117,0.995,3500.0,0.95299995
35,0.84055126,0.07135804,0.20322433,0.10096576,720.0,-1.1024638,0.995,3600.0,0.95500004
36,0.84049,0.07126183,0.20323321,0.10138063,740.0,-1.0909342,0.995,3700.0,0.96000004
37,0.84051734,0.07120356,0.20324989,0.10157031,760.0,-0.9835243,1.0,3800.0,0.95100003
38,0.84049875,0.071182355,0.20324998,0.10176213,780.0,-0.928435,1.0,3900.0,0.9610001
39,0.8404454,0.07116071,0.20319565,0.1020851,800.0,-0.96288955,0.995,4000.0,0.945
40,0.84046376,0.071094096,0.20325403,0.10237131,820.0,-1.0934908,0.98499995,4100.0,0.954
41,0.8404711,0.07096858,0.2032952,0.10247977,840.0,-0.9804553,1.0,4200.0,0.952
42,0.8404294,0.07089642,0.20329423,0.10261832,860.0,-0.97838306,1.0,4300.0,0.947
43,0.84043485,0.070848376,0.20329013,0.10283357,880.0,-0.9521357,1.0,4400.0,0.945
44,0.84044325,0.070755206,0.20331538,0.10309981,900.0,-0.99941236,0.995,4500.0,0.96099997
45,0.8405194,0.07074668,0.20332603,0.10328559,920.0,-0.9902399,1.0,4600.0,0.945
46,0.8404907,0.07067228,0.20332703,0.10338374,940.0,-0.9671879,0.995,4700.0,0.95299995
47,0.8403862,0.07060945,0.20329864,0.10352983,960.0,-0.9942173,0.995,4800.0,0.959
48,0.84040546,0.07061006,0.20331259,0.103778504,980.0,-0.94076836,0.995,4900.0,0.95500004
49,0.8403753,0.07053113,0.20332022,0.103918925,1000.0,-1.0511186,0.985,5000.0,0.95500004
