# {"t_start": 1580320412.0825076, "env_id": "FetchReach-v1"} 
r,l,t
-50.0,50,11.707147
-50.0,50,15.317384
-50.0,50,19.441722
-6.0,50,21.957319
-19.0,50,24.504513
-50.0,50,28.302114
-5.0,50,30.844723
-50.0,50,33.304191
-50.0,50,36.791209
-50.0,50,40.825837
-50.0,50,43.335266
-39.0,50,43.72105
-9.0,50,44.081047
-24.0,50,44.453685
-50.0,50,44.826682
-3.0,50,45.168079
-50.0,50,45.518838
-26.0,50,46.594305
-5.0,50,47.66884
-1.0,50,48.042476
-50.0,50,48.5255
-13.0,50,51.00352
-10.0,50,53.479032
-29.0,50,55.957448
-26.0,50,58.458385
-6.0,50,60.951122
-45.0,50,63.461921
-45.0,50,65.988762
-13.0,50,68.529003
-4.0,50,72.677027
-50.0,50,77.215598
-16.0,50,77.588278
-4.0,50,77.971402
-50.0,50,78.312195
-5.0,50,78.664407
0.0,50,79.034605
-20.0,50,79.379748
-21.0,50,79.760896
-23.0,50,80.130032
-9.0,50,81.317815
-20.0,50,82.918828
-32.0,50,86.147734
-7.0,50,89.576331
-14.0,50,92.497704
-14.0,50,94.995996
-11.0,50,97.646315
-30.0,50,102.391133
-10.0,50,104.864889
-10.0,50,107.381326
-19.0,50,109.919438
-13.0,50,114.878658
-5.0,50,115.277973
-10.0,50,115.644839
-1.0,50,115.989248
-10.0,50,116.368847
-5.0,50,116.716203
-28.0,50,117.086172
-19.0,50,117.43109
-25.0,50,117.806702
0.0,50,118.144158
-50.0,50,118.594225
-11.0,50,123.466541
-22.0,50,125.938345
-37.0,50,128.395894
-7.0,50,130.913897
-5.0,50,133.37166
-8.0,50,137.476739
-13.0,50,140.983086
-23.0,50,143.487008
-9.0,50,146.011913
0.0,50,148.559912
-2.0,50,148.912765
-10.0,50,149.285631
-7.0,50,149.650183
-1.0,50,149.996363
0.0,50,150.360117
-7.0,50,150.709055
-8.0,50,151.082968
-6.0,50,151.5059
-3.0,50,151.854011
-8.0,50,152.309304
-11.0,50,156.010019
-22.0,50,158.618891
-16.0,50,161.132453
-11.0,50,163.772855
-14.0,50,166.239096
-23.0,50,168.799013
-17.0,50,173.835708
-20.0,50,176.36869
-30.0,50,180.601632
-11.0,50,183.893605
-3.0,50,184.303705
-1.0,50,184.692109
0.0,50,185.061876
-3.0,50,185.423929
-2.0,50,185.793183
0.0,50,186.476042
0.0,50,187.642027
-2.0,50,188.9755
-2.0,50,190.101555
-17.0,50,190.579167
-22.0,50,193.155661
-25.0,50,195.65864
-13.0,50,198.153254
-11.0,50,202.82358
-7.0,50,205.638298
-50.0,50,210.673805
-12.0,50,213.27312
-17.0,50,215.745821
-17.0,50,219.46547
0.0,50,221.969537
-2.0,50,222.308331
-1.0,50,222.681123
-2.0,50,223.040448
-2.0,50,223.444668
-2.0,50,223.802594
-2.0,50,224.208952
-1.0,50,224.573259
-3.0,50,224.943875
-3.0,50,225.317877
-13.0,50,225.712904
-14.0,50,230.644407
-14.0,50,233.190376
-32.0,50,238.154779
-8.0,50,240.721697
-8.0,50,243.222374
-9.0,50,246.935931
-12.0,50,250.840454
-12.0,50,253.384022
-22.0,50,258.245288
-1.0,50,260.781103
-1.0,50,261.135531
-1.0,50,261.510536
-2.0,50,261.868277
-5.0,50,262.276259
-3.0,50,262.641693
-2.0,50,263.00201
-2.0,50,263.379751
-2.0,50,264.211838
-3.0,50,265.405708
-25.0,50,267.045938
-15.0,50,269.856107
-21.0,50,272.340563
-9.0,50,275.286548
-14.0,50,279.341169
-18.0,50,281.83715
-10.0,50,284.339562
-23.0,50,289.295411
-11.0,50,291.881285
-17.0,50,294.368226
0.0,50,298.112122
-3.0,50,299.395206
-2.0,50,300.336643
-2.0,50,300.701912
-2.0,50,301.078963
0.0,50,301.417721
-3.0,50,301.789807
-1.0,50,302.15819
