# {"env_id": "FetchReach-v1", "t_start": 1580320415.169891} 
r,l,t
-50.0,50,8.59063
-32.0,50,12.267121
-49.0,50,16.379829
-48.0,50,18.886063
-48.0,50,21.394625
-50.0,50,25.231568
-16.0,50,27.74003
-3.0,50,30.237218
-50.0,50,33.680303
-8.0,50,37.767063
-50.0,50,40.256378
-50.0,50,40.598661
-50.0,50,40.94423
-1.0,50,41.307391
-50.0,50,41.669416
-50.0,50,42.011342
-50.0,50,42.366747
-1.0,50,43.32508
-50.0,50,44.504009
-50.0,50,44.848526
-50.0,50,45.42991
-3.0,50,47.898373
-26.0,50,50.404632
-22.0,50,52.901094
-6.0,50,55.339907
-50.0,50,57.849527
-50.0,50,60.370091
-27.0,50,62.888785
-7.0,50,65.459946
-10.0,50,69.586046
-12.0,50,74.161872
-4.0,50,74.503923
-50.0,50,74.8878
-1.0,50,75.253848
-19.0,50,75.62702
0.0,50,75.986004
-15.0,50,76.345036
-22.0,50,76.724565
-9.0,50,77.205784
0.0,50,78.360233
-26.0,50,79.861178
-50.0,50,83.082575
-13.0,50,86.531736
-11.0,50,89.402589
-50.0,50,91.910733
-19.0,50,94.594588
-21.0,50,99.314921
-12.0,50,101.747501
-12.0,50,104.303751
-18.0,50,106.82572
-6.0,50,111.813476
-1.0,50,112.18009
-11.0,50,112.521412
-6.0,50,112.902692
-10.0,50,113.289078
-15.0,50,113.661291
-14.0,50,114.033669
-9.0,50,114.396653
-11.0,50,114.788773
0.0,50,115.114681
-12.0,50,115.47285
-9.0,50,120.362045
-9.0,50,122.835458
-10.0,50,125.28555
-31.0,50,127.805575
-14.0,50,130.280258
-9.0,50,134.246504
-10.0,50,137.873445
-3.0,50,140.398921
-11.0,50,142.898579
-2.0,50,145.474968
-2.0,50,145.851179
-1.0,50,146.254931
-3.0,50,146.61326
-11.0,50,146.974156
-1.0,50,147.311481
-1.0,50,147.667943
-3.0,50,148.035862
-3.0,50,148.413275
-50.0,50,148.792134
-15.0,50,149.231092
-14.0,50,152.955256
-7.0,50,155.508278
-50.0,50,158.043123
-6.0,50,160.676745
-20.0,50,163.135239
-4.0,50,165.690577
-20.0,50,170.778784
-35.0,50,173.27711
-4.0,50,177.607452
-11.0,50,180.815613
0.0,50,181.159867
-2.0,50,181.514876
-2.0,50,181.90169
-1.0,50,182.301194
0.0,50,182.655465
-3.0,50,183.234921
-3.0,50,184.447013
-1.0,50,185.712495
-6.0,50,186.918589
-12.0,50,187.474466
-6.0,50,190.037926
-8.0,50,192.569247
-25.0,50,195.039504
-15.0,50,199.882182
-17.0,50,202.553304
-17.0,50,207.593405
-2.0,50,210.174161
-14.0,50,212.616803
-15.0,50,216.380859
-1.0,50,218.945251
-2.0,50,219.33806
0.0,50,219.675924
-2.0,50,220.052089
0.0,50,220.416314
0.0,50,220.792056
-2.0,50,221.167566
-1.0,50,221.543108
-2.0,50,221.911491
0.0,50,222.260318
-16.0,50,222.64079
-12.0,50,227.547737
-15.0,50,230.127767
-23.0,50,235.088726
-16.0,50,237.671139
-5.0,50,240.132288
-10.0,50,243.818893
-22.0,50,247.731079
-20.0,50,250.327316
-11.0,50,255.213116
-2.0,50,257.6798
-1.0,50,258.05424
-1.0,50,258.40007
-2.0,50,258.757627
-3.0,50,259.139117
-1.0,50,259.47613
-2.0,50,259.866868
0.0,50,260.223798
-1.0,50,260.91966
-3.0,50,262.14006
-9.0,50,263.853754
-9.0,50,266.781223
-13.0,50,269.274979
-14.0,50,272.169064
-11.0,50,276.241056
-10.0,50,278.721518
-17.0,50,281.293608
-15.0,50,286.227766
-6.0,50,288.765522
-9.0,50,291.305485
-3.0,50,295.207296
-3.0,50,296.345367
-2.0,50,297.301102
-3.0,50,297.687322
-2.0,50,298.042722
