# {"t_start": 1575548474.6907237, "env_id": "FetchSlide-v1"} 
r,l,t
-50.0,50,13.00579
-50.0,50,18.94882
-50.0,50,24.911279
-50.0,50,28.626892
-50.0,50,33.515048
-50.0,50,37.573107
-50.0,50,42.951627
-50.0,50,46.479383
-50.0,50,50.864307
-50.0,50,54.252499
-50.0,50,58.992636
-50.0,50,61.707486
-50.0,50,65.50997
-50.0,50,68.41454
-50.0,50,71.105685
-50.0,50,73.717704
-50.0,50,78.784288
-50.0,50,81.596174
-50.0,50,86.54891
-50.0,50,89.461092
-50.0,50,93.926137
-50.0,50,97.40468
-50.0,50,100.141212
-50.0,50,104.779939
-50.0,50,108.401336
-50.0,50,112.705195
-50.0,50,117.304357
-50.0,50,122.878614
-50.0,50,128.257428
-50.0,50,131.57859
-50.0,50,136.284973
-50.0,50,140.169206
-50.0,50,145.675876
-50.0,50,148.373855
-50.0,50,152.258287
-50.0,50,155.297022
-50.0,50,159.510629
-50.0,50,164.727746
-50.0,50,167.454834
-50.0,50,170.273362
-50.0,50,175.424014
-50.0,50,178.092366
-50.0,50,180.838831
-50.0,50,186.146637
-50.0,50,189.289932
-50.0,50,194.229591
-50.0,50,196.957036
-50.0,50,199.544391
-50.0,50,205.71665
-50.0,50,208.654296
-50.0,50,211.354852
-50.0,50,211.79463
-50.0,50,212.270434
-50.0,50,212.698574
-50.0,50,213.121534
-50.0,50,213.585847
-50.0,50,214.031424
-50.0,50,215.327862
-50.0,50,216.407394
-50.0,50,216.897274
-50.0,50,217.407866
-50.0,50,220.327446
-50.0,50,225.472919
-50.0,50,228.175515
-50.0,50,233.394293
-50.0,50,236.068425
-50.0,50,238.789758
-50.0,50,241.449212
-50.0,50,244.120663
-50.0,50,249.18412
-50.0,50,251.862536
-50.0,50,254.499278
-50.0,50,258.359936
-50.0,50,261.054311
-50.0,50,263.954698
-50.0,50,268.820389
-50.0,50,271.540685
-50.0,50,276.588318
-50.0,50,279.289169
-50.0,50,281.977767
-50.0,50,284.689959
-50.0,50,288.628289
-50.0,50,292.959158
-50.0,50,297.749776
-50.0,50,301.692953
-50.0,50,307.9279
-50.0,50,313.687671
-50.0,50,317.736966
-50.0,50,323.800425
-50.0,50,327.437922
-50.0,50,334.732299
-50.0,50,339.829123
-50.0,50,344.553521
-50.0,50,351.88595
-50.0,50,356.86705
-50.0,50,361.545943
-50.0,50,366.237885
-50.0,50,369.687507
-50.0,50,377.024239
-50.0,50,381.829843
-50.0,50,386.93525
-50.0,50,393.003354
-50.0,50,399.002372
-50.0,50,402.830085
-50.0,50,408.946931
-50.0,50,412.48928
-50.0,50,419.80395
-50.0,50,424.887131
-50.0,50,429.712466
-50.0,50,435.367004
-50.0,50,438.187759
-50.0,50,439.760289
-50.0,50,441.238425
-50.0,50,442.226178
-50.0,50,442.645969
-50.0,50,443.078203
-50.0,50,443.491899
-50.0,50,443.909119
-50.0,50,444.34418
-50.0,50,444.760277
-50.0,50,445.346426
-50.0,50,449.240135
-50.0,50,451.917139
-50.0,50,454.680493
-50.0,50,457.381302
-50.0,50,463.60784
-50.0,50,466.22877
-50.0,50,470.065633
-50.0,50,472.724245
-50.0,50,475.328617
-50.0,50,477.96254
-50.0,50,483.041745
-50.0,50,485.628617
-50.0,50,490.812965
-50.0,50,493.453161
-50.0,50,498.568581
-50.0,50,501.505564
-50.0,50,506.324859
-50.0,50,509.384442
-50.0,50,513.25752
-50.0,50,518.000642
-50.0,50,523.114504
-50.0,50,529.285261
-50.0,50,534.170497
-50.0,50,538.48979
-50.0,50,544.024367
-50.0,50,550.129302
-50.0,50,555.610706
-50.0,50,560.056877
-50.0,50,566.095548
-50.0,50,572.283695
-50.0,50,575.908781
-50.0,50,582.168214
-50.0,50,587.18844
-50.0,50,593.258277
-50.0,50,599.422672
-50.0,50,603.124717
-50.0,50,609.737976
-50.0,50,613.047136
-50.0,50,617.638815
-50.0,50,621.177454
-50.0,50,625.607842
-50.0,50,629.155817
-50.0,50,631.757238
-50.0,50,636.79521
-50.0,50,639.715771
-50.0,50,643.596095
-50.0,50,648.686868
-50.0,50,651.394959
-50.0,50,657.120547
-50.0,50,661.749937
-50.0,50,662.241022
-50.0,50,662.695371
-50.0,50,663.191709
-50.0,50,663.678533
-50.0,50,664.187762
-50.0,50,664.707324
-50.0,50,665.155787
-50.0,50,665.632142
-50.0,50,666.963279
-50.0,50,669.292434
-50.0,50,674.953855
-50.0,50,678.913827
-50.0,50,684.206071
-50.0,50,686.968101
-50.0,50,692.157035
-50.0,50,696.000884
-50.0,50,700.01411
-50.0,50,703.510426
-50.0,50,706.843728
-50.0,50,711.61314
-50.0,50,716.037621
-50.0,50,721.212023
-50.0,50,724.328786
-50.0,50,727.841982
-50.0,50,731.859285
-50.0,50,735.806754
-50.0,50,738.435324
-50.0,50,743.512443
-50.0,50,746.3372
-50.0,50,749.028676
-50.0,50,752.694724
-50.0,50,756.926377
-50.0,50,759.576369
-50.0,50,762.244778
-50.0,50,767.316813
-50.0,50,769.914939
-50.0,50,773.739831
-50.0,50,778.185951
-50.0,50,781.743007
-50.0,50,785.638746
-50.0,50,789.616583
-50.0,50,792.303929
-50.0,50,796.82064
-50.0,50,800.281676
-50.0,50,802.934384
-50.0,50,806.543425
-50.0,50,809.691304
-50.0,50,813.574536
-50.0,50,816.269233
-50.0,50,819.923656
-50.0,50,824.195452
-50.0,50,827.555721
-50.0,50,832.095745
-50.0,50,834.816693
-50.0,50,838.616517
-50.0,50,843.739669
-50.0,50,847.807019
-50.0,50,851.998514
-50.0,50,855.999713
-50.0,50,860.299497
-50.0,50,861.865341
-50.0,50,862.584728
-50.0,50,862.994725
-50.0,50,863.451626
-50.0,50,863.922033
-50.0,50,864.392498
-50.0,50,864.869099
-50.0,50,865.463808
-10.0,50,866.981677
-50.0,50,868.786003
-50.0,50,871.893802
-50.0,50,875.976526
-50.0,50,878.702568
-50.0,50,883.982671
-50.0,50,887.059611
-50.0,50,892.057374
-50.0,50,894.850061
-50.0,50,899.977119
-50.0,50,902.900931
-50.0,50,908.381075
-50.0,50,911.089646
-50.0,50,913.974667
-50.0,50,919.13259
-50.0,50,921.990965
-50.0,50,927.163994
-50.0,50,931.170243
-50.0,50,935.361262
-50.0,50,939.69257
-50.0,50,942.628594
-50.0,50,947.945417
-50.0,50,950.778394
-50.0,50,955.974729
-50.0,50,958.816682
-50.0,50,962.742924
-50.0,50,965.646286
-50.0,50,968.770123
-50.0,50,974.829833
-50.0,50,977.719411
-50.0,50,981.684704
-50.0,50,984.485344
-50.0,50,988.625253
-50.0,50,994.405139
-50.0,50,998.080014
-50.0,50,1002.777326
-50.0,50,1006.323282
-50.0,50,1011.262468
-50.0,50,1014.540166
-50.0,50,1019.751926
-50.0,50,1022.644057
-50.0,50,1025.52208
-50.0,50,1029.609921
-50.0,50,1032.368124
-50.0,50,1036.656806
-50.0,50,1040.587534
-50.0,50,1044.776419
-50.0,50,1048.853065
-50.0,50,1053.087203
-50.0,50,1057.035567
-50.0,50,1062.425429
-50.0,50,1065.807565
-50.0,50,1067.155142
-50.0,50,1069.134892
-45.0,50,1070.443893
-50.0,50,1070.918392
-50.0,50,1071.39749
-50.0,50,1071.888124
-50.0,50,1073.107998
-50.0,50,1074.974247
-50.0,50,1076.452939
-50.0,50,1077.012967
-50.0,50,1083.263594
-50.0,50,1087.036143
-50.0,50,1093.100887
-50.0,50,1097.435208
-50.0,50,1104.378854
-50.0,50,1110.277432
-50.0,50,1114.347913
-50.0,50,1120.395627
-50.0,50,1126.647801
-50.0,50,1130.281149
-50.0,50,1136.460891
-50.0,50,1141.481364
-50.0,50,1146.402409
-50.0,50,1152.481117
-50.0,50,1156.885557
-50.0,50,1161.489746
-50.0,50,1168.603453
-50.0,50,1174.457796
-50.0,50,1178.48128
-50.0,50,1184.559974
-50.0,50,1190.898475
-50.0,50,1194.135445
-50.0,50,1199.489523
-50.0,50,1202.421927
-50.0,50,1207.559133
-50.0,50,1211.768741
-50.0,50,1216.045386
-50.0,50,1220.125975
-46.0,50,1224.446378
-50.0,50,1228.305878
-50.0,50,1233.680158
-50.0,50,1236.498211
-50.0,50,1240.568023
-50.0,50,1243.229431
-50.0,50,1248.493587
-50.0,50,1252.083905
-50.0,50,1256.442115
-50.0,50,1259.518954
-50.0,50,1263.211846
-50.0,50,1267.469413
-50.0,50,1271.237361
-50.0,50,1275.078239
-50.0,50,1279.125293
-50.0,50,1282.974795
-50.0,50,1285.680737
-27.0,50,1290.821332
-50.0,50,1293.503546
-50.0,50,1297.143897
-50.0,50,1301.416436
-50.0,50,1304.771207
-50.0,50,1306.093525
-50.0,50,1306.547788
-50.0,50,1307.037452
-50.0,50,1307.463743
-45.0,50,1307.937048
-50.0,50,1308.355927
-50.0,50,1308.864369
-50.0,50,1309.319799
-50.0,50,1309.765542
-50.0,50,1310.246331
-50.0,50,1315.419369
-47.0,50,1318.084147
-50.0,50,1323.560753
-50.0,50,1326.229708
-50.0,50,1328.904794
-50.0,50,1334.107884
-50.0,50,1337.251393
-50.0,50,1342.150687
-50.0,50,1345.094054
-50.0,50,1350.223152
-45.0,50,1356.433721
-50.0,50,1362.497405
-50.0,50,1365.699778
-50.0,50,1370.029413
-50.0,50,1376.384378
-50.0,50,1380.230978
-50.0,50,1384.959345
-50.0,50,1388.320591
-50.0,50,1393.470591
-50.0,50,1396.31689
-50.0,50,1401.641907
-50.0,50,1404.58857
-50.0,50,1409.932762
-50.0,50,1412.863735
-50.0,50,1416.981103
-50.0,50,1422.831964
-49.0,50,1426.713557
-50.0,50,1432.009099
-50.0,50,1435.290865
-50.0,50,1440.828833
-50.0,50,1443.863193
-50.0,50,1449.235714
-50.0,50,1452.459097
-50.0,50,1456.478429
-50.0,50,1461.737424
-50.0,50,1465.012728
-50.0,50,1470.393179
-50.0,50,1473.382007
-50.0,50,1478.726761
-50.0,50,1481.691584
-50.0,50,1487.107624
-47.0,50,1490.065254
-50.0,50,1495.441323
-50.0,50,1498.348099
-50.0,50,1502.406365
-50.0,50,1505.243272
-50.0,50,1510.693209
-33.0,50,1513.653787
-50.0,50,1518.894233
-50.0,50,1521.795351
-50.0,50,1522.326046
-50.0,50,1522.823563
-50.0,50,1523.32409
-47.0,50,1523.821975
-50.0,50,1524.321648
-50.0,50,1525.568875
-50.0,50,1527.291777
-50.0,50,1528.782268
-41.0,50,1529.248926
-50.0,50,1529.853343
-50.0,50,1534.8307
-50.0,50,1538.100415
-50.0,50,1542.104661
-50.0,50,1545.133814
-48.0,50,1550.391531
-44.0,50,1555.02036
-50.0,50,1559.360775
-50.0,50,1563.637214
-50.0,50,1568.927975
-50.0,50,1572.349767
-50.0,50,1577.705722
-50.0,50,1580.691498
-50.0,50,1585.43629
-50.0,50,1590.923906
-50.0,50,1593.986231
-23.0,50,1599.322807
-25.0,50,1602.269405
-50.0,50,1607.623965
-50.0,50,1610.533679
-50.0,50,1615.924514
-50.0,50,1618.841578
-50.0,50,1624.215358
-50.0,50,1627.176464
-46.0,50,1631.28105
-50.0,50,1634.238514
-45.0,50,1639.594772
-50.0,50,1642.57642
-50.0,50,1647.986242
-50.0,50,1650.972522
-50.0,50,1656.363147
-45.0,50,1660.934969
-50.0,50,1664.947938
-46.0,50,1669.339919
-50.0,50,1672.185642
-50.0,50,1674.849677
-50.0,50,1681.7345
-50.0,50,1684.830384
-50.0,50,1689.586476
-50.0,50,1693.31073
-47.0,50,1696.845333
-50.0,50,1702.176062
-50.0,50,1705.118165
-50.0,50,1710.534055
-50.0,50,1713.401932
-50.0,50,1717.554753
-50.0,50,1723.097553
-13.0,50,1726.011895
-50.0,50,1731.465477
-50.0,50,1734.370672
-50.0,50,1738.526187
-50.0,50,1738.974036
-50.0,50,1739.489535
-50.0,50,1739.939659
-50.0,50,1740.7644
-50.0,50,1742.439826
-50.0,50,1744.270649
-50.0,50,1746.040438
-50.0,50,1746.8062
-50.0,50,1747.29539
-50.0,50,1747.858955
-47.0,50,1751.777065
-50.0,50,1756.4367
-50.0,50,1760.840094
-50.0,50,1765.013964
-50.0,50,1769.617207
-40.0,50,1774.366309
-50.0,50,1777.541834
-50.0,50,1781.99115
-50.0,50,1786.641438
-50.0,50,1789.518569
-35.0,50,1794.320514
-50.0,50,1798.616472
-50.0,50,1802.127541
-50.0,50,1806.921826
-50.0,50,1809.857922
-50.0,50,1814.448346
-50.0,50,1819.188406
-50.0,50,1822.417912
-50.0,50,1828.064951
-50.0,50,1832.665538
-50.0,50,1835.944398
-50.0,50,1840.219771
-50.0,50,1844.846037
-23.0,50,1847.755637
-50.0,50,1852.430918
-50.0,50,1856.650951
-50.0,50,1860.196259
-50.0,50,1864.889002
-50.0,50,1867.798436
-50.0,50,1872.398716
-50.0,50,1877.256617
-50.0,50,1880.257243
-50.0,50,1884.900631
-50.0,50,1890.143982
-41.0,50,1894.568055
-50.0,50,1898.603886
-50.0,50,1903.239364
-47.0,50,1907.024912
-42.0,50,1911.042171
-50.0,50,1915.833206
-50.0,50,1918.801545
-42.0,50,1923.464891
-50.0,50,1928.246156
-50.0,50,1931.123085
-50.0,50,1935.810244
-47.0,50,1939.246128
-45.0,50,1943.467752
-48.0,50,1947.890134
-50.0,50,1950.767642
-21.0,50,1956.595035
-50.0,50,1957.098347
-50.0,50,1957.585295
-50.0,50,1958.647007
-17.0,50,1960.336389
-50.0,50,1961.122934
-10.0,50,1961.613583
-19.0,50,1962.10233
-43.0,50,1962.629287
-50.0,50,1963.07709
-50.0,50,1963.605485
-50.0,50,1968.263916
-50.0,50,1973.112321
-50.0,50,1977.838534
-50.0,50,1980.956139
-50.0,50,1985.593786
-50.0,50,1990.483263
-50.0,50,1993.36445
-50.0,50,1999.267669
-50.0,50,2004.008339
-50.0,50,2007.25821
-50.0,50,2011.607135
-50.0,50,2016.313502
-50.0,50,2021.170794
-50.0,50,2024.045594
-50.0,50,2028.668177
-50.0,50,2033.493334
-50.0,50,2038.121523
-50.0,50,2042.775679
-47.0,50,2046.468921
-44.0,50,2050.633484
-50.0,50,2055.387258
-50.0,50,2059.405649
-50.0,50,2064.499557
-21.0,50,2069.120906
-47.0,50,2074.089164
-50.0,50,2077.203854
-50.0,50,2081.872681
-50.0,50,2086.572445
-50.0,50,2091.516337
-46.0,50,2094.466413
-50.0,50,2099.197608
-50.0,50,2104.795123
-50.0,50,2109.371297
-17.0,50,2113.256919
-50.0,50,2117.950904
-33.0,50,2122.661888
-32.0,50,2125.93604
-50.0,50,2130.691734
-48.0,50,2134.346454
-50.0,50,2138.513919
-50.0,50,2143.283464
-50.0,50,2146.373183
-50.0,50,2151.138666
-46.0,50,2156.047339
-50.0,50,2158.979389
-50.0,50,2163.673359
-42.0,50,2169.362064
-50.0,50,2174.289305
-46.0,50,2177.886276
-50.0,50,2182.625623
-33.0,50,2183.144808
-46.0,50,2183.665908
-50.0,50,2184.139387
-50.0,50,2184.954097
-26.0,50,2186.386851
-50.0,50,2187.697713
-50.0,50,2188.21257
-50.0,50,2188.695982
-50.0,50,2189.151948
-44.0,50,2190.073072
-50.0,50,2194.514684
-50.0,50,2199.407565
-50.0,50,2203.613197
-50.0,50,2207.260017
-50.0,50,2213.330668
-50.0,50,2218.244956
-50.0,50,2221.439157
-34.0,50,2225.9807
-50.0,50,2230.859874
-50.0,50,2235.76185
-50.0,50,2239.089873
-50.0,50,2243.553909
-50.0,50,2248.327302
-50.0,50,2253.058835
-50.0,50,2257.789032
-50.0,50,2262.130212
-50.0,50,2265.738209
-50.0,50,2270.584448
-47.0,50,2276.432946
-35.0,50,2281.158981
-50.0,50,2285.12115
-50.0,50,2288.147033
-50.0,50,2291.11766
-19.0,50,2294.123376
-50.0,50,2297.154124
-50.0,50,2300.192289
-50.0,50,2303.178445
-50.0,50,2306.223964
-50.0,50,2309.204242
-50.0,50,2312.278763
-50.0,50,2315.28848
-50.0,50,2318.312656
-50.0,50,2321.335552
-46.0,50,2324.383222
-50.0,50,2327.427649
-46.0,50,2330.398487
-46.0,50,2333.434234
-50.0,50,2336.500923
-50.0,50,2339.521844
-50.0,50,2342.527269
-43.0,50,2345.546138
-50.0,50,2348.607123
-50.0,50,2351.607587
-50.0,50,2354.570106
-50.0,50,2357.676519
-42.0,50,2360.709186
-50.0,50,2363.721525
-50.0,50,2366.648034
-50.0,50,2369.681
-25.0,50,2372.727996
-50.0,50,2373.19165
-50.0,50,2373.67082
-50.0,50,2374.206959
-48.0,50,2374.758482
