# {"t_start": 1576824211.3753645, "env_id": "FetchSlideball-v1"} 
r,l,t
-50.0,50,4.414006
-50.0,50,7.02269
-50.0,50,9.345166
-50.0,50,11.776466
-50.0,50,14.474379
-50.0,50,16.873427
-50.0,50,19.145778
-50.0,50,21.480927
-50.0,50,23.785743
-50.0,50,26.069733
-50.0,50,28.364263
-50.0,50,30.686628
-50.0,50,32.988881
-50.0,50,35.277097
-50.0,50,37.57949
-50.0,50,39.963288
-50.0,50,42.274087
-50.0,50,44.576291
-50.0,50,46.959326
-50.0,50,49.386714
-50.0,50,51.742398
-50.0,50,54.12208
-50.0,50,56.519892
-50.0,50,58.978245
-50.0,50,61.272898
-50.0,50,63.534596
-50.0,50,65.849828
-50.0,50,68.211152
-50.0,50,71.664615
-50.0,50,75.161072
-50.0,50,77.847428
-50.0,50,80.494575
-50.0,50,83.164397
-50.0,50,85.842991
-50.0,50,88.46176
-50.0,50,91.097563
-50.0,50,93.808473
-50.0,50,96.425678
-50.0,50,99.110243
-50.0,50,101.765539
-50.0,50,104.462596
-50.0,50,107.161333
-50.0,50,109.839411
-50.0,50,112.508737
-50.0,50,115.162049
-50.0,50,117.886724
-50.0,50,120.525467
-50.0,50,123.223718
-50.0,50,125.871406
-50.0,50,128.550499
-50.0,50,131.287264
-50.0,50,131.730357
-50.0,50,132.178097
-50.0,50,132.614134
-50.0,50,133.053669
-50.0,50,133.546322
-50.0,50,133.982773
-50.0,50,134.436601
-50.0,50,134.860043
-50.0,50,135.305907
-50.0,50,135.827017
-50.0,50,138.499245
-50.0,50,141.249403
-50.0,50,143.955468
-50.0,50,146.699682
-50.0,50,149.411874
-50.0,50,152.155168
-50.0,50,154.779616
-50.0,50,157.481691
-50.0,50,160.159643
-50.0,50,162.804637
-50.0,50,165.546132
-50.0,50,168.183867
-50.0,50,170.916468
-50.0,50,173.529748
-50.0,50,176.246646
-50.0,50,178.954405
-50.0,50,181.657167
-50.0,50,184.358724
-50.0,50,186.995637
-50.0,50,189.655311
-50.0,50,192.350932
-50.0,50,195.044303
-50.0,50,197.867059
-50.0,50,200.520195
-50.0,50,203.194655
-50.0,50,205.832182
-50.0,50,208.444937
-50.0,50,211.057322
-50.0,50,213.724678
-50.0,50,216.376579
-50.0,50,219.12787
-50.0,50,221.785327
-50.0,50,224.514619
-50.0,50,227.139695
-50.0,50,229.822003
-50.0,50,232.495077
-50.0,50,235.212552
-50.0,50,237.863194
-50.0,50,240.484126
-50.0,50,243.107601
-50.0,50,245.752694
-50.0,50,248.428698
-50.0,50,251.166891
-50.0,50,253.748598
-50.0,50,256.408935
-50.0,50,259.077632
-50.0,50,261.818288
-50.0,50,264.51211
-50.0,50,267.190539
-50.0,50,269.911395
-50.0,50,270.352355
-50.0,50,270.782653
-50.0,50,271.250813
-50.0,50,271.714723
-50.0,50,272.14916
-50.0,50,272.549426
-50.0,50,272.96999
-50.0,50,273.392411
-50.0,50,273.756783
-50.0,50,274.143203
-50.0,50,276.853927
-50.0,50,279.458819
-50.0,50,282.142173
-50.0,50,284.817148
-50.0,50,287.552027
-50.0,50,290.189372
-50.0,50,292.852862
-50.0,50,295.532899
-50.0,50,298.144931
-50.0,50,300.838787
-50.0,50,303.51126
-50.0,50,306.170279
-50.0,50,308.958251
-50.0,50,311.75873
-50.0,50,314.437199
-50.0,50,317.23203
-50.0,50,319.903394
-50.0,50,322.60186
-50.0,50,325.363343
-50.0,50,328.138965
-50.0,50,330.845106
-50.0,50,333.523193
-50.0,50,336.349306
-50.0,50,339.107121
-50.0,50,341.780376
-50.0,50,344.464696
-50.0,50,347.280264
-50.0,50,349.949123
-50.0,50,352.692633
-50.0,50,355.293346
-50.0,50,358.057878
-50.0,50,360.723732
-50.0,50,363.413333
-50.0,50,366.108539
-50.0,50,368.726527
-50.0,50,371.402696
-50.0,50,374.079521
-50.0,50,376.785199
-50.0,50,379.48129
-50.0,50,382.149118
-50.0,50,384.80736
-50.0,50,387.547326
-50.0,50,390.165437
-50.0,50,392.888228
-50.0,50,395.526043
-50.0,50,398.203125
-50.0,50,400.868313
-50.0,50,403.501947
-50.0,50,406.128367
-50.0,50,408.809178
-50.0,50,409.221606
-50.0,50,409.659823
-50.0,50,410.055652
-50.0,50,410.486685
-50.0,50,410.906879
-50.0,50,411.389004
-50.0,50,411.813863
