# {"env_id": "FetchSlideball-v1", "t_start": 1576824210.7514963} 
r,l,t
-50.0,50,5.037865
-50.0,50,7.64704
-50.0,50,9.968977
-50.0,50,12.396394
-50.0,50,15.097043
-50.0,50,17.497654
-50.0,50,19.766851
-50.0,50,22.109212
-50.0,50,24.410314
-50.0,50,26.690413
-50.0,50,28.983675
-50.0,50,31.309598
-50.0,50,33.610943
-50.0,50,35.901072
-50.0,50,38.20347
-50.0,50,40.58714
-50.0,50,42.898721
-50.0,50,45.201837
-50.0,50,47.580012
-50.0,50,50.004954
-50.0,50,52.366602
-50.0,50,54.746094
-50.0,50,57.143407
-50.0,50,59.602349
-50.0,50,61.893348
-50.0,50,64.158411
-50.0,50,66.475324
0.0,50,68.835219
-50.0,50,72.29739
-50.0,50,75.78295
-50.0,50,78.472577
-50.0,50,81.115875
-50.0,50,83.786847
-50.0,50,86.469719
-50.0,50,89.084183
-50.0,50,91.721393
-50.0,50,94.431721
-50.0,50,97.049658
-50.0,50,99.745979
-50.0,50,102.385429
-50.0,50,105.086469
-50.0,50,107.786527
-50.0,50,110.463335
-50.0,50,113.135283
-50.0,50,115.787054
-50.0,50,118.510796
-50.0,50,121.148756
-50.0,50,123.847226
-50.0,50,126.495746
-50.0,50,129.174587
-50.0,50,131.91663
-50.0,50,132.353033
-50.0,50,132.802284
-50.0,50,133.238407
-50.0,50,133.676841
-50.0,50,134.179289
-50.0,50,134.607502
-50.0,50,135.057797
-50.0,50,135.490582
-50.0,50,135.930965
-50.0,50,136.454804
-50.0,50,139.116241
-50.0,50,141.872832
-50.0,50,144.58789
-50.0,50,147.323564
-50.0,50,150.037284
-50.0,50,152.777066
-50.0,50,155.403343
-50.0,50,158.096966
-50.0,50,160.787047
-50.0,50,163.432524
-50.0,50,166.173166
-50.0,50,168.807775
-50.0,50,171.538858
-50.0,50,174.15385
-50.0,50,176.875818
-50.0,50,179.580098
-50.0,50,182.282445
-50.0,50,184.985524
-50.0,50,187.61885
-50.0,50,190.281675
-50.0,50,192.973839
-50.0,50,195.671077
-50.0,50,198.488586
-50.0,50,201.142578
-50.0,50,203.819145
-50.0,50,206.455227
-50.0,50,209.068967
-50.0,50,211.676381
-50.0,50,214.347576
-50.0,50,217.000491
-50.0,50,219.743401
-50.0,50,222.407148
-48.0,50,225.139155
-50.0,50,227.765985
-50.0,50,230.441922
-50.0,50,233.117203
-50.0,50,235.84037
-50.0,50,238.485539
-50.0,50,241.108296
-50.0,50,243.736211
-50.0,50,246.380209
-50.0,50,249.052295
-50.0,50,251.790679
-50.0,50,254.371119
-50.0,50,257.032687
-50.0,50,259.69963
-50.0,50,262.447718
0.0,50,265.135853
-50.0,50,267.812064
-50.0,50,270.536607
-50.0,50,270.975678
-50.0,50,271.407893
-50.0,50,271.873647
-50.0,50,272.343571
-50.0,50,272.773668
-50.0,50,273.174594
-50.0,50,273.593819
-50.0,50,274.012345
-50.0,50,274.379175
-50.0,50,274.765752
-50.0,50,277.47689
-50.0,50,280.084172
-50.0,50,282.766143
-50.0,50,285.440917
-50.0,50,288.175057
-50.0,50,290.812158
-50.0,50,293.475782
-50.0,50,296.157933
-50.0,50,298.769533
-50.0,50,301.470747
-50.0,50,304.133223
-50.0,50,306.801151
-50.0,50,309.58208
-50.0,50,312.383638
-50.0,50,315.061314
-50.0,50,317.853809
-50.0,50,320.531535
-50.0,50,323.226466
-50.0,50,325.984504
-50.0,50,328.767174
-50.0,50,331.467915
-50.0,50,334.149566
-50.0,50,336.972649
-50.0,50,339.735386
-50.0,50,342.4059
-50.0,50,345.08728
-50.0,50,347.91002
-50.0,50,350.578084
-50.0,50,353.319997
-50.0,50,355.915042
-50.0,50,358.684269
-50.0,50,361.342927
-50.0,50,364.030966
-48.0,50,366.730199
-50.0,50,369.355865
-50.0,50,372.028453
-50.0,50,374.695009
-50.0,50,377.410094
-50.0,50,380.104997
-50.0,50,382.77289
-50.0,50,385.430879
-50.0,50,388.174388
-50.0,50,390.783771
-50.0,50,393.512602
-50.0,50,396.150071
-50.0,50,398.827205
-50.0,50,401.491525
-50.0,50,404.1248
-50.0,50,406.748474
-50.0,50,409.43492
-50.0,50,409.843811
-50.0,50,410.284645
-50.0,50,410.680665
-50.0,50,411.115509
-50.0,50,411.535524
-50.0,50,412.004178
-50.0,50,412.438566
-50.0,50,412.865799
-50.0,50,413.277262
-50.0,50,413.810185
-50.0,50,416.507966
-50.0,50,419.138913
-50.0,50,421.815974
-50.0,50,424.506672
-50.0,50,427.108428
-50.0,50,429.795554
-47.0,50,432.451734
-50.0,50,435.094541
-50.0,50,437.753853
-48.0,50,440.461948
-50.0,50,443.124897
-50.0,50,445.796556
-50.0,50,448.459564
-50.0,50,451.12559
-47.0,50,453.795142
-50.0,50,456.515521
-50.0,50,459.214122
-50.0,50,461.889439
-50.0,50,464.566013
-50.0,50,467.21777
-50.0,50,469.852872
-46.0,50,472.452371
-50.0,50,475.129165
-50.0,50,477.795582
-50.0,50,480.526541
-50.0,50,483.234997
-50.0,50,485.980645
-50.0,50,488.705052
-50.0,50,491.681882
-50.0,50,494.432531
-50.0,50,497.152689
-50.0,50,499.855273
-50.0,50,502.618567
-50.0,50,505.402279
-50.0,50,508.254213
-50.0,50,511.161475
-50.0,50,513.910765
-50.0,50,516.635666
-50.0,50,519.346189
-50.0,50,522.019281
-50.0,50,524.756702
-50.0,50,527.501557
-50.0,50,530.275632
-50.0,50,533.005541
-50.0,50,535.796973
-50.0,50,538.668012
-50.0,50,541.371059
-50.0,50,544.094884
-50.0,50,546.826401
-50.0,50,549.593082
-50.0,50,550.064974
-50.0,50,550.502587
-50.0,50,551.02849
-50.0,50,551.535324
-50.0,50,551.968018
-50.0,50,552.445878
-50.0,50,552.877029
-50.0,50,553.316288
-50.0,50,553.746701
-50.0,50,554.258616
-50.0,50,556.898353
-50.0,50,559.577386
-50.0,50,562.311116
-50.0,50,564.987579
-50.0,50,567.828965
-50.0,50,570.621596
-50.0,50,573.323192
-50.0,50,576.031774
-50.0,50,578.680936
-50.0,50,581.536523
-50.0,50,584.884626
-50.0,50,588.059888
-50.0,50,590.894343
-50.0,50,593.581914
-50.0,50,596.310182
-50.0,50,599.072365
-50.0,50,601.778415
-50.0,50,604.549824
-50.0,50,607.194947
-50.0,50,609.960376
-36.0,50,612.652448
-50.0,50,615.311113
-50.0,50,618.015694
-50.0,50,620.791316
-50.0,50,623.5576
-50.0,50,626.261384
-50.0,50,629.147364
-50.0,50,631.926375
-50.0,50,634.618588
-50.0,50,637.348767
-50.0,50,640.119955
-50.0,50,642.924116
-44.0,50,645.622036
-50.0,50,648.28265
-50.0,50,650.968441
-50.0,50,653.725305
-50.0,50,656.443771
-50.0,50,659.393587
-50.0,50,662.152915
-50.0,50,664.924375
-50.0,50,667.647978
-50.0,50,670.407701
-50.0,50,673.390897
-50.0,50,676.059901
-50.0,50,678.745071
-50.0,50,681.51382
-50.0,50,684.267728
-50.0,50,687.059525
-50.0,50,689.868804
-50.0,50,692.594706
-50.0,50,693.020413
-50.0,50,693.460904
-50.0,50,693.909914
-50.0,50,694.360313
-50.0,50,694.822161
-46.0,50,695.300233
-50.0,50,695.8346
-50.0,50,696.34297
-50.0,50,696.820992
-50.0,50,697.374018
-50.0,50,700.053398
-50.0,50,702.701091
-50.0,50,705.424717
-50.0,50,708.210231
-50.0,50,710.974224
-50.0,50,713.714979
-50.0,50,716.52001
-50.0,50,719.145645
-50.0,50,721.855222
-50.0,50,724.501667
-50.0,50,727.441582
-50.0,50,730.304537
-50.0,50,733.108749
-50.0,50,735.819418
-50.0,50,738.526668
-50.0,50,741.264067
-50.0,50,743.999264
-50.0,50,746.729
-50.0,50,749.376037
-50.0,50,752.117157
-50.0,50,754.883171
-50.0,50,757.730911
-50.0,50,760.529088
-21.0,50,763.326302
-20.0,50,766.015279
-50.0,50,768.93417
-50.0,50,771.635847
-48.0,50,774.484332
-50.0,50,777.280754
-50.0,50,780.058246
-50.0,50,782.760768
-50.0,50,785.482971
-50.0,50,788.377862
-50.0,50,791.178909
-48.0,50,794.032146
-50.0,50,796.80668
-50.0,50,799.499113
-50.0,50,802.390793
-50.0,50,805.098221
-50.0,50,807.875925
-50.0,50,810.571332
-50.0,50,813.252951
-50.0,50,815.982924
-50.0,50,818.687172
-50.0,50,821.504627
-48.0,50,824.212095
-50.0,50,827.010201
-50.0,50,829.711175
-50.0,50,832.413423
-50.0,50,835.182691
-50.0,50,835.645846
-50.0,50,836.098509
-50.0,50,836.544456
-50.0,50,836.980212
-50.0,50,837.457635
-50.0,50,837.90344
-50.0,50,838.423315
-50.0,50,838.879271
-50.0,50,839.327855
-50.0,50,839.896723
-47.0,50,842.546511
-50.0,50,845.32046
0.0,50,848.027461
-50.0,50,850.665905
-50.0,50,853.40063
-50.0,50,856.080035
-50.0,50,858.812356
-50.0,50,861.544118
-50.0,50,864.235113
-50.0,50,866.909041
-50.0,50,869.662275
-50.0,50,872.331553
-50.0,50,875.132833
-50.0,50,877.796778
-44.0,50,880.574062
-50.0,50,883.258982
-50.0,50,886.013588
-50.0,50,888.837981
-50.0,50,891.515173
-50.0,50,894.302731
-50.0,50,896.976196
-46.0,50,899.809321
-50.0,50,902.639753
-50.0,50,905.54644
-50.0,50,908.302765
-50.0,50,910.99216
-50.0,50,913.893504
-45.0,50,916.720162
-50.0,50,919.553406
-48.0,50,922.337381
-50.0,50,925.076562
-50.0,50,927.752813
-44.0,50,930.522761
-50.0,50,933.201213
-11.0,50,936.019102
-50.0,50,938.837384
-50.0,50,941.555053
-47.0,50,944.259969
-50.0,50,947.040226
-50.0,50,949.773299
-50.0,50,952.532864
-50.0,50,955.303812
-48.0,50,958.243853
-50.0,50,960.902989
-47.0,50,963.716082
-50.0,50,966.429582
-50.0,50,969.103471
-50.0,50,971.848265
-47.0,50,974.642703
-50.0,50,977.553312
-50.0,50,978.062725
-50.0,50,978.55084
-50.0,50,979.046419
-50.0,50,979.546521
-43.0,50,980.040532
-50.0,50,980.535136
-50.0,50,981.003613
-50.0,50,981.506625
-50.0,50,981.991549
-50.0,50,982.489869
-50.0,50,985.193486
-18.0,50,987.926757
-50.0,50,990.558014
-50.0,50,993.307817
-50.0,50,996.061972
-50.0,50,998.77774
-50.0,50,1001.536544
-50.0,50,1004.211278
-50.0,50,1006.891863
-50.0,50,1009.537118
-50.0,50,1012.22487
-50.0,50,1014.861837
-49.0,50,1017.538975
-50.0,50,1020.194924
-50.0,50,1022.845749
-50.0,50,1025.503543
-50.0,50,1028.154332
-50.0,50,1030.855106
-50.0,50,1033.470876
-50.0,50,1036.180544
-50.0,50,1038.876702
-50.0,50,1041.553354
-50.0,50,1044.27322
-50.0,50,1046.951972
-50.0,50,1049.596542
-50.0,50,1052.245376
-50.0,50,1054.99404
-50.0,50,1057.690543
-50.0,50,1060.401656
-50.0,50,1063.028264
-47.0,50,1065.732649
-50.0,50,1068.39954
-50.0,50,1071.146283
-50.0,50,1073.860523
-50.0,50,1076.498701
-50.0,50,1079.169562
-50.0,50,1081.90053
-50.0,50,1084.595783
-50.0,50,1087.229302
-50.0,50,1089.958923
-50.0,50,1092.632478
-23.0,50,1095.351401
-50.0,50,1098.006749
-50.0,50,1100.71437
-50.0,50,1103.426186
-13.0,50,1106.058378
-47.0,50,1108.723049
-50.0,50,1111.40949
-50.0,50,1114.107085
-50.0,50,1116.821845
-50.0,50,1117.321036
-50.0,50,1117.804608
-50.0,50,1118.249668
-50.0,50,1118.748659
-50.0,50,1119.22077
-50.0,50,1119.712922
-50.0,50,1120.182051
-50.0,50,1120.664626
-50.0,50,1121.124428
-50.0,50,1121.643113
-50.0,50,1124.281875
-50.0,50,1126.985708
-50.0,50,1129.644783
-40.0,50,1132.296899
-50.0,50,1135.02351
-50.0,50,1137.65678
-48.0,50,1140.320776
-48.0,50,1143.095865
-50.0,50,1145.833774
-50.0,50,1148.441082
-50.0,50,1151.132061
-15.0,50,1153.824149
-45.0,50,1156.530236
-50.0,50,1159.159165
-37.0,50,1161.818264
-50.0,50,1164.519284
-50.0,50,1167.177586
-46.0,50,1169.936749
-50.0,50,1172.677171
-50.0,50,1175.45688
-35.0,50,1178.29342
-50.0,50,1180.982974
-46.0,50,1183.676031
-50.0,50,1186.390313
-50.0,50,1189.061825
-50.0,50,1191.733083
-50.0,50,1194.600172
-50.0,50,1197.463683
-50.0,50,1200.272147
-50.0,50,1202.979279
-50.0,50,1205.682305
-50.0,50,1208.359641
-29.0,50,1211.094939
-50.0,50,1213.820358
-46.0,50,1216.63824
-50.0,50,1219.347965
-50.0,50,1222.104609
-50.0,50,1224.989147
-50.0,50,1227.739838
-48.0,50,1230.40701
-50.0,50,1233.126462
-50.0,50,1235.830613
-21.0,50,1238.54949
-47.0,50,1241.199669
-46.0,50,1243.848031
-50.0,50,1246.551826
-50.0,50,1249.218045
-50.0,50,1251.983943
-50.0,50,1254.641142
-50.0,50,1257.292395
-50.0,50,1257.773673
-50.0,50,1258.215014
-50.0,50,1258.665789
0.0,50,1259.146137
-48.0,50,1259.591503
-50.0,50,1260.058805
-50.0,50,1260.505715
-33.0,50,1261.010319
-50.0,50,1261.48478
-50.0,50,1262.193476
-50.0,50,1264.869777
-50.0,50,1267.565139
-41.0,50,1270.262271
-50.0,50,1273.005538
-46.0,50,1275.651242
-50.0,50,1278.365554
-47.0,50,1281.057409
-50.0,50,1283.70609
-50.0,50,1286.432615
-50.0,50,1289.069849
-50.0,50,1291.761944
-50.0,50,1294.44385
